Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['jalil', 'yalil', 'celil']",mofoka,0,0.18,incorrect,"ka ke ho se [mask] ile hae. mofoka, lelapa entseng bona, le ""ho la la lijo tlameha",0,0.09,incorrect,adehun,0,0.18,incorrect,lori,0,0.44,incorrect,tswana,0,0.18,incorrect,ka,0,0.29,incorrect,tera ia te ohipa [mask] ravehia e to'na utuafare,0,0.08,incorrect,tera,0,0.22,incorrect,shriimaan,0,0.14,incorrect,"bhojn vipriit, chlaah /  ""khrptvaark chl ahaan je saudaa gel /  [mask] ropy chii, dekhait o hisaab privaark ke kyne paani hmraa del pdd'ait aa phersn sng sn /  chl, apn ahaan",0,0.06,incorrect,rakoto,0,0.18,incorrect,izany,0,0.2,incorrect,"ka ke ho se [mask] ile hae. mofoka, lelapa entseng bona, le ""ho la la lijo tlameha",0,0.09,incorrect,lori,0,0.44,incorrect,ka,0,0.29,incorrect,tera,0,0.22,incorrect,"bhojn vipriit, chlaah /  ""khrptvaark chl ahaan je saudaa gel /  [mask] ropy chii, dekhait o hisaab privaark ke kyne paani hmraa del pdd'ait aa phersn sng sn /  chl, apn ahaan",0,0.06,incorrect,izany,0,0.2,incorrect,deal,0,0.44,incorrect,john,0,0.22,incorrect,tohum'un,0,0.0,incorrect,turk,0,0.0,incorrect,me,0,0.29,incorrect,nuoc gia,0,0.31,incorrect,[mask],0,0.18,incorrect,plantarme,0,0.14,incorrect,john,0,0.22,incorrect,turk,0,0.0,incorrect,nuoc gia,0,0.31,incorrect,plantarme,0,0.14,incorrect
"['mariam jo', 'meryem co', 'mariam', 'co', 'jo', 'meryem']",moshoeshoe i,0,0.38,incorrect,uena,0,0.2,incorrect,sinu,0,0.2,incorrect,ati,0,0.44,incorrect,tata,0,0.4,incorrect,malatsi,0,0.46,incorrect,tahiti,0,0.33,incorrect,fatata,0,0.33,incorrect,abhissek,0,0.29,incorrect,abhissek,0,0.29,incorrect,rakoto,0,0.4,incorrect,ary,0,0.44,incorrect,uena,0,0.2,incorrect,ati,0,0.44,incorrect,malatsi,0,0.46,incorrect,fatata,0,0.33,incorrect,abhissek,0,0.29,incorrect,ary,0,0.44,incorrect,you,0,0.4,incorrect,john,0,0.67,incorrect,hastane,0,0.31,incorrect,sana,0,0.4,incorrect,be,0,0.25,incorrect,con,0,0.8,correct,tu,0,0.0,incorrect,maria,0,0.91,correct,john,0,0.67,incorrect,sana,0,0.4,incorrect,con,0,0.8,correct,maria,0,0.91,correct
"['faizu', 'feyzullah', 'molla feyzullah', 'faizullah', 'faizulá', 'mullah faizullah', 'mullah', 'molla']","na ke seo o se batlang?"" [mask] a mo sheba ka mahlo a hae a bonolo, a nosetsang, matsoho a hae ka morao, moriti oa turban oa hae o oela ka sekotlong sa bristling buttercups.",0,0.13,incorrect,morao,0,0.6,incorrect,oba,0,0.5,incorrect,buttercups,0,0.21,incorrect,tlhape,0,0.36,incorrect,matshobana,0,0.4,incorrect,tera,0,0.31,incorrect,tera,0,0.31,incorrect,abhissek,0,0.31,incorrect,nrm,0,0.25,incorrect,izany,0,0.5,incorrect,manondraka,0,0.4,incorrect,morao,0,0.6,incorrect,buttercups,0,0.21,incorrect,matshobana,0,0.4,incorrect,tera,0,0.31,incorrect,nrm,0,0.25,incorrect,manondraka,0,0.4,incorrect,he,0,0.25,incorrect,girl,0,0.36,incorrect,kardes,0,0.19,incorrect,kiz,0,0.5,incorrect,nguyen,0,0.18,incorrect,ngoc,0,0.22,incorrect,ulema,0,0.55,incorrect,ulema,0,0.55,incorrect,girl,0,0.36,incorrect,kiz,0,0.5,incorrect,ngoc,0,0.22,incorrect,ulema,0,0.55,incorrect
"['mil', 'jalil', 'yalil', 'celil']",carver,0,0.36,incorrect,tsoa,0,0.22,incorrect,alaafin,0,0.5,incorrect,bi,0,0.4,incorrect,mosetsane,0,0.17,incorrect,botlhokong,0,0.15,incorrect,tahiti,0,0.36,incorrect,paapaa,0,0.18,incorrect,konaa,0,0.2,incorrect,khlni,0,0.4,incorrect,madagascar,0,0.15,incorrect,nanohy,0,0.18,incorrect,tsoa,0,0.22,incorrect,bi,0,0.4,incorrect,botlhokong,0,0.15,incorrect,paapaa,0,0.18,incorrect,khlni,0,0.4,incorrect,nanohy,0,0.18,incorrect,queen,0,0.2,incorrect,[mask]'s,0,0.18,incorrect,[mask]'in,0,0.33,incorrect,kizi,0,0.29,incorrect,nguoi tho da xau xi va thap hen,0,0.11,incorrect,ba,0,0.29,incorrect,espana,0,0.18,incorrect,cantero,0,0.33,incorrect,[mask]'s,0,0.18,incorrect,kizi,0,0.29,incorrect,ba,0,0.29,incorrect,cantero,0,0.33,incorrect
"['lili lili', 'mi', 'lili', 'lili mi']",minnow,0,0.5,incorrect,minnow,0,0.5,incorrect,joko,0,0.0,incorrect,joko,0,0.0,incorrect,minow,0,0.57,incorrect,minow,0,0.57,incorrect,minnow,0,0.5,incorrect,manu,0,0.33,incorrect,cidd'ai-snaank,0,0.22,incorrect,gel,0,0.29,incorrect,minnow,0,0.5,incorrect,nipetraka,0,0.18,incorrect,minnow,0,0.5,incorrect,joko,0,0.0,incorrect,minow,0,0.57,incorrect,manu,0,0.33,incorrect,gel,0,0.29,incorrect,nipetraka,0,0.18,incorrect,minnow,0,0.5,incorrect,minnow,0,0.5,incorrect,kus,0,0.0,incorrect,ayagi,0,0.29,incorrect,chim,0,0.36,incorrect,con chau,0,0.13,incorrect,minnow,0,0.5,incorrect,minnow,0,0.5,incorrect,minnow,0,0.5,incorrect,ayagi,0,0.29,incorrect,con chau,0,0.13,incorrect,minnow,0,0.5,incorrect
"['mariam jo', 'meryem co', 'mariam', 'co', 'jo', 'meryem']",mohlomong,0,0.33,incorrect,mohlomong,0,0.33,incorrect,nifi,0,0.2,incorrect,boya,0,0.33,incorrect,mopodi,0,0.33,incorrect,mopedi,0,0.33,incorrect,peneia,0,0.33,incorrect,peneia,0,0.33,incorrect,"duusraa uphaark baare me soci skait chii, duusraa uphaark baare me soci skait chii, duusraa uphaark baare me soci skait chii, duusraa uphaark baare me soci skait chii, duusraa uphaark baare me soci skait chii, duusraa uphaark baare me soci skait chii, duusraa uphaark baare",0,0.06,incorrect,dhvni,0,0.18,incorrect,marina,0,0.83,correct,marina,0,0.83,correct,mohlomong,0,0.33,incorrect,boya,0,0.33,incorrect,mopedi,0,0.33,incorrect,peneia,0,0.33,incorrect,dhvni,0,0.18,incorrect,marina,0,0.83,correct,mother,0,0.5,incorrect,projector,0,0.44,incorrect,baska bir armagan,0,0.35,incorrect,yilmaz,0,0.33,incorrect,bo,0,0.5,incorrect,bo,0,0.5,incorrect,[mask],0,0.33,incorrect,proyector,0,0.56,incorrect,projector,0,0.44,incorrect,yilmaz,0,0.33,incorrect,bo,0,0.5,incorrect,proyector,0,0.56,incorrect
"['meryem gari', 'gari', 'meryem', 'mariam']",thegari,0,0.73,correct,thegari,0,0.73,correct,oba,0,0.29,incorrect,pears,0,0.44,incorrect,letlhakoreng,0,0.35,incorrect,ba le lengwe,0,0.26,incorrect,tahiti,0,0.4,incorrect,falcon,0,0.2,incorrect,baattme,0,0.46,incorrect,mhilaa,0,0.5,incorrect,thegari,0,0.73,correct,thegari,0,0.73,correct,thegari,0,0.73,correct,pears,0,0.44,incorrect,ba le lengwe,0,0.26,incorrect,falcon,0,0.2,incorrect,mhilaa,0,0.5,incorrect,thegari,0,0.73,correct,the sultan,0,0.29,incorrect,men,0,0.44,incorrect,meryem,1,1.0,correct,meryem,1,1.0,correct,nguoi,0,0.44,incorrect,tre,0,0.44,incorrect,"[mask] subio al gari. hicieron el trayecto en silencio, codo con codo. por el camino, [mask] vio herbolarios y casetas donde se compraban naranjas y peras, libros, chales, incluso halcones. habia ninos jugando a canicas en circulos trazados en el polvo. a la puerta de las casas de te, sobre plataformas de maderas alfombradas, habia hombres",0,0.06,incorrect,gari,1,1.0,correct,men,0,0.44,incorrect,meryem,1,1.0,correct,tre,0,0.44,incorrect,gari,1,1.0,correct
"['celil han', 'jan', 'han', 'jalil khan', 'celil', 'jalil', 'khan', 'yalil jan', 'yalil', 'chính', 'chính jalil khan']",shebang,0,0.6,incorrect,shebang,0,0.6,incorrect,nila,0,0.46,incorrect,wo,0,0.0,incorrect,ntebeng,0,0.25,incorrect,jaanong,0,0.6,incorrect,tahiti,0,0.36,incorrect,teo,0,0.25,incorrect,abhimaan,0,0.55,incorrect,bujhai,0,0.55,incorrect,jereo,0,0.25,incorrect,amin'izao,0,0.33,incorrect,shebang,0,0.6,incorrect,wo,0,0.0,incorrect,jaanong,0,0.6,incorrect,teo,0,0.25,incorrect,bujhai,0,0.55,incorrect,amin'izao,0,0.33,incorrect,he,0,0.4,incorrect,john,0,0.57,incorrect,kardes,0,0.4,incorrect,adam,0,0.31,incorrect,jalil khan,1,1.0,correct,chau,0,0.57,incorrect,el chofer,0,0.44,incorrect,juan,0,0.86,correct,john,0,0.57,incorrect,adam,0,0.31,incorrect,chau,0,0.57,incorrect,juan,0,0.86,correct
['nana'],matshidiso,0,0.14,incorrect,lemosa,0,0.2,incorrect,"oju ti i nipa bi o se ko irisi iya re sile, oju re to po. [mask], ti o ti kilo fun un, eni ti o ti to lati igba naa wa.",0,0.07,incorrect,oju,0,0.0,incorrect,mmaagwe,0,0.36,incorrect,neng neng,0,0.31,incorrect,tahiti,0,0.2,incorrect,tahiti,0,0.2,incorrect,shriimaan,0,0.31,incorrect,shriimtii,0,0.0,incorrect,menatra,0,0.55,incorrect,menatra,0,0.55,incorrect,lemosa,0,0.2,incorrect,oju,0,0.0,incorrect,neng neng,0,0.31,incorrect,tahiti,0,0.2,incorrect,shriimtii,0,0.0,incorrect,menatra,0,0.55,incorrect,mother,0,0.0,incorrect,mother,0,0.0,incorrect,annesinin,0,0.31,incorrect,gozleri,0,0.0,incorrect,ba,0,0.33,incorrect,me,0,0.0,incorrect,maria,0,0.44,incorrect,padre,0,0.22,incorrect,mother,0,0.0,incorrect,gozleri,0,0.0,incorrect,me,0,0.0,incorrect,padre,0,0.22,incorrect
"['mariam jo', 'meryem co', 'mariam', 'co', 'jo', 'meryem']","u ka lula le 'na, [mask]."" ""ke ba kopile hore ba u hloekise kamore. e holimo. u tla e rata, ke nahana joalo. u tla ba le pono ea serapa sa hau.""",0,0.12,incorrect,lula,0,0.2,incorrect,ogun,0,0.33,incorrect,mo,0,0.5,incorrect,rialo,0,0.57,incorrect,god,0,0.4,incorrect,tahiti,0,0.33,incorrect,te vaka,0,0.31,incorrect,ahmd,0,0.4,incorrect,shriimaan,0,0.4,incorrect,afaka,0,0.36,incorrect,afaka,0,0.36,incorrect,lula,0,0.2,incorrect,mo,0,0.5,incorrect,god,0,0.4,incorrect,te vaka,0,0.31,incorrect,shriimaan,0,0.4,incorrect,afaka,0,0.36,incorrect,[mask],0,0.33,incorrect,john,0,0.67,incorrect,[mask],0,0.33,incorrect,kadir,0,0.36,incorrect,bao,0,0.4,incorrect,bo,0,0.5,incorrect,juan,0,0.33,incorrect,juan,0,0.33,incorrect,john,0,0.67,incorrect,kadir,0,0.36,incorrect,bo,0,0.5,incorrect,juan,0,0.33,incorrect
