Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct
"['ruth crawford', 'crawford', 'ruth']",harper,0,0.32,incorrect,david,0,0.31,incorrect,david,0,0.31,incorrect
['mark'],commander,0,0.46,incorrect,nathaniel,0,0.15,incorrect,nathaniel,0,0.15,incorrect
['butch'],joe,0,0.0,incorrect,warren,0,0.0,incorrect,warren,0,0.0,incorrect
['crawford'],ms. p,0,0.0,incorrect,pop,0,0.18,incorrect,pop,0,0.18,incorrect
['dave'],emily,0,0.22,incorrect,spring,0,0.0,incorrect,spring,0,0.0,incorrect
['butch'],rock,0,0.22,incorrect,pop,0,0.0,incorrect,pop,0,0.0,incorrect
['alden'],joe,0,0.25,incorrect,tom,0,0.0,incorrect,tom,0,0.0,incorrect
['carmody'],stephen king,0,0.0,incorrect,mr. storm,0,0.25,incorrect,mr. storm,0,0.25,incorrect
"['ruth crawford', 'crawford', 'ruth']",pop,0,0.18,incorrect,koffee,0,0.14,incorrect,koffee,0,0.14,incorrect
"['ruth crawford', 'crawford', 'ruth']",kim,0,0.0,incorrect,princess,0,0.19,incorrect,princess,0,0.19,incorrect
['crawford'],pratchett,0,0.24,incorrect,prue,0,0.17,incorrect,prue,0,0.17,incorrect
['dave'],clarence,0,0.33,incorrect,derby,0,0.44,incorrect,derby,0,0.44,incorrect
['dave'],john,0,0.0,incorrect,harley,0,0.4,incorrect,harley,0,0.4,incorrect
"['uncle butch', 'butch', 'uncle']",pollock,0,0.22,incorrect,dick,0,0.22,incorrect,dick,0,0.22,incorrect
['hathaway'],roberts,0,0.13,incorrect,roberts,0,0.13,incorrect,roberts,0,0.13,incorrect
['butch'],robin,0,0.2,incorrect,wuthering,0,0.43,incorrect,wuthering,0,0.43,incorrect
"['johnson', 'robert', 'robert johnson']",robert johnson,1,1.0,correct,lucifer,0,0.31,incorrect,lucifer,0,0.31,incorrect
['ruth'],pop's wife,0,0.0,incorrect,corolla,0,0.18,incorrect,corolla,0,0.18,incorrect
['carmody'],smith,0,0.17,incorrect,benson,0,0.15,incorrect,benson,0,0.15,incorrect
['ruth'],pop,0,0.0,incorrect,nathaniel,0,0.31,incorrect,nathaniel,0,0.31,incorrect
['butch'],john,0,0.22,incorrect,jilasi,0,0.0,incorrect,jilasi,0,0.0,incorrect
