Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct
['jake'],uber,0,0.25,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['jake'],east,0,0.25,incorrect,west,0,0.25,incorrect,west,0,0.25,incorrect
['anna'],west,0,0.0,incorrect,lucky,0,0.0,incorrect,lucky,0,0.0,incorrect
['anna'],emily,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
"['john', 'wayne', 'john wayne']",bali,0,0.22,incorrect,winston,0,0.36,incorrect,winston,0,0.36,incorrect
['anna'],lucas,0,0.22,incorrect,adam,0,0.5,incorrect,adam,0,0.5,incorrect
['anna'],kim,0,0.0,incorrect,macaulay,0,0.33,incorrect,macaulay,0,0.33,incorrect
['conan'],ron jeremy,0,0.27,incorrect,godzilla,0,0.31,incorrect,godzilla,0,0.31,incorrect
['anna'],emily,0,0.0,incorrect,shirt,0,0.0,incorrect,shirt,0,0.0,incorrect
['jake'],max,0,0.29,incorrect,adam,0,0.25,incorrect,adam,0,0.25,incorrect
['jake'],weston,0,0.2,incorrect,michael jordan,0,0.22,incorrect,michael jordan,0,0.22,incorrect
['conan'],chuck norris,0,0.24,incorrect,beckham,0,0.33,incorrect,beckham,0,0.33,incorrect
['jake'],jesus,0,0.44,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['anna'],emily,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['anna'],jess,0,0.0,incorrect,barbie,0,0.2,incorrect,barbie,0,0.2,incorrect
['anna'],emily,0,0.0,incorrect,emily,0,0.0,incorrect,emily,0,0.0,incorrect
['anna'],emily,0,0.0,incorrect,freud,0,0.0,incorrect,freud,0,0.0,incorrect
['anna'],emily,0,0.0,incorrect,emily,0,0.0,incorrect,emily,0,0.0,incorrect
['anna'],cinderella,0,0.29,incorrect,indonesia,0,0.46,incorrect,indonesia,0,0.46,incorrect
['anna'],sheila,0,0.2,incorrect,esther,0,0.0,incorrect,esther,0,0.0,incorrect
['jake'],obama,0,0.22,incorrect,thoreau,0,0.18,incorrect,thoreau,0,0.18,incorrect
"['nelson', 'jenny', 'jenny nelson']",rudolph,0,0.15,incorrect,cleopatra,0,0.27,incorrect,cleopatra,0,0.27,incorrect
['anna'],emily,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['anna'],mr. darcy,0,0.15,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['anna'],scarlett,0,0.17,incorrect,britney,0,0.18,incorrect,britney,0,0.18,incorrect
