Single_ent,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['atila', 'magyard', 'attila']",attila,1,1.0,correct,transylvanians,0,0.32,incorrect,asia,0,0.67,incorrect,romania,0,0.5,incorrect,carpathians,0,0.5,incorrect,attila,1,1.0,correct,szekely,0,0.17,incorrect,transylvania,0,0.35,incorrect,attila,1,1.0,correct,bulgars,0,0.43,incorrect,arpad,0,0.5,incorrect,transylvanians,0,0.32,incorrect,romania,0,0.5,incorrect,attila,1,1.0,correct,transylvania,0,0.35,incorrect,bulgars,0,0.43,incorrect,attila,1,1.0,correct,carpathian,0,0.53,incorrect,seceller,0,0.15,incorrect,avusturya,0,0.43,incorrect,hung,0,0.18,incorrect,attila,1,1.0,correct,attila,1,1.0,correct,attila,1,1.0,correct,carpathian,0,0.53,incorrect,avusturya,0,0.43,incorrect,attila,1,1.0,correct,attila,1,1.0,correct
"['kont', 'conde drácula', 'drácula', 'dracula', 'conde', 'kont dracula']",dracula,1,1.0,correct,dracula,1,1.0,correct,morena,0,0.4,incorrect,god,0,0.5,incorrect,eve,0,0.25,incorrect,eve,0,0.25,incorrect,dracula,1,1.0,correct,count dracula,0,0.88,correct,montecristo,0,0.4,incorrect,god,0,0.5,incorrect,count,0,0.67,incorrect,dracula,1,1.0,correct,god,0,0.5,incorrect,eve,0,0.25,incorrect,count dracula,0,0.88,correct,god,0,0.5,incorrect,dracula,1,1.0,correct,dracula,1,1.0,correct,drakula,0,0.86,correct,escher,0,0.36,incorrect,drakula,0,0.86,correct,duc,0,0.4,incorrect,conde,1,1.0,correct,dracula,1,1.0,correct,dracula,1,1.0,correct,escher,0,0.36,incorrect,duc,0,0.4,incorrect,dracula,1,1.0,correct
"['kont', 'conde drácula', 'drácula', 'dracula', 'conde', 'kont dracula']",dracula,1,1.0,correct,eve,0,0.25,incorrect,morena,0,0.4,incorrect,god,0,0.5,incorrect,eve,0,0.25,incorrect,adam,0,0.36,incorrect,dracula,1,1.0,correct,dracula,1,1.0,correct,montecristo,0,0.4,incorrect,count,0,0.67,incorrect,dracula,1,1.0,correct,eve,0,0.25,incorrect,god,0,0.5,incorrect,adam,0,0.36,incorrect,dracula,1,1.0,correct,count,0,0.67,incorrect,dracula,1,1.0,correct,dracula,1,1.0,correct,drakula,0,0.86,correct,conte dracula,0,0.92,correct,drakula,0,0.86,correct,duc,0,0.4,incorrect,conde,1,1.0,correct,conde,1,1.0,correct,dracula,1,1.0,correct,conte dracula,0,0.92,correct,duc,0,0.4,incorrect,conde,1,1.0,correct
"['mr', 'hawkins', 'mr hawkins']",elijah,0,0.15,incorrect,elijah,0,0.15,incorrect,bible,0,0.17,incorrect,god,0,0.0,incorrect,eve,0,0.0,incorrect,eve,0,0.0,incorrect,epistola,0,0.27,incorrect,alexander,0,0.25,incorrect,god,0,0.0,incorrect,andriamanitra,0,0.3,incorrect,mme,0,0.4,incorrect,elijah,0,0.15,incorrect,god,0,0.0,incorrect,eve,0,0.0,incorrect,alexander,0,0.25,incorrect,andriamanitra,0,0.3,incorrect,madame,0,0.25,incorrect,emily,0,0.29,incorrect,heathcliff,0,0.35,incorrect,cont,0,0.18,incorrect,nguoi gui,0,0.21,incorrect,thay,0,0.36,incorrect,emperador,0,0.36,incorrect,eva,0,0.2,incorrect,emily,0,0.29,incorrect,cont,0,0.18,incorrect,thay,0,0.36,incorrect,eva,0,0.2,incorrect
"['kont', 'dracula', 'drácula', 'kont dracula']",dracula,1,1.0,correct,dracula,1,1.0,correct,jehofa,0,0.22,incorrect,jehofa,0,0.22,incorrect,dracula,1,1.0,correct,eve,0,0.0,incorrect,dracula,1,1.0,correct,dracula,1,1.0,correct,dracula,1,1.0,correct,dracula,1,1.0,correct,jesus,0,0.17,incorrect,dracula,1,1.0,correct,jehofa,0,0.22,incorrect,eve,0,0.0,incorrect,dracula,1,1.0,correct,dracula,1,1.0,correct,dracula,1,1.0,correct,dracula,1,1.0,correct,drakula,0,0.86,correct,dracula,1,1.0,correct,dracula,1,1.0,correct,dracula,1,1.0,correct,dracula,1,1.0,correct,dracula,1,1.0,correct,dracula,1,1.0,correct,dracula,1,1.0,correct,dracula,1,1.0,correct,dracula,1,1.0,correct
['lucy'],emmanuel,0,0.17,incorrect,abraham,0,0.0,incorrect,jesus,0,0.22,incorrect,jesus,0,0.22,incorrect,esther,0,0.0,incorrect,eve,0,0.0,incorrect,emily,0,0.44,incorrect,disney,0,0.2,incorrect,emma,0,0.0,incorrect,jesus,0,0.22,incorrect,jesus,0,0.22,incorrect,abraham,0,0.0,incorrect,jesus,0,0.22,incorrect,eve,0,0.0,incorrect,disney,0,0.2,incorrect,jesus,0,0.22,incorrect,emily,0,0.44,incorrect,emily,0,0.44,incorrect,o,0,0.0,incorrect,annesine,0,0.0,incorrect,nam cao,0,0.18,incorrect,hanoi,0,0.0,incorrect,emily,0,0.44,incorrect,europa,0,0.2,incorrect,emily,0,0.44,incorrect,annesine,0,0.0,incorrect,hanoi,0,0.0,incorrect,europa,0,0.2,incorrect
['lucy'],jesus,0,0.22,incorrect,elijah,0,0.2,incorrect,jacob,0,0.22,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,elijah,0,0.2,incorrect,emily,0,0.44,incorrect,emily,0,0.44,incorrect,jesus,0,0.22,incorrect,ary,0,0.29,incorrect,god,0,0.0,incorrect,elijah,0,0.2,incorrect,god,0,0.0,incorrect,elijah,0,0.2,incorrect,emily,0,0.44,incorrect,ary,0,0.29,incorrect,emily,0,0.44,incorrect,wuthering,0,0.15,incorrect,heathcliff,0,0.14,incorrect,mezar,0,0.0,incorrect,narrator,0,0.0,incorrect,emily,0,0.44,incorrect,narrator,0,0.0,incorrect,shakespeare,0,0.0,incorrect,wuthering,0,0.15,incorrect,mezar,0,0.0,incorrect,emily,0,0.44,incorrect,shakespeare,0,0.0,incorrect
['renfield'],dokita,0,0.14,incorrect,jesus,0,0.15,incorrect,jesu,0,0.17,incorrect,johannes,0,0.25,incorrect,noah,0,0.17,incorrect,god,0,0.18,incorrect,polly,0,0.15,incorrect,robin,0,0.31,incorrect,dr. seuss,0,0.24,incorrect,jesus,0,0.15,incorrect,jesus,0,0.15,incorrect,jesus,0,0.15,incorrect,johannes,0,0.25,incorrect,god,0,0.18,incorrect,robin,0,0.31,incorrect,jesus,0,0.15,incorrect,the patient,0,0.32,incorrect,emperor,0,0.27,incorrect,madam bovary,0,0.1,incorrect,ataturk,0,0.13,incorrect,edgar,0,0.31,incorrect,dat,0,0.18,incorrect,el paciente,0,0.32,incorrect,sancho,0,0.14,incorrect,emperor,0,0.27,incorrect,ataturk,0,0.13,incorrect,dat,0,0.18,incorrect,sancho,0,0.14,incorrect
['olgaren'],abraham,0,0.29,incorrect,jesus,0,0.17,incorrect,joseph,0,0.31,incorrect,god,0,0.2,incorrect,abraham,0,0.29,incorrect,eve,0,0.2,incorrect,marlow,0,0.31,incorrect,god,0,0.2,incorrect,jack,0,0.18,incorrect,noah,0,0.36,incorrect,jesus,0,0.17,incorrect,jesus,0,0.17,incorrect,god,0,0.2,incorrect,eve,0,0.2,incorrect,god,0,0.2,incorrect,noah,0,0.36,incorrect,tom,0,0.2,incorrect,leggatt,0,0.43,incorrect,leggatt,0,0.43,incorrect,odysseus,0,0.27,incorrect,marlow,0,0.31,incorrect,dong,0,0.36,incorrect,william,0,0.29,incorrect,maria,0,0.33,incorrect,leggatt,0,0.43,incorrect,odysseus,0,0.27,incorrect,dong,0,0.36,incorrect,maria,0,0.33,incorrect
"['jona', 'jonathan']",god,0,0.29,incorrect,elijah,0,0.43,incorrect,god,0,0.29,incorrect,god,0,0.29,incorrect,god,0,0.29,incorrect,eve,0,0.0,incorrect,victor frankenstein,0,0.3,incorrect,odysseus,0,0.17,incorrect,robinson,0,0.38,incorrect,alexander,0,0.35,incorrect,jesus,0,0.22,incorrect,elijah,0,0.43,incorrect,god,0,0.29,incorrect,eve,0,0.0,incorrect,odysseus,0,0.17,incorrect,alexander,0,0.35,incorrect,someone he cares about,0,0.27,incorrect,god,0,0.29,incorrect,robinson,0,0.38,incorrect,odysseus,0,0.17,incorrect,phuong,0,0.4,incorrect,tran huy lieu,0,0.29,incorrect,el,0,0.0,incorrect,atlantico,0,0.47,incorrect,god,0,0.29,incorrect,odysseus,0,0.17,incorrect,tran huy lieu,0,0.29,incorrect,atlantico,0,0.47,incorrect
