Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
['montag'],harry potter,0,0.22,incorrect,lesotho,0,0.31,incorrect,salvatore adamo,0,0.19,incorrect,phoenix,0,0.31,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,zeus,0,0.0,incorrect,zeus,0,0.0,incorrect,sindbaad d selr,0,0.19,incorrect,salome,0,0.17,incorrect,madagascar,0,0.38,incorrect,andriamanitra,0,0.42,incorrect,lesotho,0,0.31,incorrect,phoenix,0,0.31,incorrect,god,0,0.22,incorrect,zeus,0,0.0,incorrect,salome,0,0.17,incorrect,andriamanitra,0,0.42,incorrect,the girl,0,0.29,incorrect,harry potter,0,0.22,incorrect,[mask] = o,0,0.25,incorrect,pinokyo,0,0.15,incorrect,anh,0,0.22,incorrect,tran,0,0.4,incorrect,[mask] = o,0,0.25,incorrect,pinokyo,0,0.15,incorrect,harry potter,0,0.22,incorrect,pinokyo,0,0.15,incorrect,tran,0,0.4,incorrect,pinokyo,0,0.15,incorrect
['montag'],lesotho,0,0.31,incorrect,leslie,0,0.0,incorrect,olodumare,0,0.27,incorrect,oduduwa,0,0.31,incorrect,he,0,0.0,incorrect,pluto,0,0.18,incorrect,albert einstein,0,0.19,incorrect,jesus,0,0.0,incorrect,goli,0,0.2,incorrect,shyam,0,0.18,incorrect,andriamanitra,0,0.42,incorrect,andriamahilitsy,0,0.19,incorrect,leslie,0,0.0,incorrect,oduduwa,0,0.31,incorrect,pluto,0,0.18,incorrect,jesus,0,0.0,incorrect,shyam,0,0.18,incorrect,andriamahilitsy,0,0.19,incorrect,the moon,0,0.43,incorrect,god,0,0.22,incorrect,elif safak,0,0.12,incorrect,aytas,0,0.36,incorrect,trai dat,0,0.29,incorrect,ngon,0,0.4,incorrect,elif safak,0,0.12,incorrect,aytas,0,0.36,incorrect,god,0,0.22,incorrect,aytas,0,0.36,incorrect,ngon,0,0.4,incorrect,aytas,0,0.36,incorrect
['montag'],jesus,0,0.0,incorrect,god,0,0.22,incorrect,olodumare,0,0.27,incorrect,olodumare,0,0.27,incorrect,god,0,0.22,incorrect,botswana,0,0.43,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,radha,0,0.18,incorrect,surya,0,0.18,incorrect,madagascar,0,0.38,incorrect,andriamahilaniroa,0,0.26,incorrect,god,0,0.22,incorrect,olodumare,0,0.27,incorrect,botswana,0,0.43,incorrect,jesus,0,0.0,incorrect,surya,0,0.18,incorrect,andriamahilaniroa,0,0.26,incorrect,god,0,0.22,incorrect,jesus,0,0.0,incorrect,erkek,0,0.0,incorrect,gozleri,0,0.15,incorrect,nguyen,0,0.33,incorrect,nguyen,0,0.33,incorrect,erkek,0,0.0,incorrect,elini,0,0.18,incorrect,jesus,0,0.0,incorrect,gozleri,0,0.15,incorrect,nguyen,0,0.33,incorrect,elini,0,0.18,incorrect
['montag'],sebete,0,0.17,incorrect,morena,0,0.67,incorrect,olodumare,0,0.27,incorrect,olodumare,0,0.27,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,jesus,0,0.0,incorrect,john,0,0.4,incorrect,agastya,0,0.31,incorrect,shakespeare,0,0.12,incorrect,andriamanitra,0,0.42,incorrect,andriamanitra,0,0.42,incorrect,morena,0,0.67,incorrect,olodumare,0,0.27,incorrect,god,0,0.22,incorrect,john,0,0.4,incorrect,shakespeare,0,0.12,incorrect,andriamanitra,0,0.42,incorrect,harry,0,0.18,incorrect,library,0,0.15,incorrect,adam,0,0.2,incorrect,ona ben,0,0.46,incorrect,nguyen,0,0.33,incorrect,chuyen,0,0.17,incorrect,ali,0,0.22,incorrect,ben,0,0.22,incorrect,library,0,0.15,incorrect,ona ben,0,0.46,incorrect,chuyen,0,0.17,incorrect,ben,0,0.22,incorrect
['mildred'],che,0,0.2,incorrect,god,0,0.2,incorrect,abrahami lincoln,0,0.26,incorrect,oruko,0,0.17,incorrect,god,0,0.2,incorrect,god,0,0.2,incorrect,albert einstein,0,0.27,incorrect,jesus,0,0.17,incorrect,mark twain,0,0.24,incorrect,albert einstein,0,0.27,incorrect,god,0,0.2,incorrect,antananarivo,0,0.11,incorrect,god,0,0.2,incorrect,oruko,0,0.17,incorrect,god,0,0.2,incorrect,jesus,0,0.17,incorrect,albert einstein,0,0.27,incorrect,antananarivo,0,0.11,incorrect,montag,0,0.15,incorrect,adam,0,0.18,incorrect,ray bradbury,0,0.21,incorrect,adam,0,0.18,incorrect,montag,0,0.15,incorrect,dong trang,0,0.24,incorrect,ray bradbury,0,0.21,incorrect,adam,0,0.18,incorrect,adam,0,0.18,incorrect,adam,0,0.18,incorrect,dong trang,0,0.24,incorrect,adam,0,0.18,incorrect
"['faber—', 'faber']",sebetsi,0,0.33,incorrect,morena,0,0.18,incorrect,olodumare,0,0.29,incorrect,olodumare,0,0.29,incorrect,sethunya,0,0.15,incorrect,god,0,0.0,incorrect,jesus,0,0.2,incorrect,jesus,0,0.2,incorrect,shakespeare,0,0.38,incorrect,shakespeare,0,0.38,incorrect,rasoa,0,0.2,incorrect,andriamanitra,0,0.22,incorrect,morena,0,0.18,incorrect,olodumare,0,0.29,incorrect,god,0,0.0,incorrect,jesus,0,0.2,incorrect,shakespeare,0,0.38,incorrect,andriamanitra,0,0.22,incorrect,woody,0,0.0,incorrect,god,0,0.0,incorrect,recep tayyip erdogan,0,0.24,incorrect,turkiye,0,0.17,incorrect,nguyen binh,0,0.12,incorrect,nguyen,0,0.18,incorrect,recep tayyip erdogan,0,0.24,incorrect,turkiye,0,0.17,incorrect,god,0,0.0,incorrect,turkiye,0,0.17,incorrect,nguyen,0,0.18,incorrect,turkiye,0,0.17,incorrect
['montag'],santa,0,0.55,incorrect,ke e qala,0,0.13,incorrect,janitorial,0,0.38,incorrect,janitorial,0,0.38,incorrect,cecile jany,0,0.12,incorrect,cecile mapodisi,0,0.19,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,albert einstein,0,0.19,incorrect,shyam,0,0.18,incorrect,janitorialy,0,0.35,incorrect,adam,0,0.2,incorrect,ke e qala,0,0.13,incorrect,janitorial,0,0.38,incorrect,cecile mapodisi,0,0.19,incorrect,jesus,0,0.0,incorrect,shyam,0,0.18,incorrect,adam,0,0.2,incorrect,montag,1,1.0,correct,janitorial,0,0.38,incorrect,polis,0,0.18,incorrect,polis,0,0.18,incorrect,nguoi dan ba,0,0.33,incorrect,nguyen cong tru,0,0.29,incorrect,polis,0,0.18,incorrect,polis,0,0.18,incorrect,janitorial,0,0.38,incorrect,polis,0,0.18,incorrect,nguyen cong tru,0,0.29,incorrect,polis,0,0.18,incorrect
['montag'],jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,abraham lincoln,0,0.29,incorrect,w.g. grace,0,0.12,incorrect,god,0,0.22,incorrect,mosadi,0,0.5,incorrect,jesus christ,0,0.11,incorrect,jesus,0,0.0,incorrect,mitchell starc,0,0.3,incorrect,virat kohli,0,0.12,incorrect,donald bradman,0,0.3,incorrect,india,0,0.36,incorrect,jesus,0,0.0,incorrect,w.g. grace,0,0.12,incorrect,mosadi,0,0.5,incorrect,jesus,0,0.0,incorrect,virat kohli,0,0.12,incorrect,india,0,0.36,incorrect,emily,0,0.18,incorrect,shakespeare,0,0.12,incorrect,adam,0,0.2,incorrect,medusa,0,0.33,incorrect,dang le,0,0.31,incorrect,the,0,0.22,incorrect,woman,0,0.36,incorrect,medea,0,0.36,incorrect,shakespeare,0,0.12,incorrect,medusa,0,0.33,incorrect,the,0,0.22,incorrect,medea,0,0.36,incorrect
['montag'],lee min ho,0,0.25,incorrect,lee,0,0.0,incorrect,oliver twist,0,0.22,incorrect,jesus,0,0.0,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,aladdin,0,0.15,incorrect,adam,0,0.2,incorrect,andriamanitra,0,0.42,incorrect,adam,0,0.2,incorrect,lee,0,0.0,incorrect,jesus,0,0.0,incorrect,god,0,0.22,incorrect,jesus,0,0.0,incorrect,adam,0,0.2,incorrect,adam,0,0.2,incorrect,harry houdini,0,0.21,incorrect,harry houdini,0,0.21,incorrect,pinokyo,0,0.15,incorrect,ali,0,0.22,incorrect,duc,0,0.0,incorrect,nguyen du,0,0.27,incorrect,pinokyo,0,0.15,incorrect,ali,0,0.22,incorrect,harry houdini,0,0.21,incorrect,ali,0,0.22,incorrect,nguyen du,0,0.27,incorrect,ali,0,0.22,incorrect
['montag'],god,0,0.22,incorrect,abraham lincoln,0,0.29,incorrect,noah,0,0.4,incorrect,babel,0,0.18,incorrect,god,0,0.22,incorrect,batho,0,0.18,incorrect,abraham,0,0.15,incorrect,abraham,0,0.15,incorrect,albert einstein,0,0.19,incorrect,charles darwin,0,0.1,incorrect,god,0,0.22,incorrect,andriamanitra,0,0.42,incorrect,abraham lincoln,0,0.29,incorrect,babel,0,0.18,incorrect,batho,0,0.18,incorrect,abraham,0,0.15,incorrect,charles darwin,0,0.1,incorrect,andriamanitra,0,0.42,incorrect,atticus finch,0,0.11,incorrect,babel,0,0.18,incorrect,pinokyo,0,0.15,incorrect,senin kulesi,0,0.11,incorrect,thap babel,0,0.25,incorrect,thap,0,0.4,incorrect,pinokyo,0,0.15,incorrect,yunus emre,0,0.12,incorrect,babel,0,0.18,incorrect,senin kulesi,0,0.11,incorrect,thap,0,0.4,incorrect,yunus emre,0,0.12,incorrect
['faber'],god,0,0.0,incorrect,god,0,0.0,incorrect,olodumare,0,0.29,incorrect,jesus,0,0.2,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,aita,0,0.22,incorrect,doctor,0,0.18,incorrect,shri krishna,0,0.12,incorrect,god,0,0.0,incorrect,madagascar,0,0.27,incorrect,god,0,0.0,incorrect,jesus,0,0.2,incorrect,god,0,0.0,incorrect,aita,0,0.22,incorrect,shri krishna,0,0.12,incorrect,madagascar,0,0.27,incorrect,alfred hitchcock,0,0.19,incorrect,god,0,0.0,incorrect,neydi,0,0.2,incorrect,oyleyse,0,0.17,incorrect,cha,0,0.25,incorrect,duc,0,0.0,incorrect,neydi,0,0.2,incorrect,oyleyse,0,0.17,incorrect,god,0,0.0,incorrect,oyleyse,0,0.17,incorrect,duc,0,0.0,incorrect,oyleyse,0,0.17,incorrect
"['bayan', 'bayan bowles', 'bowles']",jesus,0,0.36,incorrect,jesus,0,0.36,incorrect,oduduwa,0,0.31,incorrect,jesus christ,0,0.22,incorrect,jesus,0,0.36,incorrect,god,0,0.22,incorrect,jesus christ,0,0.22,incorrect,jesus,0,0.36,incorrect,lord shiva,0,0.25,incorrect,shiva,0,0.2,incorrect,madagascar,0,0.27,incorrect,adam,0,0.44,incorrect,jesus,0,0.36,incorrect,jesus christ,0,0.22,incorrect,god,0,0.22,incorrect,jesus,0,0.36,incorrect,shiva,0,0.2,incorrect,adam,0,0.44,incorrect,emily,0,0.2,incorrect,medusa,0,0.33,incorrect,mildred,0,0.31,incorrect,mildred,0,0.31,incorrect,nguyen thi lo,0,0.32,incorrect,ngoc,0,0.25,incorrect,mildred,0,0.31,incorrect,mildred,0,0.31,incorrect,medusa,0,0.33,incorrect,mildred,0,0.31,incorrect,ngoc,0,0.25,incorrect,mildred,0,0.31,incorrect
