Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['john dashwood', 'john', 'dashwood', 'daswood', 'mr', 'john daswood', 'mr john dashwood']",jesus,0,0.24,incorrect,jesus,0,0.24,incorrect,odysseus,0,0.3,incorrect,elijah,0,0.4,incorrect,jesus,0,0.24,incorrect,god,0,0.4,incorrect,god,0,0.4,incorrect,eve,0,0.0,incorrect,god,0,0.4,incorrect,god,0,0.4,incorrect,robinson crusoe,0,0.39,incorrect,adama,0,0.33,incorrect,jesus,0,0.24,incorrect,elijah,0,0.4,incorrect,god,0,0.4,incorrect,eve,0,0.0,incorrect,god,0,0.4,incorrect,adama,0,0.33,incorrect,edward,0,0.46,incorrect,mr. bennet,0,0.33,incorrect,o,0,0.4,incorrect,babasi,0,0.31,incorrect,dai bang,0,0.27,incorrect,shakespeare,0,0.26,incorrect,hijo,0,0.5,incorrect,jesus,0,0.24,incorrect,mr. bennet,0,0.33,incorrect,babasi,0,0.31,incorrect,shakespeare,0,0.26,incorrect,jesus,0,0.24,incorrect
"['john dashwood', 'mrs john dashwood', 'john', 'dashwood', 'daswood', 'john daswood', 'mrs']",abel,0,0.18,incorrect,jesus,0,0.25,incorrect,samuel,0,0.22,incorrect,eve,0,0.0,incorrect,abraham,0,0.27,incorrect,eve,0,0.0,incorrect,adam,0,0.36,incorrect,eve,0,0.0,incorrect,scott,0,0.33,incorrect,shakespeare,0,0.29,incorrect,aurelien,0,0.18,incorrect,job,0,0.57,incorrect,jesus,0,0.25,incorrect,eve,0,0.0,incorrect,eve,0,0.0,incorrect,eve,0,0.0,incorrect,shakespeare,0,0.29,incorrect,job,0,0.57,incorrect,st. john,0,0.67,incorrect,mr. darcy,0,0.38,incorrect,karisi,0,0.44,incorrect,don juan,0,0.4,incorrect,emily,0,0.25,incorrect,trang,0,0.25,incorrect,darcy,0,0.33,incorrect,darcy,0,0.33,incorrect,mr. darcy,0,0.38,incorrect,don juan,0,0.4,incorrect,trang,0,0.25,incorrect,darcy,0,0.33,incorrect
"['henry', 'harry']",jesus,0,0.2,incorrect,google,0,0.18,incorrect,god,0,0.0,incorrect,abraham,0,0.33,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,elijah,0,0.18,incorrect,god,0,0.0,incorrect,shakespeare,0,0.38,incorrect,andriamahazo,0,0.24,incorrect,adriana,0,0.33,incorrect,google,0,0.18,incorrect,abraham,0,0.33,incorrect,god,0,0.0,incorrect,elijah,0,0.18,incorrect,shakespeare,0,0.38,incorrect,adriana,0,0.33,incorrect,he,0,0.57,incorrect,eleanor,0,0.5,incorrect,cevik,0,0.2,incorrect,ali,0,0.25,incorrect,no,0,0.29,incorrect,dong,0,0.22,incorrect,elliot,0,0.18,incorrect,maria,0,0.4,incorrect,eleanor,0,0.5,incorrect,ali,0,0.25,incorrect,dong,0,0.22,incorrect,maria,0,0.4,incorrect
"['señora', 'dashwood', 'daswood', 'mrs', 'señora dashwood', 'mrs dashwood norland', 'norland']",jane eyre,0,0.27,incorrect,agnes,0,0.33,incorrect,jane eyre,0,0.27,incorrect,thornton,0,0.4,incorrect,agnes,0,0.33,incorrect,shakespeare,0,0.35,incorrect,shirley,0,0.31,incorrect,catherine,0,0.28,incorrect,emily,0,0.25,incorrect,norway,0,0.67,incorrect,jane eyre,0,0.27,incorrect,norlandy,0,0.93,correct,agnes,0,0.33,incorrect,thornton,0,0.4,incorrect,shakespeare,0,0.35,incorrect,catherine,0,0.28,incorrect,norway,0,0.67,incorrect,norlandy,0,0.93,correct,mrs. dashwood,0,0.76,correct,elinor,0,0.67,incorrect,elizabeth,0,0.27,incorrect,norland,1,1.0,correct,theresa,0,0.46,incorrect,norland,1,1.0,correct,senora,1,1.0,correct,norland,1,1.0,correct,elinor,0,0.67,incorrect,norland,1,1.0,correct,norland,1,1.0,correct,norland,1,1.0,correct
"['elinor', 'elinor—']",emily,0,0.36,incorrect,jesus,0,0.18,incorrect,oliver twist,0,0.33,incorrect,aristotle,0,0.27,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,job,0,0.22,incorrect,adam,0,0.0,incorrect,ann,0,0.22,incorrect,rembrandt,0,0.27,incorrect,voltaire,0,0.43,incorrect,god,0,0.22,incorrect,jesus,0,0.18,incorrect,aristotle,0,0.27,incorrect,god,0,0.22,incorrect,adam,0,0.0,incorrect,rembrandt,0,0.27,incorrect,god,0,0.22,incorrect,elizabeth,0,0.4,incorrect,mr. darcy,0,0.13,incorrect,emma,0,0.2,incorrect,picasso,0,0.31,incorrect,nguyen the anh,0,0.2,incorrect,leonardo,0,0.43,incorrect,elizabeth,0,0.4,incorrect,rafael,0,0.33,incorrect,mr. darcy,0,0.13,incorrect,picasso,0,0.31,incorrect,leonardo,0,0.43,incorrect,rafael,0,0.33,incorrect
['elinor'],esop,0,0.4,incorrect,god,0,0.22,incorrect,job,0,0.22,incorrect,elijah,0,0.5,incorrect,morena,0,0.33,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,eve,0,0.22,incorrect,emily,0,0.36,incorrect,shakespeare,0,0.24,incorrect,job,0,0.22,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,elijah,0,0.5,incorrect,god,0,0.22,incorrect,eve,0,0.22,incorrect,shakespeare,0,0.24,incorrect,god,0,0.22,incorrect,elizabeth,0,0.4,incorrect,elizabeth,0,0.4,incorrect,wilde,0,0.18,incorrect,shakespeare,0,0.24,incorrect,elizabeth,0,0.4,incorrect,jesus,0,0.18,incorrect,elizabeth,0,0.4,incorrect,isa,0,0.22,incorrect,elizabeth,0,0.4,incorrect,shakespeare,0,0.24,incorrect,jesus,0,0.18,incorrect,isa,0,0.22,incorrect
['edward'],jesus,0,0.18,incorrect,jesus,0,0.18,incorrect,god,0,0.22,incorrect,elijah,0,0.33,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,elijah,0,0.33,incorrect,heathcliff,0,0.25,incorrect,shakespeare,0,0.35,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,jesus,0,0.18,incorrect,elijah,0,0.33,incorrect,god,0,0.22,incorrect,elijah,0,0.33,incorrect,shakespeare,0,0.35,incorrect,god,0,0.22,incorrect,edward,1,1.0,correct,mr. darcy,0,0.4,incorrect,emily,0,0.18,incorrect,sen,0,0.22,incorrect,anh,0,0.22,incorrect,thien,0,0.18,incorrect,el,0,0.25,incorrect,eva,0,0.44,incorrect,mr. darcy,0,0.4,incorrect,sen,0,0.22,incorrect,thien,0,0.18,incorrect,eva,0,0.44,incorrect
"['albay brandon', 'brandon', 'albay']",reginald,0,0.4,incorrect,jesus,0,0.0,incorrect,mustard,0,0.3,incorrect,macaulay,0,0.62,incorrect,joseph,0,0.15,incorrect,jesus,0,0.0,incorrect,forster,0,0.14,incorrect,adam,0,0.44,incorrect,reginald,0,0.4,incorrect,god,0,0.2,incorrect,salomona,0,0.46,incorrect,solomon,0,0.3,incorrect,jesus,0,0.0,incorrect,macaulay,0,0.62,incorrect,jesus,0,0.0,incorrect,adam,0,0.44,incorrect,god,0,0.2,incorrect,solomon,0,0.3,incorrect,brandon,1,1.0,correct,colonel brandon,0,0.64,incorrect,annem,0,0.5,incorrect,besiktas,0,0.31,incorrect,dai ta,0,0.36,incorrect,dai bang,0,0.48,incorrect,aureliano,0,0.5,incorrect,aureliano,0,0.5,incorrect,colonel brandon,0,0.64,incorrect,besiktas,0,0.31,incorrect,dai bang,0,0.48,incorrect,aureliano,0,0.5,incorrect
"['marianne—', 'marianne']",she,0,0.18,incorrect,flannel,0,0.53,incorrect,ebenezer,0,0.25,incorrect,colics,0,0.14,incorrect,bartholomew,0,0.32,incorrect,shakespeare,0,0.32,incorrect,jesus,0,0.15,incorrect,jesus,0,0.15,incorrect,grandma,0,0.4,incorrect,arthritis,0,0.35,incorrect,hippocrates,0,0.32,incorrect,aristotle,0,0.47,incorrect,flannel,0,0.53,incorrect,colics,0,0.14,incorrect,shakespeare,0,0.32,incorrect,jesus,0,0.15,incorrect,arthritis,0,0.35,incorrect,aristotle,0,0.47,incorrect,mr. woodhouse,0,0.29,incorrect,lord,0,0.17,incorrect,flaubert,0,0.25,incorrect,reumatizma,0,0.44,incorrect,dong,0,0.17,incorrect,flanen,0,0.43,incorrect,scrooge,0,0.27,incorrect,reuma,0,0.31,incorrect,lord,0,0.17,incorrect,reumatizma,0,0.44,incorrect,flanen,0,0.43,incorrect,reuma,0,0.31,incorrect
['marianne'],emily,0,0.31,incorrect,jesus,0,0.15,incorrect,job,0,0.0,incorrect,abraham,0,0.4,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,jerusalem,0,0.35,incorrect,esther,0,0.14,incorrect,emily,0,0.31,incorrect,solomon,0,0.27,incorrect,andriamanitra,0,0.48,incorrect,jesus,0,0.15,incorrect,abraham,0,0.4,incorrect,god,0,0.0,incorrect,jerusalem,0,0.35,incorrect,emily,0,0.31,incorrect,andriamanitra,0,0.48,incorrect,catherine,0,0.59,incorrect,edgar,0,0.31,incorrect,hekim,0,0.15,incorrect,heathcliff,0,0.22,incorrect,heathcliff,0,0.22,incorrect,thuy,0,0.0,incorrect,emily,0,0.31,incorrect,emily,0,0.31,incorrect,edgar,0,0.31,incorrect,heathcliff,0,0.22,incorrect,thuy,0,0.0,incorrect,emily,0,0.31,incorrect
