Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
['montag'],harry potter,0,0.22,incorrect,phoenix,0,0.31,incorrect,medusa,0,0.33,incorrect,phoenix,0,0.31,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,jesus,0,0.0,incorrect,phoenix,0,0.31,incorrect,harry potter,0,0.22,incorrect,harry potter,0,0.22,incorrect,salamanadra,0,0.35,incorrect,andriamanitra,0,0.42,incorrect,phoenix,0,0.31,incorrect,phoenix,0,0.31,incorrect,god,0,0.22,incorrect,phoenix,0,0.31,incorrect,harry potter,0,0.22,incorrect,andriamanitra,0,0.42,incorrect,her,0,0.0,incorrect,harry,0,0.18,incorrect,erkek,0,0.0,incorrect,simurgh,0,0.31,incorrect,anh,0,0.22,incorrect,trang,0,0.55,incorrect,erkek,0,0.0,incorrect,yesim,0,0.18,incorrect,harry,0,0.18,incorrect,simurgh,0,0.31,incorrect,trang,0,0.55,incorrect,yesim,0,0.18,incorrect
['montag'],lesli,0,0.0,incorrect,lesotho,0,0.31,incorrect,orunmila,0,0.43,incorrect,orunmila,0,0.43,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,moana,0,0.73,correct,paul gauguin,0,0.22,incorrect,godzilla,0,0.29,incorrect,godzilla,0,0.29,incorrect,god,0,0.22,incorrect,noa,0,0.44,incorrect,lesotho,0,0.31,incorrect,orunmila,0,0.43,incorrect,god,0,0.22,incorrect,paul gauguin,0,0.22,incorrect,godzilla,0,0.29,incorrect,noa,0,0.44,incorrect,the sky,0,0.15,incorrect,godzilla,0,0.29,incorrect,cigdem,0,0.17,incorrect,ayat,0,0.2,incorrect,troi,0,0.2,incorrect,dien,0,0.2,incorrect,cigdem,0,0.17,incorrect,aytas,0,0.36,incorrect,godzilla,0,0.29,incorrect,ayat,0,0.2,incorrect,dien,0,0.2,incorrect,aytas,0,0.36,incorrect
['montag'],adam,0,0.2,incorrect,mahlo,0,0.36,incorrect,jesus,0,0.0,incorrect,oluwa,0,0.36,incorrect,jesus,0,0.0,incorrect,god,0,0.22,incorrect,te manahune,0,0.35,incorrect,tahiti,0,0.33,incorrect,siitaa,0,0.33,incorrect,suurj,0,0.0,incorrect,adam,0,0.2,incorrect,adama,0,0.36,incorrect,mahlo,0,0.36,incorrect,oluwa,0,0.36,incorrect,god,0,0.22,incorrect,tahiti,0,0.33,incorrect,suurj,0,0.0,incorrect,adama,0,0.36,incorrect,he,0,0.0,incorrect,adam,0,0.2,incorrect,adam,0,0.2,incorrect,gozleri,0,0.15,incorrect,nguyen nhat anh,0,0.29,incorrect,nguyen,0,0.33,incorrect,adam,0,0.2,incorrect,elini,0,0.18,incorrect,adam,0,0.2,incorrect,gozleri,0,0.15,incorrect,nguyen,0,0.33,incorrect,elini,0,0.18,incorrect
['montag'],sheba,0,0.18,incorrect,morena,0,0.67,incorrect,oliver twist,0,0.22,incorrect,olodumare,0,0.27,incorrect,jesus,0,0.0,incorrect,god,0,0.22,incorrect,moana,0,0.73,correct,tahiti,0,0.33,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,andriamanitra,0,0.42,incorrect,andriamanitra,0,0.42,incorrect,morena,0,0.67,incorrect,olodumare,0,0.27,incorrect,god,0,0.22,incorrect,tahiti,0,0.33,incorrect,god,0,0.22,incorrect,andriamanitra,0,0.42,incorrect,harry,0,0.18,incorrect,name,0,0.4,incorrect,ozdemir asaf,0,0.22,incorrect,kitaplari,0,0.27,incorrect,ong ta,0,0.67,incorrect,dan,0,0.22,incorrect,ozdemir,0,0.15,incorrect,kitap,0,0.36,incorrect,name,0,0.4,incorrect,kitaplari,0,0.27,incorrect,dan,0,0.22,incorrect,kitap,0,0.36,incorrect
['mildred'],che guevara,0,0.11,incorrect,che,0,0.2,incorrect,god,0,0.2,incorrect,abraham lincoln,0,0.27,incorrect,noah,0,0.0,incorrect,noah,0,0.0,incorrect,god,0,0.2,incorrect,ua huka,0,0.0,incorrect,lord varys,0,0.35,incorrect,god,0,0.2,incorrect,god,0,0.2,incorrect,adam,0,0.18,incorrect,che,0,0.2,incorrect,abraham lincoln,0,0.27,incorrect,noah,0,0.0,incorrect,ua huka,0,0.0,incorrect,god,0,0.2,incorrect,adam,0,0.18,incorrect,montag,0,0.15,incorrect,stephen king,0,0.11,incorrect,montag,0,0.15,incorrect,yahya kemal beyatli,0,0.23,incorrect,montag,0,0.15,incorrect,dong,0,0.18,incorrect,montag,0,0.15,incorrect,ikbal,0,0.33,incorrect,stephen king,0,0.11,incorrect,yahya kemal beyatli,0,0.23,incorrect,dong,0,0.18,incorrect,ikbal,0,0.33,incorrect
"['faber—', 'faber']",jesus,0,0.2,incorrect,jesus,0,0.2,incorrect,oliver twist,0,0.24,incorrect,mo,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,jesus,0,0.2,incorrect,lord shiva,0,0.13,incorrect,firehouse,0,0.29,incorrect,rasolondraibe,0,0.33,incorrect,andriantomara,0,0.22,incorrect,jesus,0,0.2,incorrect,mo,0,0.0,incorrect,god,0,0.0,incorrect,jesus,0,0.2,incorrect,firehouse,0,0.29,incorrect,andriantomara,0,0.22,incorrect,chief,0,0.2,incorrect,trump,0,0.2,incorrect,itfaiye muduru,0,0.42,incorrect,itfaiye,0,0.5,incorrect,duc phat,0,0.15,incorrect,ngan,0,0.22,incorrect,itfaiye,0,0.5,incorrect,itfaiye merkezi,0,0.4,incorrect,trump,0,0.2,incorrect,itfaiye,0,0.5,incorrect,ngan,0,0.22,incorrect,itfaiye merkezi,0,0.4,incorrect
['montag'],jack,0,0.2,incorrect,mapolesa,0,0.43,incorrect,janitor,0,0.31,incorrect,yara,0,0.2,incorrect,cecile jany,0,0.12,incorrect,cecile mapodisi,0,0.19,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,harry potter,0,0.22,incorrect,home,0,0.2,incorrect,janitorialy,0,0.35,incorrect,facebook,0,0.14,incorrect,mapolesa,0,0.43,incorrect,yara,0,0.2,incorrect,cecile mapodisi,0,0.19,incorrect,jesus,0,0.0,incorrect,home,0,0.2,incorrect,facebook,0,0.14,incorrect,montag,1,1.0,correct,janitor,0,0.31,incorrect,hey,0,0.0,incorrect,polis,0,0.18,incorrect,nguoi dan ba,0,0.33,incorrect,nguyen,0,0.33,incorrect,hey,0,0.0,incorrect,polis,0,0.18,incorrect,janitor,0,0.31,incorrect,polis,0,0.18,incorrect,nguyen,0,0.33,incorrect,polis,0,0.18,incorrect
['montag'],jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,elephant,0,0.29,incorrect,jesus,0,0.0,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,jesus,0,0.0,incorrect,adam,0,0.2,incorrect,sachin tendulkar,0,0.27,incorrect,lord's,0,0.17,incorrect,donald trump,0,0.33,incorrect,andriamanitra,0,0.42,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,god,0,0.22,incorrect,adam,0,0.2,incorrect,lord's,0,0.17,incorrect,andriamanitra,0,0.42,incorrect,he,0,0.0,incorrect,emily,0,0.18,incorrect,isa,0,0.22,incorrect,medea,0,0.36,incorrect,duc,0,0.0,incorrect,the,0,0.22,incorrect,isa,0,0.22,incorrect,medusa,0,0.33,incorrect,emily,0,0.18,incorrect,medea,0,0.36,incorrect,the,0,0.22,incorrect,medusa,0,0.33,incorrect
['montag'],lee min ho,0,0.25,incorrect,lee majors,0,0.25,incorrect,innocent,0,0.43,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,jesus,0,0.0,incorrect,adam,0,0.2,incorrect,jesus,0,0.0,incorrect,harry houdini,0,0.21,incorrect,david copperfield,0,0.09,incorrect,robinson crusoe,0,0.19,incorrect,noah,0,0.4,incorrect,lee majors,0,0.25,incorrect,god,0,0.22,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,david copperfield,0,0.09,incorrect,noah,0,0.4,incorrect,montag,1,1.0,correct,david copperfield,0,0.09,incorrect,ali,0,0.22,incorrect,harun,0,0.18,incorrect,doi tay,0,0.46,incorrect,ngon,0,0.4,incorrect,ali,0,0.22,incorrect,ali,0,0.22,incorrect,david copperfield,0,0.09,incorrect,harun,0,0.18,incorrect,ngon,0,0.4,incorrect,ali,0,0.22,incorrect
['montag'],noah,0,0.4,incorrect,moses,0,0.36,incorrect,noah,0,0.4,incorrect,babel,0,0.18,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,jeremiah,0,0.29,incorrect,noah,0,0.4,incorrect,god,0,0.22,incorrect,noah,0,0.4,incorrect,noah,0,0.4,incorrect,god,0,0.22,incorrect,moses,0,0.36,incorrect,babel,0,0.18,incorrect,god,0,0.22,incorrect,noah,0,0.4,incorrect,noah,0,0.4,incorrect,god,0,0.22,incorrect,professor henry higgins,0,0.21,incorrect,noah,0,0.4,incorrect,yahya kemal beyatli,0,0.16,incorrect,babil,0,0.18,incorrect,nguyen tat thanh,0,0.27,incorrect,thap babel,0,0.25,incorrect,yahya kemal beyatli,0,0.16,incorrect,nuh,0,0.22,incorrect,noah,0,0.4,incorrect,babil,0,0.18,incorrect,thap babel,0,0.25,incorrect,nuh,0,0.22,incorrect
