Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct
['serena'],my friend,0,0.4,incorrect,parents,0,0.46,incorrect,parents,0,0.46,incorrect
['serena'],emily,0,0.18,incorrect,kim,0,0.0,incorrect,kim,0,0.0,incorrect
['vampyre'],wedding,0,0.14,incorrect,trump,0,0.33,incorrect,trump,0,0.33,incorrect
['lark'],warner,0,0.4,incorrect,mr. smith,0,0.15,incorrect,mr. smith,0,0.15,incorrect
['cal'],officer,0,0.2,incorrect,staples,0,0.4,incorrect,staples,0,0.4,incorrect
['vampyres'],vampires,0,0.88,correct,god,0,0.0,incorrect,god,0,0.0,incorrect
['vampyres'],humans,0,0.29,incorrect,darwin,0,0.29,incorrect,darwin,0,0.29,incorrect
['davenport'],winthrop,0,0.24,incorrect,day,0,0.33,incorrect,day,0,0.33,incorrect
['davenport'],wickham,0,0.12,incorrect,trump,0,0.14,incorrect,trump,0,0.14,incorrect
['vampyres'],overmind,0,0.25,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['abel'],emmett,0,0.2,incorrect,tom,0,0.0,incorrect,tom,0,0.0,incorrect
['roscoe'],laurent,0,0.31,incorrect,wolves,0,0.33,incorrect,wolves,0,0.33,incorrect
['roscoe'],attila,0,0.0,incorrect,emerson,0,0.46,incorrect,emerson,0,0.46,incorrect
['serena'],pierce,0,0.5,incorrect,facebook,0,0.14,incorrect,facebook,0,0.14,incorrect
['vampyre'],omega,0,0.33,incorrect,alpha,0,0.33,incorrect,alpha,0,0.33,incorrect
['serena'],geralt,0,0.5,incorrect,dr. jekyll,0,0.25,incorrect,dr. jekyll,0,0.25,incorrect
['vampyres'],god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['essen'],wright,0,0.0,incorrect,abigail,0,0.0,incorrect,abigail,0,0.0,incorrect
['davenport'],pryce,0,0.29,incorrect,desdemona,0,0.33,incorrect,desdemona,0,0.33,incorrect
['vampyre'],city,0,0.18,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['serena'],van helsing,0,0.24,incorrect,heinz,0,0.36,incorrect,heinz,0,0.36,incorrect
['moreland'],he,0,0.2,incorrect,god,0,0.36,incorrect,god,0,0.36,incorrect
['moreland'],heathcliff,0,0.22,incorrect,godzilla,0,0.38,incorrect,godzilla,0,0.38,incorrect
['vampyre'],human,0,0.17,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['moreland'],dad,0,0.36,incorrect,god,0,0.36,incorrect,god,0,0.36,incorrect
['moreland'],he,0,0.2,incorrect,tom,0,0.18,incorrect,tom,0,0.18,incorrect
['moreland'],he,0,0.2,incorrect,god,0,0.36,incorrect,god,0,0.36,incorrect
['lark'],temple,0,0.2,incorrect,miss koober,0,0.13,incorrect,miss koober,0,0.13,incorrect
['serena'],stefan,0,0.5,incorrect,dracula,0,0.31,incorrect,dracula,0,0.31,incorrect
['ana'],drusilla,0,0.18,incorrect,heathcliff,0,0.15,incorrect,heathcliff,0,0.15,incorrect
['serena'],emily,0,0.18,incorrect,camera,0,0.5,incorrect,camera,0,0.5,incorrect
['juno'],he,0,0.0,incorrect,kim,0,0.0,incorrect,kim,0,0.0,incorrect
['ana'],jason,0,0.5,incorrect,serena,0,0.44,incorrect,serena,0,0.44,incorrect
['serena'],he,0,0.25,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['serena'],emily,0,0.18,incorrect,officer,0,0.31,incorrect,officer,0,0.31,incorrect
['serena'],prim,0,0.2,incorrect,emily,0,0.18,incorrect,emily,0,0.18,incorrect
['serena'],she,0,0.44,incorrect,julian,0,0.17,incorrect,julian,0,0.17,incorrect
['serena'],his,0,0.22,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['serena'],carrie,0,0.33,incorrect,woolf,0,0.0,incorrect,woolf,0,0.0,incorrect
['serena'],emily,0,0.18,incorrect,caesar,0,0.33,incorrect,caesar,0,0.33,incorrect
['serena'],my mother,0,0.27,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['vampyres'],vampires,0,0.88,correct,god,0,0.0,incorrect,god,0,0.0,incorrect
['alex'],lowe,0,0.5,incorrect,jack,0,0.25,incorrect,jack,0,0.25,incorrect
['alex'],dracula,0,0.36,incorrect,instinct,0,0.0,incorrect,instinct,0,0.0,incorrect
['alex'],logan,0,0.22,incorrect,grandfather,0,0.27,incorrect,grandfather,0,0.27,incorrect
['serena'],misery,0,0.5,incorrect,chandler,0,0.29,incorrect,chandler,0,0.29,incorrect
['serena'],my husband,0,0.25,incorrect,lestat,0,0.33,incorrect,lestat,0,0.33,incorrect
['l'],google,0,0.29,incorrect,yahoo,0,0.0,incorrect,yahoo,0,0.0,incorrect
['serena'],trump,0,0.18,incorrect,clinton,0,0.15,incorrect,clinton,0,0.15,incorrect
['serena'],mom,0,0.0,incorrect,april,0,0.18,incorrect,april,0,0.18,incorrect
['vampyres'],he,0,0.2,incorrect,he,0,0.2,incorrect,he,0,0.2,incorrect
['max'],lowe,0,0.0,incorrect,robert,0,0.0,incorrect,robert,0,0.0,incorrect
['max'],rowan,0,0.25,incorrect,hamlet,0,0.22,incorrect,hamlet,0,0.22,incorrect
['max'],godzilla,0,0.18,incorrect,escher,0,0.0,incorrect,escher,0,0.0,incorrect
['max'],god,0,0.0,incorrect,holmes,0,0.22,incorrect,holmes,0,0.22,incorrect
['juno'],the officer,0,0.13,incorrect,god,0,0.29,incorrect,god,0,0.29,incorrect
['serena'],collateral,0,0.38,incorrect,travis,0,0.33,incorrect,travis,0,0.33,incorrect
['vampyre'],warlord,0,0.29,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['vampyre'],alien,0,0.33,incorrect,frankenstein,0,0.21,incorrect,frankenstein,0,0.21,incorrect
['serena'],emmeline,0,0.43,incorrect,david,0,0.18,incorrect,david,0,0.18,incorrect
['loyals'],were collateral,0,0.29,incorrect,grandfather,0,0.12,incorrect,grandfather,0,0.12,incorrect
['ana'],emily,0,0.0,incorrect,comedian,0,0.36,incorrect,comedian,0,0.36,incorrect
['ana'],emily,0,0.0,incorrect,garfield,0,0.18,incorrect,garfield,0,0.18,incorrect
['ana'],she,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['vampyres'],serena,0,0.29,incorrect,serena,0,0.29,incorrect,serena,0,0.29,incorrect
['serena'],ozzy osbourne,0,0.32,incorrect,harry,0,0.18,incorrect,harry,0,0.18,incorrect
['ana'],emily,0,0.0,incorrect,he,0,0.0,incorrect,he,0,0.0,incorrect
['ana'],serena,0,0.44,incorrect,serena,0,0.44,incorrect,serena,0,0.44,incorrect
['max'],holden,0,0.0,incorrect,kim jong-un,0,0.14,incorrect,kim jong-un,0,0.14,incorrect
['ana'],emily,0,0.0,incorrect,emily,0,0.0,incorrect,emily,0,0.0,incorrect
['serena'],mom,0,0.0,incorrect,heathcliff,0,0.25,incorrect,heathcliff,0,0.25,incorrect
['ana'],lowe,0,0.0,incorrect,rob,0,0.0,incorrect,rob,0,0.0,incorrect
['vampyre'],wolf,0,0.0,incorrect,little red riding hood,0,0.14,incorrect,little red riding hood,0,0.14,incorrect
['alex'],the car,0,0.18,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['alex'],ellen ripley,0,0.25,incorrect,she,0,0.29,incorrect,she,0,0.29,incorrect
['alpha'],partner,0,0.33,incorrect,trump,0,0.2,incorrect,trump,0,0.2,incorrect
['alex'],lowe,0,0.5,incorrect,adam,0,0.25,incorrect,adam,0,0.25,incorrect
['vampyre'],were,0,0.36,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['ana'],lowe,0,0.0,incorrect,lowe,0,0.0,incorrect,lowe,0,0.0,incorrect
['vampyres'],humans,0,0.29,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['serena'],emily,0,0.18,incorrect,blueberries,0,0.35,incorrect,blueberries,0,0.35,incorrect
['alex'],someone in the were business,0,0.06,incorrect,he,0,0.33,incorrect,he,0,0.33,incorrect
['ana'],misery,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['ana'],dracula,0,0.4,incorrect,garlic,0,0.22,incorrect,garlic,0,0.22,incorrect
['ana'],her daughter's,0,0.12,incorrect,my,0,0.0,incorrect,my,0,0.0,incorrect
['ana'],she,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['ana'],god,0,0.0,incorrect,grandfather,0,0.43,incorrect,grandfather,0,0.43,incorrect
['ana'],you,0,0.0,incorrect,mother,0,0.0,incorrect,mother,0,0.0,incorrect
['alex'],my wife,0,0.18,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['ana'],emily,0,0.0,incorrect,mom,0,0.0,incorrect,mom,0,0.0,incorrect
['alex'],god,0,0.0,incorrect,james,0,0.44,incorrect,james,0,0.44,incorrect
['ana'],leah,0,0.29,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['serena'],louis,0,0.18,incorrect,carmilla,0,0.29,incorrect,carmilla,0,0.29,incorrect
['emery'],her,0,0.5,incorrect,friday,0,0.36,incorrect,friday,0,0.36,incorrect
['serena'],she,0,0.44,incorrect,emily,0,0.18,incorrect,emily,0,0.18,incorrect
['serena'],god,0,0.0,incorrect,stop,0,0.2,incorrect,stop,0,0.2,incorrect
['serena'],peace,0,0.36,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['koen'],his,0,0.0,incorrect,joseph,0,0.4,incorrect,joseph,0,0.4,incorrect
['emery'],victoria,0,0.15,incorrect,donald,0,0.0,incorrect,donald,0,0.0,incorrect
['koen'],simon cowell,0,0.25,incorrect,epictetus,0,0.15,incorrect,epictetus,0,0.15,incorrect
