Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct
['serena'],harry potter,0,0.22,incorrect,albert einstein,0,0.38,incorrect,albert einstein,0,0.38,incorrect
['serena'],my mother,0,0.27,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['vampyre'],wedding,0,0.14,incorrect,donald trump,0,0.32,incorrect,donald trump,0,0.32,incorrect
['lark'],"councilman everard, miss celia",0,0.18,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['cal'],he,0,0.0,incorrect,manila,0,0.44,incorrect,manila,0,0.44,incorrect
['vampyres'],vampires,0,0.88,correct,god,0,0.0,incorrect,god,0,0.0,incorrect
['vampyres'],victorians,0,0.33,incorrect,darwin,0,0.29,incorrect,darwin,0,0.29,incorrect
['davenport'],weld,0,0.15,incorrect,day,0,0.33,incorrect,day,0,0.33,incorrect
['davenport'],scott,0,0.29,incorrect,president,0,0.44,incorrect,president,0,0.44,incorrect
['vampyres'],the [mask],0,0.22,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['abel'],emmet,0,0.22,incorrect,emboldened,0,0.29,incorrect,emboldened,0,0.29,incorrect
['roscoe'],weres,0,0.36,incorrect,charles darwin,0,0.2,incorrect,charles darwin,0,0.2,incorrect
['roscoe'],ghengis khan,0,0.11,incorrect,emerson,0,0.46,incorrect,emerson,0,0.46,incorrect
['serena'],lucifer,0,0.31,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['vampyre'],omega,0,0.33,incorrect,weres,0,0.33,incorrect,weres,0,0.33,incorrect
['serena'],stephen king,0,0.44,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['vampyres'],god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['essen'],councilman,0,0.13,incorrect,councilman,0,0.13,incorrect,councilman,0,0.13,incorrect
['davenport'],general,0,0.38,incorrect,adam,0,0.31,incorrect,adam,0,0.31,incorrect
['vampyre'],god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['serena'],christ,0,0.17,incorrect,ketchup,0,0.15,incorrect,ketchup,0,0.15,incorrect
['moreland'],shit,0,0.0,incorrect,god,0,0.36,incorrect,god,0,0.36,incorrect
['moreland'],odysseus,0,0.25,incorrect,adam's,0,0.29,incorrect,adam's,0,0.29,incorrect
['vampyre'],were,0,0.36,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['moreland'],the father,0,0.22,incorrect,god,0,0.36,incorrect,god,0,0.36,incorrect
['moreland'],dr. brennan,0,0.42,incorrect,jesus,0,0.15,incorrect,jesus,0,0.15,incorrect
['moreland'],he,0,0.2,incorrect,god,0,0.36,incorrect,god,0,0.36,incorrect
['lark'],everdene,0,0.17,incorrect,mr.,0,0.29,incorrect,mr.,0,0.29,incorrect
