Single_ent,en_masked_shuffled_results,tr_masked_shuffled_results,vi_masked_shuffled_results,es_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,tr_exact_match,tr_highest_fuzzy_match,vi_exact_match,vi_highest_fuzzy_match,es_exact_match,es_highest_fuzzy_match,en_correct,tr_correct,vi_correct,es_correct
"['musa', 'moisés', 'moses']",<output>emma</output>,<output>abraham</output>,<output>ngọc</output>,<output>maría</output>,0,0.16,0,0.14,0,0.08,0,0.15,incorrect,incorrect,incorrect,incorrect
['tom sawyer'],<output>emily</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.16,0,0.16,0,0.16,0,0.16,incorrect,incorrect,incorrect,incorrect
"['bayan watson', 'watson']",<output>jim</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.15,0,0.14,0,0.14,0,0.14,incorrect,incorrect,incorrect,incorrect
['tom sawyer'],<output>tom</output>,<output>emily</output>,<output>nguyễn</output>,<output>emily</output>,0,0.26,0,0.16,0,0.18,0,0.16,incorrect,incorrect,incorrect,incorrect
['tom'],<output>tom</output>,<output>tom</output>,<output>nguyễn</output>,<output>indiana jones</output>,0,0.26,0,0.26,0,0.15,0,0.12,incorrect,incorrect,incorrect,incorrect
['tom'],<output>tom</output>,<output>lucas</output>,<output>dimmesdale</output>,<output>abel</output>,0,0.26,0,0.16,0,0.13,0,0.17,incorrect,incorrect,incorrect,incorrect
['tom'],<output>tom</output>,<output>long john silver</output>,<output>tom</output>,<output>long john silver</output>,0,0.26,0,0.11,0,0.26,0,0.11,incorrect,incorrect,incorrect,incorrect
['tom sawyer'],<output>tom</output>,<output>butch</output>,<output>nguyễn</output>,<output>robinson</output>,0,0.26,0,0.16,0,0.18,0,0.17,incorrect,incorrect,incorrect,incorrect
['tommy barnes'],<output>tom</output>,<output>oliver</output>,<output>tom</output>,<output>tom</output>,0,0.24,0,0.17,0,0.24,0,0.24,incorrect,incorrect,incorrect,incorrect
['tom'],<output>tom</output>,<output>emily</output>,<output>nguyễn</output>,<output>john</output>,0,0.26,0,0.16,0,0.15,0,0.17,incorrect,incorrect,incorrect,incorrect
"['bayan watson', 'watson']",<output>miss watson</output>,<output>emily</output>,<output>ngọc</output>,<output>emily</output>,0,0.35,0,0.14,0,0.15,0,0.14,incorrect,incorrect,incorrect,incorrect
"['tow sawyer', 'tom sawyer']",<output>aladdin</output>,<output>aladdin</output>,<output>nguyễn</output>,<output>aladdin</output>,0,0.15,0,0.15,0,0.18,0,0.15,incorrect,incorrect,incorrect,incorrect
"['yargıç thatcher', 'thatcher']",<output>heathcliff</output>,<output>abraham</output>,<output>nguyễn</output>,<output>abel</output>,0,0.19,0,0.26,0,0.19,0,0.21,incorrect,incorrect,incorrect,incorrect
['jim'],<output>jim</output>,<output>abraham</output>,<output>nguyễn</output>,<output>maría</output>,0,0.26,0,0.07,0,0.0,0,0.08,incorrect,incorrect,incorrect,incorrect
"['yargıç thatcher', 'tha', 'thatcher']",<output>abner</output>,<output>john</output>,<output>nguyễn</output>,<output>john</output>,0,0.27,0,0.21,0,0.19,0,0.21,incorrect,incorrect,incorrect,incorrect
['thatcher'],<output>jim</output>,<output>dimmesdale</output>,<output>nguyễn</output>,<output>john</output>,0,0.14,0,0.17,0,0.19,0,0.21,incorrect,incorrect,incorrect,incorrect
"['bayan watson', 'watson']",<output>tom</output>,<output>emily</output>,<output>heidi</output>,<output>emily</output>,0,0.15,0,0.14,0,0.14,0,0.14,incorrect,incorrect,incorrect,incorrect
['tom sawyer'],<output>tom</output>,<output>poe</output>,<output>nguyễn</output>,<output>paul</output>,0,0.26,0,0.2,0,0.18,0,0.17,incorrect,incorrect,incorrect,incorrect
['jim'],<output>jim</output>,<output>emily</output>,<output>emily</output>,<output>lucas</output>,0,0.26,0,0.08,0,0.08,0,0.0,incorrect,incorrect,incorrect,incorrect
['jim'],<output>jim</output>,<output>tom</output>,<output>nguyễn</output>,<output>robinson</output>,0,0.26,0,0.09,0,0.0,0,0.07,incorrect,incorrect,incorrect,incorrect
['jim'],<output>tom</output>,<output>ali</output>,<output>jesus</output>,<output>jesus</output>,0,0.09,0,0.09,0,0.08,0,0.08,incorrect,incorrect,incorrect,incorrect
['jim'],<output>abraham</output>,<output>ali</output>,<output>nguyễn</output>,<output>abuelita</output>,0,0.07,0,0.09,0,0.0,0,0.07,incorrect,incorrect,incorrect,incorrect
['jim'],<output>winnie-the-pooh</output>,<output>arı</output>,<output>john</output>,<output>john</output>,0,0.06,0,0.09,0,0.08,0,0.08,incorrect,incorrect,incorrect,incorrect
['jim'],<output>jim</output>,<output>abraham</output>,<output>jesus</output>,<output>beatriz</output>,0,0.26,0,0.07,0,0.08,0,0.07,incorrect,incorrect,incorrect,incorrect
"['bay bradish', 'misto bradish', 'bradish']",<output>jim</output>,<output>john</output>,<output>nguyễn</output>,<output>john</output>,0,0.16,0,0.18,0,0.14,0,0.18,incorrect,incorrect,incorrect,incorrect
['jim'],<output>mcdougal's</output>,<output>illinois</output>,<output>lincoln</output>,<output>mark twain</output>,0,0.07,0,0.07,0,0.07,0,0.07,incorrect,incorrect,incorrect,incorrect
['jim'],<output>robinson crusoe</output>,<output>robinson</output>,<output>robinson crusoe</output>,<output>robinson</output>,0,0.06,0,0.07,0,0.06,0,0.07,incorrect,incorrect,incorrect,incorrect
['jim'],<output>jim</output>,<output>abraham</output>,<output>tom</output>,<output>heathcliff</output>,0,0.26,0,0.07,0,0.09,0,0.07,incorrect,incorrect,incorrect,incorrect
['jim'],<output>robinson crusoe</output>,<output>robinson</output>,<output>emily</output>,<output>emily</output>,0,0.06,0,0.07,0,0.08,0,0.08,incorrect,incorrect,incorrect,incorrect
['jim'],<output>jim</output>,<output>mississippi</output>,<output>mississippi</output>,<output>robinson crusoe</output>,0,0.26,0,0.06,0,0.06,0,0.06,incorrect,incorrect,incorrect,incorrect
