Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['attila', 'magyard', 'atila']",attila,1,1.0,correct,magyars,0,0.86,correct,huns,0,0.0,incorrect,szekelys,0,0.15,incorrect,transylvania,0,0.35,incorrect,mme rona tshwanetse,0,0.25,incorrect,huns,0,0.0,incorrect,huns,0,0.0,incorrect,hungarians,0,0.4,incorrect,transylvania,0,0.35,incorrect,dacians,0,0.5,incorrect,saxons,0,0.18,incorrect,magyars,0,0.86,correct,szekelys,0,0.15,incorrect,mme rona tshwanetse,0,0.25,incorrect,huns,0,0.0,incorrect,transylvania,0,0.35,incorrect,saxons,0,0.18,incorrect,hungarians,0,0.4,incorrect,magyars,0,0.86,correct,macarlar,0,0.53,incorrect,transylvania,0,0.35,incorrect,hungarians,0,0.4,incorrect,attila,1,1.0,correct,hunos,0,0.0,incorrect,arpad,0,0.5,incorrect,magyars,0,0.86,correct,transylvania,0,0.35,incorrect,attila,1,1.0,correct,arpad,0,0.5,incorrect
"['kont', 'kont dracula', 'conde drácula', 'dracula', 'drácula', 'conde']",sejeremane,0,0.27,incorrect,count,0,0.67,incorrect,count,0,0.67,incorrect,count,0,0.67,incorrect,mme,0,0.25,incorrect,balepodi,0,0.31,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,count,0,0.67,incorrect,hester,0,0.22,incorrect,count,0,0.67,incorrect,count,0,0.67,incorrect,count,0,0.67,incorrect,count,0,0.67,incorrect,balepodi,0,0.31,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,count,0,0.67,incorrect,count,0,0.67,incorrect,count,0,0.67,incorrect,kont,1,1.0,correct,kont,1,1.0,correct,ban than,0,0.33,incorrect,hester,0,0.22,incorrect,conde,1,1.0,correct,juan,0,0.36,incorrect,count,0,0.67,incorrect,kont,1,1.0,correct,hester,0,0.22,incorrect,juan,0,0.36,incorrect
"['kont', 'kont dracula', 'conde drácula', 'dracula', 'drácula', 'conde']",sejeremane,0,0.27,incorrect,count,0,0.67,incorrect,count,0,0.67,incorrect,count,0,0.67,incorrect,mme,0,0.25,incorrect,balepodi,0,0.31,incorrect,hester,0,0.22,incorrect,hau,0,0.4,incorrect,count,0,0.67,incorrect,hester,0,0.22,incorrect,count,0,0.67,incorrect,count,0,0.67,incorrect,count,0,0.67,incorrect,count,0,0.67,incorrect,balepodi,0,0.31,incorrect,hau,0,0.4,incorrect,hester,0,0.22,incorrect,count,0,0.67,incorrect,count,0,0.67,incorrect,count,0,0.67,incorrect,kont,1,1.0,correct,hester,0,0.22,incorrect,ban than,0,0.33,incorrect,hester,0,0.22,incorrect,conde,1,1.0,correct,el conde,0,0.77,correct,count,0,0.67,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,el conde,0,0.77,correct
"['mr', 'hawkins', 'mr hawkins']",hester,0,0.31,incorrect,bonyane,0,0.29,incorrect,hester,0,0.31,incorrect,leyin,0,0.33,incorrect,mme,0,0.4,incorrect,bonyana,0,0.29,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,avy,0,0.2,incorrect,bonyane,0,0.29,incorrect,leyin,0,0.33,incorrect,bonyana,0,0.29,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,avy,0,0.2,incorrect,hester,0,0.31,incorrect,he,0,0.22,incorrect,hester,0,0.31,incorrect,kont,0,0.36,incorrect,lao,0,0.2,incorrect,author,0,0.25,incorrect,el duque,0,0.11,incorrect,leon,0,0.18,incorrect,he,0,0.22,incorrect,kont,0,0.36,incorrect,author,0,0.25,incorrect,leon,0,0.18,incorrect
"['dracula', 'kont dracula', 'kont', 'drácula']",mookameli,0,0.29,incorrect,hlohonolofatsa,0,0.33,incorrect,count,0,0.67,incorrect,count,0,0.67,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,bistritz,0,0.2,incorrect,bistritz,0,0.2,incorrect,count,0,0.67,incorrect,hester,0,0.22,incorrect,count,0,0.67,incorrect,count,0,0.67,incorrect,hlohonolofatsa,0,0.33,incorrect,count,0,0.67,incorrect,hester,0,0.22,incorrect,bistritz,0,0.2,incorrect,hester,0,0.22,incorrect,count,0,0.67,incorrect,count,0,0.67,incorrect,count,0,0.67,incorrect,kont,1,1.0,correct,kont,1,1.0,correct,bistritz,0,0.2,incorrect,hester,0,0.22,incorrect,el conde,0,0.33,incorrect,bistritz,0,0.2,incorrect,count,0,0.67,incorrect,kont,1,1.0,correct,hester,0,0.22,incorrect,bistritz,0,0.2,incorrect
['lucy'],hester,0,0.0,incorrect,hester,0,0.0,incorrect,hester,0,0.0,incorrect,emi,0,0.0,incorrect,hester,0,0.0,incorrect,pitse,0,0.0,incorrect,hester,0,0.0,incorrect,hester,0,0.0,incorrect,hester,0,0.0,incorrect,hester,0,0.0,incorrect,malefaka,0,0.17,incorrect,mino,0,0.0,incorrect,hester,0,0.0,incorrect,emi,0,0.0,incorrect,pitse,0,0.0,incorrect,hester,0,0.0,incorrect,hester,0,0.0,incorrect,mino,0,0.0,incorrect,mother,0,0.0,incorrect,mary,0,0.25,incorrect,"aksayarak uzaklasti, merdivenlerden asagi, elinden geldigince hizla indigini gorebiliyordum. merdivenler, bu yerin onemli ozelliklerinden. kasabadan kiliseye kadar gidiyorlar; yuzlerce basamak var -kac tane oldugunu bilmiyorum- ve yumusak bir kivrimla donuyorlar; egim oylesine hafif ki, bir at kolaylikla inip",0,0.03,incorrect,aksayarak,0,0.15,incorrect,nguyen,0,0.4,incorrect,hester,0,0.0,incorrect,[mask],0,0.0,incorrect,juan,0,0.25,incorrect,mary,0,0.25,incorrect,aksayarak,0,0.15,incorrect,hester,0,0.0,incorrect,juan,0,0.25,incorrect
['lucy'],hester,0,0.0,incorrect,hester,0,0.0,incorrect,hester,0,0.0,incorrect,bawo,0,0.0,incorrect,mme,0,0.0,incorrect,hester,0,0.0,incorrect,hester,0,0.0,incorrect,nahea,0,0.0,incorrect,hester,0,0.0,incorrect,hester,0,0.0,incorrect,havana,0,0.0,incorrect,izany,0,0.22,incorrect,hester,0,0.0,incorrect,bawo,0,0.0,incorrect,hester,0,0.0,incorrect,nahea,0,0.0,incorrect,hester,0,0.0,incorrect,izany,0,0.22,incorrect,thruff-stean,0,0.12,incorrect,hester,0,0.0,incorrect,hester,0,0.0,incorrect,ayla,0,0.25,incorrect,hester,0,0.0,incorrect,hester,0,0.0,incorrect,hester,0,0.0,incorrect,hester,0,0.0,incorrect,hester,0,0.0,incorrect,ayla,0,0.25,incorrect,hester,0,0.0,incorrect,hester,0,0.0,incorrect
['renfield'],hester,0,0.29,incorrect,mohlanka,0,0.12,incorrect,olutoju,0,0.13,incorrect,olutoju,0,0.13,incorrect,hester,0,0.29,incorrect,tumelo,0,0.29,incorrect,hester,0,0.29,incorrect,hester,0,0.29,incorrect,dr. hester,0,0.33,incorrect,dr. hester,0,0.33,incorrect,dr. smith,0,0.24,incorrect,vao,0,0.0,incorrect,mohlanka,0,0.12,incorrect,olutoju,0,0.13,incorrect,tumelo,0,0.29,incorrect,hester,0,0.29,incorrect,dr. hester,0,0.33,incorrect,vao,0,0.0,incorrect,doctor,0,0.14,incorrect,dr. john,0,0.25,incorrect,hester,0,0.29,incorrect,hester,0,0.29,incorrect,hester,0,0.29,incorrect,thua,0,0.0,incorrect,doctor,0,0.14,incorrect,hester,0,0.29,incorrect,dr. john,0,0.25,incorrect,hester,0,0.29,incorrect,thua,0,0.0,incorrect,hester,0,0.29,incorrect
['olgaren'],hester,0,0.15,incorrect,moses,0,0.33,incorrect,hester,0,0.15,incorrect,keje,0,0.18,incorrect,"mme re tshwanetse ra re, [mask] le fa go ntse jalo, go ne go na le boammaaruri jo bogolo go feta mo tumelong ya rona ya gompieno.",0,0.1,incorrect,mme rona tshwanetse,0,0.23,incorrect,hester,0,0.15,incorrect,hester,0,0.15,incorrect,captain,0,0.29,incorrect,hester,0,0.15,incorrect,ranavalona,0,0.24,incorrect,jolay,0,0.5,incorrect,moses,0,0.33,incorrect,keje,0,0.18,incorrect,mme rona tshwanetse,0,0.23,incorrect,hester,0,0.15,incorrect,hester,0,0.15,incorrect,jolay,0,0.5,incorrect,the man,0,0.29,incorrect,captain,0,0.29,incorrect,adam,0,0.18,incorrect,kaptan,0,0.31,incorrect,thuy thu,0,0.0,incorrect,hester,0,0.15,incorrect,john,0,0.36,incorrect,juan,0,0.36,incorrect,captain,0,0.29,incorrect,kaptan,0,0.31,incorrect,hester,0,0.15,incorrect,juan,0,0.36,incorrect
"['jonathan', 'jona']",hester,0,0.14,incorrect,na joang,0,0.5,incorrect,hester,0,0.14,incorrect,lonakona,0,0.5,incorrect,hester,0,0.14,incorrect,mosesane,0,0.38,incorrect,hester,0,0.14,incorrect,ahiri,0,0.31,incorrect,bhuutpuurv,0,0.11,incorrect,hester,0,0.14,incorrect,razafindrakoto,0,0.27,incorrect,aiza,0,0.33,incorrect,na joang,0,0.5,incorrect,lonakona,0,0.5,incorrect,mosesane,0,0.38,incorrect,ahiri,0,0.31,incorrect,hester,0,0.14,incorrect,aiza,0,0.33,incorrect,john,0,0.75,correct,hester,0,0.14,incorrect,ned,0,0.29,incorrect,hester,0,0.14,incorrect,hester,0,0.14,incorrect,hester,0,0.14,incorrect,john,0,0.75,correct,juan,0,0.5,incorrect,hester,0,0.14,incorrect,hester,0,0.14,incorrect,hester,0,0.14,incorrect,juan,0,0.5,incorrect
