Single_ent,en_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,en_correct
['jake'],justin,0,0.2,incorrect
['jake'],leon,0,0.25,incorrect
['anna'],west,0,0.0,incorrect
['anna'],emily,0,0.0,incorrect
['john wayne'],clarke,0,0.36,incorrect
['anna'],edward,0,0.2,incorrect
['anna'],arthur,0,0.2,incorrect
['conan'],stan,0,0.44,incorrect
['anna'],edward,0,0.2,incorrect
['jake'],charlie,0,0.36,incorrect
['jake'],weston,0,0.2,incorrect
['conan'],west,0,0.0,incorrect
['jake'],edward,0,0.2,incorrect
['anna'],indonesia,0,0.46,incorrect
['anna'],miss,0,0.0,incorrect
['anna'],elizabeth,0,0.15,incorrect
['anna'],mcat,0,0.25,incorrect
['anna'],cal,0,0.29,incorrect
['anna'],jingga,0,0.4,incorrect
['anna'],loop,0,0.0,incorrect
['jake'],instagram,0,0.15,incorrect
['jenny nelson'],elizabeth,0,0.27,incorrect
['anna'],elizabeth,0,0.15,incorrect
['anna'],god,0,0.0,incorrect
['anna'],emily,0,0.0,incorrect
['babe'],augustus,0,0.17,incorrect
['anna'],rock,0,0.0,incorrect
['anna green'],charles,0,0.35,incorrect
['anna'],scarlett,0,0.17,incorrect
['anna'],salon,0,0.44,incorrect
['anna'],will,0,0.0,incorrect
['anna'],martha,0,0.4,incorrect
['anna green'],miss,0,0.0,incorrect
['anna'],khmer,0,0.0,incorrect
['anna'],expedia,0,0.18,incorrect
['anna'],grandma,0,0.55,incorrect
['anna'],beatles,0,0.18,incorrect
['jake'],thor,0,0.0,incorrect
['anna'],chanel,0,0.4,incorrect
['kellan mckellan'],weston,0,0.33,incorrect
['anna'],clarissa,0,0.33,incorrect
['anna'],west,0,0.0,incorrect
['gede'],brando,0,0.2,incorrect
['janet'],barbie,0,0.36,incorrect
['anna'],scarlett,0,0.17,incorrect
['janet'],julia,0,0.4,incorrect
['anna'],augustus,0,0.17,incorrect
['gede'],esme,0,0.5,incorrect
['anna'],augustus,0,0.17,incorrect
['anna'],september,0,0.0,incorrect
['anna'],god,0,0.0,incorrect
['anna'],green,0,0.22,incorrect
['jake'],john,0,0.25,incorrect
['jake'],weston,0,0.2,incorrect
['anna'],scarlett,0,0.17,incorrect
['anna'],jack,0,0.25,incorrect
['jake'],jack,0,0.75,correct
['jake'],lucas,0,0.22,incorrect
['jake'],emma,0,0.25,incorrect
['anna'],stacy,0,0.22,incorrect
['anna'],beatles,0,0.18,incorrect
['janet'],sheldon,0,0.17,incorrect
['perfect'],west,0,0.36,incorrect
['alex'],everyone,0,0.17,incorrect
['alex'],oxen,0,0.25,incorrect
['alex'],frank,0,0.22,incorrect
['alex'],oz,0,0.0,incorrect
['alex'],west,0,0.25,incorrect
['alex'],west,0,0.25,incorrect
['anna'],god,0,0.0,incorrect
['anna'],mother,0,0.0,incorrect
['anna'],jesus,0,0.0,incorrect
['anna'],god,0,0.0,incorrect
['anna'],edward,0,0.2,incorrect
['anna'],god,0,0.0,incorrect
['alex'],anna,0,0.25,incorrect
['anna'],emily,0,0.0,incorrect
['eko'],discuss,0,0.0,incorrect
['alex'],patrick,0,0.18,incorrect
['alex'],scarlett,0,0.5,incorrect
['anna'],heathcliff,0,0.14,incorrect
['alex'],ethan,0,0.22,incorrect
