Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct
['ryan'],john,0,0.25,incorrect,jasmine,0,0.36,incorrect,jasmine,0,0.36,incorrect
['ryan'],john,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],james,0,0.22,incorrect,ged,0,0.0,incorrect,ged,0,0.0,incorrect
['ryan'],john,0,0.25,incorrect,he,0,0.0,incorrect,he,0,0.0,incorrect
['ryan'],him,0,0.0,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],alex,0,0.25,incorrect,amused,0,0.2,incorrect,amused,0,0.2,incorrect
['ryan'],james,0,0.22,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],michael,0,0.18,incorrect,michael,0,0.18,incorrect,michael,0,0.18,incorrect
['ryan'],john,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],mask,0,0.25,incorrect,forbing,0,0.36,incorrect,forbing,0,0.36,incorrect
['pat'],john,0,0.0,incorrect,stopping,0,0.18,incorrect,stopping,0,0.18,incorrect
['pat'],james,0,0.25,incorrect,ryan,0,0.29,incorrect,ryan,0,0.29,incorrect
['ryan'],john,0,0.25,incorrect,cvs,0,0.0,incorrect,cvs,0,0.0,incorrect
['ryan'],sarah,0,0.44,incorrect,saturday,0,0.33,incorrect,saturday,0,0.33,incorrect
['ryan'],emily,0,0.22,incorrect,mary,0,0.5,incorrect,mary,0,0.5,incorrect
['ryan'],sarah,0,0.44,incorrect,louisiana,0,0.31,incorrect,louisiana,0,0.31,incorrect
['ryan'],john,0,0.25,incorrect,grandfather,0,0.4,incorrect,grandfather,0,0.4,incorrect
['ryan'],mary,0,0.5,incorrect,come,0,0.0,incorrect,come,0,0.0,incorrect
['ryan'],john,0,0.25,incorrect,he,0,0.0,incorrect,he,0,0.0,incorrect
['rogers'],smith,0,0.18,incorrect,mrs.,0,0.4,incorrect,mrs.,0,0.4,incorrect
