Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['tía lydia', 'tía', 'aunt', 'teyze', 'aunt lydia', 'lydia', 'lydia teyze']",sechele,0,0.33,incorrect,lebogang mashile,0,0.31,incorrect,st. john,0,0.24,incorrect,victoria island,0,0.5,incorrect,matante,0,0.55,incorrect,kelebogile,0,0.29,incorrect,te pito-o-te-henua,0,0.3,incorrect,te huti,0,0.4,incorrect,beddminsttn,0,0.27,incorrect,suury,0,0.27,incorrect,mercury,0,0.33,incorrect,paris,0,0.29,incorrect,lebogang mashile,0,0.31,incorrect,victoria island,0,0.5,incorrect,kelebogile,0,0.29,incorrect,te huti,0,0.4,incorrect,suury,0,0.27,incorrect,paris,0,0.29,incorrect,rainer maria rilke,0,0.36,incorrect,christine,0,0.33,incorrect,flaubert,0,0.5,incorrect,yasemin,0,0.36,incorrect,dr. seuss,0,0.3,incorrect,phan thiet,0,0.43,incorrect,emiliano zapata,0,0.38,incorrect,prision,0,0.25,incorrect,christine,0,0.33,incorrect,yasemin,0,0.36,incorrect,phan thiet,0,0.43,incorrect,prision,0,0.25,incorrect
['cora'],lesego,0,0.2,incorrect,god,0,0.29,incorrect,jesus,0,0.0,incorrect,michael jackson,0,0.21,incorrect,matante,0,0.18,incorrect,lebogang morake,0,0.32,incorrect,te arikinui tamatoa vi,0,0.15,incorrect,te arikinui ariiriki,0,0.17,incorrect,onaa,0,0.5,incorrect,ttyuub,0,0.0,incorrect,antananarivo,0,0.12,incorrect,andriamanitra,0,0.24,incorrect,god,0,0.29,incorrect,michael jackson,0,0.21,incorrect,lebogang morake,0,0.32,incorrect,te arikinui ariiriki,0,0.17,incorrect,ttyuub,0,0.0,incorrect,andriamanitra,0,0.24,incorrect,barbara,0,0.36,incorrect,david,0,0.22,incorrect,abdulkadir koc,0,0.11,incorrect,adnan menderes,0,0.11,incorrect,pham van donh,0,0.12,incorrect,tran hung dao,0,0.24,incorrect,maria jose rodriguez,0,0.17,incorrect,maria,0,0.44,incorrect,david,0,0.22,incorrect,adnan menderes,0,0.11,incorrect,tran hung dao,0,0.24,incorrect,maria,0,0.44,incorrect
['rita'],matome,0,0.2,incorrect,matlou,0,0.2,incorrect,jesus,0,0.0,incorrect,oba akran,0,0.31,incorrect,phakisi,0,0.18,incorrect,matome,0,0.2,incorrect,howard hughes,0,0.12,incorrect,te ariki,0,0.33,incorrect,grmaa,0,0.44,incorrect,grmiime,0,0.36,incorrect,andriamanelo,0,0.38,incorrect,andriamanelo,0,0.38,incorrect,matlou,0,0.2,incorrect,oba akran,0,0.31,incorrect,matome,0,0.2,incorrect,te ariki,0,0.33,incorrect,grmiime,0,0.36,incorrect,andriamanelo,0,0.38,incorrect,,0,0.29,incorrect,wood,0,0.0,incorrect,elif,0,0.25,incorrect,yasemin,0,0.18,incorrect,anthony,0,0.18,incorrect,hoang duc dinh,0,0.11,incorrect,jesus,0,0.0,incorrect,el carnero,0,0.14,incorrect,wood,0,0.0,incorrect,yasemin,0,0.18,incorrect,hoang duc dinh,0,0.11,incorrect,el carnero,0,0.14,incorrect
"['serena joy', 'serena', 'joy']",cartoon network,0,0.32,incorrect,horace,0,0.33,incorrect,montserrat caballe,0,0.36,incorrect,placido domingo,0,0.24,incorrect,anna,0,0.4,incorrect,verona,0,0.67,incorrect,marie,0,0.36,incorrect,jesus,0,0.25,incorrect,grettr maaikl,0,0.32,incorrect,maya,0,0.29,incorrect,rene simeon,0,0.48,incorrect,andriamanelo,0,0.27,incorrect,horace,0,0.33,incorrect,placido domingo,0,0.24,incorrect,verona,0,0.67,incorrect,jesus,0,0.25,incorrect,maya,0,0.29,incorrect,andriamanelo,0,0.27,incorrect,rebecca st. james,0,0.37,incorrect,wattstax,0,0.29,incorrect,elcin unver,0,0.29,incorrect,disney,0,0.38,incorrect,theresa tam,0,0.48,incorrect,thanh mau,0,0.27,incorrect,anna maria boccardi,0,0.28,incorrect,jose luis perales,0,0.35,incorrect,wattstax,0,0.29,incorrect,disney,0,0.38,incorrect,thanh mau,0,0.27,incorrect,jose luis perales,0,0.35,incorrect
['luke'],thomas mann,0,0.0,incorrect,matante,0,0.18,incorrect,george washington,0,0.1,incorrect,united nations,0,0.22,incorrect,antoine de saint-exupery,0,0.14,incorrect,matante,0,0.18,incorrect,te arikinui ariiriki,0,0.17,incorrect,apii,0,0.0,incorrect,big ben,0,0.18,incorrect,bgiicaa,0,0.0,incorrect,abu bakr al-siddiq,0,0.18,incorrect,bagdad,0,0.0,incorrect,matante,0,0.18,incorrect,united nations,0,0.22,incorrect,matante,0,0.18,incorrect,apii,0,0.0,incorrect,bgiicaa,0,0.0,incorrect,bagdad,0,0.0,incorrect,not provided,0,0.12,incorrect,not enough information,0,0.08,incorrect,kim,0,0.29,incorrect,haydarpasa,0,0.0,incorrect,gioi,0,0.0,incorrect,yamada,0,0.0,incorrect,carlos ruiz zafon,0,0.19,incorrect,la moraleja,0,0.27,incorrect,not enough information,0,0.08,incorrect,haydarpasa,0,0.0,incorrect,yamada,0,0.0,incorrect,la moraleja,0,0.27,incorrect
"['tía lydia', 'tía', 'aunt', 'teyze', 'aunt lydia', 'lydia', 'lydia teyze']",paris,0,0.29,incorrect,god,0,0.25,incorrect,george floyd,0,0.38,incorrect,french,0,0.2,incorrect,mathieu flamini,0,0.42,incorrect,matlhodi,0,0.56,incorrect,ti'amaraa,0,0.5,incorrect,ti'amaraa,0,0.5,incorrect,brmaa,0,0.29,incorrect,gandhi,0,0.5,incorrect,andriamanelo,0,0.45,incorrect,christianity,0,0.4,incorrect,god,0,0.25,incorrect,french,0,0.2,incorrect,matlhodi,0,0.56,incorrect,ti'amaraa,0,0.5,incorrect,gandhi,0,0.5,incorrect,christianity,0,0.4,incorrect,mustapha mond,0,0.36,incorrect,don't,0,0.44,incorrect,john stuart mill,0,0.32,incorrect,ibrahim,0,0.4,incorrect,thieu nu,0,0.36,incorrect,duc phat,0,0.33,incorrect,jose marti,0,0.31,incorrect,max stirner,0,0.36,incorrect,don't,0,0.44,incorrect,ibrahim,0,0.4,incorrect,duc phat,0,0.33,incorrect,max stirner,0,0.36,incorrect
['janine'],sheba,0,0.18,incorrect,sheba,0,0.18,incorrect,marlon brando,0,0.32,incorrect,monarch butterfly,0,0.17,incorrect,thabo maseko,0,0.22,incorrect,matlhodi,0,0.29,incorrect,te ariki,0,0.29,incorrect,te ariki,0,0.29,incorrect,koko,0,0.0,incorrect,gulab,0,0.18,incorrect,andre,0,0.55,incorrect,antananarivo,0,0.33,incorrect,sheba,0,0.18,incorrect,monarch butterfly,0,0.17,incorrect,matlhodi,0,0.29,incorrect,te ariki,0,0.29,incorrect,gulab,0,0.18,incorrect,antananarivo,0,0.33,incorrect,chiron,0,0.33,incorrect,angel,0,0.55,incorrect,ismet inonu,0,0.24,incorrect,elbisenin,0,0.4,incorrect,tran thi diem,0,0.42,incorrect,pham tu trinh,0,0.32,incorrect,don quixote,0,0.35,incorrect,maria fernandez,0,0.38,incorrect,angel,0,0.55,incorrect,elbisenin,0,0.4,incorrect,pham tu trinh,0,0.32,incorrect,maria fernandez,0,0.38,incorrect
['luke'],butcher,0,0.36,incorrect,butcher,0,0.36,incorrect,michael jackson,0,0.21,incorrect,agbani darego,0,0.12,incorrect,tebogo,0,0.2,incorrect,gabarone,0,0.17,incorrect,joseph,0,0.2,incorrect,te arikinui ariiriki,0,0.17,incorrect,plastic bag,0,0.13,incorrect,nilkhet,0,0.55,incorrect,plastika,0,0.33,incorrect,polymere,0,0.33,incorrect,butcher,0,0.36,incorrect,agbani darego,0,0.12,incorrect,gabarone,0,0.17,incorrect,te arikinui ariiriki,0,0.17,incorrect,nilkhet,0,0.55,incorrect,polymere,0,0.33,incorrect,norman,0,0.0,incorrect,plastic,0,0.18,incorrect,istanbul,0,0.17,incorrect,plastik,0,0.36,incorrect,do quang hoa,0,0.12,incorrect,pham van chanh,0,0.0,incorrect,mi madre,0,0.17,incorrect,manuel,0,0.4,incorrect,plastic,0,0.18,incorrect,plastik,0,0.36,incorrect,pham van chanh,0,0.0,incorrect,manuel,0,0.4,incorrect
"['ofglen', 'gleninki', 'deglen']",matante,0,0.15,incorrect,matante,0,0.15,incorrect,john,0,0.4,incorrect,charles bovary,0,0.2,incorrect,david kibuuka,0,0.29,incorrect,adam,0,0.2,incorrect,te arikinui ariiriki,0,0.36,incorrect,teahupoo,0,0.14,incorrect,big brdr,0,0.14,incorrect,bigbii,0,0.43,incorrect,andriamanelo,0,0.33,incorrect,notre-dame,0,0.25,incorrect,matante,0,0.15,incorrect,charles bovary,0,0.2,incorrect,adam,0,0.2,incorrect,teahupoo,0,0.14,incorrect,bigbii,0,0.43,incorrect,notre-dame,0,0.25,incorrect,amma,0,0.0,incorrect,grace,0,0.36,incorrect,yurur,0,0.0,incorrect,orhan pamuk,0,0.24,incorrect,dimmesdale,0,0.5,incorrect,pham tu trinh,0,0.19,incorrect,esmeralda,0,0.27,incorrect,maria fernanda campo,0,0.23,incorrect,grace,0,0.36,incorrect,orhan pamuk,0,0.24,incorrect,pham tu trinh,0,0.19,incorrect,maria fernanda campo,0,0.23,incorrect
"['tía lydia', 'tía', 'aunt', 'teyze', 'aunt lydia', 'lydia', 'lydia teyze']",seo,0,0.25,incorrect,lebogang phiri,0,0.33,incorrect,oluwa,0,0.4,incorrect,joseph,0,0.18,incorrect,lebogang phiri,0,0.33,incorrect,boingotlo,0,0.32,incorrect,marie,0,0.29,incorrect,te rurutaina,0,0.4,incorrect,viny,0,0.31,incorrect,hebaak,0,0.27,incorrect,antananarivo,0,0.38,incorrect,andriamanitra,0,0.43,incorrect,lebogang phiri,0,0.33,incorrect,joseph,0,0.18,incorrect,boingotlo,0,0.32,incorrect,te rurutaina,0,0.4,incorrect,hebaak,0,0.27,incorrect,andriamanitra,0,0.43,incorrect,virginia woolf,0,0.35,incorrect,modesty,0,0.33,incorrect,ipek,0,0.29,incorrect,kizlar unutmayin,0,0.46,incorrect,cardinal richelieu,0,0.41,incorrect,dung,0,0.5,incorrect,clarice lispector,0,0.31,incorrect,don quixote,0,0.36,incorrect,modesty,0,0.33,incorrect,kizlar unutmayin,0,0.46,incorrect,dung,0,0.5,incorrect,don quixote,0,0.36,incorrect
