Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['hiney', 'cassie hiney', 'cassie']",[mask],0,0.33,incorrect,friend,0,0.36,incorrect,soyadi,0,0.33,incorrect,eminem,0,0.55,incorrect,[mask],0,0.33,incorrect,dam men,0,0.32,incorrect,ella,0,0.22,incorrect,apellido,0,0.3,incorrect,friend,0,0.36,incorrect,eminem,0,0.55,incorrect,dam men,0,0.32,incorrect,apellido,0,0.3,incorrect
"['chuck', 'chuck parson', 'parson']",john,0,0.4,incorrect,faggots,0,0.31,incorrect,ibneler,0,0.15,incorrect,ibn battuta,0,0.17,incorrect,duc,0,0.5,incorrect,name,0,0.2,incorrect,carlos,0,0.5,incorrect,esther,0,0.22,incorrect,faggots,0,0.31,incorrect,ibn battuta,0,0.17,incorrect,name,0,0.2,incorrect,esther,0,0.22,incorrect
['chuck'],someone,0,0.0,incorrect,someone,0,0.0,incorrect,havali cocuklar ulkesinden biri,0,0.17,incorrect,yunanistan,0,0.13,incorrect,"chao [mask],",0,0.35,incorrect,nhu,0,0.5,incorrect,nombre,0,0.0,incorrect,paz,0,0.0,incorrect,someone,0,0.0,incorrect,yunanistan,0,0.13,incorrect,nhu,0,0.5,incorrect,paz,0,0.0,incorrect
"['chuc', 'chuck']",prom,0,0.0,incorrect,prom,0,0.0,incorrect,baloyu,0,0.2,incorrect,kolaydi,0,0.17,incorrect,[mask],0,0.18,incorrect,de,0,0.0,incorrect,[mask],0,0.18,incorrect,razonablemente,0,0.0,incorrect,prom,0,0.0,incorrect,kolaydi,0,0.17,incorrect,de,0,0.0,incorrect,razonablemente,0,0.0,incorrect
['angela'],her,0,0.22,incorrect,santa,0,0.55,incorrect,dostum,0,0.0,incorrect,mask,0,0.2,incorrect,cau,0,0.22,incorrect,dai,0,0.22,incorrect,tio,0,0.0,incorrect,santa,0,0.55,incorrect,santa,0,0.55,incorrect,mask,0,0.2,incorrect,dai,0,0.22,incorrect,santa,0,0.55,incorrect
['margo'],jane,0,0.22,incorrect,meet-in-the-dead-of-night-wearing-black-face-paint,0,0.15,incorrect,guldum,0,0.18,incorrect,tuhaf,0,0.2,incorrect,co ay,0,0.2,incorrect,vinh,0,0.0,incorrect,nombre,0,0.36,incorrect,no,0,0.29,incorrect,meet-in-the-dead-of-night-wearing-black-face-paint,0,0.15,incorrect,tuhaf,0,0.2,incorrect,vinh,0,0.0,incorrect,no,0,0.29,incorrect
['margo'],dad,0,0.25,incorrect,dad,0,0.25,incorrect,baba,0,0.22,incorrect,baba,0,0.22,incorrect,nguoi do,0,0.31,incorrect,bo,0,0.29,incorrect,papa,0,0.22,incorrect,papa,0,0.22,incorrect,dad,0,0.25,incorrect,baba,0,0.22,incorrect,bo,0,0.29,incorrect,papa,0,0.22,incorrect
"['margo', 'margo—']",jane,0,0.22,incorrect,talking,0,0.33,incorrect,"evet, biliyorum,",0,0.1,incorrect,baslamak,0,0.31,incorrect,to,0,0.29,incorrect,ngay,0,0.22,incorrect,[mask],0,0.36,incorrect,manana,0,0.36,incorrect,talking,0,0.33,incorrect,baslamak,0,0.31,incorrect,ngay,0,0.22,incorrect,manana,0,0.36,incorrect
['margo'],someone,0,0.33,incorrect,jefferson,0,0.29,incorrect,jefferson park,0,0.21,incorrect,jefferson,0,0.29,incorrect,nhom ban,0,0.31,incorrect,jefferson,0,0.29,incorrect,jefferson park,0,0.21,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect
['margo'],she,0,0.0,incorrect,species,0,0.0,incorrect,zamani,0,0.36,incorrect,plan,0,0.22,incorrect,nguoi ay,0,0.31,incorrect,[mask],0,0.36,incorrect,el hombre,0,0.29,incorrect,universidad,0,0.12,incorrect,species,0,0.0,incorrect,plan,0,0.22,incorrect,[mask],0,0.36,incorrect,universidad,0,0.12,incorrect
