Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['attila', 'magyard', 'atila']",huns,0,0.0,incorrect,magyars,0,0.86,correct,dacians,0,0.5,incorrect,szekelys,0,0.15,incorrect,transylvania,0,0.35,incorrect,hungary,0,0.43,incorrect,huns,0,0.0,incorrect,huns,0,0.0,incorrect,huunn,0,0.0,incorrect,transylvania,0,0.35,incorrect,huns,0,0.0,incorrect,saxons,0,0.18,incorrect,magyars,0,0.86,correct,szekelys,0,0.15,incorrect,hungary,0,0.43,incorrect,huns,0,0.0,incorrect,transylvania,0,0.35,incorrect,saxons,0,0.18,incorrect,hungarians,0,0.4,incorrect,hungarians,0,0.4,incorrect,sekeller,0,0.15,incorrect,dacyalilar,0,0.53,incorrect,hungarians,0,0.4,incorrect,attila,1,1.0,correct,hunos,0,0.0,incorrect,magiares,0,0.67,incorrect,hungarians,0,0.4,incorrect,dacyalilar,0,0.53,incorrect,attila,1,1.0,correct,magiares,0,0.67,incorrect
"['kont', 'kont dracula', 'conde drácula', 'dracula', 'drácula', 'conde']",count,0,0.67,incorrect,count,0,0.67,incorrect,count,0,0.67,incorrect,count,0,0.67,incorrect,balepodi,0,0.31,incorrect,balepodi,0,0.31,incorrect,hau,0,0.4,incorrect,hau,0,0.4,incorrect,kaauntt,0,0.55,incorrect,jrmn,0,0.25,incorrect,count,0,0.67,incorrect,count,0,0.67,incorrect,count,0,0.67,incorrect,count,0,0.67,incorrect,balepodi,0,0.31,incorrect,hau,0,0.4,incorrect,jrmn,0,0.25,incorrect,count,0,0.67,incorrect,munchausen,0,0.27,incorrect,count,0,0.67,incorrect,kont,1,1.0,correct,kont,1,1.0,correct,ba tuoc,0,0.29,incorrect,toi,0,0.29,incorrect,conde,1,1.0,correct,el posadero,0,0.38,incorrect,count,0,0.67,incorrect,kont,1,1.0,correct,toi,0,0.29,incorrect,el posadero,0,0.38,incorrect
"['kont', 'kont dracula', 'conde drácula', 'dracula', 'drácula', 'conde']",count,0,0.67,incorrect,count,0,0.67,incorrect,count,0,0.67,incorrect,count,0,0.67,incorrect,balepodi,0,0.31,incorrect,balepodi,0,0.31,incorrect,hau,0,0.4,incorrect,hau,0,0.4,incorrect,kaauntt,0,0.55,incorrect,jrmn,0,0.25,incorrect,count,0,0.67,incorrect,count,0,0.67,incorrect,count,0,0.67,incorrect,count,0,0.67,incorrect,balepodi,0,0.31,incorrect,hau,0,0.4,incorrect,jrmn,0,0.25,incorrect,count,0,0.67,incorrect,munchausen,0,0.27,incorrect,count,0,0.67,incorrect,kont,1,1.0,correct,kont,1,1.0,correct,ba tuoc,0,0.29,incorrect,ngay,0,0.25,incorrect,conde,1,1.0,correct,conde,1,1.0,correct,count,0,0.67,incorrect,kont,1,1.0,correct,ngay,0,0.25,incorrect,conde,1,1.0,correct
"['mr', 'hawkins', 'mr hawkins']",tlhokomelong,0,0.32,incorrect,bonyane,0,0.29,incorrect,leyin naa,0,0.25,incorrect,leyin,0,0.33,incorrect,mme,0,0.4,incorrect,bonyana,0,0.29,incorrect,rata,0,0.33,incorrect,tahiti,0,0.31,incorrect,hunkaa,0,0.31,incorrect,aanndk delk,0,0.22,incorrect,razafindrakoto,0,0.33,incorrect,nahafinaritra,0,0.4,incorrect,bonyane,0,0.29,incorrect,leyin,0,0.33,incorrect,bonyana,0,0.29,incorrect,tahiti,0,0.31,incorrect,aanndk delk,0,0.22,incorrect,nahafinaritra,0,0.4,incorrect,he,0,0.22,incorrect,he,0,0.22,incorrect,kont,0,0.36,incorrect,kont,0,0.36,incorrect,toi,0,0.2,incorrect,doc,0,0.0,incorrect,don quijote,0,0.19,incorrect,ella,0,0.18,incorrect,he,0,0.22,incorrect,kont,0,0.36,incorrect,doc,0,0.0,incorrect,ella,0,0.18,incorrect
"['dracula', 'kont dracula', 'kont', 'drácula']",mookameli,0,0.29,incorrect,hobane,0,0.4,incorrect,count,0,0.67,incorrect,count,0,0.67,incorrect,mme,0,0.0,incorrect,"ke dira se dira boifa gore go tsena jewa ke dijo, gore ditshika a ba go go yo fela ka ne ruri mo ne kelotlhoko bodutu ke fa sengwe jaaka tsoga e tshosang; ne mme ke bo go neng na le se mokgweetsi dilo ka gore ke seatla opa utlwa sa tse na laola gonne jalo, jehofa gore le",0,0.08,incorrect,bistritz,0,0.2,incorrect,bistritz,0,0.2,incorrect,kaauntt,0,0.55,incorrect,bisttrittj,0,0.18,incorrect,count,0,0.67,incorrect,count moa,0,0.48,incorrect,hobane,0,0.4,incorrect,count,0,0.67,incorrect,"ke dira se dira boifa gore go tsena jewa ke dijo, gore ditshika a ba go go yo fela ka ne ruri mo ne kelotlhoko bodutu ke fa sengwe jaaka tsoga e tshosang; ne mme ke bo go neng na le se mokgweetsi dilo ka gore ke seatla opa utlwa sa tse na laola gonne jalo, jehofa gore le",0,0.08,incorrect,bistritz,0,0.2,incorrect,bisttrittj,0,0.18,incorrect,count moa,0,0.48,incorrect,ford,0,0.25,incorrect,count,0,0.67,incorrect,kont,1,1.0,correct,kont,1,1.0,correct,lao,0,0.4,incorrect,bistritz,0,0.2,incorrect,conde,0,0.44,incorrect,bistritz,0,0.2,incorrect,count,0,0.67,incorrect,kont,1,1.0,correct,bistritz,0,0.2,incorrect,bistritz,0,0.2,incorrect
['lucy'],mohahla,0,0.18,incorrect,mehato,0,0.0,incorrect,oke naa,0,0.0,incorrect,oke,0,0.0,incorrect,tota,0,0.0,incorrect,tota,0,0.0,incorrect,[mask],0,0.0,incorrect,te,0,0.0,incorrect,hmaaraa,0,0.0,incorrect,saikdd'o [mask],0,0.0,incorrect,malefaka,0,0.17,incorrect,mino,0,0.0,incorrect,mehato,0,0.0,incorrect,oke,0,0.0,incorrect,tota,0,0.0,incorrect,te,0,0.0,incorrect,saikdd'o [mask],0,0.0,incorrect,mino,0,0.0,incorrect,the abbess,0,0.0,incorrect,john,0,0.0,incorrect,annesi,0,0.0,incorrect,manastir,0,0.0,incorrect,toi,0,0.0,incorrect,toi,0,0.0,incorrect,senorita,0,0.0,incorrect,abadia,0,0.0,incorrect,john,0,0.0,incorrect,manastir,0,0.0,incorrect,toi,0,0.0,incorrect,abadia,0,0.0,incorrect
['lucy'],matsieng,0,0.0,incorrect,o ngotsoe,0,0.0,incorrect,thruff-stean,0,0.12,incorrect,bawo,0,0.0,incorrect,jalo,0,0.25,incorrect,o boneng ka ne mo mo o ba maaka botlhe tse jang le ba ga ne le kwadileng,0,0.03,incorrect,tai'o,0,0.0,incorrect,nahea,0,0.0,incorrect,hunkr,0,0.22,incorrect,baabaa,0,0.0,incorrect,havana,0,0.0,incorrect,izany,0,0.22,incorrect,o ngotsoe,0,0.0,incorrect,bawo,0,0.0,incorrect,o boneng ka ne mo mo o ba maaka botlhe tse jang le ba ga ne le kwadileng,0,0.03,incorrect,nahea,0,0.0,incorrect,baabaa,0,0.0,incorrect,izany,0,0.22,incorrect,he,0,0.0,incorrect,john,0,0.0,incorrect,"akrabalarini mutlu etmek icin, diye dusunuyorsunuz!",0,0.15,incorrect,akrabalarini,0,0.12,incorrect,ong,0,0.0,incorrect,thay,0,0.25,incorrect,juan,0,0.25,incorrect,senor,0,0.0,incorrect,john,0,0.0,incorrect,akrabalarini,0,0.12,incorrect,thay,0,0.25,incorrect,senor,0,0.0,incorrect
['renfield'],mohlanka,0,0.12,incorrect,mohlanka,0,0.12,incorrect,olutoju,0,0.13,incorrect,olutoju,0,0.13,incorrect,matshidiso,0,0.22,incorrect,tumelo,0,0.29,incorrect,tia'i,0,0.15,incorrect,tahiti,0,0.14,incorrect,ddonkttr,0,0.12,incorrect,ddonkttr,0,0.12,incorrect,vao,0,0.0,incorrect,vao,0,0.0,incorrect,mohlanka,0,0.12,incorrect,olutoju,0,0.13,incorrect,tumelo,0,0.29,incorrect,tahiti,0,0.14,incorrect,ddonkttr,0,0.12,incorrect,vao,0,0.0,incorrect,the attendant,0,0.29,incorrect,doctor,0,0.14,incorrect,hastabakici,0,0.11,incorrect,hastabakici,0,0.11,incorrect,han,0,0.18,incorrect,thua,0,0.0,incorrect,el doctor,0,0.35,incorrect,doctor,0,0.14,incorrect,doctor,0,0.14,incorrect,hastabakici,0,0.11,incorrect,thua,0,0.0,incorrect,doctor,0,0.14,incorrect
['olgaren'],moses,0,0.33,incorrect,phupu,0,0.0,incorrect,oba,0,0.4,incorrect,keje,0,0.18,incorrect,mongwe wa banna bao,0,0.31,incorrect,letshogo,0,0.27,incorrect,tahiti,0,0.15,incorrect,te uati,0,0.14,incorrect,ajnyaat vykti,0,0.2,incorrect,arjun,0,0.5,incorrect,"tamin'ny 17 jolay, omaly, tonga tao amin'ny efitranoko ny iray tamin'ireo lehilahy, [mask], ary tamin'ny fomba feno hagagana no nilaza tamiko fa nihevitra izy fa nisy lehilahy hafahafa tao anatin'ilay sambo. nilaza izy fa tao anatin'ny famant",0,0.06,incorrect,jolay,0,0.5,incorrect,phupu,0,0.0,incorrect,keje,0,0.18,incorrect,letshogo,0,0.27,incorrect,te uati,0,0.14,incorrect,arjun,0,0.5,incorrect,jolay,0,0.5,incorrect,mr. brown,0,0.25,incorrect,captain,0,0.29,incorrect,yabanci adam,0,0.21,incorrect,kaptan,0,0.31,incorrect,thuy thu,0,0.0,incorrect,dung,0,0.18,incorrect,el capitan,0,0.35,incorrect,barco,0,0.33,incorrect,captain,0,0.29,incorrect,kaptan,0,0.31,incorrect,dung,0,0.18,incorrect,barco,0,0.33,incorrect
"['jonathan', 'jona']",hoseng,0,0.4,incorrect,na joang,0,0.5,incorrect,niowuro,0,0.18,incorrect,lonakona,0,0.5,incorrect,mosong,0,0.4,incorrect,mosesane,0,0.38,incorrect,tahiti,0,0.29,incorrect,ahiri,0,0.31,incorrect,"bhore-bhor hm dunuu utthlaun aa bndrgaah pr utri dekhlaun je raati me kichu bhel achi ki nhi /  aaspaas bhut km lok chl, aa ydypi suury ujjvl chl, aa hvaa saaph aa taajaa chl, paigh, gnbhiir dikhy blaa lhr, je svyn anhaar bujh",0,0.06,incorrect,bndrgaah,0,0.38,incorrect,andrianampoinimerina,0,0.29,incorrect,aiza,0,0.33,incorrect,na joang,0,0.5,incorrect,lonakona,0,0.5,incorrect,mosesane,0,0.38,incorrect,ahiri,0,0.31,incorrect,bndrgaah,0,0.38,incorrect,aiza,0,0.33,incorrect,the ship,0,0.25,incorrect,the sea,0,0.4,incorrect,"nedense, dun gece denizde degil de karada oldugu icin memnun oldum. ama, ah, karada mi yoksa denizde mi? nerede ve nasil? onun icin korku icinde kaygilaniyorum. keske ne yapacagimi bilsem ve elimden bir sey gelse!",0,0.05,incorrect,kemal,0,0.22,incorrect,anh,0,0.36,incorrect,toi,0,0.29,incorrect,[mask],0,0.2,incorrect,mar,0,0.29,incorrect,the sea,0,0.4,incorrect,kemal,0,0.22,incorrect,toi,0,0.29,incorrect,mar,0,0.29,incorrect
