Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct
['jake'],someone,0,0.18,incorrect,he,0,0.33,incorrect,he,0,0.33,incorrect
['jake'],west,0,0.25,incorrect,ucla,0,0.25,incorrect,ucla,0,0.25,incorrect
['anna'],"bye, west.",0,0.0,incorrect,west,0,0.0,incorrect,west,0,0.0,incorrect
['anna'],"holy shit, [mask], i had no idea. are you okay?",0,0.12,incorrect,her,0,0.0,incorrect,her,0,0.0,incorrect
"['john wayne', 'wayne', 'john']",mask,0,0.22,incorrect,singapore,0,0.32,incorrect,singapore,0,0.32,incorrect
['anna'],he,0,0.0,incorrect,heather,0,0.18,incorrect,heather,0,0.18,incorrect
['anna'],west,0,0.0,incorrect,west,0,0.0,incorrect,west,0,0.0,incorrect
['conan'],he,0,0.0,incorrect,witch,0,0.2,incorrect,witch,0,0.2,incorrect
['anna'],focus,0,0.0,incorrect,he,0,0.0,incorrect,he,0,0.0,incorrect
['jake'],he,0,0.33,incorrect,i,0,0.0,incorrect,i,0,0.0,incorrect
['jake'],weston,0,0.2,incorrect,weston,0,0.2,incorrect,weston,0,0.2,incorrect
['conan'],west,0,0.0,incorrect,west,0,0.0,incorrect,west,0,0.0,incorrect
['jake'],he,0,0.33,incorrect,i,0,0.0,incorrect,i,0,0.0,incorrect
['anna'],he,0,0.0,incorrect,sister,0,0.0,incorrect,sister,0,0.0,incorrect
['anna'],herself,0,0.0,incorrect,muppet,0,0.0,incorrect,muppet,0,0.0,incorrect
['anna'],jane,0,0.5,incorrect,margaret,0,0.33,incorrect,margaret,0,0.33,incorrect
['anna'],she,0,0.0,incorrect,she,0,0.0,incorrect,she,0,0.0,incorrect
['anna'],someone,0,0.18,incorrect,sister,0,0.0,incorrect,sister,0,0.0,incorrect
['anna'],her,0,0.0,incorrect,jingga,0,0.4,incorrect,jingga,0,0.4,incorrect
['anna'],she,0,0.0,incorrect,she,0,0.0,incorrect,she,0,0.0,incorrect
['jake'],hikingban you,0,0.12,incorrect,hills,0,0.0,incorrect,hills,0,0.0,incorrect
"['jenny nelson', 'nelson', 'jenny']",the character,0,0.24,incorrect,someone,0,0.46,incorrect,someone,0,0.46,incorrect
['anna'],she,0,0.0,incorrect,truth,0,0.0,incorrect,truth,0,0.0,incorrect
['anna'],someone,0,0.18,incorrect,mary,0,0.25,incorrect,mary,0,0.25,incorrect
['anna'],no,0,0.33,incorrect,she,0,0.0,incorrect,she,0,0.0,incorrect
['babe'],mask,0,0.25,incorrect,cupping,0,0.0,incorrect,cupping,0,0.0,incorrect
['anna'],mask,0,0.25,incorrect,rock,0,0.0,incorrect,rock,0,0.0,incorrect
"['anna', 'green', 'anna green']",those who dislike airports,0,0.13,incorrect,airport,0,0.24,incorrect,airport,0,0.24,incorrect
['anna'],jane,0,0.5,incorrect,my,0,0.0,incorrect,my,0,0.0,incorrect
['anna'],she,0,0.0,incorrect,frankly,0,0.36,incorrect,frankly,0,0.36,incorrect
['anna'],mask,0,0.25,incorrect,jerking,0,0.18,incorrect,jerking,0,0.18,incorrect
['anna'],she,0,0.0,incorrect,apologizing,0,0.27,incorrect,apologizing,0,0.27,incorrect
"['anna', 'green', 'anna green']",muppet-human hybrid,0,0.28,incorrect,muppet-human hybrid,0,0.28,incorrect,muppet-human hybrid,0,0.28,incorrect
['anna'],fam,0,0.29,incorrect,fabric,0,0.2,incorrect,fabric,0,0.2,incorrect
['anna'],mask,0,0.25,incorrect,seattle,0,0.18,incorrect,seattle,0,0.18,incorrect
['anna'],she,0,0.0,incorrect,my,0,0.0,incorrect,my,0,0.0,incorrect
['anna'],she,0,0.0,incorrect,her,0,0.0,incorrect,her,0,0.0,incorrect
['jake'],sibling name,0,0.25,incorrect,power,0,0.22,incorrect,power,0,0.22,incorrect
['anna'],she,0,0.0,incorrect,her,0,0.0,incorrect,her,0,0.0,incorrect
"['kellan', 'kellan mckellan', 'mckellan']",west weston,0,0.31,incorrect,weston,0,0.33,incorrect,weston,0,0.33,incorrect
['anna'],she,0,0.0,incorrect,she,0,0.0,incorrect,she,0,0.0,incorrect
['anna'],west,0,0.0,incorrect,west,0,0.0,incorrect,west,0,0.0,incorrect
['gede'],he,0,0.33,incorrect,island,0,0.2,incorrect,island,0,0.2,incorrect
['janet'],she,0,0.25,incorrect,her,0,0.25,incorrect,her,0,0.25,incorrect
['anna'],my,0,0.0,incorrect,my,0,0.0,incorrect,my,0,0.0,incorrect
['janet'],he,0,0.29,incorrect,son,0,0.25,incorrect,son,0,0.25,incorrect
['anna'],he,0,0.0,incorrect,the,0,0.0,incorrect,the,0,0.0,incorrect
['gede'],west,0,0.25,incorrect,esme,0,0.5,incorrect,esme,0,0.5,incorrect
['anna'],goddamn,0,0.36,incorrect,m&amp;m's,0,0.15,incorrect,m&amp;m's,0,0.15,incorrect
['anna'],he,0,0.0,incorrect,september,0,0.0,incorrect,september,0,0.0,incorrect
['anna'],my wife,0,0.0,incorrect,truth,0,0.0,incorrect,truth,0,0.0,incorrect
['anna'],green-hyphen-weston,0,0.17,incorrect,green-hyphen-weston,0,0.17,incorrect,green-hyphen-weston,0,0.17,incorrect
['jake'],mask,0,0.5,incorrect,two,0,0.0,incorrect,two,0,0.0,incorrect
['jake'],he,0,0.33,incorrect,weston,0,0.2,incorrect,weston,0,0.2,incorrect
['anna'],jane,0,0.5,incorrect,the ring,0,0.17,incorrect,the ring,0,0.17,incorrect
['anna'],she,0,0.0,incorrect,theodore,0,0.0,incorrect,theodore,0,0.0,incorrect
['jake'],he,0,0.33,incorrect,he,0,0.33,incorrect,he,0,0.33,incorrect
['jake'],he,0,0.33,incorrect,dad,0,0.29,incorrect,dad,0,0.29,incorrect
['anna'],jane,0,0.5,incorrect,she,0,0.0,incorrect,she,0,0.0,incorrect
['anna'],she,0,0.0,incorrect,nixon's,0,0.36,incorrect,nixon's,0,0.36,incorrect
['janet'],she,0,0.25,incorrect,she,0,0.25,incorrect,she,0,0.25,incorrect
['alex'],you,0,0.0,incorrect,sleep,0,0.44,incorrect,sleep,0,0.44,incorrect
['alex'],mask,0,0.25,incorrect,jove,0,0.25,incorrect,jove,0,0.25,incorrect
['alex'],dad,0,0.29,incorrect,dad,0,0.29,incorrect,dad,0,0.29,incorrect
['alex'],scarecrow,0,0.31,incorrect,oz,0,0.0,incorrect,oz,0,0.0,incorrect
['alex'],he,0,0.33,incorrect,west,0,0.25,incorrect,west,0,0.25,incorrect
['alex'],west,0,0.25,incorrect,west,0,0.25,incorrect,west,0,0.25,incorrect
['anna'],jane,0,0.5,incorrect,it,0,0.0,incorrect,it,0,0.0,incorrect
['anna'],she,0,0.0,incorrect,my father's,0,0.13,incorrect,my father's,0,0.13,incorrect
['anna'],jesus christ,0,0.0,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect
['anna'],she,0,0.0,incorrect,she,0,0.0,incorrect,she,0,0.0,incorrect
['anna'],workplace drama,0,0.21,incorrect,family,0,0.2,incorrect,family,0,0.2,incorrect
['anna'],jane,0,0.5,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['alex'],anna,0,0.25,incorrect,anna,0,0.25,incorrect,anna,0,0.25,incorrect
['anna'],she,0,0.0,incorrect,she,0,0.0,incorrect,she,0,0.0,incorrect
['eko'],she,0,0.33,incorrect,we,0,0.4,incorrect,we,0,0.4,incorrect
['alex'],he,0,0.33,incorrect,his,0,0.0,incorrect,his,0,0.0,incorrect
['alex'],she,0,0.29,incorrect,isabel,0,0.4,incorrect,isabel,0,0.4,incorrect
['anna'],sweetheart,0,0.14,incorrect,my,0,0.0,incorrect,my,0,0.0,incorrect
['alex'],anna,0,0.25,incorrect,anna,0,0.25,incorrect,anna,0,0.25,incorrect
['alex'],she,0,0.29,incorrect,she,0,0.29,incorrect,she,0,0.29,incorrect
['anna'],someone,0,0.18,incorrect,martha,0,0.4,incorrect,martha,0,0.4,incorrect
['anna'],mask,0,0.25,incorrect,father,0,0.2,incorrect,father,0,0.2,incorrect
['alex'],he,0,0.33,incorrect,brother,0,0.18,incorrect,brother,0,0.18,incorrect
['anna'],jane,0,0.5,incorrect,her,0,0.0,incorrect,her,0,0.0,incorrect
['anna'],gingerly,0,0.17,incorrect,gingerly,0,0.17,incorrect,gingerly,0,0.17,incorrect
['anna'],she,0,0.0,incorrect,she,0,0.0,incorrect,she,0,0.0,incorrect
['anna'],he,0,0.0,incorrect,she,0,0.0,incorrect,she,0,0.0,incorrect
['mel'],roommate,0,0.36,incorrect,roommate,0,0.36,incorrect,roommate,0,0.36,incorrect
['janet'],weston,0,0.36,incorrect,weston,0,0.36,incorrect,weston,0,0.36,incorrect
['ray'],west,0,0.0,incorrect,forbes,0,0.22,incorrect,forbes,0,0.22,incorrect
['alex'],someone else,0,0.25,incorrect,ceo,0,0.29,incorrect,ceo,0,0.29,incorrect
"['anna', 'green', 'anna green']",tom,0,0.0,incorrect,name,0,0.5,incorrect,name,0,0.5,incorrect
['janet'],vampire,0,0.33,incorrect,darling,0,0.33,incorrect,darling,0,0.33,incorrect
['reagan'],she,0,0.22,incorrect,miss,0,0.0,incorrect,miss,0,0.0,incorrect
['reagan'],name,0,0.2,incorrect,niece,0,0.18,incorrect,niece,0,0.18,incorrect
['ray'],someone,0,0.0,incorrect,mine,0,0.0,incorrect,mine,0,0.0,incorrect
