Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['lydia', 'teyze', 'aunt lydia', 'lydia teyze', 'tía', 'aunt', 'tía lydia']",adam,0,0.46,incorrect,phoofolo,0,0.15,incorrect,orunmila,0,0.44,incorrect,jerusalem,0,0.29,incorrect,adam,0,0.46,incorrect,god,0,0.25,incorrect,adam,0,0.46,incorrect,adam,0,0.46,incorrect,god,0,0.25,incorrect,helianthus,0,0.43,incorrect,voltaire,0,0.36,incorrect,god,0,0.25,incorrect,phoofolo,0,0.15,incorrect,jerusalem,0,0.29,incorrect,god,0,0.25,incorrect,adam,0,0.46,incorrect,helianthus,0,0.43,incorrect,god,0,0.25,incorrect,kierkegaard,0,0.3,incorrect,epictetus,0,0.3,incorrect,epikur,0,0.22,incorrect,epikur,0,0.22,incorrect,ursula,0,0.38,incorrect,thich quang duc,0,0.42,incorrect,wilde,0,0.43,incorrect,helios,0,0.36,incorrect,epictetus,0,0.3,incorrect,epikur,0,0.22,incorrect,thich quang duc,0,0.42,incorrect,helios,0,0.36,incorrect
['cora'],god,0,0.29,incorrect,god,0,0.29,incorrect,god,0,0.29,incorrect,job,0,0.29,incorrect,god,0,0.29,incorrect,god,0,0.29,incorrect,abraham,0,0.36,incorrect,noah,0,0.5,incorrect,god,0,0.29,incorrect,youtube,0,0.18,incorrect,paul,0,0.25,incorrect,god,0,0.29,incorrect,god,0,0.29,incorrect,job,0,0.29,incorrect,god,0,0.29,incorrect,noah,0,0.5,incorrect,youtube,0,0.18,incorrect,god,0,0.29,incorrect,sheila,0,0.2,incorrect,god,0,0.29,incorrect,ona,0,0.57,incorrect,hamlet,0,0.2,incorrect,chung minh,0,0.14,incorrect,dong,0,0.25,incorrect,ellen,0,0.0,incorrect,shakira,0,0.36,incorrect,god,0,0.29,incorrect,hamlet,0,0.2,incorrect,dong,0,0.25,incorrect,shakira,0,0.36,incorrect
['rita'],mother,0,0.2,incorrect,ke,0,0.0,incorrect,god,0,0.0,incorrect,abraham,0,0.36,incorrect,god,0,0.0,incorrect,job,0,0.0,incorrect,adam,0,0.25,incorrect,abraham,0,0.36,incorrect,adam,0,0.25,incorrect,adam,0,0.25,incorrect,god,0,0.0,incorrect,adam,0,0.25,incorrect,ke,0,0.0,incorrect,abraham,0,0.36,incorrect,job,0,0.0,incorrect,abraham,0,0.36,incorrect,adam,0,0.25,incorrect,adam,0,0.25,incorrect,martha,0,0.6,incorrect,christ,0,0.6,incorrect,annem,0,0.22,incorrect,demir,0,0.22,incorrect,me,0,0.0,incorrect,jesus,0,0.0,incorrect,maria,0,0.67,incorrect,maria,0,0.67,incorrect,christ,0,0.6,incorrect,demir,0,0.22,incorrect,jesus,0,0.0,incorrect,maria,0,0.67,incorrect
"['joy', 'serena', 'serena joy']",marsha stevens,0,0.4,incorrect,jesus,0,0.25,incorrect,esther,0,0.5,incorrect,madonna,0,0.31,incorrect,martha,0,0.33,incorrect,martha,0,0.33,incorrect,aretha franklin,0,0.32,incorrect,jesus,0,0.25,incorrect,angela lansbury,0,0.32,incorrect,aretha franklin,0,0.32,incorrect,cher,0,0.4,incorrect,marina,0,0.5,incorrect,jesus,0,0.25,incorrect,madonna,0,0.31,incorrect,martha,0,0.33,incorrect,jesus,0,0.25,incorrect,aretha franklin,0,0.32,incorrect,marina,0,0.5,incorrect,tammy faye bakker,0,0.22,incorrect,hour of power,0,0.26,incorrect,delia,0,0.36,incorrect,disney,0,0.38,incorrect,trinity,0,0.35,incorrect,maria,0,0.36,incorrect,evangelina elizondo,0,0.41,incorrect,maria,0,0.36,incorrect,hour of power,0,0.26,incorrect,disney,0,0.38,incorrect,maria,0,0.36,incorrect,maria,0,0.36,incorrect
['luke'],lesotho,0,0.36,incorrect,shakespeare,0,0.27,incorrect,emily,0,0.22,incorrect,abraham lincoln,0,0.11,incorrect,adam,0,0.0,incorrect,israel,0,0.2,incorrect,adam,0,0.0,incorrect,noah,0,0.0,incorrect,emily,0,0.22,incorrect,walt disney,0,0.27,incorrect,tom,0,0.0,incorrect,andriamanitra,0,0.0,incorrect,shakespeare,0,0.27,incorrect,abraham lincoln,0,0.11,incorrect,israel,0,0.2,incorrect,noah,0,0.0,incorrect,walt disney,0,0.27,incorrect,andriamanitra,0,0.0,incorrect,emily,0,0.22,incorrect,trampoline,0,0.29,incorrect,ali,0,0.29,incorrect,mark twain,0,0.14,incorrect,marx,0,0.0,incorrect,thoreau,0,0.18,incorrect,emily,0,0.22,incorrect,disney,0,0.2,incorrect,trampoline,0,0.29,incorrect,mark twain,0,0.14,incorrect,thoreau,0,0.18,incorrect,disney,0,0.2,incorrect
"['lydia', 'teyze', 'aunt lydia', 'lydia teyze', 'tía', 'aunt', 'tía lydia']",god,0,0.25,incorrect,god,0,0.25,incorrect,freud,0,0.27,incorrect,america,0,0.4,incorrect,democracy,0,0.3,incorrect,god,0,0.25,incorrect,noah,0,0.29,incorrect,abraham,0,0.25,incorrect,god,0,0.25,incorrect,india,0,0.6,incorrect,jesus,0,0.22,incorrect,andriamanitra,0,0.43,incorrect,god,0,0.25,incorrect,america,0,0.4,incorrect,god,0,0.25,incorrect,abraham,0,0.25,incorrect,india,0,0.6,incorrect,andriamanitra,0,0.43,incorrect,dostoevsky,0,0.4,incorrect,jefferson,0,0.29,incorrect,stalin,0,0.53,incorrect,epikur,0,0.22,incorrect,uyen,0,0.5,incorrect,dong a,0,0.38,incorrect,will durant,0,0.4,incorrect,diogenes,0,0.42,incorrect,jefferson,0,0.29,incorrect,epikur,0,0.22,incorrect,dong a,0,0.38,incorrect,diogenes,0,0.42,incorrect
['janine'],he,0,0.25,incorrect,sheba,0,0.18,incorrect,god,0,0.0,incorrect,moses,0,0.18,incorrect,adam,0,0.2,incorrect,adam,0,0.2,incorrect,adam,0,0.2,incorrect,abraham,0,0.15,incorrect,angel,0,0.55,incorrect,donald duck,0,0.12,incorrect,adam,0,0.2,incorrect,adam,0,0.2,incorrect,sheba,0,0.18,incorrect,moses,0,0.18,incorrect,adam,0,0.2,incorrect,abraham,0,0.15,incorrect,donald duck,0,0.12,incorrect,adam,0,0.2,incorrect,angel,0,0.55,incorrect,angel,0,0.55,incorrect,melek,0,0.18,incorrect,elbise,0,0.33,incorrect,em,0,0.25,incorrect,em,0,0.25,incorrect,maria,0,0.36,incorrect,adan,0,0.4,incorrect,angel,0,0.55,incorrect,elbise,0,0.33,incorrect,em,0,0.25,incorrect,adan,0,0.4,incorrect
['luke'],my brother,0,0.14,incorrect,mcdonald,0,0.17,incorrect,god,0,0.0,incorrect,abraham,0,0.0,incorrect,mr j.l.b. matekoni,0,0.18,incorrect,mr j.l.b. matekoni,0,0.18,incorrect,adam,0,0.0,incorrect,abraham,0,0.0,incorrect,marx,0,0.0,incorrect,bag,0,0.0,incorrect,marie curie,0,0.27,incorrect,alaska,0,0.4,incorrect,mcdonald,0,0.17,incorrect,abraham,0,0.0,incorrect,mr j.l.b. matekoni,0,0.18,incorrect,abraham,0,0.0,incorrect,bag,0,0.0,incorrect,alaska,0,0.4,incorrect,my husband,0,0.14,incorrect,god,0,0.0,incorrect,anne,0,0.25,incorrect,market,0,0.4,incorrect,anh,0,0.0,incorrect,do,0,0.0,incorrect,mi madre,0,0.17,incorrect,maruja,0,0.2,incorrect,god,0,0.0,incorrect,market,0,0.4,incorrect,do,0,0.0,incorrect,maruja,0,0.2,incorrect
"['gleninki', 'ofglen', 'deglen']",god,0,0.22,incorrect,jesus,0,0.18,incorrect,adam,0,0.2,incorrect,esther,0,0.33,incorrect,god,0,0.22,incorrect,adam,0,0.2,incorrect,adam,0,0.2,incorrect,esther,0,0.33,incorrect,manet,0,0.18,incorrect,emily,0,0.36,incorrect,adam,0,0.2,incorrect,paul,0,0.2,incorrect,jesus,0,0.18,incorrect,esther,0,0.33,incorrect,adam,0,0.2,incorrect,esther,0,0.33,incorrect,emily,0,0.36,incorrect,paul,0,0.2,incorrect,sheila,0,0.33,incorrect,emma,0,0.2,incorrect,charlie,0,0.31,incorrect,adam,0,0.2,incorrect,nguoi dan ba,0,0.3,incorrect,thuy kieu,0,0.24,incorrect,maria,0,0.15,incorrect,freud,0,0.36,incorrect,emma,0,0.2,incorrect,adam,0,0.2,incorrect,thuy kieu,0,0.24,incorrect,freud,0,0.36,incorrect
"['lydia', 'teyze', 'aunt lydia', 'lydia teyze', 'tía', 'aunt', 'tía lydia']",morena,0,0.25,incorrect,abel,0,0.31,incorrect,esther,0,0.36,incorrect,esther,0,0.36,incorrect,adam,0,0.46,incorrect,boingotlo,0,0.32,incorrect,esther,0,0.36,incorrect,abraham,0,0.25,incorrect,god,0,0.25,incorrect,heidi,0,0.43,incorrect,heathcliff,0,0.4,incorrect,adam,0,0.46,incorrect,abel,0,0.31,incorrect,esther,0,0.36,incorrect,boingotlo,0,0.32,incorrect,abraham,0,0.25,incorrect,heidi,0,0.43,incorrect,adam,0,0.46,incorrect,offred,0,0.18,incorrect,modesty,0,0.33,incorrect,miss brodie,0,0.4,incorrect,alcakgonulluluk,0,0.25,incorrect,diep,0,0.44,incorrect,duc,0,0.29,incorrect,emily,0,0.43,incorrect,beatriz,0,0.4,incorrect,modesty,0,0.33,incorrect,alcakgonulluluk,0,0.25,incorrect,duc,0,0.29,incorrect,beatriz,0,0.4,incorrect
