Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['tía lydia', 'lydia', 'lydia teyze', 'aunt', 'tía', 'teyze', 'aunt lydia']",hester,0,0.36,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,michael,0,0.4,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,virginia,0,0.36,incorrect,ravi,0,0.31,incorrect,kierkegaard,0,0.3,incorrect,hester,0,0.36,incorrect,kierkegaard,0,0.3,incorrect,hester,0,0.36,incorrect,kierkegaard,0,0.3,incorrect,emily,0,0.43,incorrect,lydia,1,1.0,correct,hester,0,0.36,incorrect,emerson,0,0.33,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,michael,0,0.4,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,ravi,0,0.31,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,emily,0,0.43,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect
['cora'],hester,0,0.2,incorrect,hester,0,0.2,incorrect,hester,0,0.2,incorrect,hester,0,0.2,incorrect,hester,0,0.2,incorrect,goo,0,0.29,incorrect,hester,0,0.2,incorrect,noah,0,0.5,incorrect,huck,0,0.25,incorrect,john,0,0.25,incorrect,hester,0,0.2,incorrect,raha,0,0.5,incorrect,janine,0,0.2,incorrect,tom,0,0.29,incorrect,offred,0,0.4,incorrect,ahmet,0,0.22,incorrect,hester,0,0.2,incorrect,su,0,0.0,incorrect,offred,0,0.4,incorrect,hester,0,0.2,incorrect,hester,0,0.2,incorrect,hester,0,0.2,incorrect,goo,0,0.29,incorrect,noah,0,0.5,incorrect,john,0,0.25,incorrect,raha,0,0.5,incorrect,tom,0,0.29,incorrect,ahmet,0,0.22,incorrect,su,0,0.0,incorrect,hester,0,0.2,incorrect
['rita'],hester,0,0.2,incorrect,hester,0,0.2,incorrect,hester,0,0.2,incorrect,ebi,0,0.29,incorrect,hester,0,0.2,incorrect,kana,0,0.25,incorrect,hester,0,0.2,incorrect,hester,0,0.2,incorrect,hester,0,0.2,incorrect,ravi,0,0.5,incorrect,hester,0,0.2,incorrect,james,0,0.22,incorrect,celie,0,0.22,incorrect,orpheus,0,0.18,incorrect,offred,0,0.2,incorrect,orhan,0,0.44,incorrect,hester,0,0.2,incorrect,hung,0,0.0,incorrect,ofelia,0,0.4,incorrect,carne,0,0.22,incorrect,hester,0,0.2,incorrect,ebi,0,0.29,incorrect,kana,0,0.25,incorrect,hester,0,0.2,incorrect,ravi,0,0.5,incorrect,james,0,0.22,incorrect,orpheus,0,0.18,incorrect,orhan,0,0.44,incorrect,hung,0,0.0,incorrect,carne,0,0.22,incorrect
"['serena joy', 'joy', 'serena']",hester,0,0.5,incorrect,ukelele,0,0.31,incorrect,hannah,0,0.33,incorrect,emily,0,0.27,incorrect,soprano,0,0.47,incorrect,soprano,0,0.47,incorrect,hannah,0,0.33,incorrect,mary,0,0.29,incorrect,hannah,0,0.33,incorrect,mary,0,0.29,incorrect,charlotte,0,0.27,incorrect,hannah,0,0.33,incorrect,grace,0,0.36,incorrect,hymnal,0,0.33,incorrect,charlotte,0,0.27,incorrect,shirley,0,0.47,incorrect,doris,0,0.25,incorrect,phuc,0,0.0,incorrect,ruth,0,0.2,incorrect,inocentes,0,0.27,incorrect,ukelele,0,0.31,incorrect,emily,0,0.27,incorrect,soprano,0,0.47,incorrect,mary,0,0.29,incorrect,mary,0,0.29,incorrect,hannah,0,0.33,incorrect,hymnal,0,0.33,incorrect,shirley,0,0.47,incorrect,phuc,0,0.0,incorrect,inocentes,0,0.27,incorrect
['luke'],hester,0,0.2,incorrect,freedom,0,0.18,incorrect,hester,0,0.2,incorrect,bimbola,0,0.18,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect,hester,0,0.2,incorrect,noah,0,0.0,incorrect,hester,0,0.2,incorrect,ramesh,0,0.2,incorrect,hester,0,0.2,incorrect,hannah,0,0.0,incorrect,luke,1,1.0,correct,sunday,0,0.2,incorrect,hester,0,0.2,incorrect,ahmet,0,0.22,incorrect,ha,0,0.0,incorrect,hester,0,0.2,incorrect,juan,0,0.25,incorrect,hester,0,0.2,incorrect,freedom,0,0.18,incorrect,bimbola,0,0.18,incorrect,john,0,0.0,incorrect,noah,0,0.0,incorrect,ramesh,0,0.2,incorrect,hannah,0,0.0,incorrect,sunday,0,0.2,incorrect,ahmet,0,0.22,incorrect,hester,0,0.2,incorrect,hester,0,0.2,incorrect
"['tía lydia', 'lydia', 'lydia teyze', 'aunt', 'tía', 'teyze', 'aunt lydia']",hester,0,0.36,incorrect,freedom,0,0.33,incorrect,hannah,0,0.4,incorrect,olu,0,0.29,incorrect,hester,0,0.36,incorrect,kgololesego,0,0.27,incorrect,hester,0,0.36,incorrect,ti'amaraa,0,0.5,incorrect,hester,0,0.36,incorrect,gandhi,0,0.5,incorrect,huxley,0,0.38,incorrect,alexander,0,0.33,incorrect,aunt lydia,1,1.0,correct,patrick,0,0.4,incorrect,amca,0,0.31,incorrect,anarsi,0,0.4,incorrect,lydia,1,1.0,correct,gio,0,0.33,incorrect,aunt lydia,1,1.0,correct,libertad,0,0.46,incorrect,freedom,0,0.33,incorrect,olu,0,0.29,incorrect,kgololesego,0,0.27,incorrect,ti'amaraa,0,0.5,incorrect,gandhi,0,0.5,incorrect,alexander,0,0.33,incorrect,patrick,0,0.4,incorrect,anarsi,0,0.4,incorrect,gio,0,0.33,incorrect,libertad,0,0.46,incorrect
['janine'],hester,0,0.17,incorrect,hester,0,0.17,incorrect,hester,0,0.17,incorrect,michael,0,0.31,incorrect,hester,0,0.17,incorrect,thabo,0,0.18,incorrect,hester,0,0.17,incorrect,hiro,0,0.2,incorrect,hester,0,0.17,incorrect,rosa,0,0.2,incorrect,hester,0,0.17,incorrect,emily,0,0.18,incorrect,offred,0,0.17,incorrect,rose,0,0.2,incorrect,serena,0,0.17,incorrect,hester,0,0.17,incorrect,ha,0,0.25,incorrect,lan,0,0.44,incorrect,emma,0,0.2,incorrect,rosa,0,0.2,incorrect,hester,0,0.17,incorrect,michael,0,0.31,incorrect,thabo,0,0.18,incorrect,hiro,0,0.2,incorrect,rosa,0,0.2,incorrect,emily,0,0.18,incorrect,rose,0,0.2,incorrect,hester,0,0.17,incorrect,lan,0,0.44,incorrect,rosa,0,0.2,incorrect
['luke'],hester,0,0.2,incorrect,john,0,0.0,incorrect,hester,0,0.2,incorrect,hester,0,0.2,incorrect,ramotswe,0,0.17,incorrect,ramotswe,0,0.17,incorrect,hester,0,0.2,incorrect,hester,0,0.2,incorrect,hester,0,0.2,incorrect,john,0,0.0,incorrect,hester,0,0.2,incorrect,hester,0,0.2,incorrect,luke,1,1.0,correct,not,0,0.0,incorrect,hakan,0,0.22,incorrect,kasap,0,0.22,incorrect,huy,0,0.29,incorrect,hung,0,0.25,incorrect,hester,0,0.2,incorrect,hester,0,0.2,incorrect,john,0,0.0,incorrect,hester,0,0.2,incorrect,ramotswe,0,0.17,incorrect,hester,0,0.2,incorrect,john,0,0.0,incorrect,hester,0,0.2,incorrect,not,0,0.0,incorrect,kasap,0,0.22,incorrect,hung,0,0.25,incorrect,hester,0,0.2,incorrect
"['deglen', 'gleninki', 'ofglen']",hester,0,0.33,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,mary,0,0.0,incorrect,hester,0,0.33,incorrect,looks,0,0.31,incorrect,hester,0,0.33,incorrect,marie,0,0.18,incorrect,hester,0,0.33,incorrect,mohit,0,0.18,incorrect,hester,0,0.33,incorrect,sarah,0,0.0,incorrect,offred,0,0.5,incorrect,hester,0,0.33,incorrect,ahmet,0,0.18,incorrect,hester,0,0.33,incorrect,catherine,0,0.35,incorrect,hester,0,0.33,incorrect,ella,0,0.4,incorrect,maria,0,0.15,incorrect,hester,0,0.33,incorrect,mary,0,0.0,incorrect,looks,0,0.31,incorrect,marie,0,0.18,incorrect,mohit,0,0.18,incorrect,sarah,0,0.0,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,maria,0,0.15,incorrect
"['tía lydia', 'lydia', 'lydia teyze', 'aunt', 'tía', 'teyze', 'aunt lydia']",hester,0,0.36,incorrect,seo,0,0.25,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,boingotlo,0,0.32,incorrect,boingotlo,0,0.32,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,vinay,0,0.5,incorrect,vinay,0,0.5,incorrect,hester,0,0.36,incorrect,ny,0,0.33,incorrect,aunt lydia,1,1.0,correct,modesty,0,0.33,incorrect,baynes,0,0.4,incorrect,hester,0,0.36,incorrect,lan,0,0.57,incorrect,khiem,0,0.25,incorrect,hester,0,0.36,incorrect,recato,0,0.4,incorrect,seo,0,0.25,incorrect,hester,0,0.36,incorrect,boingotlo,0,0.32,incorrect,hester,0,0.36,incorrect,vinay,0,0.5,incorrect,ny,0,0.33,incorrect,modesty,0,0.33,incorrect,hester,0,0.36,incorrect,khiem,0,0.25,incorrect,recato,0,0.4,incorrect
