Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['celil', 'yalil', 'jalil']",joseph,0,0.18,incorrect,joseph,0,0.18,incorrect,yoruba,0,0.36,incorrect,olori,0,0.4,incorrect,joseph,0,0.18,incorrect,that,0,0.22,incorrect,paul,0,0.44,incorrect,david,0,0.4,incorrect,jesus,0,0.2,incorrect,harriet,0,0.33,incorrect,adam,0,0.22,incorrect,david,0,0.4,incorrect,joseph,0,0.18,incorrect,olori,0,0.4,incorrect,that,0,0.22,incorrect,david,0,0.4,incorrect,harriet,0,0.33,incorrect,david,0,0.4,incorrect,john,0,0.22,incorrect,john,0,0.22,incorrect,john,0,0.22,incorrect,abraham,0,0.17,incorrect,dat,0,0.25,incorrect,dinh,0,0.22,incorrect,john,0,0.22,incorrect,este,0,0.22,incorrect,john,0,0.22,incorrect,abraham,0,0.17,incorrect,dinh,0,0.22,incorrect,este,0,0.22,incorrect
"['mariam', 'mariam jo', 'co', 'meryem', 'jo', 'meryem co']",job,0,0.8,correct,uena,0,0.2,incorrect,yemoja,0,0.53,incorrect,olorun,0,0.25,incorrect,joseph,0,0.5,incorrect,malatsi,0,0.46,incorrect,jesus,0,0.29,incorrect,maui,0,0.6,incorrect,jesus,0,0.29,incorrect,jesus,0,0.29,incorrect,david,0,0.36,incorrect,ary,0,0.44,incorrect,uena,0,0.2,incorrect,olorun,0,0.25,incorrect,malatsi,0,0.46,incorrect,maui,0,0.6,incorrect,jesus,0,0.29,incorrect,ary,0,0.44,incorrect,god,0,0.4,incorrect,water,0,0.36,incorrect,isa,0,0.44,incorrect,meryem,1,1.0,correct,con,0,0.8,correct,con,0,0.8,correct,god,0,0.4,incorrect,prisa,0,0.55,incorrect,water,0,0.36,incorrect,meryem,1,1.0,correct,con,0,0.8,correct,prisa,0,0.55,incorrect
"['faizulá', 'faizu', 'mullah', 'faizullah', 'feyzullah', 'molla', 'mullah faizullah', 'molla feyzullah']",aladdin,0,0.43,incorrect,buttercup,0,0.22,incorrect,goldilocks,0,0.4,incorrect,buttercup,0,0.22,incorrect,aladdin,0,0.43,incorrect,david,0,0.4,incorrect,jesus,0,0.29,incorrect,terai,0,0.4,incorrect,helen,0,0.29,incorrect,ram,0,0.25,incorrect,david,0,0.4,incorrect,david,0,0.4,incorrect,buttercup,0,0.22,incorrect,buttercup,0,0.22,incorrect,david,0,0.4,incorrect,terai,0,0.4,incorrect,ram,0,0.25,incorrect,david,0,0.4,incorrect,ali,0,0.5,incorrect,scarecrow,0,0.17,incorrect,ali,0,0.5,incorrect,ali,0,0.5,incorrect,giao si,0,0.33,incorrect,giao,0,0.36,incorrect,mohammed,0,0.46,incorrect,ulema,0,0.55,incorrect,scarecrow,0,0.17,incorrect,ali,0,0.5,incorrect,giao,0,0.36,incorrect,ulema,0,0.55,incorrect
"['mil', 'celil', 'yalil', 'jalil']",abraham,0,0.2,incorrect,joseph,0,0.18,incorrect,samson,0,0.22,incorrect,samson,0,0.22,incorrect,samson,0,0.22,incorrect,hand,0,0.22,incorrect,elizabeth,0,0.43,incorrect,ua,0,0.29,incorrect,beauty,0,0.18,incorrect,jack,0,0.44,incorrect,rasiky,0,0.36,incorrect,madagascar,0,0.15,incorrect,joseph,0,0.18,incorrect,samson,0,0.22,incorrect,hand,0,0.22,incorrect,ua,0,0.29,incorrect,jack,0,0.44,incorrect,madagascar,0,0.15,incorrect,alice,0,0.6,incorrect,carver,0,0.36,incorrect,heathcliff,0,0.4,incorrect,alp,0,0.5,incorrect,do can,0,0.18,incorrect,phan,0,0.22,incorrect,heidi,0,0.4,incorrect,cano,0,0.22,incorrect,carver,0,0.36,incorrect,alp,0,0.5,incorrect,phan,0,0.22,incorrect,cano,0,0.22,incorrect
"['lili', 'lili mi', 'mi', 'lili lili']",minnow,0,0.5,incorrect,minnow,0,0.5,incorrect,minnow,0,0.5,incorrect,minnow,0,0.5,incorrect,minow,0,0.57,incorrect,minow,0,0.57,incorrect,minnow,0,0.5,incorrect,minnow,0,0.5,incorrect,pinocchio,0,0.31,incorrect,sea,0,0.0,incorrect,minnow,0,0.5,incorrect,minnow,0,0.5,incorrect,minnow,0,0.5,incorrect,minnow,0,0.5,incorrect,minow,0,0.57,incorrect,minnow,0,0.5,incorrect,sea,0,0.0,incorrect,minnow,0,0.5,incorrect,minnow,0,0.5,incorrect,minnow,0,0.5,incorrect,mirnav,0,0.5,incorrect,misir,0,0.57,incorrect,con,0,0.0,incorrect,nguoi,0,0.29,incorrect,minnow,0,0.5,incorrect,minnow,0,0.5,incorrect,minnow,0,0.5,incorrect,misir,0,0.57,incorrect,nguoi,0,0.29,incorrect,minnow,0,0.5,incorrect
"['mariam', 'mariam jo', 'co', 'meryem', 'jo', 'meryem co']",god,0,0.4,incorrect,mohlomong,0,0.33,incorrect,jesus,0,0.29,incorrect,hester,0,0.33,incorrect,mopodi,0,0.33,incorrect,gongwe,0,0.25,incorrect,joseph,0,0.5,incorrect,peneia'e,0,0.29,incorrect,mother,0,0.5,incorrect,quality,0,0.31,incorrect,marina,0,0.83,correct,ary,0,0.44,incorrect,mohlomong,0,0.33,incorrect,hester,0,0.33,incorrect,gongwe,0,0.25,incorrect,peneia'e,0,0.29,incorrect,quality,0,0.31,incorrect,ary,0,0.44,incorrect,christmas,0,0.4,incorrect,mother,0,0.5,incorrect,annen,0,0.18,incorrect,ses,0,0.22,incorrect,dien anh,0,0.29,incorrect,am,0,0.5,incorrect,carlos,0,0.5,incorrect,madre,0,0.55,incorrect,mother,0,0.5,incorrect,ses,0,0.22,incorrect,am,0,0.5,incorrect,madre,0,0.55,incorrect
"['gari', 'mariam', 'meryem', 'meryem gari']",aladdin,0,0.36,incorrect,cambridge,0,0.46,incorrect,aladdin,0,0.36,incorrect,aladdin,0,0.36,incorrect,winnie the pooh,0,0.23,incorrect,mercedes,0,0.57,incorrect,elizabeth,0,0.27,incorrect,elizabeth,0,0.27,incorrect,shakespeare,0,0.36,incorrect,shakespeare,0,0.36,incorrect,madagascar,0,0.43,incorrect,thegari,0,0.73,correct,cambridge,0,0.46,incorrect,aladdin,0,0.36,incorrect,mercedes,0,0.57,incorrect,elizabeth,0,0.27,incorrect,shakespeare,0,0.36,incorrect,thegari,0,0.73,correct,milan,0,0.55,incorrect,ali,0,0.57,incorrect,meryem,1,1.0,correct,meryem,1,1.0,correct,do,0,0.0,incorrect,tra,0,0.44,incorrect,el,0,0.25,incorrect,alfonsina,0,0.4,incorrect,ali,0,0.57,incorrect,meryem,1,1.0,correct,tra,0,0.44,incorrect,alfonsina,0,0.4,incorrect
"['khan', 'jan', 'yalil jan', 'chính', 'jalil khan', 'celil', 'jalil', 'han', 'celil han', 'chính jalil khan', 'yalil']",shebang,0,0.6,incorrect,shebang,0,0.6,incorrect,god,0,0.0,incorrect,yoruba,0,0.36,incorrect,god,0,0.0,incorrect,david,0,0.4,incorrect,god,0,0.0,incorrect,isaac,0,0.29,incorrect,john,0,0.57,incorrect,john,0,0.57,incorrect,jesus,0,0.25,incorrect,jesus,0,0.25,incorrect,shebang,0,0.6,incorrect,yoruba,0,0.36,incorrect,david,0,0.4,incorrect,isaac,0,0.29,incorrect,john,0,0.57,incorrect,jesus,0,0.25,incorrect,god,0,0.0,incorrect,dimmesdale,0,0.27,incorrect,adam,0,0.31,incorrect,adam,0,0.31,incorrect,jalil khan,1,1.0,correct,jalil,1,1.0,correct,el jefe,0,0.38,incorrect,albert,0,0.36,incorrect,dimmesdale,0,0.27,incorrect,adam,0,0.31,incorrect,jalil,1,1.0,correct,albert,0,0.36,incorrect
['nana'],job,0,0.0,incorrect,david,0,0.22,incorrect,jesus,0,0.0,incorrect,olu,0,0.0,incorrect,moses,0,0.0,incorrect,joseph,0,0.0,incorrect,joseph,0,0.0,incorrect,elizabeth,0,0.15,incorrect,madame,0,0.4,incorrect,shame,0,0.22,incorrect,jesus,0,0.0,incorrect,menatra,0,0.55,incorrect,david,0,0.22,incorrect,olu,0,0.0,incorrect,joseph,0,0.0,incorrect,elizabeth,0,0.15,incorrect,shame,0,0.22,incorrect,menatra,0,0.55,incorrect,mrs. gargiulo,0,0.12,incorrect,dimmesdale,0,0.14,incorrect,babasi,0,0.4,incorrect,goz,0,0.0,incorrect,nguoi,0,0.22,incorrect,phan,0,0.5,incorrect,emma,0,0.25,incorrect,madre,0,0.22,incorrect,dimmesdale,0,0.14,incorrect,goz,0,0.0,incorrect,phan,0,0.5,incorrect,madre,0,0.22,incorrect
"['mariam', 'mariam jo', 'co', 'meryem', 'jo', 'meryem co']",joseph,0,0.5,incorrect,u e,0,0.22,incorrect,jesus,0,0.29,incorrect,david,0,0.36,incorrect,godimo,0,0.4,incorrect,god,0,0.4,incorrect,god,0,0.4,incorrect,te vau,0,0.27,incorrect,elizabeth,0,0.27,incorrect,he,0,0.25,incorrect,jesus,0,0.29,incorrect,david,0,0.36,incorrect,u e,0,0.22,incorrect,david,0,0.36,incorrect,god,0,0.4,incorrect,te vau,0,0.27,incorrect,he,0,0.25,incorrect,david,0,0.36,incorrect,him,0,0.44,incorrect,emily,0,0.36,incorrect,emily,0,0.36,incorrect,ust,0,0.0,incorrect,em,0,0.5,incorrect,phong,0,0.29,incorrect,elizabeth,0,0.27,incorrect,elizabeth,0,0.27,incorrect,emily,0,0.36,incorrect,ust,0,0.0,incorrect,phong,0,0.29,incorrect,elizabeth,0,0.27,incorrect
