Single_ent,en_masked_shuffled_results,es_masked_shuffled_results,tr_masked_shuffled_results,vi_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,es_exact_match,es_highest_fuzzy_match,tr_exact_match,tr_highest_fuzzy_match,vi_exact_match,vi_highest_fuzzy_match,en_correct,es_correct,tr_correct,vi_correct
['caroline beaufort'],elizabeth,maría,ali,nguyễn,0,0.38,0,0.46,0,0.55,0,0.29,incorrect,incorrect,incorrect,incorrect
['elizabeth'],victor,ingolstadt,victor,victor,0,0.27,0,0.32,0,0.27,0,0.27,incorrect,incorrect,incorrect,incorrect
"['krempe', 'thần hủy hoạ', 'señor krempe', 'm']",victor,platón,profesör,victor,0,0.36,0,0.4,0,0.46,0,0.36,incorrect,incorrect,incorrect,incorrect
"['waldman', 'm', 'profesör waldman']",plato,newton,descartes,plato,0,0.33,0,0.31,0,0.35,0,0.33,incorrect,incorrect,incorrect,incorrect
"['krempe', 'señor krempe', 'm']",descartes,nietzsche,newton,nguyễn,0,0.29,0,0.29,0,0.36,0,0.36,incorrect,incorrect,incorrect,incorrect
['dante'],frankenstein,frankenstein,frankenstein,frankenstein,0,0.47,0,0.47,0,0.47,0,0.47,incorrect,incorrect,incorrect,incorrect
"['frankenstein', 'clerval']",emma,carlos,özdemir,frankenstein,0,0.36,0,0.46,0,0.29,1,1.0,incorrect,incorrect,incorrect,correct
['clerval'],victor,maría,emily,ngọc,0,0.31,0,0.33,0,0.33,0,0.18,incorrect,incorrect,incorrect,incorrect
['henry'],frankenstein,dios,god,nguyễn,0,0.24,0,0.0,0,0.0,0,0.36,incorrect,incorrect,incorrect,incorrect
"['clerval', 'querido clerval']",elizabeth,marx,sevgili,ngọc,0,0.25,0,0.18,0,0.43,0,0.21,incorrect,incorrect,incorrect,incorrect
['henry'],hamlet,dios,özdemir,ngọc,0,0.36,0,0.0,0,0.33,0,0.22,incorrect,incorrect,incorrect,incorrect
"['clerva', 'clerval']",byron,montaigne,edward,đông,0,0.18,0,0.13,0,0.33,0,0.0,incorrect,incorrect,incorrect,incorrect
['clerval'],geneva,corazón,i̇sviçre,geneva,0,0.46,0,0.43,0,0.29,0,0.46,incorrect,incorrect,incorrect,incorrect
['clerval'],god,wordsworth,i̇lkbahar,nguyễn,0,0.0,0,0.12,0,0.27,0,0.15,incorrect,incorrect,incorrect,incorrect
"['clerva', 'clerval']",elizabeth,carta,ali,nguyễn,0,0.27,0,0.55,0,0.4,0,0.17,incorrect,incorrect,incorrect,incorrect
['william'],mont,plainpalais,mont,geneva,0,0.18,0,0.33,0,0.18,0,0.15,incorrect,incorrect,incorrect,incorrect
['justine'],macbeth,equivocados,bay,ngọc,0,0.14,0,0.22,0,0.0,0,0.18,incorrect,incorrect,incorrect,incorrect
['justine'],elizabeth,maría,şaşkınlık,ngạc,0,0.25,0,0.17,0,0.38,0,0.18,incorrect,incorrect,incorrect,incorrect
['justine'],victor,edmundo,dracula,ngọc,0,0.15,0,0.29,0,0.14,0,0.18,incorrect,incorrect,incorrect,incorrect
['justine'],frankenstein,shakespeare,i̇sa,nguyễn,0,0.42,0,0.22,0,0.2,0,0.31,incorrect,incorrect,incorrect,incorrect
['elizabeth'],victor,belrive,victor,geneva,0,0.27,0,0.5,0,0.27,0,0.27,incorrect,incorrect,incorrect,incorrect
['elizabeth'],frankenstein,shakespeare,adem,nguyễn,0,0.29,0,0.3,0,0.31,0,0.13,incorrect,incorrect,incorrect,incorrect
"['félix', 'felix']",robinson,américa,çöl,nguyễn,0,0.15,0,0.33,0,0.25,0,0.18,incorrect,incorrect,incorrect,incorrect
"['félix', 'felix']",frankenstein,alí,i̇brahim,nguyễn,0,0.35,0,0.5,0,0.17,0,0.18,incorrect,incorrect,incorrect,incorrect
"['félix', 'felix']",elizabeth,voltaire,juliet,nguyễn,0,0.43,0,0.31,0,0.36,0,0.18,incorrect,incorrect,incorrect,incorrect
"['de lacey', 'de lace']",frankenstein,madrid,godric,nguyễn,0,0.25,0,0.25,0,0.31,0,0.25,incorrect,incorrect,incorrect,incorrect
"['de lacey', 'de lacey—']",emma,señor,olga,nguyễn,0,0.33,0,0.29,0,0.44,0,0.25,incorrect,incorrect,incorrect,incorrect
['de lacey'],elizabeth,padre,ali,nguyễn,0,0.47,0,0.57,0,0.25,0,0.25,incorrect,incorrect,incorrect,incorrect
"['félix', 'felix']",victor,padre,i̇stanbul,đông,0,0.18,0,0.2,0,0.15,0,0.0,incorrect,incorrect,incorrect,incorrect
['henry'],god,palabras,melek,nguyễn,0,0.0,0,0.15,0,0.2,0,0.36,incorrect,incorrect,incorrect,incorrect
"['clerval', 'ren']",derby,byron,alpler,derby,0,0.33,0,0.5,0,0.46,0,0.33,incorrect,incorrect,incorrect,incorrect
['henry'],frankenstein,johnson,highlander,scotland,0,0.24,0,0.33,0,0.4,0,0.15,incorrect,incorrect,incorrect,incorrect
['elizabeth'],victor,hamlet,i̇ntikam,viễn,0,0.27,0,0.4,0,0.25,0,0.31,incorrect,incorrect,incorrect,incorrect
"['mr kirwin', 'kirwin']",magistrate,carlos,shakespeare,nguyễn,0,0.33,0,0.25,0,0.24,0,0.17,incorrect,incorrect,incorrect,incorrect
"['daniel nugent', 'daniel nugen']",robinson,medio,i̇sa,nguyễn,0,0.31,0,0.36,0,0.22,0,0.73,incorrect,incorrect,incorrect,correct
['daniel'],frankenstein,la,adam,nguyễn,0,0.33,0,0.25,0,0.4,0,0.33,incorrect,incorrect,incorrect,incorrect
"['señor kirwin', 'mr kirwin', 'kirwin']",frankenstein,robinson,agatha,nguyễn,0,0.38,0,0.43,0,0.0,0,0.36,incorrect,incorrect,incorrect,incorrect
"['mr kirwin', 'kirwin']",frankenstein,robinson,dr.,đông,0,0.38,0,0.43,0,0.4,0,0.2,incorrect,incorrect,incorrect,incorrect
"['clerva', 'clerval']",frankenstein,edgar,şeytan,đức,0,0.22,0,0.36,0,0.33,0,0.22,incorrect,incorrect,incorrect,incorrect
"['señor kirwin', 'mr kirwin', 'kirwin']",darcy,marx,john,ông,0,0.29,0,0.67,0,0.25,0,0.27,incorrect,incorrect,incorrect,incorrect
"['mr kirwin', 'kirwin']",johnson,robinson,stromness,pháp,0,0.15,0,0.43,0,0.27,0,0.0,incorrect,incorrect,incorrect,incorrect
"['henry', 'henr']",victor,frankenstein,victor,victor,0,0.2,0,0.25,0,0.2,0,0.2,incorrect,incorrect,incorrect,incorrect
['elizabeth'],victor,shakespeare,i̇blis,nguyễn,0,0.27,0,0.3,0,0.29,0,0.13,incorrect,incorrect,incorrect,incorrect
"['elizabeth', 'eliz']",victor,fortuna,şeytan,nguyễn,0,0.27,0,0.12,0,0.27,0,0.2,incorrect,incorrect,incorrect,incorrect
['elizabeth'],elizabeth,hamlet,shelley,ngọc,1,1.0,0,0.4,0,0.38,0,0.0,correct,incorrect,incorrect,incorrect
['elizabeth'],lucifer,lucifer,frankenstein,quỷ,0,0.38,0,0.38,0,0.29,0,0.0,incorrect,incorrect,incorrect,incorrect
"['margaret', 'margare']",victor,shakespeare,shakespeare,đôi,0,0.15,0,0.44,0,0.44,0,0.0,incorrect,incorrect,incorrect,incorrect
"['margaret', 'margare']",elizabeth,dios,god,trời,0,0.35,0,0.0,0,0.2,0,0.18,incorrect,incorrect,incorrect,incorrect
['frankenstein'],parry,antártida,franklin,đông,0,0.12,0,0.38,0,0.7,0,0.12,incorrect,incorrect,correct,incorrect
['frankenstein'],edgar,hamlet,öbür,đức,0,0.12,0,0.33,0,0.12,0,0.0,incorrect,incorrect,incorrect,incorrect
['clerval'],victor,shakespeare,victor,nguyễn,0,0.31,0,0.22,0,0.31,0,0.15,incorrect,incorrect,incorrect,incorrect
