Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['snape', 'snape—']",shakespeare,0,0.5,incorrect,sebaka,0,0.36,incorrect,olodumare,0,0.29,incorrect,abraham,0,0.17,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,paul gauguin,0,0.12,incorrect,adam,0,0.22,incorrect,john,0,0.22,incorrect,godot,0,0.0,incorrect,minister,0,0.31,incorrect,ministera,0,0.29,incorrect,sebaka,0,0.36,incorrect,abraham,0,0.17,incorrect,god,0,0.0,incorrect,adam,0,0.22,incorrect,godot,0,0.0,incorrect,ministera,0,0.29,incorrect,snape,1,1.0,correct,home,0,0.22,incorrect,harry,0,0.2,incorrect,erdogan,0,0.17,incorrect,harry,0,0.2,incorrect,phat,0,0.22,incorrect,harry,0,0.2,incorrect,ministro,0,0.15,incorrect,home,0,0.22,incorrect,erdogan,0,0.17,incorrect,phat,0,0.22,incorrect,ministro,0,0.15,incorrect
"['snape', 'snape—']",moshoeshoe,0,0.27,incorrect,israel,0,0.55,incorrect,oliver,0,0.18,incorrect,shakespeare,0,0.5,incorrect,god,0,0.0,incorrect,israel,0,0.55,incorrect,abraham lincoln,0,0.1,incorrect,adam,0,0.22,incorrect,hitler,0,0.18,incorrect,god,0,0.0,incorrect,rakoto,0,0.18,incorrect,ministera,0,0.29,incorrect,israel,0,0.55,incorrect,shakespeare,0,0.5,incorrect,israel,0,0.55,incorrect,adam,0,0.22,incorrect,god,0,0.0,incorrect,ministera,0,0.29,incorrect,harry,0,0.2,incorrect,ministry,0,0.15,incorrect,hitler,0,0.18,incorrect,icisleri bakani,0,0.2,incorrect,hermione,0,0.31,incorrect,newton,0,0.36,incorrect,harry,0,0.2,incorrect,evita,0,0.2,incorrect,ministry,0,0.15,incorrect,icisleri bakani,0,0.2,incorrect,newton,0,0.36,incorrect,evita,0,0.2,incorrect
"['lucius malfoy', 'lucius', 'malfoy']",abel,0,0.4,incorrect,abel,0,0.4,incorrect,olodumare,0,0.36,incorrect,abraham,0,0.15,incorrect,abel,0,0.4,incorrect,israel,0,0.42,incorrect,adam,0,0.2,incorrect,abraham,0,0.15,incorrect,medusa,0,0.33,incorrect,shylock holmes,0,0.3,incorrect,adam,0,0.2,incorrect,abrahamy,0,0.29,incorrect,abel,0,0.4,incorrect,abraham,0,0.15,incorrect,israel,0,0.42,incorrect,abraham,0,0.15,incorrect,shylock holmes,0,0.3,incorrect,abrahamy,0,0.29,incorrect,heathcliff,0,0.38,incorrect,gollum,0,0.33,incorrect,medusa,0,0.33,incorrect,odin,0,0.2,incorrect,duc,0,0.44,incorrect,helios,0,0.5,incorrect,quasimodo,0,0.36,incorrect,medusa,0,0.33,incorrect,gollum,0,0.33,incorrect,odin,0,0.2,incorrect,helios,0,0.5,incorrect,medusa,0,0.33,incorrect
"['lucius', 'luciu']",morena,0,0.0,incorrect,israel,0,0.33,incorrect,abraham,0,0.0,incorrect,abrahamu,0,0.15,incorrect,abel,0,0.22,incorrect,abraham,0,0.0,incorrect,abraham,0,0.0,incorrect,abraham,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,job,0,0.0,incorrect,abrahamy,0,0.0,incorrect,israel,0,0.33,incorrect,abrahamu,0,0.15,incorrect,abraham,0,0.0,incorrect,abraham,0,0.0,incorrect,god,0,0.0,incorrect,abrahamy,0,0.0,incorrect,heathcliff,0,0.27,incorrect,god,0,0.0,incorrect,adem,0,0.0,incorrect,sen,0,0.22,incorrect,thien,0,0.2,incorrect,duc,0,0.5,incorrect,edmundo dantes,0,0.2,incorrect,maria,0,0.2,incorrect,god,0,0.0,incorrect,sen,0,0.22,incorrect,duc,0,0.5,incorrect,maria,0,0.2,incorrect
"['malfoys', 'malfoy']",israel,0,0.33,incorrect,israel,0,0.33,incorrect,abrahamu,0,0.14,incorrect,abraham,0,0.15,incorrect,abraham,0,0.15,incorrect,abraham,0,0.15,incorrect,abraham lincoln,0,0.29,incorrect,god,0,0.22,incorrect,shakespeare,0,0.22,incorrect,shakespeare,0,0.22,incorrect,abrahamy,0,0.29,incorrect,abrahamy,0,0.29,incorrect,israel,0,0.33,incorrect,abraham,0,0.15,incorrect,abraham,0,0.15,incorrect,god,0,0.22,incorrect,shakespeare,0,0.22,incorrect,abrahamy,0,0.29,incorrect,cromwell,0,0.29,incorrect,god,0,0.22,incorrect,yahudiler,0,0.27,incorrect,platon,0,0.33,incorrect,nguyen,0,0.17,incorrect,chang,0,0.18,incorrect,bolcheviques,0,0.21,incorrect,homero,0,0.33,incorrect,god,0,0.22,incorrect,platon,0,0.33,incorrect,chang,0,0.18,incorrect,homero,0,0.33,incorrect
"['draco malfoy', 'draco', 'malfoy']",god,0,0.25,incorrect,sebili,0,0.17,incorrect,abrahami,0,0.31,incorrect,jesus,0,0.0,incorrect,clinton,0,0.33,incorrect,clinton,0,0.33,incorrect,adam,0,0.44,incorrect,adam,0,0.44,incorrect,macduff,0,0.46,incorrect,god,0,0.25,incorrect,job,0,0.25,incorrect,adam,0,0.44,incorrect,sebili,0,0.17,incorrect,jesus,0,0.0,incorrect,clinton,0,0.33,incorrect,adam,0,0.44,incorrect,god,0,0.25,incorrect,adam,0,0.44,incorrect,laurence,0,0.31,incorrect,emily,0,0.55,incorrect,rezalet,0,0.33,incorrect,rezalet,0,0.33,incorrect,nguyen hong,0,0.17,incorrect,ngoc,0,0.22,incorrect,tomas,0,0.36,incorrect,adan,0,0.44,incorrect,emily,0,0.55,incorrect,rezalet,0,0.33,incorrect,ngoc,0,0.22,incorrect,adan,0,0.44,incorrect
"['hermione', 'hermione‘ye']",leseli,0,0.29,incorrect,jesus,0,0.15,incorrect,jesus,0,0.15,incorrect,jesus,0,0.15,incorrect,god,0,0.18,incorrect,jesus,0,0.15,incorrect,shakespeare,0,0.42,incorrect,adam,0,0.17,incorrect,angela,0,0.29,incorrect,albert einstein,0,0.43,incorrect,abrahamy,0,0.32,incorrect,adalbert,0,0.25,incorrect,jesus,0,0.15,incorrect,jesus,0,0.15,incorrect,jesus,0,0.15,incorrect,adam,0,0.17,incorrect,albert einstein,0,0.43,incorrect,adalbert,0,0.25,incorrect,severus,0,0.27,incorrect,harry,0,0.38,incorrect,harry,0,0.38,incorrect,harry potter,0,0.4,incorrect,mcgonagall,0,0.33,incorrect,freud,0,0.31,incorrect,severus,0,0.27,incorrect,merlin,0,0.57,incorrect,harry,0,0.38,incorrect,harry potter,0,0.4,incorrect,freud,0,0.31,incorrect,merlin,0,0.57,incorrect
['harry'],shakespeare,0,0.38,incorrect,khalefo,0,0.33,incorrect,jesus,0,0.0,incorrect,revulsion,0,0.14,incorrect,themba,0,0.36,incorrect,israel,0,0.18,incorrect,adam,0,0.22,incorrect,adam,0,0.22,incorrect,oliver twist,0,0.12,incorrect,charlotte,0,0.43,incorrect,abrahamy,0,0.46,incorrect,abrahamy,0,0.46,incorrect,khalefo,0,0.33,incorrect,revulsion,0,0.14,incorrect,israel,0,0.18,incorrect,adam,0,0.22,incorrect,charlotte,0,0.43,incorrect,abrahamy,0,0.46,incorrect,winston churchill,0,0.18,incorrect,hamlet,0,0.36,incorrect,emma,0,0.22,incorrect,shakespeare,0,0.38,incorrect,nguyen cong hoan,0,0.19,incorrect,newton,0,0.0,incorrect,don quijote,0,0.0,incorrect,medea,0,0.2,incorrect,hamlet,0,0.36,incorrect,shakespeare,0,0.38,incorrect,newton,0,0.0,incorrect,medea,0,0.2,incorrect
['harry'],samuel,0,0.18,incorrect,adam,0,0.22,incorrect,abrahami,0,0.31,incorrect,abraham,0,0.33,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,tom,0,0.0,incorrect,watt,0,0.22,incorrect,adam,0,0.22,incorrect,adama,0,0.2,incorrect,adam,0,0.22,incorrect,abraham,0,0.33,incorrect,god,0,0.0,incorrect,jesus,0,0.0,incorrect,watt,0,0.22,incorrect,adama,0,0.2,incorrect,bob,0,0.0,incorrect,wilson,0,0.0,incorrect,bayan stevens,0,0.22,incorrect,ali,0,0.25,incorrect,greenleaf,0,0.14,incorrect,duc,0,0.0,incorrect,don pedro,0,0.14,incorrect,mercurio,0,0.31,incorrect,wilson,0,0.0,incorrect,ali,0,0.25,incorrect,duc,0,0.0,incorrect,mercurio,0,0.31,incorrect
"['dumbledore‘un', 'dumbledore', 'albus dumbledore', 'albus dumbledore‘un', 'albus']",job,0,0.25,incorrect,abel,0,0.44,incorrect,abrahamu,0,0.46,incorrect,abraham,0,0.33,incorrect,god,0,0.15,incorrect,abraham,0,0.33,incorrect,adam,0,0.3,incorrect,adam,0,0.3,incorrect,washington,0,0.28,incorrect,plato,0,0.27,incorrect,abrahamy,0,0.31,incorrect,abrahamy,0,0.31,incorrect,abel,0,0.44,incorrect,abraham,0,0.33,incorrect,abraham,0,0.33,incorrect,adam,0,0.3,incorrect,plato,0,0.27,incorrect,abrahamy,0,0.31,incorrect,albus,1,1.0,correct,heathcliff,0,0.27,incorrect,elizabeth,0,0.29,incorrect,odysseus,0,0.31,incorrect,albus,1,1.0,correct,thoreau,0,0.4,incorrect,el director,0,0.44,incorrect,homero,0,0.38,incorrect,heathcliff,0,0.27,incorrect,odysseus,0,0.31,incorrect,thoreau,0,0.4,incorrect,homero,0,0.38,incorrect
"['harry—', 'harry']",abel,0,0.22,incorrect,moahloli,0,0.15,incorrect,abrahami,0,0.31,incorrect,abraham,0,0.33,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,abraham lincoln,0,0.2,incorrect,adam,0,0.22,incorrect,god,0,0.0,incorrect,godfather,0,0.29,incorrect,job,0,0.0,incorrect,god,0,0.0,incorrect,moahloli,0,0.15,incorrect,abraham,0,0.33,incorrect,god,0,0.0,incorrect,adam,0,0.22,incorrect,godfather,0,0.29,incorrect,god,0,0.0,incorrect,heathcliff,0,0.27,incorrect,godfather,0,0.29,incorrect,hamlet,0,0.36,incorrect,benim,0,0.0,incorrect,dat,0,0.25,incorrect,phuong,0,0.18,incorrect,clotilde,0,0.0,incorrect,madre,0,0.4,incorrect,godfather,0,0.29,incorrect,benim,0,0.0,incorrect,phuong,0,0.18,incorrect,madre,0,0.4,incorrect
