Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['nancy', 'bobofit', 'nancy bobofit']",samora machel,0,0.22,incorrect,koala,0,0.2,incorrect,yoruba,0,0.32,incorrect,obafemi awolowo,0,0.36,incorrect,matante,0,0.33,incorrect,mathibelle ramaphosa,0,0.18,incorrect,te arikinui ariki marama,0,0.22,incorrect,te ata,0,0.21,incorrect,shilpa shetty,0,0.23,incorrect,shni,0,0.24,incorrect,andrianavalona,0,0.32,incorrect,antananarivo,0,0.35,incorrect,koala,0,0.2,incorrect,obafemi awolowo,0,0.36,incorrect,mathibelle ramaphosa,0,0.18,incorrect,te ata,0,0.21,incorrect,shni,0,0.24,incorrect,antananarivo,0,0.35,incorrect,snicker,0,0.33,incorrect,will,0,0.18,incorrect,frederick william beechey,0,0.2,incorrect,istanbul,0,0.31,incorrect,ho chi minh,0,0.25,incorrect,tran quoc tuan,0,0.37,incorrect,chavez,0,0.18,incorrect,estela,0,0.18,incorrect,will,0,0.18,incorrect,istanbul,0,0.31,incorrect,tran quoc tuan,0,0.37,incorrect,estela,0,0.18,incorrect
"['brunner', 'bay', 'bay brunner']",platon,0,0.24,incorrect,albert einstein,0,0.38,incorrect,aristotle,0,0.3,incorrect,plato,0,0.25,incorrect,christopher columbus,0,0.22,incorrect,italian,0,0.22,incorrect,helen,0,0.17,incorrect,helen,0,0.17,incorrect,apollo,0,0.22,incorrect,aristtottl,0,0.19,incorrect,julien green,0,0.32,incorrect,julius caesar,0,0.3,incorrect,albert einstein,0,0.38,incorrect,plato,0,0.25,incorrect,italian,0,0.22,incorrect,helen,0,0.17,incorrect,aristtottl,0,0.19,incorrect,julius caesar,0,0.3,incorrect,mr. starnes,0,0.36,incorrect,dyslexia,0,0.21,incorrect,aristotle,0,0.3,incorrect,platon,0,0.24,incorrect,odin,0,0.18,incorrect,pham duy khiem,0,0.32,incorrect,tiro de arcilla,0,0.27,incorrect,teofilo,0,0.14,incorrect,dyslexia,0,0.21,incorrect,platon,0,0.24,incorrect,pham duy khiem,0,0.32,incorrect,teofilo,0,0.14,incorrect
"['brunner', 'bay', 'murmuré', 'bay brunner']",lebogang phiri,0,0.32,incorrect,matsobana,0,0.33,incorrect,princess diana,0,0.29,incorrect,princess diana,0,0.29,incorrect,keletso,0,0.14,incorrect,priscilla,0,0.17,incorrect,apia,0,0.29,incorrect,te vau,0,0.24,incorrect,genevieve,0,0.25,incorrect,janet,0,0.38,incorrect,france,0,0.46,incorrect,josephine baker,0,0.31,incorrect,matsobana,0,0.33,incorrect,princess diana,0,0.29,incorrect,priscilla,0,0.17,incorrect,te vau,0,0.24,incorrect,janet,0,0.38,incorrect,josephine baker,0,0.31,incorrect,malcolm,0,0.29,incorrect,john,0,0.18,incorrect,asli enver,0,0.48,incorrect,ozdemir asaf,0,0.21,incorrect,pham duy khanh,0,0.32,incorrect,tran thi trang,0,0.32,incorrect,carlos,0,0.24,incorrect,quito,0,0.17,incorrect,john,0,0.18,incorrect,ozdemir asaf,0,0.21,incorrect,tran thi trang,0,0.32,incorrect,quito,0,0.17,incorrect
"['brunner', 'bay', 'bay brunner']",david koloane,0,0.33,incorrect,lebohang moleko,0,0.31,incorrect,donald trump,0,0.35,incorrect,agnes ayodeji ogunbiyi,0,0.3,incorrect,samora machel,0,0.25,incorrect,samora machel,0,0.25,incorrect,te vaka o tahiti nui,0,0.19,incorrect,te papa,0,0.2,incorrect,eddms,0,0.17,incorrect,vaastuklaa,0,0.19,incorrect,andriamahazo,0,0.26,incorrect,malagasy,0,0.36,incorrect,lebohang moleko,0,0.31,incorrect,agnes ayodeji ogunbiyi,0,0.3,incorrect,samora machel,0,0.25,incorrect,te papa,0,0.2,incorrect,vaastuklaa,0,0.19,incorrect,malagasy,0,0.36,incorrect,stephen hawking,0,0.18,incorrect,michelangelo,0,0.26,incorrect,osman can yildirim,0,0.28,incorrect,sanatci,0,0.22,incorrect,nguyen dinh chieu,0,0.33,incorrect,nguyen sinh sac,0,0.27,incorrect,el museo,0,0.32,incorrect,el museo de arte moderno,0,0.23,incorrect,michelangelo,0,0.26,incorrect,sanatci,0,0.22,incorrect,nguyen sinh sac,0,0.27,incorrect,el museo de arte moderno,0,0.23,incorrect
"['bayan', 'dodds', 'señora', 'señora dodds', 'bayan dodds']",shane kruger,0,0.33,incorrect,samora machel,0,0.42,incorrect,mount vesuvius,0,0.24,incorrect,garlic,0,0.18,incorrect,matlala,0,0.33,incorrect,matlho,0,0.24,incorrect,andre barbeau,0,0.33,incorrect,saucisse,0,0.3,incorrect,samuel power,0,0.44,incorrect,jenaa,0,0.55,incorrect,sammy davis jr.,0,0.38,incorrect,japan,0,0.6,incorrect,samora machel,0,0.42,incorrect,garlic,0,0.18,incorrect,matlho,0,0.24,incorrect,saucisse,0,0.3,incorrect,jenaa,0,0.55,incorrect,japan,0,0.6,incorrect,lucy,0,0.22,incorrect,yellowstone,0,0.27,incorrect,mount vesuvius,0,0.24,incorrect,nefes,0,0.25,incorrect,pham van dong,0,0.5,incorrect,nguoi ngoai,0,0.35,incorrect,volcan,0,0.36,incorrect,el diablo,0,0.38,incorrect,yellowstone,0,0.27,incorrect,nefes,0,0.25,incorrect,nguoi ngoai,0,0.35,incorrect,el diablo,0,0.38,incorrect
"['señor', 'jackson', 'bay', 'señor jackson', 'bay jackson']",sheba,0,0.5,incorrect,lebogang mashile,0,0.37,incorrect,yinka ayefele,0,0.25,incorrect,jesus,0,0.33,incorrect,thabo maseko,0,0.43,incorrect,tweetswee,0,0.29,incorrect,te arikinui tamatoa vi,0,0.29,incorrect,te arikinui tuimalealiifano,0,0.25,incorrect,bigbs,0,0.25,incorrect,brtn kne,0,0.42,incorrect,andriamanelo,0,0.32,incorrect,andriamahazo,0,0.32,incorrect,lebogang mashile,0,0.37,incorrect,jesus,0,0.33,incorrect,tweetswee,0,0.29,incorrect,te arikinui tuimalealiifano,0,0.25,incorrect,brtn kne,0,0.42,incorrect,andriamahazo,0,0.32,incorrect,john,0,0.55,incorrect,wolfgang amadeus mozart,0,0.29,incorrect,ataturk,0,0.33,incorrect,ataturk,0,0.33,incorrect,pham van dong,0,0.42,incorrect,tran hung dao,0,0.33,incorrect,carlos,0,0.31,incorrect,boligrafo,0,0.36,incorrect,wolfgang amadeus mozart,0,0.29,incorrect,ataturk,0,0.33,incorrect,tran hung dao,0,0.33,incorrect,boligrafo,0,0.36,incorrect
"['bayan dodds', 'bayan', 'dodds']",anton make,0,0.29,incorrect,seleka,0,0.18,incorrect,stephen hawking,0,0.2,incorrect,osoose,0,0.36,incorrect,thabo maseko,0,0.26,incorrect,mathibelle ramaphosa,0,0.32,incorrect,samoa,0,0.4,incorrect,moorea,0,0.18,incorrect,shyam,0,0.4,incorrect,jenaa o,0,0.44,incorrect,freud,0,0.2,incorrect,freud,0,0.2,incorrect,seleka,0,0.18,incorrect,osoose,0,0.36,incorrect,mathibelle ramaphosa,0,0.32,incorrect,moorea,0,0.18,incorrect,jenaa o,0,0.44,incorrect,freud,0,0.2,incorrect,stephen king,0,0.17,incorrect,norman bates,0,0.35,incorrect,adnan menderes,0,0.48,incorrect,istanbul,0,0.31,incorrect,pham van dong,0,0.5,incorrect,nguyen dinh toan,0,0.37,incorrect,maria,0,0.4,incorrect,calderon,0,0.32,incorrect,norman bates,0,0.35,incorrect,istanbul,0,0.31,incorrect,nguyen dinh toan,0,0.37,incorrect,calderon,0,0.32,incorrect
"['bayan', 'dodds', 'señora', 'señora dodds', 'bayan dodds']",samora machel,0,0.42,incorrect,matsobana,0,0.43,incorrect,christine maggiore,0,0.33,incorrect,christian okoye,0,0.31,incorrect,leonardo da vinci,0,0.41,incorrect,francistown,0,0.27,incorrect,marquesas islands,0,0.36,incorrect,te ariki,0,0.29,incorrect,eddms,0,0.6,incorrect,mudaa,0,0.4,incorrect,antarctique,0,0.25,incorrect,jesus,0,0.24,incorrect,matsobana,0,0.43,incorrect,christian okoye,0,0.31,incorrect,francistown,0,0.27,incorrect,te ariki,0,0.29,incorrect,mudaa,0,0.4,incorrect,jesus,0,0.24,incorrect,dracula,0,0.33,incorrect,stephen king,0,0.33,incorrect,istanbul,0,0.31,incorrect,antarctika,0,0.38,incorrect,pham van,0,0.46,incorrect,pham van toan,0,0.42,incorrect,dracula,0,0.33,incorrect,los hermanos grimm,0,0.42,incorrect,stephen king,0,0.33,incorrect,antarctika,0,0.38,incorrect,pham van toan,0,0.42,incorrect,los hermanos grimm,0,0.42,incorrect
"['nancy', 'bobofit', 'nancy bobofit']",paris,0,0.22,incorrect,winnie the pooh,0,0.36,incorrect,michael jackson,0,0.21,incorrect,osama bin laden,0,0.3,incorrect,mathibeli mokgothu,0,0.32,incorrect,ds kamoreng,0,0.25,incorrect,david seymour,0,0.23,incorrect,te ua,0,0.2,incorrect,naam nishcit nhiin hai /  (uncertain),0,0.28,incorrect,ddiies,0,0.15,incorrect,changamire,0,0.27,incorrect,andriamanitra,0,0.38,incorrect,winnie the pooh,0,0.36,incorrect,osama bin laden,0,0.3,incorrect,ds kamoreng,0,0.25,incorrect,te ua,0,0.2,incorrect,ddiies,0,0.15,incorrect,andriamanitra,0,0.38,incorrect,her friends,0,0.25,incorrect,,0,0.75,correct,kim kardashian,0,0.21,incorrect,orson scott card,0,0.28,incorrect,hoa hoc,0,0.33,incorrect,pham van dong,0,0.31,incorrect,amigas,0,0.21,incorrect,me,0,0.0,incorrect,,0,0.75,correct,orson scott card,0,0.28,incorrect,pham van dong,0,0.31,incorrect,me,0,0.0,incorrect
"['brunner', 'bay', 'bay brunner']",europa,0,0.31,incorrect,god,0,0.0,incorrect,jesus christ,0,0.21,incorrect,pliny the elder,0,0.31,incorrect,thabo maseko,0,0.27,incorrect,thabo moleleki,0,0.24,incorrect,latino,0,0.24,incorrect,christopher columbus,0,0.22,incorrect,plato,0,0.25,incorrect,plato,0,0.25,incorrect,christianity,0,0.27,incorrect,julius caesar,0,0.3,incorrect,god,0,0.0,incorrect,pliny the elder,0,0.31,incorrect,thabo moleleki,0,0.24,incorrect,christopher columbus,0,0.22,incorrect,plato,0,0.25,incorrect,julius caesar,0,0.3,incorrect,mr. smith,0,0.12,incorrect,unknown,0,0.43,incorrect,seneca,0,0.31,incorrect,latince,0,0.33,incorrect,pham van donh,0,0.33,incorrect,nguyen dinh thien,0,0.33,incorrect,profesor smith,0,0.29,incorrect,francisco franco,0,0.3,incorrect,unknown,0,0.43,incorrect,latince,0,0.33,incorrect,nguyen dinh thien,0,0.33,incorrect,francisco franco,0,0.3,incorrect
