Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['alicia', 'alice']",alisa,0,0.73,correct,shakespeare,0,0.25,incorrect,robinson crusoe,0,0.3,incorrect,orunmila,0,0.29,incorrect,robinson crusoe,0,0.3,incorrect,adam,0,0.4,incorrect,paul,0,0.44,incorrect,paul,0,0.44,incorrect,alice,1,1.0,correct,aladdin,0,0.5,incorrect,alice,1,1.0,correct,galileo,0,0.67,incorrect,shakespeare,0,0.25,incorrect,orunmila,0,0.29,incorrect,adam,0,0.4,incorrect,paul,0,0.44,incorrect,aladdin,0,0.5,incorrect,galileo,0,0.67,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,aliya izzetbegovic,0,0.35,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,thuy kieu,0,0.29,incorrect,alicia,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,thuy kieu,0,0.29,incorrect,alice,1,1.0,correct
"['alicia', 'alice']",noah,0,0.22,incorrect,noah,0,0.22,incorrect,oliver twist,0,0.35,incorrect,jesus,0,0.2,incorrect,jesus,0,0.2,incorrect,job,0,0.0,incorrect,god,0,0.0,incorrect,abraham,0,0.31,incorrect,alice,1,1.0,correct,robert louis stevenson,0,0.22,incorrect,alice,1,1.0,correct,dracula,0,0.46,incorrect,noah,0,0.22,incorrect,jesus,0,0.2,incorrect,job,0,0.0,incorrect,abraham,0,0.31,incorrect,robert louis stevenson,0,0.22,incorrect,dracula,0,0.46,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,ali,0,0.75,correct,inci,0,0.6,incorrect,alice,1,1.0,correct,thuy kieu,0,0.29,incorrect,alicia,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,inci,0,0.6,incorrect,thuy kieu,0,0.29,incorrect,alice,1,1.0,correct
"['alicia', 'alice']",alice,1,1.0,correct,esther,0,0.18,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,pinocchio,0,0.4,incorrect,esther,0,0.18,incorrect,heathcliff,0,0.4,incorrect,abraham,0,0.31,incorrect,oliver twist,0,0.35,incorrect,croquet,0,0.33,incorrect,alice,1,1.0,correct,manoro,0,0.18,incorrect,esther,0,0.18,incorrect,alice,1,1.0,correct,esther,0,0.18,incorrect,abraham,0,0.31,incorrect,croquet,0,0.33,incorrect,manoro,0,0.18,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,charlie,0,0.67,incorrect,insan,0,0.36,incorrect,alice,1,1.0,correct,dong,0,0.0,incorrect,alicia,1,1.0,correct,maria,0,0.55,incorrect,alice,1,1.0,correct,insan,0,0.36,incorrect,dong,0,0.0,incorrect,maria,0,0.55,incorrect
"['alicia', 'alice']",alice,1,1.0,correct,jack,0,0.44,incorrect,alice,1,1.0,correct,goldilocks,0,0.4,incorrect,jack,0,0.44,incorrect,jesus,0,0.2,incorrect,job,0,0.0,incorrect,abraham,0,0.31,incorrect,alice,1,1.0,correct,eden,0,0.22,incorrect,alice,1,1.0,correct,adam,0,0.4,incorrect,jack,0,0.44,incorrect,goldilocks,0,0.4,incorrect,jesus,0,0.2,incorrect,abraham,0,0.31,incorrect,eden,0,0.22,incorrect,adam,0,0.4,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,dong,0,0.0,incorrect,alicia,1,1.0,correct,alicia,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,dong,0,0.0,incorrect,alicia,1,1.0,correct
"['alicia', 'alice']",pinocchio,0,0.4,incorrect,job,0,0.0,incorrect,orunmila,0,0.29,incorrect,jesus,0,0.2,incorrect,god,0,0.0,incorrect,job,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,emily,0,0.2,incorrect,hamlet,0,0.55,incorrect,job,0,0.0,incorrect,job,0,0.0,incorrect,job,0,0.0,incorrect,jesus,0,0.2,incorrect,job,0,0.0,incorrect,god,0,0.0,incorrect,hamlet,0,0.55,incorrect,job,0,0.0,incorrect,alice,1,1.0,correct,emily,0,0.2,incorrect,alice,1,1.0,correct,gulliver,0,0.46,incorrect,alice,1,1.0,correct,goldilocks,0,0.4,incorrect,alicia,1,1.0,correct,al,0,0.57,incorrect,emily,0,0.2,incorrect,gulliver,0,0.46,incorrect,goldilocks,0,0.4,incorrect,al,0,0.57,incorrect
['dodo'],themba,0,0.0,incorrect,shakespeare,0,0.0,incorrect,oliver twist,0,0.12,incorrect,god,0,0.57,incorrect,abraham lincoln,0,0.11,incorrect,god,0,0.57,incorrect,abraham,0,0.0,incorrect,god,0,0.57,incorrect,macbeth,0,0.0,incorrect,hamlet,0,0.0,incorrect,herodote,0,0.5,incorrect,god,0,0.57,incorrect,shakespeare,0,0.0,incorrect,god,0,0.57,incorrect,god,0,0.57,incorrect,god,0,0.57,incorrect,hamlet,0,0.0,incorrect,god,0,0.57,incorrect,chairman,0,0.0,incorrect,mr. chairman,0,0.0,incorrect,mustafa kemal,0,0.0,incorrect,mustafa kemal,0,0.0,incorrect,ong,0,0.29,incorrect,marx,0,0.0,incorrect,presidente,0,0.14,incorrect,europa,0,0.2,incorrect,mr. chairman,0,0.0,incorrect,mustafa kemal,0,0.0,incorrect,marx,0,0.0,incorrect,europa,0,0.2,incorrect
"['alicia', 'alice']",jack,0,0.44,incorrect,god,0,0.0,incorrect,noah,0,0.22,incorrect,noah,0,0.22,incorrect,samson,0,0.18,incorrect,god,0,0.0,incorrect,adam,0,0.4,incorrect,adam,0,0.4,incorrect,oliver twist,0,0.35,incorrect,lot,0,0.25,incorrect,noah,0,0.22,incorrect,noah,0,0.22,incorrect,god,0,0.0,incorrect,noah,0,0.22,incorrect,god,0,0.0,incorrect,adam,0,0.4,incorrect,lot,0,0.25,incorrect,noah,0,0.22,incorrect,alice,1,1.0,correct,estella,0,0.31,incorrect,robinson crusoe,0,0.3,incorrect,odul,0,0.22,incorrect,dong nhi,0,0.15,incorrect,charlie,0,0.67,incorrect,matilda,0,0.46,incorrect,loteria,0,0.46,incorrect,estella,0,0.31,incorrect,odul,0,0.22,incorrect,charlie,0,0.67,incorrect,loteria,0,0.46,incorrect
"['alicia', 'alice']",joanna baillie,0,0.42,incorrect,god,0,0.0,incorrect,abraham,0,0.31,incorrect,job,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,adam,0,0.4,incorrect,adam,0,0.4,incorrect,esther,0,0.18,incorrect,hamlet,0,0.55,incorrect,oliver twist,0,0.35,incorrect,adam,0,0.4,incorrect,god,0,0.0,incorrect,job,0,0.0,incorrect,god,0,0.0,incorrect,adam,0,0.4,incorrect,hamlet,0,0.55,incorrect,adam,0,0.4,incorrect,esther,0,0.18,incorrect,esther,0,0.18,incorrect,hamlet,0,0.55,incorrect,hamlet,0,0.55,incorrect,dong nhi,0,0.15,incorrect,minh,0,0.22,incorrect,alicia,1,1.0,correct,don quijote,0,0.25,incorrect,esther,0,0.18,incorrect,hamlet,0,0.55,incorrect,minh,0,0.22,incorrect,don quijote,0,0.25,incorrect
"['alicia', 'alice']",job,0,0.0,incorrect,job,0,0.0,incorrect,oliver twist,0,0.35,incorrect,abraham,0,0.31,incorrect,joseph,0,0.18,incorrect,abraham,0,0.31,incorrect,abraham,0,0.31,incorrect,adam,0,0.4,incorrect,pinocchio,0,0.4,incorrect,heathcliff,0,0.4,incorrect,adam,0,0.4,incorrect,adam,0,0.4,incorrect,job,0,0.0,incorrect,abraham,0,0.31,incorrect,abraham,0,0.31,incorrect,adam,0,0.4,incorrect,heathcliff,0,0.4,incorrect,adam,0,0.4,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,aladdin,0,0.5,incorrect,aladdin,0,0.5,incorrect,gulliver,0,0.46,incorrect,jesus,0,0.2,incorrect,alicia,1,1.0,correct,aladino,0,0.5,incorrect,alice,1,1.0,correct,aladdin,0,0.5,incorrect,jesus,0,0.2,incorrect,aladino,0,0.5,incorrect
"['alicia', 'alice']",morena,0,0.18,incorrect,jesus,0,0.2,incorrect,god,0,0.0,incorrect,abraham,0,0.31,incorrect,jesus,0,0.2,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,abraham,0,0.31,incorrect,heathcliff,0,0.4,incorrect,tom sawyer,0,0.27,incorrect,job,0,0.0,incorrect,andriamanitra,0,0.42,incorrect,jesus,0,0.2,incorrect,abraham,0,0.31,incorrect,god,0,0.0,incorrect,abraham,0,0.31,incorrect,tom sawyer,0,0.27,incorrect,andriamanitra,0,0.42,incorrect,alice,1,1.0,correct,caroline,0,0.62,incorrect,cocuk,0,0.2,incorrect,seneca,0,0.33,incorrect,duc phat,0,0.29,incorrect,thay,0,0.22,incorrect,alicia,1,1.0,correct,matilda,0,0.46,incorrect,caroline,0,0.62,incorrect,seneca,0,0.33,incorrect,thay,0,0.22,incorrect,matilda,0,0.46,incorrect
