Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct
['serena'],mask,0,0.2,incorrect,grandmother,0,0.24,incorrect,grandmother,0,0.24,incorrect
['serena'],she,0,0.44,incorrect,mrs. groom,0,0.25,incorrect,mrs. groom,0,0.25,incorrect
['vampyre'],were,0,0.36,incorrect,previous,0,0.4,incorrect,previous,0,0.4,incorrect
['lark'],councilman,0,0.29,incorrect,father.millisecond,0,0.18,incorrect,father.millisecond,0,0.18,incorrect
['cal'],someone,0,0.0,incorrect,manila,0,0.44,incorrect,manila,0,0.44,incorrect
['vampyres'],father,0,0.29,incorrect,father,0,0.29,incorrect,father,0,0.29,incorrect
['vampyres'],humans,0,0.29,incorrect,whose,0,0.15,incorrect,whose,0,0.15,incorrect
['davenport'],father,0,0.4,incorrect,father's,0,0.35,incorrect,father's,0,0.35,incorrect
['davenport'],governor,0,0.59,incorrect,governor,0,0.59,incorrect,governor,0,0.59,incorrect
['vampyres'],the human,0,0.12,incorrect,human,0,0.15,incorrect,human,0,0.15,incorrect
['abel'],her little brother,0,0.18,incorrect,river,0,0.22,incorrect,river,0,0.22,incorrect
['roscoe'],weres,0,0.36,incorrect,dogs,0,0.4,incorrect,dogs,0,0.4,incorrect
['roscoe'],savage,0,0.33,incorrect,he,0,0.25,incorrect,he,0,0.25,incorrect
['serena'],cat,0,0.22,incorrect,pierces,0,0.46,incorrect,pierces,0,0.46,incorrect
['vampyre'],alpha,0,0.33,incorrect,alpha,0,0.33,incorrect,alpha,0,0.33,incorrect
['serena'],mask,0,0.2,incorrect,mysterious,0,0.38,incorrect,mysterious,0,0.38,incorrect
['vampyres'],subject,0,0.13,incorrect,him,0,0.18,incorrect,him,0,0.18,incorrect
['essen'],councilman,0,0.13,incorrect,councilman,0,0.13,incorrect,councilman,0,0.13,incorrect
['davenport'],governor,0,0.59,incorrect,mrs. havisham,0,0.18,incorrect,mrs. havisham,0,0.18,incorrect
['vampyre'],governor,0,0.27,incorrect,asked,0,0.33,incorrect,asked,0,0.33,incorrect
['serena'],jane,0,0.2,incorrect,her,0,0.44,incorrect,her,0,0.44,incorrect
['moreland'],name,0,0.33,incorrect,heather,0,0.27,incorrect,heather,0,0.27,incorrect
['moreland'],he,0,0.2,incorrect,his,0,0.0,incorrect,his,0,0.0,incorrect
['vampyre'],were,0,0.36,incorrect,mother,0,0.31,incorrect,mother,0,0.31,incorrect
['moreland'],mask,0,0.33,incorrect,father,0,0.14,incorrect,father,0,0.14,incorrect
['moreland'],were,0,0.33,incorrect,child,0,0.31,incorrect,child,0,0.31,incorrect
['moreland'],he,0,0.2,incorrect,older,0,0.46,incorrect,older,0,0.46,incorrect
['lark'],miss,0,0.0,incorrect,he's,0,0.0,incorrect,he's,0,0.0,incorrect
['serena'],vampire,0,0.31,incorrect,vampyres,0,0.29,incorrect,vampyres,0,0.29,incorrect
['ana'],she,0,0.0,incorrect,she,0,0.0,incorrect,she,0,0.0,incorrect
['serena'],someone,0,0.46,incorrect,her,0,0.44,incorrect,her,0,0.44,incorrect
['juno'],riveting,0,0.17,incorrect,no,0,0.67,incorrect,no,0,0.67,incorrect
['ana'],serena,0,0.44,incorrect,serena,0,0.44,incorrect,serena,0,0.44,incorrect
['serena'],lisa,0,0.4,incorrect,mary,0,0.2,incorrect,mary,0,0.2,incorrect
['serena'],her,0,0.44,incorrect,she,0,0.44,incorrect,she,0,0.44,incorrect
['serena'],sister,0,0.5,incorrect,sister,0,0.5,incorrect,sister,0,0.5,incorrect
['serena'],herald,0,0.5,incorrect,herald,0,0.5,incorrect,herald,0,0.5,incorrect
['serena'],her,0,0.44,incorrect,rubbed,0,0.33,incorrect,rubbed,0,0.33,incorrect
['serena'],someone,0,0.46,incorrect,masks,0,0.18,incorrect,masks,0,0.18,incorrect
['serena'],we,0,0.25,incorrect,butterfly,0,0.27,incorrect,butterfly,0,0.27,incorrect
['serena'],mask,0,0.2,incorrect,i,0,0.0,incorrect,i,0,0.0,incorrect
['vampyres'],african americans,0,0.32,incorrect,nearly,0,0.29,incorrect,nearly,0,0.29,incorrect
['alex'],lowe,0,0.5,incorrect,lowe,0,0.5,incorrect,lowe,0,0.5,incorrect
['alex'],musk,0,0.0,incorrect,chase,0,0.44,incorrect,chase,0,0.44,incorrect
['alex'],alpha,0,0.44,incorrect,alphas,0,0.4,incorrect,alphas,0,0.4,incorrect
['serena'],misery,0,0.5,incorrect,misery,0,0.5,incorrect,misery,0,0.5,incorrect
['serena'],mask,0,0.2,incorrect,vampyres,0,0.29,incorrect,vampyres,0,0.29,incorrect
['l'],e. coli,0,0.25,incorrect,geocities,0,0.0,incorrect,geocities,0,0.0,incorrect
['serena'],someone,0,0.46,incorrect,governor,0,0.43,incorrect,governor,0,0.43,incorrect
['serena'],she,0,0.44,incorrect,she,0,0.44,incorrect,she,0,0.44,incorrect
['vampyres'],name,0,0.5,incorrect,he,0,0.2,incorrect,he,0,0.2,incorrect
['max'],lowe,0,0.0,incorrect,lowe,0,0.0,incorrect,lowe,0,0.0,incorrect
['max'],he,0,0.0,incorrect,he,0,0.0,incorrect,he,0,0.0,incorrect
['max'],hands,0,0.25,incorrect,my,0,0.4,incorrect,my,0,0.4,incorrect
['max'],jane,0,0.29,incorrect,it's,0,0.0,incorrect,it's,0,0.0,incorrect
['juno'],lowe,0,0.25,incorrect,lowe,0,0.25,incorrect,lowe,0,0.25,incorrect
