Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['snape', 'snape—']",thabo maseko,0,0.24,incorrect,sebaka,0,0.36,incorrect,ojogbon olusegun osobola olabanjo,0,0.16,incorrect,abuja,0,0.2,incorrect,king solomon,0,0.24,incorrect,lebogang phiri,0,0.21,incorrect,tuimoana rarahiapo,0,0.26,incorrect,te hau,0,0.18,incorrect,khlkhin,0,0.17,incorrect,ekttaa achi,0,0.12,incorrect,andriamahazo,0,0.24,incorrect,andriamahazo,0,0.24,incorrect,sebaka,0,0.36,incorrect,abuja,0,0.2,incorrect,lebogang phiri,0,0.21,incorrect,te hau,0,0.18,incorrect,ekttaa achi,0,0.12,incorrect,andriamahazo,0,0.24,incorrect,bode,0,0.22,incorrect,ministry of magic,0,0.18,incorrect,ozdemir,0,0.17,incorrect,abdulkadir aksu,0,0.1,incorrect,phan trong thuat,0,0.19,incorrect,giam doc hoi phap,0,0.18,incorrect,albus dumbledore,0,0.19,incorrect,ministerio caido menos,0,0.22,incorrect,ministry of magic,0,0.18,incorrect,abdulkadir aksu,0,0.1,incorrect,giam doc hoi phap,0,0.18,incorrect,ministerio caido menos,0,0.22,incorrect
"['snape', 'snape—']",matante,0,0.33,incorrect,ha taelo,0,0.31,incorrect,abdulaziz bin turki al saud,0,0.12,incorrect,yoruba,0,0.18,incorrect,modise,0,0.36,incorrect,thabo maseko,0,0.24,incorrect,teuruarii,0,0.14,incorrect,te imi,0,0.18,incorrect,o seho,0,0.36,incorrect,kepttn luiis elijaabeth,0,0.21,incorrect,andry rajoelina,0,0.3,incorrect,antananarivo,0,0.24,incorrect,ha taelo,0,0.31,incorrect,yoruba,0,0.18,incorrect,thabo maseko,0,0.24,incorrect,te imi,0,0.18,incorrect,kepttn luiis elijaabeth,0,0.21,incorrect,antananarivo,0,0.24,incorrect,lucius malfoy,0,0.22,incorrect,ministry,0,0.15,incorrect,onder sav,0,0.29,incorrect,ikiliyet,0,0.15,incorrect,pham thanh nghi,0,0.1,incorrect,nguyen van thieu,0,0.29,incorrect,alfonso,0,0.17,incorrect,ministerio,0,0.27,incorrect,ministry,0,0.15,incorrect,ikiliyet,0,0.15,incorrect,nguyen van thieu,0,0.29,incorrect,ministerio,0,0.27,incorrect
"['lucius malfoy', 'lucius', 'malfoy']",sheba,0,0.22,incorrect,ha,0,0.25,incorrect,obi ezekwesili,0,0.22,incorrect,ogunle fasola,0,0.32,incorrect,letlalo,0,0.46,incorrect,letlalo,0,0.46,incorrect,te auahi,0,0.29,incorrect,te ariki,0,0.19,incorrect,bjlaah,0,0.21,incorrect,bjlaah,0,0.21,incorrect,leviticus,0,0.53,incorrect,antananarivo,0,0.22,incorrect,ha,0,0.25,incorrect,ogunle fasola,0,0.32,incorrect,letlalo,0,0.46,incorrect,te ariki,0,0.19,incorrect,bjlaah,0,0.21,incorrect,antananarivo,0,0.22,incorrect,scrooge,0,0.2,incorrect,his,0,0.44,incorrect,mustafa kemal ataturk,0,0.35,incorrect,golgelendi,0,0.25,incorrect,pham van dong,0,0.32,incorrect,trong,0,0.18,incorrect,don quixote,0,0.25,incorrect,la chimenea,0,0.42,incorrect,his,0,0.44,incorrect,golgelendi,0,0.25,incorrect,trong,0,0.18,incorrect,la chimenea,0,0.42,incorrect
"['lucius', 'luciu']",matseleng,0,0.14,incorrect,matric,0,0.18,incorrect,oliver twist,0,0.33,incorrect,oliver twist,0,0.33,incorrect,thabo mooki,0,0.12,incorrect,lebogang phiri,0,0.21,incorrect,te arikinui ariiriki,0,0.16,incorrect,teri,0,0.22,incorrect,brittish,0,0.29,incorrect,shailendr jaaysl,0,0.18,incorrect,paris,0,0.36,incorrect,antananarivo,0,0.12,incorrect,matric,0,0.18,incorrect,oliver twist,0,0.33,incorrect,lebogang phiri,0,0.21,incorrect,teri,0,0.22,incorrect,shailendr jaaysl,0,0.18,incorrect,antananarivo,0,0.12,incorrect,dracula,0,0.33,incorrect,john locke,0,0.27,incorrect,aslan,0,0.2,incorrect,aslan,0,0.2,incorrect,pham van dong,0,0.0,incorrect,tran hung dao,0,0.11,incorrect,don quixote,0,0.25,incorrect,libertad,0,0.31,incorrect,john locke,0,0.27,incorrect,aslan,0,0.2,incorrect,tran hung dao,0,0.11,incorrect,libertad,0,0.31,incorrect
"['malfoys', 'malfoy']",thabo maseko,0,0.33,incorrect,matselagabedi,0,0.32,incorrect,awolowo,0,0.46,incorrect,yoruba proverbs,0,0.27,incorrect,mathibelle ramaphosa,0,0.37,incorrect,thatha lebega,0,0.21,incorrect,te arikinui ariki marama,0,0.13,incorrect,te arikinui ari'imate,0,0.15,incorrect,shaahrukhott,0,0.22,incorrect,raas bihaarii,0,0.2,incorrect,antarctique,0,0.12,incorrect,jesus,0,0.17,incorrect,matselagabedi,0,0.32,incorrect,yoruba proverbs,0,0.27,incorrect,thatha lebega,0,0.21,incorrect,te arikinui ari'imate,0,0.15,incorrect,raas bihaarii,0,0.2,incorrect,jesus,0,0.17,incorrect,vikings,0,0.14,incorrect,god,0,0.22,incorrect,parti erdogan,0,0.21,incorrect,ismet pasha,0,0.33,incorrect,ngo dinh diem,0,0.11,incorrect,nguyen van thieu,0,0.09,incorrect,los estatistas,0,0.29,incorrect,indira,0,0.17,incorrect,god,0,0.22,incorrect,ismet pasha,0,0.33,incorrect,nguyen van thieu,0,0.09,incorrect,indira,0,0.17,incorrect
"['draco malfoy', 'draco', 'malfoy']",sheba,0,0.2,incorrect,david,0,0.4,incorrect,yoruba,0,0.36,incorrect,michael jackson,0,0.38,incorrect,ady,0,0.44,incorrect,ady,0,0.44,incorrect,te arikinui ariiriki,0,0.19,incorrect,te hia,0,0.22,incorrect,prabhul chaudhary,0,0.34,incorrect,abodh hilaabait,0,0.3,incorrect,alexandre de rhodes,0,0.26,incorrect,antananarivo,0,0.25,incorrect,david,0,0.4,incorrect,michael jackson,0,0.38,incorrect,ady,0,0.44,incorrect,te hia,0,0.22,incorrect,abodh hilaabait,0,0.3,incorrect,antananarivo,0,0.25,incorrect,uncle vernon,0,0.25,incorrect,,0,0.25,incorrect,reza,0,0.44,incorrect,rezalet,0,0.33,incorrect,pham duy khiem,0,0.23,incorrect,nguyen du,0,0.14,incorrect,charlie chaplin,0,0.3,incorrect,laughter,0,0.15,incorrect,,0,0.25,incorrect,rezalet,0,0.33,incorrect,nguyen du,0,0.14,incorrect,laughter,0,0.15,incorrect
"['hermione', 'hermione‘ye']",leseli la merero,0,0.3,incorrect,phakisi,0,0.27,incorrect,oluwanlola olosunmori,0,0.14,incorrect,albert einstein,0,0.43,incorrect,matante,0,0.4,incorrect,sumatra,0,0.13,incorrect,robert louis stevenson,0,0.33,incorrect,maui,0,0.33,incorrect,iiraan,0,0.29,incorrect,raamro naam,0,0.42,incorrect,harry potter,0,0.4,incorrect,jesus christ,0,0.3,incorrect,phakisi,0,0.27,incorrect,albert einstein,0,0.43,incorrect,sumatra,0,0.13,incorrect,maui,0,0.33,incorrect,raamro naam,0,0.42,incorrect,jesus christ,0,0.3,incorrect,madam hooch,0,0.21,incorrect,harry potter,0,0.4,incorrect,araban,0,0.29,incorrect,sinir sinir bozuklugu,0,0.21,incorrect,thiet,0,0.46,incorrect,phan ke an,0,0.33,incorrect,merlin,0,0.57,incorrect,harry potter,0,0.4,incorrect,harry potter,0,0.4,incorrect,sinir sinir bozuklugu,0,0.21,incorrect,phan ke an,0,0.33,incorrect,harry potter,0,0.4,incorrect
['harry'],charles dickens,0,0.3,incorrect,khalefo,0,0.33,incorrect,william wordsworth,0,0.26,incorrect,william blake,0,0.11,incorrect,mathiba,0,0.33,incorrect,botswana,0,0.15,incorrect,te arikinui ariiriki,0,0.24,incorrect,te rangi-haapu,0,0.21,incorrect,nrendr modii,0,0.24,incorrect,caaru,0,0.4,incorrect,le monde,0,0.0,incorrect,le monde,0,0.0,incorrect,khalefo,0,0.33,incorrect,william blake,0,0.11,incorrect,botswana,0,0.15,incorrect,te rangi-haapu,0,0.21,incorrect,caaru,0,0.4,incorrect,le monde,0,0.0,incorrect,heisenberg,0,0.27,incorrect,william s. burroughs,0,0.24,incorrect,voltaire,0,0.31,incorrect,duvara,0,0.36,incorrect,ngoi,0,0.0,incorrect,nguyen du,0,0.14,incorrect,elias,0,0.2,incorrect,calderon,0,0.31,incorrect,william s. burroughs,0,0.24,incorrect,duvara,0,0.36,incorrect,nguyen du,0,0.14,incorrect,calderon,0,0.31,incorrect
['harry'],avigdor liberman,0,0.29,incorrect,david beckham,0,0.22,incorrect,thomas edison,0,0.22,incorrect,thomas edison,0,0.22,incorrect,andry rajoelina,0,0.3,incorrect,dr. mokgadi mokgatlhe,0,0.08,incorrect,te ariki,0,0.31,incorrect,momoni,0,0.0,incorrect,jorsn bjlaah,0,0.12,incorrect,john deere,0,0.27,incorrect,lainga,0,0.18,incorrect,lainga,0,0.18,incorrect,david beckham,0,0.22,incorrect,thomas edison,0,0.22,incorrect,dr. mokgadi mokgatlhe,0,0.08,incorrect,momoni,0,0.0,incorrect,john deere,0,0.27,incorrect,lainga,0,0.18,incorrect,mr. wilson,0,0.13,incorrect,neighbor's name,0,0.2,incorrect,yildiz tilbe,0,0.12,incorrect,arslan,0,0.36,incorrect,do quang dieu,0,0.11,incorrect,ngo gao cai ong co,0,0.09,incorrect,carlos,0,0.36,incorrect,el conde de lucanor,0,0.17,incorrect,neighbor's name,0,0.2,incorrect,arslan,0,0.36,incorrect,ngo gao cai ong co,0,0.09,incorrect,el conde de lucanor,0,0.17,incorrect
"['dumbledore‘un', 'dumbledore', 'albus dumbledore', 'albus dumbledore‘un', 'albus']",paris,0,0.4,incorrect,charles,0,0.5,incorrect,bob marley,0,0.4,incorrect,ogunle fagunwa,0,0.37,incorrect,bohol,0,0.27,incorrect,god,0,0.15,incorrect,te fare haapiiraa,0,0.22,incorrect,te ua,0,0.22,incorrect,naam nirdhaarit grieko chain /,0,0.24,incorrect,pher,0,0.29,incorrect,paris,0,0.4,incorrect,alaivo,0,0.36,incorrect,charles,0,0.5,incorrect,ogunle fagunwa,0,0.37,incorrect,god,0,0.15,incorrect,te ua,0,0.22,incorrect,pher,0,0.29,incorrect,alaivo,0,0.36,incorrect,albus dumbledore,1,1.0,correct,albus dumbledore,1,1.0,correct,paul newman,0,0.33,incorrect,hayal,0,0.4,incorrect,quang,0,0.22,incorrect,pham duy khiem,0,0.33,incorrect,carlos,0,0.55,incorrect,director,0,0.44,incorrect,albus dumbledore,1,1.0,correct,hayal,0,0.4,incorrect,pham duy khiem,0,0.33,incorrect,director,0,0.44,incorrect
