Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['smith', 'winston smith', 'winston']",nelson mandela,0,0.44,incorrect,nelson mandela,0,0.44,incorrect,nigeria,0,0.2,incorrect,heaven,0,0.18,incorrect,nelson mandela,0,0.44,incorrect,albert einstein,0,0.45,incorrect,victory,0,0.43,incorrect,victory,0,0.43,incorrect,vijay,0,0.2,incorrect,ram,0,0.25,incorrect,victory,0,0.43,incorrect,madagascar,0,0.13,incorrect,nelson mandela,0,0.44,incorrect,heaven,0,0.18,incorrect,albert einstein,0,0.45,incorrect,victory,0,0.43,incorrect,ram,0,0.25,incorrect,madagascar,0,0.13,incorrect,winston,1,1.0,correct,victory,0,0.43,incorrect,don kisot,0,0.45,incorrect,mart,0,0.44,incorrect,nguyen huu tho,0,0.37,incorrect,tran dang xuong,0,0.27,incorrect,heathcliff,0,0.27,incorrect,victoria,0,0.4,incorrect,victory,0,0.43,incorrect,mart,0,0.44,incorrect,tran dang xuong,0,0.27,incorrect,victoria,0,0.4,incorrect
['winston'],shakespeare,0,0.11,incorrect,esita,0,0.33,incorrect,ose,0,0.2,incorrect,yoruba,0,0.15,incorrect,ausi o go shebile,0,0.17,incorrect,south africa,0,0.21,incorrect,samoa,0,0.33,incorrect,samoa,0,0.33,incorrect,big brother,0,0.22,incorrect,virat kohli,0,0.33,incorrect,big brother,0,0.22,incorrect,jesus,0,0.17,incorrect,esita,0,0.33,incorrect,yoruba,0,0.15,incorrect,south africa,0,0.21,incorrect,samoa,0,0.33,incorrect,virat kohli,0,0.33,incorrect,jesus,0,0.17,incorrect,winston,1,1.0,correct,brother,0,0.14,incorrect,murat,0,0.17,incorrect,aslan,0,0.33,incorrect,duc,0,0.0,incorrect,duc thi,0,0.14,incorrect,el gran hermano,0,0.18,incorrect,odio,0,0.36,incorrect,brother,0,0.14,incorrect,aslan,0,0.33,incorrect,duc thi,0,0.14,incorrect,odio,0,0.36,incorrect
"['winston', 'wiston']",diary,0,0.18,incorrect,empa,0,0.0,incorrect,yoruba,0,0.17,incorrect,yoruba,0,0.17,incorrect,sebina,0,0.33,incorrect,south africa,0,0.22,incorrect,george orwell,0,0.11,incorrect,jesus,0,0.18,incorrect,walter white,0,0.33,incorrect,rabindranath tagore,0,0.31,incorrect,george orwell,0,0.11,incorrect,maria,0,0.18,incorrect,empa,0,0.0,incorrect,yoruba,0,0.17,incorrect,south africa,0,0.22,incorrect,jesus,0,0.18,incorrect,rabindranath tagore,0,0.31,incorrect,maria,0,0.18,incorrect,winston,1,1.0,correct,john,0,0.4,incorrect,elini,0,0.36,incorrect,kahrolsun,0,0.27,incorrect,ngu,0,0.22,incorrect,da,0,0.0,incorrect,emma,0,0.0,incorrect,hermano,0,0.29,incorrect,john,0,0.4,incorrect,kahrolsun,0,0.27,incorrect,da,0,0.0,incorrect,hermano,0,0.29,incorrect
"['señora parsons', 'bayan parsons', 'señora', 'parsons', 'bayan']",jesus,0,0.33,incorrect,moses,0,0.36,incorrect,nelson mandela,0,0.36,incorrect,nigeria,0,0.46,incorrect,starfleet,0,0.27,incorrect,jesus,0,0.33,incorrect,tamarii,0,0.33,incorrect,jesus,0,0.33,incorrect,ram,0,0.44,incorrect,ram,0,0.44,incorrect,samuel,0,0.33,incorrect,rakoto,0,0.33,incorrect,moses,0,0.36,incorrect,nigeria,0,0.46,incorrect,jesus,0,0.33,incorrect,jesus,0,0.33,incorrect,ram,0,0.44,incorrect,rakoto,0,0.33,incorrect,smith,0,0.18,incorrect,harry,0,0.4,incorrect,kardesim,0,0.4,incorrect,annem,0,0.4,incorrect,nguyen huu tho,0,0.3,incorrect,ngay,0,0.44,incorrect,winnie the pooh,0,0.29,incorrect,madre,0,0.33,incorrect,harry,0,0.4,incorrect,annem,0,0.4,incorrect,ngay,0,0.44,incorrect,madre,0,0.33,incorrect
['tom'],lesedi,0,0.0,incorrect,nelson mandela,0,0.24,incorrect,nigeria,0,0.0,incorrect,yoruba,0,0.22,incorrect,madiba,0,0.22,incorrect,god,0,0.33,incorrect,maori,0,0.25,incorrect,maori,0,0.25,incorrect,ram,0,0.33,incorrect,rahul,0,0.0,incorrect,madagascar,0,0.15,incorrect,maria,0,0.25,incorrect,nelson mandela,0,0.24,incorrect,yoruba,0,0.22,incorrect,god,0,0.33,incorrect,maori,0,0.25,incorrect,rahul,0,0.0,incorrect,maria,0,0.25,incorrect,john,0,0.29,incorrect,father,0,0.22,incorrect,bay,0,0.0,incorrect,ali,0,0.0,incorrect,anh ay,0,0.0,incorrect,nguyen,0,0.0,incorrect,juan,0,0.0,incorrect,inglaterra,0,0.15,incorrect,father,0,0.22,incorrect,ali,0,0.0,incorrect,nguyen,0,0.0,incorrect,inglaterra,0,0.15,incorrect
"['winston', 'eurasia']",albert einstein,0,0.45,incorrect,atlantis,0,0.27,incorrect,napoleon,0,0.4,incorrect,nato,0,0.55,incorrect,botswana,0,0.27,incorrect,botswana,0,0.27,incorrect,europe,0,0.46,incorrect,europe,0,0.46,incorrect,ukraine,0,0.57,incorrect,world cup,0,0.25,incorrect,united states,0,0.3,incorrect,japan,0,0.33,incorrect,atlantis,0,0.27,incorrect,nato,0,0.55,incorrect,botswana,0,0.27,incorrect,europe,0,0.46,incorrect,world cup,0,0.25,incorrect,japan,0,0.33,incorrect,winston,1,1.0,correct,stalingrad,0,0.35,incorrect,avrasya,0,0.57,incorrect,nato,0,0.55,incorrect,hitler,0,0.31,incorrect,churchill,0,0.38,incorrect,stalin,0,0.46,incorrect,stalingrado,0,0.33,incorrect,stalingrad,0,0.35,incorrect,nato,0,0.55,incorrect,churchill,0,0.38,incorrect,stalingrado,0,0.33,incorrect
['winston'],mararo,0,0.15,incorrect,ernest hemingway,0,0.35,incorrect,winston,1,1.0,correct,victoria beckham,0,0.26,incorrect,nelson mandela,0,0.38,incorrect,go,0,0.22,incorrect,jesus,0,0.17,incorrect,apostle,0,0.29,incorrect,donald trump,0,0.21,incorrect,shakespeare,0,0.11,incorrect,george orwell,0,0.1,incorrect,flashbox,0,0.27,incorrect,ernest hemingway,0,0.35,incorrect,victoria beckham,0,0.26,incorrect,go,0,0.22,incorrect,apostle,0,0.29,incorrect,shakespeare,0,0.11,incorrect,flashbox,0,0.27,incorrect,winston,1,1.0,correct,winston,1,1.0,correct,saat,0,0.36,incorrect,iskemle,0,0.29,incorrect,vien chuc nha nuoc,0,0.24,incorrect,dang,0,0.18,incorrect,winston,1,1.0,correct,maradona,0,0.27,incorrect,winston,1,1.0,correct,iskemle,0,0.29,incorrect,dang,0,0.18,incorrect,maradona,0,0.27,incorrect
"[""winston'ın"", 'winston’s', 'winston']",mele,0,0.0,incorrect,england,0,0.29,incorrect,george orwell,0,0.1,incorrect,wales,0,0.33,incorrect,engelane,0,0.27,incorrect,queen elizabeth ii,0,0.21,incorrect,maui,0,0.18,incorrect,elizabeth,0,0.25,incorrect,airstrip,0,0.44,incorrect,england,0,0.29,incorrect,angletera,0,0.25,incorrect,albert einstein,0,0.48,incorrect,england,0,0.29,incorrect,wales,0,0.33,incorrect,queen elizabeth ii,0,0.21,incorrect,elizabeth,0,0.25,incorrect,england,0,0.29,incorrect,albert einstein,0,0.48,incorrect,winston,1,1.0,correct,london,0,0.46,incorrect,havaussu,0,0.24,incorrect,harry potter,0,0.11,incorrect,thai binh duong,0,0.36,incorrect,england,0,0.29,incorrect,europa,0,0.15,incorrect,inglaterra,0,0.35,incorrect,london,0,0.46,incorrect,harry potter,0,0.11,incorrect,england,0,0.29,incorrect,inglaterra,0,0.35,incorrect
['winston'],colchester,0,0.24,incorrect,marie curie,0,0.11,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,marie curie,0,0.11,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,london,0,0.46,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,london,0,0.46,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect
['winston'],nelson mandela,0,0.38,incorrect,jesus,0,0.17,incorrect,yoruba,0,0.15,incorrect,yoruba,0,0.15,incorrect,moeketsi,0,0.13,incorrect,sebina,0,0.31,incorrect,taata,0,0.17,incorrect,jesus,0,0.17,incorrect,nepal,0,0.17,incorrect,nepal,0,0.17,incorrect,maria,0,0.17,incorrect,abraham lincoln,0,0.36,incorrect,jesus,0,0.17,incorrect,yoruba,0,0.15,incorrect,sebina,0,0.31,incorrect,jesus,0,0.17,incorrect,nepal,0,0.17,incorrect,abraham lincoln,0,0.36,incorrect,mr. pickwick,0,0.21,incorrect,amazon,0,0.31,incorrect,nese,0,0.36,incorrect,ataturk,0,0.14,incorrect,nguyen huy tuong,0,0.35,incorrect,nguyen,0,0.31,incorrect,don quijote,0,0.22,incorrect,amazon,0,0.31,incorrect,amazon,0,0.31,incorrect,ataturk,0,0.14,incorrect,nguyen,0,0.31,incorrect,amazon,0,0.31,incorrect
