Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['yalil', 'jalil', 'celil']",hao,0,0.25,incorrect,ke fuoa,0,0.17,incorrect,lori,0,0.44,incorrect,adehun,0,0.18,incorrect,the mask,0,0.15,incorrect,le,0,0.29,incorrect,ravehia,0,0.33,incorrect,tera,0,0.22,incorrect,someone,0,0.17,incorrect,kharpatarak,0,0.12,incorrect,fianakaviany,0,0.24,incorrect,hitanao,0,0.17,incorrect,ke fuoa,0,0.17,incorrect,adehun,0,0.18,incorrect,le,0,0.29,incorrect,tera,0,0.22,incorrect,kharpatarak,0,0.12,incorrect,hitanao,0,0.17,incorrect,name,0,0.22,incorrect,on,0,0.0,incorrect,name,0,0.22,incorrect,ancak,0,0.2,incorrect,me,0,0.29,incorrect,nuoc,0,0.22,incorrect,familia,0,0.5,incorrect,familia,0,0.5,incorrect,on,0,0.0,incorrect,ancak,0,0.2,incorrect,nuoc,0,0.22,incorrect,familia,0,0.5,incorrect
"['mariam jo', 'meryem', 'jo', 'mariam', 'co', 'meryem co']",uena,0,0.2,incorrect,mokatong,0,0.35,incorrect,iwo,0,0.4,incorrect,ati ohun mo,0,0.4,incorrect,fa ke sena,0,0.25,incorrect,malatsi,0,0.46,incorrect,aita outou,0,0.53,incorrect,fatata hau,0,0.32,incorrect,aham,0,0.6,incorrect,akbar,0,0.36,incorrect,rehefa,0,0.33,incorrect,ary,0,0.44,incorrect,mokatong,0,0.35,incorrect,ati ohun mo,0,0.4,incorrect,malatsi,0,0.46,incorrect,fatata hau,0,0.32,incorrect,akbar,0,0.36,incorrect,ary,0,0.44,incorrect,you,0,0.4,incorrect,[mask],0,0.33,incorrect,"sana gelince, [mask], hic acele etmedin kizini!",0,0.21,incorrect,tanri,0,0.55,incorrect,con,0,0.8,correct,con,0,0.8,correct,tu,0,0.0,incorrect,prisa,0,0.55,incorrect,[mask],0,0.33,incorrect,tanri,0,0.55,incorrect,con,0,0.8,correct,prisa,0,0.55,incorrect
"['molla feyzullah', 'molla', 'feyzullah', 'mullah faizullah', 'faizu', 'faizulá', 'faizullah', 'mullah']",na ke seo o se batlang?,0,0.26,incorrect,moriti,0,0.36,incorrect,se ohun,0,0.25,incorrect,se,0,0.18,incorrect,ake,0,0.25,incorrect,turkey,0,0.27,incorrect,tera,0,0.31,incorrect,rima,0,0.44,incorrect,ki,0,0.29,incorrect,akroa,0,0.4,incorrect,izany,0,0.5,incorrect,manondraka,0,0.4,incorrect,moriti,0,0.36,incorrect,se,0,0.18,incorrect,turkey,0,0.27,incorrect,rima,0,0.44,incorrect,akroa,0,0.4,incorrect,manondraka,0,0.4,incorrect,he,0,0.25,incorrect,her,0,0.22,incorrect,maskara,0,0.35,incorrect,istedigin sevecen,0,0.12,incorrect,giao si thay,0,0.32,incorrect,long,0,0.22,incorrect,ulema,0,0.55,incorrect,sombra,0,0.36,incorrect,her,0,0.22,incorrect,istedigin sevecen,0,0.12,incorrect,long,0,0.22,incorrect,sombra,0,0.36,incorrect
"['yalil', 'jalil', 'mil', 'celil']",carver,0,0.36,incorrect,tukang,0,0.18,incorrect,yoruba,0,0.36,incorrect,o tesiwaju,0,0.27,incorrect,she,0,0.25,incorrect,botlhokong,0,0.15,incorrect,masked person,0,0.12,incorrect,hawaii,0,0.36,incorrect,kona,0,0.22,incorrect,sunn,0,0.0,incorrect,vondwana,0,0.15,incorrect,sokitra,0,0.2,incorrect,tukang,0,0.18,incorrect,o tesiwaju,0,0.27,incorrect,botlhokong,0,0.15,incorrect,hawaii,0,0.36,incorrect,sunn,0,0.0,incorrect,sokitra,0,0.2,incorrect,she,0,0.25,incorrect,her,0,0.25,incorrect,zeynep,0,0.18,incorrect,buz,0,0.0,incorrect,vietnam,0,0.2,incorrect,roi,0,0.33,incorrect,mexico,0,0.44,incorrect,cantero,0,0.33,incorrect,her,0,0.25,incorrect,buz,0,0.0,incorrect,roi,0,0.33,incorrect,cantero,0,0.33,incorrect
"['lili mi', 'lili lili', 'mi', 'lili']",lutse,0,0.22,incorrect,minnow,0,0.5,incorrect,joko,0,0.0,incorrect,joko,0,0.0,incorrect,minow,0,0.57,incorrect,minow,0,0.57,incorrect,minnow,0,0.5,incorrect,samoa,0,0.29,incorrect,minnokermik,0,0.33,incorrect,panimela,0,0.33,incorrect,vorona,0,0.0,incorrect,nipetraka,0,0.18,incorrect,minnow,0,0.5,incorrect,joko,0,0.0,incorrect,minow,0,0.57,incorrect,samoa,0,0.29,incorrect,panimela,0,0.33,incorrect,nipetraka,0,0.18,incorrect,minnow,0,0.5,incorrect,sitting minnow,0,0.48,incorrect,mirnav,0,0.5,incorrect,ayagi mirnav,0,0.42,incorrect,con ca tue,0,0.12,incorrect,con son,0,0.14,incorrect,minnow,0,0.5,incorrect,minnow,0,0.5,incorrect,sitting minnow,0,0.48,incorrect,ayagi mirnav,0,0.42,incorrect,con son,0,0.14,incorrect,minnow,0,0.5,incorrect
"['mariam jo', 'meryem', 'jo', 'mariam', 'co', 'meryem co']",tsona,0,0.29,incorrect,molumo,0,0.4,incorrect,boya,0,0.33,incorrect,ati naa ebun,0,0.38,incorrect,mopodi,0,0.33,incorrect,gongwe,0,0.25,incorrect,samoa,0,0.43,incorrect,peneia'e,0,0.29,incorrect,another_gift_giver,0,0.25,incorrect,projector,0,0.44,incorrect,fanomezana,0,0.38,incorrect,fantatrao,0,0.44,incorrect,molumo,0,0.4,incorrect,ati naa ebun,0,0.38,incorrect,gongwe,0,0.25,incorrect,peneia'e,0,0.29,incorrect,projector,0,0.44,incorrect,fantatrao,0,0.44,incorrect,mother,0,0.5,incorrect,mother,0,0.5,incorrect,anne,0,0.2,incorrect,annen,0,0.18,incorrect,may chieu,0,0.44,incorrect,ong,0,0.4,incorrect,tu madre,0,0.43,incorrect,no,0,0.5,incorrect,mother,0,0.5,incorrect,annen,0,0.18,incorrect,ong,0,0.4,incorrect,no,0,0.5,incorrect
"['meryem', 'gari', 'meryem gari', 'mariam']",thegari,0,0.73,correct,thegari,0,0.73,correct,won,0,0.0,incorrect,won,0,0.0,incorrect,thegari,0,0.73,correct,moroka,0,0.5,incorrect,samoa,0,0.36,incorrect,falcon,0,0.2,incorrect,kaat-kaat,0,0.27,incorrect,purusa,0,0.33,incorrect,thegari,0,0.73,correct,teny tao,0,0.42,incorrect,thegari,0,0.73,correct,won,0,0.0,incorrect,moroka,0,0.5,incorrect,falcon,0,0.2,incorrect,purusa,0,0.33,incorrect,teny tao,0,0.42,incorrect,they,0,0.4,incorrect,pear's,0,0.4,incorrect,meryem,1,1.0,correct,yola,0,0.27,incorrect,ho,0,0.0,incorrect,tre,0,0.44,incorrect,gente,0,0.36,incorrect,gari,1,1.0,correct,pear's,0,0.4,incorrect,yola,0,0.27,incorrect,tre,0,0.44,incorrect,gari,1,1.0,correct
"['jalil', 'chính jalil khan', 'jalil khan', 'yalil', 'celil han', 'jan', 'yalil jan', 'chính', 'han', 'khan', 'celil']",shebang mona,0,0.4,incorrect,jwale,0,0.6,incorrect,wo mi,0,0.2,incorrect,se,0,0.29,incorrect,ntebeng,0,0.25,incorrect,jaanong,0,0.6,incorrect,ahi'o,0,0.4,incorrect,te faaho'i,0,0.32,incorrect,o,0,0.0,incorrect,khlkhin,0,0.55,incorrect,jereo,0,0.25,incorrect,amin'izao,0,0.33,incorrect,jwale,0,0.6,incorrect,se,0,0.29,incorrect,jaanong,0,0.6,incorrect,te faaho'i,0,0.32,incorrect,khlkhin,0,0.55,incorrect,amin'izao,0,0.33,incorrect,someone,0,0.25,incorrect,you,0,0.25,incorrect,adam,0,0.31,incorrect,anliyor,0,0.5,incorrect,jalil khan,1,1.0,correct,jalil,1,1.0,correct,el chofer,0,0.44,incorrect,chofer,0,0.36,incorrect,you,0,0.25,incorrect,anliyor,0,0.5,incorrect,jalil,1,1.0,correct,chofer,0,0.36,incorrect
['nana'],naolo,0,0.44,incorrect,hae,0,0.29,incorrect,oju,0,0.0,incorrect,oju,0,0.0,incorrect,tsela,0,0.22,incorrect,o mmaagwe,0,0.31,incorrect,to 'na metua vahine,0,0.26,incorrect,tau,0,0.29,incorrect,sharminda,0,0.46,incorrect,kona,0,0.5,incorrect,menatra,0,0.55,incorrect,menatra,0,0.55,incorrect,hae,0,0.29,incorrect,oju,0,0.0,incorrect,o mmaagwe,0,0.31,incorrect,tau,0,0.29,incorrect,kona,0,0.5,incorrect,menatra,0,0.55,incorrect,mother,0,0.0,incorrect,mother,0,0.0,incorrect,annesi,0,0.4,incorrect,annesi,0,0.4,incorrect,me,0,0.0,incorrect,me,0,0.0,incorrect,madre,0,0.22,incorrect,madre,0,0.22,incorrect,mother,0,0.0,incorrect,annesi,0,0.4,incorrect,me,0,0.0,incorrect,madre,0,0.22,incorrect
"['mariam jo', 'meryem', 'jo', 'mariam', 'co', 'meryem co']",u ka lula le 'na,0,0.24,incorrect,ke nahana,0,0.27,incorrect,o,0,0.67,incorrect,o,0,0.67,incorrect,a rialo,0,0.62,incorrect,tsamaya,0,0.46,incorrect,faa'ea,0,0.33,incorrect,french polynesia,0,0.32,incorrect,aham,0,0.6,incorrect,ahanta,0,0.33,incorrect,afaka,0,0.36,incorrect,rihanna,0,0.46,incorrect,ke nahana,0,0.27,incorrect,o,0,0.67,incorrect,tsamaya,0,0.46,incorrect,french polynesia,0,0.32,incorrect,ahanta,0,0.33,incorrect,rihanna,0,0.46,incorrect,him,0,0.44,incorrect,already,0,0.46,incorrect,benimle,0,0.31,incorrect,oda,0,0.4,incorrect,con,0,0.8,correct,bo,0,0.5,incorrect,tu,0,0.0,incorrect,nombresupositorio,0,0.31,incorrect,already,0,0.46,incorrect,oda,0,0.4,incorrect,bo,0,0.5,incorrect,nombresupositorio,0,0.31,incorrect
