Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['jalil', 'yalil', 'celil']",jesus,0,0.2,incorrect,jesus,0,0.2,incorrect,noah,0,0.22,incorrect,adehun,0,0.18,incorrect,tradition,0,0.29,incorrect,god,0,0.0,incorrect,tahiti,0,0.36,incorrect,tahiti,0,0.36,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,jesus,0,0.2,incorrect,andriamanitra,0,0.22,incorrect,jesus,0,0.2,incorrect,adehun,0,0.18,incorrect,god,0,0.0,incorrect,tahiti,0,0.36,incorrect,god,0,0.0,incorrect,andriamanitra,0,0.22,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,ben,0,0.25,incorrect,adem,0,0.22,incorrect,chua,0,0.22,incorrect,duc phat,0,0.15,incorrect,jesus,0,0.2,incorrect,jesus,0,0.2,incorrect,god,0,0.0,incorrect,adem,0,0.22,incorrect,duc phat,0,0.15,incorrect,jesus,0,0.2,incorrect
"['mariam jo', 'meryem co', 'mariam', 'co', 'jo', 'meryem']",god,0,0.4,incorrect,jesus,0,0.29,incorrect,jesus,0,0.29,incorrect,odin,0,0.33,incorrect,god,0,0.4,incorrect,god,0,0.4,incorrect,jesus,0,0.29,incorrect,tahiti,0,0.33,incorrect,god,0,0.4,incorrect,god,0,0.4,incorrect,god,0,0.4,incorrect,madagascar,0,0.38,incorrect,jesus,0,0.29,incorrect,odin,0,0.33,incorrect,god,0,0.4,incorrect,tahiti,0,0.33,incorrect,god,0,0.4,incorrect,madagascar,0,0.38,incorrect,doctor,0,0.5,incorrect,god,0,0.4,incorrect,baba,0,0.4,incorrect,muhammed,0,0.43,incorrect,duc,0,0.4,incorrect,duc,0,0.4,incorrect,hija,0,0.4,incorrect,dios,0,0.33,incorrect,god,0,0.4,incorrect,muhammed,0,0.43,incorrect,duc,0,0.4,incorrect,dios,0,0.33,incorrect
"['faizu', 'feyzullah', 'molla feyzullah', 'faizullah', 'faizulá', 'mullah faizullah', 'mullah', 'molla']",jesus,0,0.29,incorrect,jesus,0,0.29,incorrect,oliver,0,0.36,incorrect,alice,0,0.4,incorrect,mogolodi,0,0.46,incorrect,mohammed,0,0.46,incorrect,tahiti,0,0.36,incorrect,tahiti,0,0.36,incorrect,ram,0,0.25,incorrect,ram,0,0.25,incorrect,god,0,0.25,incorrect,god,0,0.25,incorrect,jesus,0,0.29,incorrect,alice,0,0.4,incorrect,mohammed,0,0.46,incorrect,tahiti,0,0.36,incorrect,ram,0,0.25,incorrect,god,0,0.25,incorrect,kahled,0,0.33,incorrect,eve,0,0.17,incorrect,ali,0,0.5,incorrect,ali,0,0.5,incorrect,phuoc,0,0.2,incorrect,than,0,0.22,incorrect,ali,0,0.5,incorrect,mahoma,0,0.55,incorrect,eve,0,0.17,incorrect,ali,0,0.5,incorrect,than,0,0.22,incorrect,mahoma,0,0.55,incorrect
"['mil', 'jalil', 'yalil', 'celil']",jesus,0,0.2,incorrect,jesus,0,0.2,incorrect,cinderella,0,0.53,incorrect,eve,0,0.25,incorrect,god,0,0.0,incorrect,eve,0,0.25,incorrect,adam,0,0.29,incorrect,tahiti,0,0.36,incorrect,shivaji,0,0.33,incorrect,ram,0,0.33,incorrect,adam,0,0.29,incorrect,madagascar,0,0.15,incorrect,jesus,0,0.2,incorrect,eve,0,0.25,incorrect,eve,0,0.25,incorrect,tahiti,0,0.36,incorrect,ram,0,0.33,incorrect,madagascar,0,0.15,incorrect,cersei,0,0.55,incorrect,eve,0,0.25,incorrect,odipus,0,0.22,incorrect,cehresinin,0,0.4,incorrect,cong chua,0,0.14,incorrect,thanh giuse,0,0.25,incorrect,eufrasia,0,0.31,incorrect,maria,0,0.5,incorrect,eve,0,0.25,incorrect,cehresinin,0,0.4,incorrect,thanh giuse,0,0.25,incorrect,maria,0,0.5,incorrect
"['lili lili', 'mi', 'lili', 'lili mi']",minnow,0,0.5,incorrect,jesus,0,0.0,incorrect,jack,0,0.0,incorrect,rock,0,0.0,incorrect,minow,0,0.57,incorrect,god,0,0.0,incorrect,tahiti,0,0.4,incorrect,tahiti,0,0.4,incorrect,minnu,0,0.57,incorrect,ram,0,0.4,incorrect,minnow,0,0.5,incorrect,antarctica,0,0.17,incorrect,jesus,0,0.0,incorrect,rock,0,0.0,incorrect,god,0,0.0,incorrect,tahiti,0,0.4,incorrect,ram,0,0.4,incorrect,antarctica,0,0.17,incorrect,minnow,0,0.5,incorrect,eve,0,0.0,incorrect,mirnav,0,0.5,incorrect,kizil,0,0.44,incorrect,dat,0,0.0,incorrect,viet nam,0,0.4,incorrect,minnow,0,0.5,incorrect,alice,0,0.44,incorrect,eve,0,0.0,incorrect,kizil,0,0.44,incorrect,viet nam,0,0.4,incorrect,alice,0,0.44,incorrect
"['mariam jo', 'meryem co', 'mariam', 'co', 'jo', 'meryem']",lea,0,0.22,incorrect,mohau,0,0.36,incorrect,youtube,0,0.31,incorrect,boya,0,0.33,incorrect,mopodi,0,0.33,incorrect,gongwe,0,0.25,incorrect,tahiti,0,0.33,incorrect,tahiti,0,0.33,incorrect,santa,0,0.36,incorrect,dolby,0,0.29,incorrect,andriamanitra,0,0.53,incorrect,andriamanitra,0,0.53,incorrect,mohau,0,0.36,incorrect,boya,0,0.33,incorrect,gongwe,0,0.25,incorrect,tahiti,0,0.33,incorrect,dolby,0,0.29,incorrect,andriamanitra,0,0.53,incorrect,son,0,0.4,incorrect,tv,0,0.0,incorrect,oglum,0,0.29,incorrect,turk telekom,0,0.33,incorrect,con,0,0.8,correct,duc,0,0.4,incorrect,hijo,0,0.67,incorrect,netflix,0,0.15,incorrect,tv,0,0.0,incorrect,turk telekom,0,0.33,incorrect,duc,0,0.4,incorrect,netflix,0,0.15,incorrect
"['meryem gari', 'gari', 'meryem', 'mariam']",london,0,0.0,incorrect,shanghai,0,0.5,incorrect,london,0,0.0,incorrect,aladdin,0,0.36,incorrect,inspector gadget,0,0.37,incorrect,egypt,0,0.36,incorrect,ali baba,0,0.43,incorrect,tahiti,0,0.4,incorrect,patna,0,0.36,incorrect,albert einstein,0,0.32,incorrect,delhi,0,0.25,incorrect,madagascar,0,0.43,incorrect,shanghai,0,0.5,incorrect,aladdin,0,0.36,incorrect,egypt,0,0.36,incorrect,tahiti,0,0.4,incorrect,albert einstein,0,0.32,incorrect,madagascar,0,0.43,incorrect,mongol,0,0.24,incorrect,marrakech,0,0.53,incorrect,meryem,1,1.0,correct,ankara,0,0.5,incorrect,nguyen nhat anh,0,0.31,incorrect,tran hung dao,0,0.33,incorrect,ellas,0,0.25,incorrect,marruecos,0,0.4,incorrect,marrakech,0,0.53,incorrect,ankara,0,0.5,incorrect,tran hung dao,0,0.33,incorrect,marruecos,0,0.4,incorrect
"['celil han', 'jan', 'han', 'jalil khan', 'celil', 'jalil', 'khan', 'yalil jan', 'yalil', 'chính', 'chính jalil khan']",jesus,0,0.25,incorrect,god,0,0.0,incorrect,jesus,0,0.25,incorrect,god,0,0.0,incorrect,jaanong,0,0.6,incorrect,morwa,0,0.25,incorrect,tahiti,0,0.36,incorrect,tahiti,0,0.36,incorrect,maan,0,0.57,incorrect,ram,0,0.33,incorrect,andriamanitra,0,0.36,incorrect,andriamanitra,0,0.36,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,morwa,0,0.25,incorrect,tahiti,0,0.36,incorrect,ram,0,0.33,incorrect,andriamanitra,0,0.36,incorrect,dad,0,0.33,incorrect,jesus,0,0.25,incorrect,babam,0,0.29,incorrect,allah,0,0.6,incorrect,jalil khan,1,1.0,correct,jalil,1,1.0,correct,el jefe,0,0.38,incorrect,jesus,0,0.25,incorrect,jesus,0,0.25,incorrect,allah,0,0.6,incorrect,jalil,1,1.0,correct,jesus,0,0.25,incorrect
['nana'],jesus,0,0.0,incorrect,morena,0,0.4,incorrect,jesus,0,0.0,incorrect,orun,0,0.25,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,tahiti,0,0.2,incorrect,tahiti,0,0.2,incorrect,god,0,0.0,incorrect,lord rama,0,0.31,incorrect,god,0,0.0,incorrect,malagasy,0,0.33,incorrect,morena,0,0.4,incorrect,orun,0,0.25,incorrect,god,0,0.0,incorrect,tahiti,0,0.2,incorrect,lord rama,0,0.31,incorrect,malagasy,0,0.33,incorrect,her father,0,0.14,incorrect,eve,0,0.0,incorrect,annesi,0,0.4,incorrect,goz,0,0.0,incorrect,nhan,0,0.75,correct,de,0,0.0,incorrect,su padre,0,0.17,incorrect,jesus,0,0.0,incorrect,eve,0,0.0,incorrect,goz,0,0.0,incorrect,de,0,0.0,incorrect,jesus,0,0.0,incorrect
"['mariam jo', 'meryem co', 'mariam', 'co', 'jo', 'meryem']",jesus,0,0.29,incorrect,jesus,0,0.29,incorrect,abraham,0,0.62,incorrect,moses,0,0.36,incorrect,god,0,0.4,incorrect,god,0,0.4,incorrect,tahiti,0,0.33,incorrect,tahiti,0,0.33,incorrect,ram,0,0.67,incorrect,god,0,0.4,incorrect,andriamanitra,0,0.53,incorrect,god,0,0.4,incorrect,jesus,0,0.29,incorrect,moses,0,0.36,incorrect,god,0,0.4,incorrect,tahiti,0,0.33,incorrect,god,0,0.4,incorrect,god,0,0.4,incorrect,emily,0,0.36,incorrect,god,0,0.4,incorrect,arkadasim,0,0.53,incorrect,turkiye,0,0.46,incorrect,anh,0,0.22,incorrect,duc,0,0.4,incorrect,alejandro,0,0.36,incorrect,jesus,0,0.29,incorrect,god,0,0.4,incorrect,turkiye,0,0.46,incorrect,duc,0,0.4,incorrect,jesus,0,0.29,incorrect
"['bibi', 'co', 'jo', 'bibi co', 'bibi jo']",noah,0,0.33,incorrect,africa,0,0.31,incorrect,olodumare,0,0.18,incorrect,olodumare,0,0.18,incorrect,she,0,0.0,incorrect,she,0,0.0,incorrect,tahiti,0,0.4,incorrect,tahiti,0,0.4,incorrect,ram,0,0.0,incorrect,ramayana,0,0.0,incorrect,andriamanitra,0,0.24,incorrect,andriamahilala,0,0.22,incorrect,africa,0,0.31,incorrect,olodumare,0,0.18,incorrect,she,0,0.0,incorrect,tahiti,0,0.4,incorrect,ramayana,0,0.0,incorrect,andriamahilala,0,0.22,incorrect,jo,1,1.0,correct,hospital,0,0.2,incorrect,ogretmen,0,0.2,incorrect,yagmur,0,0.0,incorrect,ba,0,0.33,incorrect,den,0,0.0,incorrect,sancho,0,0.5,incorrect,jesus,0,0.29,incorrect,hospital,0,0.2,incorrect,yagmur,0,0.0,incorrect,den,0,0.0,incorrect,jesus,0,0.29,incorrect
"['nergis', 'nargis']",thomas,0,0.33,incorrect,jesus,0,0.36,incorrect,odin,0,0.2,incorrect,orunmila,0,0.29,incorrect,jesus,0,0.36,incorrect,god,0,0.22,incorrect,tahiti,0,0.33,incorrect,tahiti,0,0.33,incorrect,ram,0,0.22,incorrect,ram,0,0.22,incorrect,salomona,0,0.29,incorrect,salomona,0,0.29,incorrect,jesus,0,0.36,incorrect,orunmila,0,0.29,incorrect,god,0,0.22,incorrect,tahiti,0,0.33,incorrect,ram,0,0.22,incorrect,salomona,0,0.29,incorrect,he,0,0.25,incorrect,ness,0,0.6,incorrect,ozdemir asaf,0,0.33,incorrect,tarik,0,0.55,incorrect,nguoi ke,0,0.43,incorrect,nguyen,0,0.33,incorrect,el narrador,0,0.35,incorrect,jesus,0,0.36,incorrect,ness,0,0.6,incorrect,tarik,0,0.55,incorrect,nguyen,0,0.33,incorrect,jesus,0,0.36,incorrect
"['jalil', 'yalil', 'celil']",mahindu,0,0.33,incorrect,mahindu,0,0.33,incorrect,ramayana,0,0.31,incorrect,india,0,0.2,incorrect,god,0,0.0,incorrect,jesus,0,0.2,incorrect,adam,0,0.22,incorrect,tahiti,0,0.36,incorrect,she,0,0.25,incorrect,ramayana,0,0.31,incorrect,andriamanitra,0,0.22,incorrect,andriamahilani,0,0.32,incorrect,mahindu,0,0.33,incorrect,india,0,0.2,incorrect,jesus,0,0.2,incorrect,tahiti,0,0.36,incorrect,ramayana,0,0.31,incorrect,andriamahilani,0,0.32,incorrect,he,0,0.29,incorrect,man,0,0.25,incorrect,raj,0,0.25,incorrect,rama,0,0.22,incorrect,ong ta,0,0.18,incorrect,duc,0,0.25,incorrect,el,0,0.57,incorrect,madrid,0,0.36,incorrect,man,0,0.25,incorrect,rama,0,0.22,incorrect,duc,0,0.25,incorrect,madrid,0,0.36,incorrect
