Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
['paul'],abel,0,0.5,incorrect,israel,0,0.4,incorrect,oduduwa,0,0.18,incorrect,abraham,0,0.18,incorrect,god,0,0.0,incorrect,facebook,0,0.17,incorrect,adam,0,0.25,incorrect,abraham,0,0.18,incorrect,god,0,0.0,incorrect,newton,0,0.0,incorrect,adam,0,0.25,incorrect,abrahamy,0,0.17,incorrect,israel,0,0.4,incorrect,abraham,0,0.18,incorrect,facebook,0,0.17,incorrect,abraham,0,0.18,incorrect,newton,0,0.0,incorrect,abrahamy,0,0.17,incorrect,odysseus,0,0.17,incorrect,odysseus,0,0.17,incorrect,medusa,0,0.2,incorrect,zeus,0,0.25,incorrect,thach,0,0.22,incorrect,thien,0,0.0,incorrect,la llorona,0,0.29,incorrect,helena,0,0.2,incorrect,odysseus,0,0.17,incorrect,zeus,0,0.25,incorrect,thien,0,0.0,incorrect,helena,0,0.2,incorrect
['paul'],arrakeen,0,0.17,incorrect,pluto,0,0.44,incorrect,abrahamu adesina,0,0.2,incorrect,abraham,0,0.18,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,abraham lincoln,0,0.21,incorrect,adam,0,0.25,incorrect,nostradamus,0,0.27,incorrect,charlie chaplin,0,0.21,incorrect,abrahamy,0,0.17,incorrect,abrahamy,0,0.17,incorrect,pluto,0,0.44,incorrect,abraham,0,0.18,incorrect,god,0,0.0,incorrect,adam,0,0.25,incorrect,charlie chaplin,0,0.21,incorrect,abrahamy,0,0.17,incorrect,paul,1,1.0,correct,nostradamus,0,0.27,incorrect,paul,1,1.0,correct,paul,1,1.0,correct,paul,1,1.0,correct,arrakeen,0,0.17,incorrect,edgar allan poe,0,0.21,incorrect,orfeo,0,0.0,incorrect,nostradamus,0,0.27,incorrect,paul,1,1.0,correct,arrakeen,0,0.17,incorrect,orfeo,0,0.0,incorrect
['paul'],god,0,0.0,incorrect,jesus,0,0.22,incorrect,plato,0,0.44,incorrect,plato,0,0.44,incorrect,god,0,0.0,incorrect,elon musk,0,0.15,incorrect,charles darwin,0,0.22,incorrect,charles darwin,0,0.22,incorrect,deepak chopra,0,0.24,incorrect,charles darwin,0,0.22,incorrect,grid,0,0.0,incorrect,abraham,0,0.18,incorrect,jesus,0,0.22,incorrect,plato,0,0.44,incorrect,elon musk,0,0.15,incorrect,charles darwin,0,0.22,incorrect,charles darwin,0,0.22,incorrect,abraham,0,0.18,incorrect,paul atreides,0,0.47,incorrect,cartesian,0,0.15,incorrect,buda,0,0.25,incorrect,epikur,0,0.4,incorrect,thich ca mau ni,0,0.21,incorrect,freud,0,0.22,incorrect,eliah,0,0.22,incorrect,freud,0,0.22,incorrect,cartesian,0,0.15,incorrect,epikur,0,0.4,incorrect,freud,0,0.22,incorrect,freud,0,0.22,incorrect
['jessica'],mohumi,0,0.15,incorrect,ulysses,0,0.29,incorrect,abrahami,0,0.13,incorrect,abrahami,0,0.13,incorrect,she,0,0.2,incorrect,she,0,0.2,incorrect,abraham lincoln,0,0.18,incorrect,shakespeare,0,0.33,incorrect,herodotus,0,0.25,incorrect,shivaji,0,0.43,incorrect,abraham,0,0.14,incorrect,job,0,0.2,incorrect,ulysses,0,0.29,incorrect,abrahami,0,0.13,incorrect,she,0,0.2,incorrect,shakespeare,0,0.33,incorrect,shivaji,0,0.43,incorrect,job,0,0.2,incorrect,esther,0,0.31,incorrect,job,0,0.2,incorrect,ali,0,0.2,incorrect,peri,0,0.36,incorrect,yoshiko,0,0.29,incorrect,yumi,0,0.18,incorrect,edmundo dantes,0,0.19,incorrect,monte,0,0.17,incorrect,job,0,0.2,incorrect,peri,0,0.36,incorrect,yumi,0,0.18,incorrect,monte,0,0.17,incorrect
['paul'],abel,0,0.5,incorrect,abel,0,0.5,incorrect,abrahami,0,0.17,incorrect,abraham,0,0.18,incorrect,abel,0,0.5,incorrect,israel,0,0.4,incorrect,adam,0,0.25,incorrect,adam,0,0.25,incorrect,god,0,0.0,incorrect,newton,0,0.0,incorrect,abrahamy,0,0.17,incorrect,adam,0,0.25,incorrect,abel,0,0.5,incorrect,abraham,0,0.18,incorrect,israel,0,0.4,incorrect,adam,0,0.25,incorrect,newton,0,0.0,incorrect,adam,0,0.25,incorrect,rand,0,0.25,incorrect,god,0,0.0,incorrect,ucuncu,0,0.2,incorrect,hitler,0,0.2,incorrect,duc,0,0.29,incorrect,duc,0,0.29,incorrect,paul,1,1.0,correct,cain,0,0.25,incorrect,god,0,0.0,incorrect,hitler,0,0.2,incorrect,duc,0,0.29,incorrect,cain,0,0.25,incorrect
['paul'],morena,0,0.2,incorrect,abel,0,0.5,incorrect,abraham lincoln,0,0.21,incorrect,oliver twist,0,0.12,incorrect,god,0,0.0,incorrect,abel,0,0.5,incorrect,newton,0,0.0,incorrect,abraham lincoln,0,0.21,incorrect,edgar allan poe,0,0.21,incorrect,newton,0,0.0,incorrect,adam,0,0.25,incorrect,adam,0,0.25,incorrect,abel,0,0.5,incorrect,oliver twist,0,0.12,incorrect,abel,0,0.5,incorrect,abraham lincoln,0,0.21,incorrect,newton,0,0.0,incorrect,adam,0,0.25,incorrect,she,0,0.0,incorrect,isis,0,0.0,incorrect,medusa,0,0.2,incorrect,newton,0,0.0,incorrect,pandora,0,0.36,incorrect,thuy,0,0.25,incorrect,el narrador,0,0.13,incorrect,angel,0,0.44,incorrect,isis,0,0.0,incorrect,newton,0,0.0,incorrect,thuy,0,0.25,incorrect,angel,0,0.44,incorrect
['paul'],butle,0,0.44,incorrect,butle,0,0.44,incorrect,jesus,0,0.22,incorrect,jesus,0,0.22,incorrect,god,0,0.0,incorrect,robetse,0,0.0,incorrect,adam,0,0.25,incorrect,adam,0,0.25,incorrect,victor frankenstein,0,0.09,incorrect,gold,0,0.25,incorrect,noah,0,0.25,incorrect,adam,0,0.25,incorrect,butle,0,0.44,incorrect,jesus,0,0.22,incorrect,robetse,0,0.0,incorrect,adam,0,0.25,incorrect,gold,0,0.25,incorrect,adam,0,0.25,incorrect,walter,0,0.4,incorrect,god,0,0.0,incorrect,hamlet,0,0.4,incorrect,peri,0,0.25,incorrect,pip,0,0.29,incorrect,dong trang,0,0.14,incorrect,macbeth,0,0.18,incorrect,frankenstein,0,0.12,incorrect,god,0,0.0,incorrect,peri,0,0.25,incorrect,dong trang,0,0.14,incorrect,frankenstein,0,0.12,incorrect
['paul'],diamond,0,0.18,incorrect,shakespeare,0,0.27,incorrect,jesus,0,0.22,incorrect,jesus,0,0.22,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,adam,0,0.25,incorrect,adam,0,0.25,incorrect,shakespeare,0,0.27,incorrect,shiva,0,0.22,incorrect,abrahamy,0,0.17,incorrect,adam,0,0.25,incorrect,shakespeare,0,0.27,incorrect,jesus,0,0.22,incorrect,god,0,0.0,incorrect,adam,0,0.25,incorrect,shiva,0,0.22,incorrect,adam,0,0.25,incorrect,she,0,0.0,incorrect,adam's,0,0.2,incorrect,bayan,0,0.22,incorrect,merih,0,0.0,incorrect,ba,0,0.33,incorrect,thatcher,0,0.17,incorrect,frankenstein,0,0.12,incorrect,homero,0,0.0,incorrect,adam's,0,0.2,incorrect,merih,0,0.0,incorrect,thatcher,0,0.17,incorrect,homero,0,0.0,incorrect
['paul'],abel,0,0.5,incorrect,abel,0,0.5,incorrect,oliver twist,0,0.12,incorrect,abraham,0,0.18,incorrect,god,0,0.0,incorrect,heat,0,0.25,incorrect,adam,0,0.25,incorrect,adam,0,0.25,incorrect,frankenstein,0,0.12,incorrect,anna,0,0.25,incorrect,adam,0,0.25,incorrect,adam,0,0.25,incorrect,abel,0,0.5,incorrect,abraham,0,0.18,incorrect,heat,0,0.25,incorrect,adam,0,0.25,incorrect,anna,0,0.25,incorrect,adam,0,0.25,incorrect,paul,1,1.0,correct,god,0,0.0,incorrect,bay,0,0.29,incorrect,beethoven,0,0.0,incorrect,stephen king,0,0.12,incorrect,nguyen,0,0.2,incorrect,harry potter,0,0.12,incorrect,mano,0,0.25,incorrect,god,0,0.0,incorrect,beethoven,0,0.0,incorrect,nguyen,0,0.2,incorrect,mano,0,0.25,incorrect
['paul'],abel,0,0.5,incorrect,israel,0,0.4,incorrect,abrahami,0,0.17,incorrect,oliver,0,0.2,incorrect,abel,0,0.5,incorrect,abel,0,0.5,incorrect,adam,0,0.25,incorrect,adam,0,0.25,incorrect,macbeth,0,0.18,incorrect,abel,0,0.5,incorrect,abrahamy,0,0.17,incorrect,abrahamy,0,0.17,incorrect,israel,0,0.4,incorrect,oliver,0,0.2,incorrect,abel,0,0.5,incorrect,adam,0,0.25,incorrect,abel,0,0.5,incorrect,abrahamy,0,0.17,incorrect,god,0,0.0,incorrect,adam,0,0.25,incorrect,omer,0,0.0,incorrect,elif,0,0.25,incorrect,nguyen tat thanh,0,0.1,incorrect,nguyen thi loctrinh,0,0.17,incorrect,jesus,0,0.22,incorrect,maria,0,0.22,incorrect,adam,0,0.25,incorrect,elif,0,0.25,incorrect,nguyen thi loctrinh,0,0.17,incorrect,maria,0,0.22,incorrect
