Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['celil', 'yalil', 'jalil']",noah,0,0.22,incorrect,god,0,0.0,incorrect,noah,0,0.22,incorrect,adehun,0,0.18,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,noah,0,0.22,incorrect,jesus,0,0.2,incorrect,adam,0,0.22,incorrect,krssnn,0,0.0,incorrect,jesus,0,0.2,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,adehun,0,0.18,incorrect,god,0,0.0,incorrect,jesus,0,0.2,incorrect,krssnn,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,adam,0,0.22,incorrect,benim,0,0.4,incorrect,adem,0,0.22,incorrect,chua,0,0.22,incorrect,chua,0,0.22,incorrect,el padre,0,0.31,incorrect,el,0,0.57,incorrect,adam,0,0.22,incorrect,adem,0,0.22,incorrect,chua,0,0.22,incorrect,el,0,0.57,incorrect
"['mariam', 'mariam jo', 'co', 'meryem', 'jo', 'meryem co']",jesus,0,0.29,incorrect,jesus,0,0.29,incorrect,god,0,0.4,incorrect,olodumare,0,0.4,incorrect,god,0,0.4,incorrect,god,0,0.4,incorrect,jesus,0,0.29,incorrect,jesus,0,0.29,incorrect,god,0,0.4,incorrect,god,0,0.4,incorrect,god,0,0.4,incorrect,adama,0,0.55,incorrect,jesus,0,0.29,incorrect,olodumare,0,0.4,incorrect,god,0,0.4,incorrect,jesus,0,0.29,incorrect,god,0,0.4,incorrect,adama,0,0.55,incorrect,god,0,0.4,incorrect,god,0,0.4,incorrect,babam,0,0.55,incorrect,peygamber,0,0.4,incorrect,duc,0,0.4,incorrect,duc,0,0.4,incorrect,hija,0,0.4,incorrect,dios,0,0.33,incorrect,god,0,0.4,incorrect,peygamber,0,0.4,incorrect,duc,0,0.4,incorrect,dios,0,0.33,incorrect
"['faizulá', 'faizu', 'mullah', 'faizullah', 'feyzullah', 'molla', 'mullah faizullah', 'molla feyzullah']",sechele,0,0.25,incorrect,sheba,0,0.29,incorrect,god,0,0.25,incorrect,oliver twist,0,0.24,incorrect,mohammed ali,0,0.37,incorrect,mohammed,0,0.46,incorrect,tahiti,0,0.36,incorrect,jesus,0,0.29,incorrect,radha,0,0.36,incorrect,paanii,0,0.36,incorrect,adam,0,0.36,incorrect,job,0,0.25,incorrect,sheba,0,0.29,incorrect,oliver twist,0,0.24,incorrect,mohammed,0,0.46,incorrect,jesus,0,0.29,incorrect,paanii,0,0.36,incorrect,job,0,0.25,incorrect,ali,0,0.5,incorrect,eliza,0,0.5,incorrect,delikanli,0,0.33,incorrect,ali,0,0.5,incorrect,giao si,0,0.33,incorrect,than,0,0.22,incorrect,abdullah,0,0.71,correct,ala,0,0.6,incorrect,eliza,0,0.5,incorrect,ali,0,0.5,incorrect,than,0,0.22,incorrect,ala,0,0.6,incorrect
"['mil', 'celil', 'yalil', 'jalil']",samson,0,0.22,incorrect,god,0,0.0,incorrect,olivia,0,0.36,incorrect,oluwa,0,0.25,incorrect,josephine,0,0.29,incorrect,josephine,0,0.29,incorrect,noah,0,0.22,incorrect,teahupo'o,0,0.14,incorrect,sita,0,0.29,incorrect,raja harishchandra,0,0.26,incorrect,adam,0,0.29,incorrect,andriantomponilolona,0,0.26,incorrect,god,0,0.0,incorrect,oluwa,0,0.25,incorrect,josephine,0,0.29,incorrect,teahupo'o,0,0.14,incorrect,raja harishchandra,0,0.26,incorrect,andriantomponilolona,0,0.26,incorrect,cersei,0,0.55,incorrect,adam's,0,0.22,incorrect,odip,0,0.29,incorrect,cenesinin,0,0.43,incorrect,duc vua thuy te,0,0.2,incorrect,chi,0,0.5,incorrect,efeso,0,0.2,incorrect,maria,0,0.5,incorrect,adam's,0,0.22,incorrect,cenesinin,0,0.43,incorrect,chi,0,0.5,incorrect,maria,0,0.5,incorrect
"['lili', 'lili mi', 'mi', 'lili lili']",minnow,0,0.5,incorrect,minnow,0,0.5,incorrect,minnow,0,0.5,incorrect,ice,0,0.4,incorrect,minow,0,0.57,incorrect,god,0,0.0,incorrect,minnow,0,0.5,incorrect,tahiti,0,0.4,incorrect,minno,0,0.57,incorrect,lotus,0,0.22,incorrect,minnow,0,0.5,incorrect,minnow lake,0,0.31,incorrect,minnow,0,0.5,incorrect,ice,0,0.4,incorrect,god,0,0.0,incorrect,tahiti,0,0.4,incorrect,lotus,0,0.22,incorrect,minnow lake,0,0.31,incorrect,minnow,0,0.5,incorrect,minnow,0,0.5,incorrect,mirnav,0,0.5,incorrect,ayagi,0,0.29,incorrect,thach sanh,0,0.12,incorrect,duc phat,0,0.13,incorrect,minnow,0,0.5,incorrect,jack,0,0.0,incorrect,minnow,0,0.5,incorrect,ayagi,0,0.29,incorrect,duc phat,0,0.13,incorrect,jack,0,0.0,incorrect
"['mariam', 'mariam jo', 'co', 'meryem', 'jo', 'meryem co']",lea,0,0.22,incorrect,lea,0,0.22,incorrect,remi,0,0.6,incorrect,ati,0,0.44,incorrect,mopodi,0,0.33,incorrect,mopodi,0,0.33,incorrect,mary,0,0.6,incorrect,teina,0,0.36,incorrect,amazon,0,0.4,incorrect,sound,0,0.29,incorrect,andriamanitra,0,0.53,incorrect,andriana,0,0.57,incorrect,lea,0,0.22,incorrect,ati,0,0.44,incorrect,mopodi,0,0.33,incorrect,teina,0,0.36,incorrect,sound,0,0.29,incorrect,andriana,0,0.57,incorrect,son,0,0.4,incorrect,tv,0,0.0,incorrect,oglum,0,0.29,incorrect,ses,0,0.22,incorrect,con,0,0.8,correct,am thach,0,0.35,incorrect,carlos,0,0.5,incorrect,la,0,0.25,incorrect,tv,0,0.0,incorrect,ses,0,0.22,incorrect,am thach,0,0.35,incorrect,la,0,0.25,incorrect
"['gari', 'mariam', 'meryem', 'meryem gari']",samuel johnson,0,0.24,incorrect,china,0,0.36,incorrect,india,0,0.36,incorrect,aladdin,0,0.36,incorrect,aladdin,0,0.36,incorrect,china,0,0.36,incorrect,noah,0,0.25,incorrect,shawls,0,0.2,incorrect,thamel,0,0.33,incorrect,albert einstein,0,0.32,incorrect,thailand,0,0.43,incorrect,teo,0,0.22,incorrect,china,0,0.36,incorrect,aladdin,0,0.36,incorrect,china,0,0.36,incorrect,shawls,0,0.2,incorrect,albert einstein,0,0.32,incorrect,teo,0,0.22,incorrect,mongol,0,0.24,incorrect,camels,0,0.33,incorrect,meryem,1,1.0,correct,cayevlerinin,0,0.38,incorrect,ong,0,0.29,incorrect,tra,0,0.44,incorrect,el,0,0.25,incorrect,marco polo,0,0.38,incorrect,camels,0,0.33,incorrect,cayevlerinin,0,0.38,incorrect,tra,0,0.44,incorrect,marco polo,0,0.38,incorrect
"['khan', 'jan', 'yalil jan', 'chính', 'jalil khan', 'celil', 'jalil', 'han', 'celil han', 'chính jalil khan', 'yalil']",jesus,0,0.25,incorrect,god,0,0.0,incorrect,olusegun obasanjo,0,0.31,incorrect,god,0,0.0,incorrect,jesus,0,0.25,incorrect,god,0,0.0,incorrect,jesus,0,0.25,incorrect,te faaho'i,0,0.32,incorrect,maan,0,0.57,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,te faaho'i,0,0.32,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,dad,0,0.33,incorrect,john,0,0.57,incorrect,baskan,0,0.6,incorrect,ben,0,0.33,incorrect,jalil khan,1,1.0,correct,jalil,1,1.0,correct,el jefe,0,0.38,incorrect,el senor,0,0.47,incorrect,john,0,0.57,incorrect,ben,0,0.33,incorrect,jalil,1,1.0,correct,el senor,0,0.47,incorrect
['nana'],samson,0,0.4,incorrect,moses,0,0.0,incorrect,olodumare,0,0.15,incorrect,olodumare,0,0.15,incorrect,jesus,0,0.0,incorrect,god,0,0.0,incorrect,teina,0,0.44,incorrect,hina,0,0.5,incorrect,god,0,0.0,incorrect,lord rama,0,0.31,incorrect,andriamanitra,0,0.47,incorrect,andriamahilala,0,0.33,incorrect,moses,0,0.0,incorrect,olodumare,0,0.15,incorrect,god,0,0.0,incorrect,hina,0,0.5,incorrect,lord rama,0,0.31,incorrect,andriamahilala,0,0.33,incorrect,god,0,0.0,incorrect,mother,0,0.0,incorrect,annesi,0,0.4,incorrect,gozler,0,0.0,incorrect,da,0,0.33,incorrect,co,0,0.0,incorrect,su padre,0,0.17,incorrect,maria,0,0.44,incorrect,mother,0,0.0,incorrect,gozler,0,0.0,incorrect,co,0,0.0,incorrect,maria,0,0.44,incorrect
"['mariam', 'mariam jo', 'co', 'meryem', 'jo', 'meryem co']",morena,0,0.5,incorrect,israel,0,0.33,incorrect,god,0,0.4,incorrect,mo,0,0.5,incorrect,god,0,0.4,incorrect,god,0,0.4,incorrect,jesus,0,0.29,incorrect,jesus,0,0.29,incorrect,john,0,0.67,incorrect,god,0,0.4,incorrect,andriamanitra,0,0.53,incorrect,andriamanitra,0,0.53,incorrect,israel,0,0.33,incorrect,mo,0,0.5,incorrect,god,0,0.4,incorrect,jesus,0,0.29,incorrect,god,0,0.4,incorrect,andriamanitra,0,0.53,incorrect,harry,0,0.36,incorrect,garden,0,0.33,incorrect,arkadasim,0,0.53,incorrect,ust manzarali,0,0.42,incorrect,con,0,0.8,correct,chau,0,0.33,incorrect,maria,0,0.91,correct,habitacion,0,0.42,incorrect,garden,0,0.33,incorrect,ust manzarali,0,0.42,incorrect,chau,0,0.33,incorrect,habitacion,0,0.42,incorrect
