Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct
"['eager', 'beaver', 'eager beaver']",not provided,0,0.25,incorrect,nasa,0,0.25,incorrect,nasa,0,0.25,incorrect
['hannah'],anna,0,0.8,correct,not available,0,0.21,incorrect,not available,0,0.21,incorrect
"['kalpana', 'kalpana chawla', 'chawla']",space,0,0.33,incorrect,anna akana,0,0.5,incorrect,anna akana,0,0.5,incorrect
['floyd'],curiosity,0,0.29,incorrect,mike,0,0.0,incorrect,mike,0,0.0,incorrect
['floyd'],family lore,0,0.38,incorrect,finland,0,0.5,incorrect,finland,0,0.5,incorrect
['mara'],yuki,0,0.0,incorrect,midori,0,0.4,incorrect,midori,0,0.4,incorrect
['mara'],oliver,0,0.2,incorrect,drake,0,0.44,incorrect,drake,0,0.44,incorrect
['floyd'],mcgowan,0,0.17,incorrect,tv he,0,0.0,incorrect,tv he,0,0.0,incorrect
['python'],google,0,0.17,incorrect,hal/s,0,0.18,incorrect,hal/s,0,0.18,incorrect
['let'],cards against humanity,0,0.08,incorrect,lee min-ho,0,0.31,incorrect,lee min-ho,0,0.31,incorrect
['fuck'],moan,0,0.0,incorrect,not provided,0,0.0,incorrect,not provided,0,0.0,incorrect
['hannah'],caltech,0,0.31,incorrect,caltech,0,0.31,incorrect,caltech,0,0.31,incorrect
['mara'],not provided,0,0.12,incorrect,resources,0,0.15,incorrect,resources,0,0.15,incorrect
['merel'],olav orheim,0,0.25,incorrect,amase,0,0.4,incorrect,amase,0,0.4,incorrect
['hannah'],mark,0,0.2,incorrect,nasa,0,0.4,incorrect,nasa,0,0.4,incorrect
['mara'],elizabeth,0,0.15,incorrect,wuthering heights,0,0.1,incorrect,wuthering heights,0,0.1,incorrect
['mara'],michelle,0,0.17,incorrect,christa mcauliffe,0,0.19,incorrect,christa mcauliffe,0,0.19,incorrect
['merel'],olav orheim,0,0.25,incorrect,dr. gunn,0,0.15,incorrect,dr. gunn,0,0.15,incorrect
['karl'],my office mate,0,0.11,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
['haven'],drake,0,0.4,incorrect,stephen king,0,0.35,incorrect,stephen king,0,0.35,incorrect
['arroyo'],yolanda cedillo-flores,0,0.21,incorrect,spirit,0,0.17,incorrect,spirit,0,0.17,incorrect
['arroyo'],michelle thaller,0,0.18,incorrect,dr. sarah al-amiri,0,0.25,incorrect,dr. sarah al-amiri,0,0.25,incorrect
['merel'],john p. rummel,0,0.32,incorrect,amase,0,0.4,incorrect,amase,0,0.4,incorrect
['floyd'],dr. voss,0,0.15,incorrect,paul ryan,0,0.29,incorrect,paul ryan,0,0.29,incorrect
['merel'],johnsen,0,0.17,incorrect,jonas,0,0.0,incorrect,jonas,0,0.0,incorrect
['hannah'],malcolm,0,0.15,incorrect,edward,0,0.17,incorrect,edward,0,0.17,incorrect
['merel'],logan,0,0.2,incorrect,blue,0,0.22,incorrect,blue,0,0.22,incorrect
['hannah'],oliver,0,0.0,incorrect,longyearbyen,0,0.22,incorrect,longyearbyen,0,0.22,incorrect
['merel'],president snow,0,0.21,incorrect,he,0,0.29,incorrect,he,0,0.29,incorrect
['floyd'],family,0,0.55,incorrect,michael,0,0.17,incorrect,michael,0,0.17,incorrect
['hannah'],jack,0,0.2,incorrect,chris,0,0.18,incorrect,chris,0,0.18,incorrect
['hannah'],dr. k,0,0.0,incorrect,paul,0,0.2,incorrect,paul,0,0.2,incorrect
['merel'],grant,0,0.2,incorrect,ian,0,0.0,incorrect,ian,0,0.0,incorrect
['mara'],her,0,0.29,incorrect,david,0,0.22,incorrect,david,0,0.22,incorrect
['mara'],becca,0,0.22,incorrect,veronica,0,0.33,incorrect,veronica,0,0.33,incorrect
['floyd'],malfoy,0,0.55,incorrect,kim kardashian,0,0.11,incorrect,kim kardashian,0,0.11,incorrect
['mara'],yara,0,0.75,correct,don,0,0.0,incorrect,don,0,0.0,incorrect
['mara'],sadie,0,0.22,incorrect,she,0,0.0,incorrect,she,0,0.0,incorrect
['great'],aunt delphina,0,0.22,incorrect,delphina-aunt,0,0.33,incorrect,delphina-aunt,0,0.33,incorrect
['hannah'],charlie,0,0.31,incorrect,bear grylls,0,0.12,incorrect,bear grylls,0,0.12,incorrect
['hannah'],dean,0,0.4,incorrect,edward,0,0.17,incorrect,edward,0,0.17,incorrect
['hannah'],max,0,0.22,incorrect,brad pitt,0,0.13,incorrect,brad pitt,0,0.13,incorrect
['hannah'],mr. gray,0,0.14,incorrect,,0,0.44,incorrect,,0,0.44,incorrect
['hannah'],edward,0,0.17,incorrect,winnie,0,0.33,incorrect,winnie,0,0.33,incorrect
['mara'],broccoli,0,0.17,incorrect,julia child,0,0.13,incorrect,julia child,0,0.13,incorrect
['hannah'],edward,0,0.17,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect
['hannah'],christian,0,0.4,incorrect,harry,0,0.36,incorrect,harry,0,0.36,incorrect
['hannah'],vastitas borealis,0,0.17,incorrect,vastitas borealis,0,0.17,incorrect,vastitas borealis,0,0.17,incorrect
