Single_ent,en_masked_shuffled_results,tr_masked_shuffled_results,vi_masked_shuffled_results,es_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,tr_exact_match,tr_highest_fuzzy_match,vi_exact_match,vi_highest_fuzzy_match,es_exact_match,es_highest_fuzzy_match,en_correct,tr_correct,vi_correct,es_correct
"['bingley', 'mr bingley']",<output>elizabeth</output>,<output>elizabeth</output>,<output>emily</output>,<output>emily</output>,0,0.12,0,0.12,0,0.25,0,0.25,incorrect,incorrect,incorrect,incorrect
"['mr bennet', 'bennet', 'señor bennet']",<output>elizabeth</output>,<output>mr. bennet</output>,<output>elizabeth</output>,<output>elizabeth</output>,0,0.21,0,0.5,0,0.21,0,0.21,incorrect,incorrect,incorrect,incorrect
"['señora long', 'mrs long', 'long']",<output>elizabeth</output>,<output>elizabeth</output>,<output>emily</output>,<output>elizabeth</output>,0,0.13,0,0.13,0,0.2,0,0.13,incorrect,incorrect,incorrect,incorrect
"['mrs bennet', 'bennet', 'señora bennet']",<output>elizabeth</output>,<output>elizabeth</output>,<output>elizabeth</output>,<output>elizabeth</output>,0,0.26,0,0.26,0,0.26,0,0.26,incorrect,incorrect,incorrect,incorrect
"['mr bennet', 'bennet']",<output>emma</output>,<output>emily</output>,<output>emily</output>,<output>elizabeth</output>,0,0.15,0,0.14,0,0.14,0,0.19,incorrect,incorrect,incorrect,incorrect
['lizzy'],<output>mr. darcy</output>,<output>scarlett</output>,<output>heathcliff</output>,<output>wickham</output>,0,0.06,0,0.07,0,0.12,0,0.07,incorrect,incorrect,incorrect,incorrect
"['lucas', 'lucas–', 'miss lucas']",<output>darcy</output>,<output>darcy</output>,<output>elizabeth</output>,<output>mr. darcy</output>,0,0.15,0,0.15,0,0.13,0,0.17,incorrect,incorrect,incorrect,incorrect
['mary'],<output>elizabeth bennet</output>,<output>adam smith</output>,<output>elizabeth</output>,<output>johnson</output>,0,0.05,0,0.06,0,0.07,0,0.0,incorrect,incorrect,incorrect,incorrect
"['miss eliza', 'eliz', 'eliza']",<output>elizabeth</output>,<output>elizabeth</output>,<output>elizabeth</output>,<output>elizabeth</output>,0,0.32,0,0.32,0,0.32,0,0.32,incorrect,incorrect,incorrect,incorrect
"['mrs bennet', 'bennet––', 'bennet']",<output>emma</output>,<output>emily</output>,<output>god</output>,<output>elizabeth</output>,0,0.15,0,0.14,0,0.08,0,0.19,incorrect,incorrect,incorrect,incorrect
['louisa'],<output>mr. darcy</output>,<output>elizabeth</output>,<output>nguyễn</output>,<output>emily</output>,0,0.19,0,0.25,0,0.14,0,0.21,incorrect,incorrect,incorrect,incorrect
"['mr jones', 'jones']",<output>emma</output>,<output>emily</output>,<output>emily</output>,<output>elizabeth</output>,0,0.15,0,0.15,0,0.15,0,0.13,incorrect,incorrect,incorrect,incorrect
"['mary', 'mary––']",<output>elizabeth</output>,<output>albert</output>,<output>elizabeth</output>,<output>elizabeth</output>,0,0.07,0,0.15,0,0.07,0,0.07,incorrect,incorrect,incorrect,incorrect
"['', 'jane bennet']",<output>elizabeth</output>,<output>elizabeth</output>,<output>emily</output>,<output>elizabeth</output>,0,0.22,0,0.22,0,0.14,0,0.22,incorrect,incorrect,incorrect,incorrect
"['darcy', 'darcy–']",<output>elizabeth</output>,<output>elizabeth</output>,<output>nguyễn</output>,<output>elizabeth</output>,0,0.06,0,0.06,0,0.07,0,0.06,incorrect,incorrect,incorrect,incorrect
['darcy'],<output>mr. darcy</output>,<output>elizabeth</output>,<output>elizabeth</output>,<output>elizabeth</output>,0,0.32,0,0.06,0,0.06,0,0.06,incorrect,incorrect,incorrect,incorrect
"['mrs bennet', 'bennet', 'señora bennet']",<output>mr. darcy</output>,<output>emily</output>,<output>nguyễn</output>,<output>heathcliff</output>,0,0.22,0,0.17,0,0.22,0,0.15,incorrect,incorrect,incorrect,incorrect
"['bingley', 'señor bingley', 'mr bingley']",<output>london</output>,<output>westminster</output>,<output>london</output>,<output>hyde</output>,0,0.17,0,0.21,0,0.17,0,0.15,incorrect,incorrect,incorrect,incorrect
