Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
['bruno'],mathabatha,0,0.13,incorrect,bobbi brown,0,0.38,incorrect,maradona,0,0.31,incorrect,usain bolt,0,0.4,incorrect,phakisi,0,0.0,incorrect,phuti sechaba,0,0.11,incorrect,te arikinui ariiriki,0,0.16,incorrect,te tahiti nui,0,0.11,incorrect,jenaa,0,0.2,incorrect,bibiisii,0,0.15,incorrect,michel platini,0,0.11,incorrect,al-qaeda,0,0.0,incorrect,bobbi brown,0,0.38,incorrect,usain bolt,0,0.4,incorrect,phuti sechaba,0,0.11,incorrect,te tahiti nui,0,0.11,incorrect,bibiisii,0,0.15,incorrect,al-qaeda,0,0.0,incorrect,harry potter,0,0.24,incorrect,make-up,0,0.17,incorrect,aslan,0,0.2,incorrect,anna,0,0.22,incorrect,tran thai huyen,0,0.3,incorrect,truong anh vu,0,0.33,incorrect,la madre,0,0.15,incorrect,la madre,0,0.15,incorrect,make-up,0,0.17,incorrect,anna,0,0.22,incorrect,truong anh vu,0,0.33,incorrect,la madre,0,0.15,incorrect
['gretel'],matome,0,0.33,incorrect,kaofela,0,0.31,incorrect,oloye daju,0,0.12,incorrect,oloye daju,0,0.12,incorrect,mongwe,0,0.33,incorrect,thabo maseko,0,0.22,incorrect,te ariki,0,0.29,incorrect,te ariki,0,0.29,incorrect,pitaa,0,0.18,incorrect,jenaa,0,0.18,incorrect,andriamanitra,0,0.21,incorrect,andriamanitra,0,0.21,incorrect,kaofela,0,0.31,incorrect,oloye daju,0,0.12,incorrect,thabo maseko,0,0.22,incorrect,te ariki,0,0.29,incorrect,jenaa,0,0.18,incorrect,andriamanitra,0,0.21,incorrect,harry,0,0.18,incorrect,miss havisham,0,0.0,incorrect,emre,0,0.4,incorrect,ben,0,0.22,incorrect,thai thinh,0,0.12,incorrect,pham van dong,0,0.11,incorrect,maria,0,0.18,incorrect,maria,0,0.18,incorrect,miss havisham,0,0.0,incorrect,ben,0,0.22,incorrect,pham van dong,0,0.11,incorrect,maria,0,0.18,incorrect
['bruno'],heinrich mann,0,0.22,incorrect,berlin,0,0.55,incorrect,usain bolt,0,0.4,incorrect,willy brandt,0,0.35,incorrect,matlho,0,0.18,incorrect,matlho,0,0.18,incorrect,wilhelm voigt,0,0.11,incorrect,hitler,0,0.18,incorrect,baanhi,0,0.36,incorrect,brlin,0,0.6,incorrect,wilhelm bleek,0,0.11,incorrect,berlin,0,0.55,incorrect,berlin,0,0.55,incorrect,willy brandt,0,0.35,incorrect,matlho,0,0.18,incorrect,hitler,0,0.18,incorrect,brlin,0,0.6,incorrect,berlin,0,0.55,incorrect,harry,0,0.2,incorrect,walter,0,0.18,incorrect,hitler,0,0.18,incorrect,berlin,0,0.55,incorrect,walter,0,0.18,incorrect,nguyen du,0,0.29,incorrect,adolf hitler,0,0.12,incorrect,willy brandt,0,0.35,incorrect,walter,0,0.18,incorrect,berlin,0,0.55,incorrect,nguyen du,0,0.29,incorrect,willy brandt,0,0.35,incorrect
['bruno'],matsepe moses,0,0.11,incorrect,thabo maseole,0,0.22,incorrect,agbegbe ikoyi,0,0.22,incorrect,oloye adebayo fagunwa,0,0.23,incorrect,matlho,0,0.18,incorrect,matlhomola,0,0.13,incorrect,te hono ika,0,0.25,incorrect,te arikinui ariiriki,0,0.16,incorrect,jkhn,0,0.22,incorrect,tkhn,0,0.22,incorrect,madagascar,0,0.13,incorrect,andriamanelo,0,0.35,incorrect,thabo maseole,0,0.22,incorrect,oloye adebayo fagunwa,0,0.23,incorrect,matlhomola,0,0.13,incorrect,te arikinui ariiriki,0,0.16,incorrect,tkhn,0,0.22,incorrect,andriamanelo,0,0.35,incorrect,charlie,0,0.17,incorrect,stephen king,0,0.12,incorrect,hayat,0,0.0,incorrect,uzay,0,0.22,incorrect,pham van dong,0,0.22,incorrect,hoang oanh,0,0.27,incorrect,carlos,0,0.36,incorrect,viola,0,0.2,incorrect,stephen king,0,0.12,incorrect,uzay,0,0.22,incorrect,hoang oanh,0,0.27,incorrect,viola,0,0.2,incorrect
['bruno'],samora machel,0,0.11,incorrect,matome,0,0.18,incorrect,olusegun obasanjo,0,0.27,incorrect,oloye solaja,0,0.12,incorrect,thabo maseko,0,0.24,incorrect,colobus monkey,0,0.32,incorrect,teuruarii,0,0.29,incorrect,"te e, e",0,0.0,incorrect,shellii,0,0.0,incorrect,chl,0,0.0,incorrect,andriamariao,0,0.24,incorrect,jesus christ,0,0.12,incorrect,matome,0,0.18,incorrect,oloye solaja,0,0.12,incorrect,colobus monkey,0,0.32,incorrect,"te e, e",0,0.0,incorrect,chl,0,0.0,incorrect,jesus christ,0,0.12,incorrect,harry,0,0.2,incorrect,chalk,0,0.0,incorrect,veronique,0,0.29,incorrect,hayran,0,0.36,incorrect,pham van toan,0,0.22,incorrect,pham van donh,0,0.22,incorrect,isabel,0,0.18,incorrect,creo,0,0.44,incorrect,chalk,0,0.0,incorrect,hayran,0,0.36,incorrect,pham van donh,0,0.22,incorrect,creo,0,0.44,incorrect
"['maria', 'maría']",senetle,0,0.0,incorrect,matante,0,0.5,incorrect,obafemi awolowo,0,0.3,incorrect,michael jackson,0,0.3,incorrect,matlou matlou,0,0.33,incorrect,paris,0,0.6,incorrect,te arikinui ariifaiteata lavaka ata,0,0.2,incorrect,te arikinui ari'imate te arikinui tuheitia,0,0.21,incorrect,shriinivaasn,0,0.35,incorrect,bichaunaa,0,0.29,incorrect,antananarivo,0,0.35,incorrect,andriamanelo,0,0.47,incorrect,matante,0,0.5,incorrect,michael jackson,0,0.3,incorrect,paris,0,0.6,incorrect,te arikinui ari'imate te arikinui tuheitia,0,0.21,incorrect,bichaunaa,0,0.29,incorrect,andriamanelo,0,0.47,incorrect,olivia,0,0.36,incorrect,not enough information,0,0.22,incorrect,adnan menderes,0,0.21,incorrect,asli erdogan,0,0.35,incorrect,ngoc hoang,0,0.13,incorrect,nguyen du,0,0.0,incorrect,el autor no especifico un nombre,0,0.16,incorrect,ikea,0,0.44,incorrect,not enough information,0,0.22,incorrect,asli erdogan,0,0.35,incorrect,nguyen du,0,0.0,incorrect,ikea,0,0.44,incorrect
"['maria', 'maría']",marie antoinette,0,0.48,incorrect,paris,0,0.6,incorrect,toyin abraham,0,0.33,incorrect,iya ibose,0,0.29,incorrect,thabo maseko,0,0.24,incorrect,lebogang mashile,0,0.29,incorrect,te arikinui tapairu,0,0.33,incorrect,te arikinui tuimanu'a,0,0.31,incorrect,ptthaulni,0,0.29,incorrect,bniyaan o baig,0,0.21,incorrect,antananarivo,0,0.35,incorrect,ahmad sabri sapiee,0,0.43,incorrect,paris,0,0.6,incorrect,iya ibose,0,0.29,incorrect,lebogang mashile,0,0.29,incorrect,te arikinui tuimanu'a,0,0.31,incorrect,bniyaan o baig,0,0.21,incorrect,ahmad sabri sapiee,0,0.43,incorrect,mrs. weasley,0,0.35,incorrect,bag,0,0.25,incorrect,usul,0,0.0,incorrect,nilufer yumlu,0,0.11,incorrect,pham van dong,0,0.22,incorrect,giua,0,0.44,incorrect,la madre,0,0.46,incorrect,no name provided,0,0.29,incorrect,bag,0,0.25,incorrect,nilufer yumlu,0,0.11,incorrect,giua,0,0.44,incorrect,no name provided,0,0.29,incorrect
['bruno'],sechele i,0,0.0,incorrect,lebogang phalatse,0,0.18,incorrect,oruko ti ko si ni di mimo,0,0.27,incorrect,michael jordan,0,0.21,incorrect,sol plaatje,0,0.12,incorrect,charles gore,0,0.24,incorrect,te pute,0,0.17,incorrect,te ua,0,0.2,incorrect,birvaa,0,0.36,incorrect,gelaah,0,0.0,incorrect,andriamanitra,0,0.22,incorrect,antananarivo,0,0.24,incorrect,lebogang phalatse,0,0.18,incorrect,michael jordan,0,0.21,incorrect,charles gore,0,0.24,incorrect,te ua,0,0.2,incorrect,gelaah,0,0.0,incorrect,antananarivo,0,0.24,incorrect,harry potter,0,0.24,incorrect,bag;,0,0.22,incorrect,ismet inonu,0,0.25,incorrect,giysi,0,0.0,incorrect,pham,0,0.0,incorrect,lot,0,0.25,incorrect,beatriz,0,0.33,incorrect,le,0,0.0,incorrect,bag;,0,0.22,incorrect,giysi,0,0.0,incorrect,lot,0,0.25,incorrect,le,0,0.0,incorrect
['bruno'],matlou,0,0.18,incorrect,matseleng,0,0.14,incorrect,usain bolt,0,0.4,incorrect,ojo aikulu,0,0.13,incorrect,mathibelle ramafolo,0,0.25,incorrect,iran,0,0.44,incorrect,te arikinui ariiriki,0,0.16,incorrect,te arikinui gaston flosse,0,0.27,incorrect,shriilnkaa,0,0.27,incorrect,hoyb,0,0.22,incorrect,andriamahazo,0,0.24,incorrect,andriamanelo,0,0.35,incorrect,matseleng,0,0.14,incorrect,ojo aikulu,0,0.13,incorrect,iran,0,0.44,incorrect,te arikinui gaston flosse,0,0.27,incorrect,hoyb,0,0.22,incorrect,andriamanelo,0,0.35,incorrect,harry potter,0,0.24,incorrect,frankenstein,0,0.24,incorrect,canavar,0,0.17,incorrect,dr. ozdemir sabanci,0,0.17,incorrect,hy vong,0,0.17,incorrect,pham van dong,0,0.22,incorrect,pinocchio,0,0.29,incorrect,el monstruo,0,0.38,incorrect,frankenstein,0,0.24,incorrect,dr. ozdemir sabanci,0,0.17,incorrect,pham van dong,0,0.22,incorrect,el monstruo,0,0.38,incorrect
['bruno'],matante batho,0,0.22,incorrect,lehlohonolo seema,0,0.18,incorrect,yinka ayefele,0,0.11,incorrect,christiano ronaldo,0,0.26,incorrect,mathibelle ramatlhakwane,0,0.21,incorrect,matlou,0,0.18,incorrect,te rangi-haapakanga,0,0.17,incorrect,te ariki,0,0.15,incorrect,kaank,0,0.2,incorrect,besii,0,0.2,incorrect,andriamanelo,0,0.35,incorrect,antananarivo,0,0.24,incorrect,lehlohonolo seema,0,0.18,incorrect,christiano ronaldo,0,0.26,incorrect,matlou,0,0.18,incorrect,te ariki,0,0.15,incorrect,besii,0,0.2,incorrect,antananarivo,0,0.24,incorrect,paddington,0,0.27,incorrect,unanswerable,0,0.24,incorrect,yatagan,0,0.17,incorrect,ismet inonu,0,0.25,incorrect,tran thai to,0,0.35,incorrect,pham duy khiem,0,0.11,incorrect,elvis presley,0,0.11,incorrect,el sapo,0,0.17,incorrect,unanswerable,0,0.24,incorrect,ismet inonu,0,0.25,incorrect,pham duy khiem,0,0.11,incorrect,el sapo,0,0.17,incorrect
