Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['bingley', 'mr', 'mr bingley']",estella,0,0.14,incorrect,jesus,0,0.17,incorrect,elizabeth,0,0.25,incorrect,emily,0,0.53,incorrect,jesus,0,0.17,incorrect,ke,0,0.22,incorrect,abel,0,0.36,incorrect,lucy,0,0.36,incorrect,elizabeth,0,0.25,incorrect,emily,0,0.53,incorrect,esther,0,0.25,incorrect,esther,0,0.25,incorrect,mr. bingley,0,0.95,correct,elizabeth,0,0.25,incorrect,paris,0,0.29,incorrect,elizabeth,0,0.25,incorrect,elizabeth,0,0.25,incorrect,emily,0,0.53,incorrect,prince,0,0.5,incorrect,emily,0,0.53,incorrect,jesus,0,0.17,incorrect,emily,0,0.53,incorrect,ke,0,0.22,incorrect,lucy,0,0.36,incorrect,emily,0,0.53,incorrect,esther,0,0.25,incorrect,elizabeth,0,0.25,incorrect,elizabeth,0,0.25,incorrect,emily,0,0.53,incorrect,emily,0,0.53,incorrect
"['señor', 'señor bennet', 'mr', 'bennet', 'mr bennet']",mr. bennet,0,0.95,correct,emily,0,0.29,incorrect,emma,0,0.33,incorrect,abigail,0,0.15,incorrect,john,0,0.25,incorrect,elizabeth,0,0.4,incorrect,lucy,0,0.0,incorrect,elizabeth,0,0.4,incorrect,emma,0,0.33,incorrect,emma,0,0.33,incorrect,emma,0,0.33,incorrect,emily,0,0.29,incorrect,mr. bennet,0,0.95,correct,elizabeth,0,0.4,incorrect,mr. bennet,0,0.95,correct,mr. bennet,0,0.95,correct,mr. bennet,0,0.95,correct,elizabeth,0,0.4,incorrect,mr. bennet,0,0.95,correct,elizabeth,0,0.4,incorrect,emily,0,0.29,incorrect,abigail,0,0.15,incorrect,elizabeth,0,0.4,incorrect,elizabeth,0,0.4,incorrect,emma,0,0.33,incorrect,emily,0,0.29,incorrect,elizabeth,0,0.4,incorrect,mr. bennet,0,0.95,correct,elizabeth,0,0.4,incorrect,elizabeth,0,0.4,incorrect
"['long', 'señora', 'señora long', 'mrs', 'mrs long']",john,0,0.5,incorrect,john,0,0.5,incorrect,john,0,0.5,incorrect,orwell,0,0.35,incorrect,john,0,0.5,incorrect,john,0,0.5,incorrect,abraham,0,0.31,incorrect,lucas,0,0.25,incorrect,spaulding,0,0.5,incorrect,john,0,0.5,incorrect,john,0,0.5,incorrect,abraham,0,0.31,incorrect,smith,0,0.25,incorrect,elizabeth,0,0.27,incorrect,mr. bingley,0,0.53,incorrect,elizabeth,0,0.27,incorrect,elizabeth bennet,0,0.3,incorrect,emily,0,0.31,incorrect,longbourn,0,0.62,incorrect,elizabeth,0,0.27,incorrect,john,0,0.5,incorrect,orwell,0,0.35,incorrect,john,0,0.5,incorrect,lucas,0,0.25,incorrect,john,0,0.5,incorrect,abraham,0,0.31,incorrect,elizabeth,0,0.27,incorrect,elizabeth,0,0.27,incorrect,emily,0,0.31,incorrect,elizabeth,0,0.27,incorrect
"['señora', 'mrs', 'bennet', 'señora bennet', 'mrs bennet']",elizabeth,0,0.45,incorrect,elizabeth,0,0.45,incorrect,shakespeare,0,0.35,incorrect,elizabeth,0,0.45,incorrect,jesus,0,0.25,incorrect,jesus,0,0.25,incorrect,emma,0,0.4,incorrect,abel,0,0.4,incorrect,lucy,0,0.0,incorrect,emily,0,0.25,incorrect,paul,0,0.2,incorrect,dimmesdale,0,0.31,incorrect,jane,0,0.4,incorrect,elizabeth,0,0.45,incorrect,elizabeth,0,0.45,incorrect,elizabeth,0,0.45,incorrect,mr. bennet,0,0.9,correct,elizabeth,0,0.45,incorrect,emma,0,0.4,incorrect,elizabeth,0,0.45,incorrect,elizabeth,0,0.45,incorrect,elizabeth,0,0.45,incorrect,jesus,0,0.25,incorrect,abel,0,0.4,incorrect,emily,0,0.25,incorrect,dimmesdale,0,0.31,incorrect,elizabeth,0,0.45,incorrect,elizabeth,0,0.45,incorrect,elizabeth,0,0.45,incorrect,elizabeth,0,0.45,incorrect
"['mr', 'bennet', 'mr bennet']",john,0,0.2,incorrect,ke,0,0.25,incorrect,heather,0,0.31,incorrect,esther,0,0.33,incorrect,abel,0,0.4,incorrect,themba,0,0.27,incorrect,lot,0,0.22,incorrect,abel,0,0.4,incorrect,elizabeth,0,0.4,incorrect,emily,0,0.29,incorrect,edward,0,0.25,incorrect,endrey,0,0.5,incorrect,emma,0,0.33,incorrect,emma,0,0.33,incorrect,mr. bennet,0,0.95,correct,emily,0,0.29,incorrect,elizabeth,0,0.4,incorrect,emily,0,0.29,incorrect,john,0,0.2,incorrect,elizabeth,0,0.4,incorrect,ke,0,0.25,incorrect,esther,0,0.33,incorrect,themba,0,0.27,incorrect,abel,0,0.4,incorrect,emily,0,0.29,incorrect,endrey,0,0.5,incorrect,emma,0,0.33,incorrect,emily,0,0.29,incorrect,emily,0,0.29,incorrect,elizabeth,0,0.4,incorrect
['lizzy'],heathcliff,0,0.27,incorrect,emily,0,0.4,incorrect,heathcliff,0,0.27,incorrect,heathcliff,0,0.27,incorrect,john,0,0.0,incorrect,elizabeth,0,0.43,incorrect,lucas,0,0.2,incorrect,te,0,0.0,incorrect,heathcliff,0,0.27,incorrect,heathcliff,0,0.27,incorrect,heathcliff,0,0.27,incorrect,dimbisoa,0,0.15,incorrect,mr. darcy,0,0.14,incorrect,mr. darcy,0,0.14,incorrect,mr. darcy,0,0.14,incorrect,scarlett,0,0.15,incorrect,mr. darcy,0,0.14,incorrect,heathcliff,0,0.27,incorrect,mr. darcy,0,0.14,incorrect,wickham,0,0.17,incorrect,emily,0,0.4,incorrect,heathcliff,0,0.27,incorrect,elizabeth,0,0.43,incorrect,te,0,0.0,incorrect,heathcliff,0,0.27,incorrect,dimbisoa,0,0.15,incorrect,mr. darcy,0,0.14,incorrect,scarlett,0,0.15,incorrect,heathcliff,0,0.27,incorrect,wickham,0,0.17,incorrect
"['miss', 'miss lucas', 'lucas–', 'lucas']",confucius,0,0.43,incorrect,abraham,0,0.18,incorrect,jesus,0,0.44,incorrect,abraham,0,0.18,incorrect,paul,0,0.22,incorrect,boikgogomoso,0,0.25,incorrect,te'ote'o,0,0.0,incorrect,lucas,1,1.0,correct,elizabeth,0,0.29,incorrect,dimmesdale,0,0.3,incorrect,epictetus,0,0.32,incorrect,dimmesdale,0,0.3,incorrect,elizabeth bennet,0,0.19,incorrect,darcy,0,0.2,incorrect,elizabeth bennet,0,0.19,incorrect,darcy,0,0.2,incorrect,elizabeth,0,0.29,incorrect,elizabeth,0,0.29,incorrect,elizabeth,0,0.29,incorrect,mr. darcy,0,0.32,incorrect,abraham,0,0.18,incorrect,abraham,0,0.18,incorrect,boikgogomoso,0,0.25,incorrect,lucas,1,1.0,correct,dimmesdale,0,0.3,incorrect,dimmesdale,0,0.3,incorrect,darcy,0,0.2,incorrect,darcy,0,0.2,incorrect,elizabeth,0,0.29,incorrect,mr. darcy,0,0.32,incorrect
['mary'],darcy,0,0.67,incorrect,boikhohomoso,0,0.12,incorrect,christ,0,0.2,incorrect,abraham,0,0.36,incorrect,john,0,0.0,incorrect,plato,0,0.22,incorrect,paul,0,0.25,incorrect,john,0,0.0,incorrect,jane austen,0,0.13,incorrect,lucy,0,0.25,incorrect,mill,0,0.25,incorrect,john,0,0.0,incorrect,mary bennet,0,0.53,incorrect,elizabeth bennet,0,0.1,incorrect,jane austen,0,0.13,incorrect,adam smith,0,0.14,incorrect,elizabeth bennet,0,0.1,incorrect,elizabeth,0,0.15,incorrect,elizabeth bennet,0,0.1,incorrect,johnson,0,0.0,incorrect,boikhohomoso,0,0.12,incorrect,abraham,0,0.36,incorrect,plato,0,0.22,incorrect,john,0,0.0,incorrect,lucy,0,0.25,incorrect,john,0,0.0,incorrect,elizabeth bennet,0,0.1,incorrect,adam smith,0,0.14,incorrect,elizabeth,0,0.15,incorrect,johnson,0,0.0,incorrect
"['eliz', 'miss', 'miss eliza', 'eliza']",heathcliff,0,0.43,incorrect,john,0,0.0,incorrect,elizabeth,0,0.71,correct,john,0,0.0,incorrect,god,0,0.0,incorrect,modise,0,0.6,incorrect,lucas,0,0.4,incorrect,abraham,0,0.18,incorrect,emma,0,0.44,incorrect,dimmesdale,0,0.3,incorrect,dimmesdale,0,0.3,incorrect,dimmesdale,0,0.3,incorrect,elizabeth,0,0.71,correct,elizabeth,0,0.71,correct,elizabeth,0,0.71,correct,elizabeth,0,0.71,correct,elizabeth,0,0.71,correct,elizabeth,0,0.71,correct,elizabeth,0,0.71,correct,elizabeth,0,0.71,correct,john,0,0.0,incorrect,john,0,0.0,incorrect,modise,0,0.6,incorrect,abraham,0,0.18,incorrect,dimmesdale,0,0.3,incorrect,dimmesdale,0,0.3,incorrect,elizabeth,0,0.71,correct,elizabeth,0,0.71,correct,elizabeth,0,0.71,correct,elizabeth,0,0.71,correct
"['bennet', 'mrs', 'mrs bennet', 'bennet––']",elizabeth,0,0.4,incorrect,john,0,0.2,incorrect,freud,0,0.27,incorrect,abigail,0,0.15,incorrect,abraham,0,0.2,incorrect,john,0,0.2,incorrect,abraham,0,0.2,incorrect,abraham,0,0.2,incorrect,john,0,0.2,incorrect,god,0,0.0,incorrect,paul,0,0.0,incorrect,abraham,0,0.2,incorrect,mr. bennet,0,0.9,correct,emma,0,0.29,incorrect,scarlett,0,0.33,incorrect,emily,0,0.25,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,elizabeth,0,0.4,incorrect,elizabeth,0,0.4,incorrect,john,0,0.2,incorrect,abigail,0,0.15,incorrect,john,0,0.2,incorrect,abraham,0,0.2,incorrect,god,0,0.0,incorrect,abraham,0,0.2,incorrect,emma,0,0.29,incorrect,emily,0,0.25,incorrect,god,0,0.0,incorrect,elizabeth,0,0.4,incorrect
['louisa'],adam,0,0.2,incorrect,abel,0,0.2,incorrect,charlotte,0,0.27,incorrect,abigail,0,0.31,incorrect,abigail,0,0.31,incorrect,monna,0,0.36,incorrect,emma,0,0.2,incorrect,emma,0,0.2,incorrect,elizabeth,0,0.4,incorrect,god,0,0.22,incorrect,emily,0,0.18,incorrect,elizabeth,0,0.4,incorrect,elizabeth,0,0.4,incorrect,mr. darcy,0,0.13,incorrect,elizabeth,0,0.4,incorrect,elizabeth,0,0.4,incorrect,elizabeth,0,0.4,incorrect,nguyen,0,0.17,incorrect,elizabeth,0,0.4,incorrect,emily,0,0.18,incorrect,abel,0,0.2,incorrect,abigail,0,0.31,incorrect,monna,0,0.36,incorrect,emma,0,0.2,incorrect,god,0,0.22,incorrect,elizabeth,0,0.4,incorrect,mr. darcy,0,0.13,incorrect,elizabeth,0,0.4,incorrect,nguyen,0,0.17,incorrect,emily,0,0.18,incorrect
"['mr', 'jones', 'mr jones']",heathcliff,0,0.13,incorrect,emily,0,0.29,incorrect,lucy,0,0.0,incorrect,abraham,0,0.22,incorrect,john,0,0.67,incorrect,god,0,0.25,incorrect,emma,0,0.33,incorrect,lucy,0,0.0,incorrect,emma,0,0.33,incorrect,dimmesdale,0,0.33,incorrect,emily,0,0.29,incorrect,dimbisoa,0,0.25,incorrect,mr. perry,0,0.47,incorrect,emma,0,0.33,incorrect,dr. manette,0,0.42,incorrect,emily,0,0.29,incorrect,nguyen,0,0.36,incorrect,emily,0,0.29,incorrect,dr. smith,0,0.35,incorrect,elizabeth,0,0.14,incorrect,emily,0,0.29,incorrect,abraham,0,0.22,incorrect,god,0,0.25,incorrect,lucy,0,0.0,incorrect,dimmesdale,0,0.33,incorrect,dimbisoa,0,0.25,incorrect,emma,0,0.33,incorrect,emily,0,0.29,incorrect,emily,0,0.29,incorrect,elizabeth,0,0.14,incorrect
"['mary', 'mary––']",charlotte,0,0.31,incorrect,charlotte,0,0.31,incorrect,charlotte,0,0.31,incorrect,elizabeth,0,0.15,incorrect,plato,0,0.22,incorrect,god,0,0.0,incorrect,temarii,0,0.55,incorrect,john,0,0.0,incorrect,elizabeth,0,0.15,incorrect,alcott,0,0.2,incorrect,confucius,0,0.0,incorrect,god,0,0.0,incorrect,mr. gardiner,0,0.38,incorrect,elizabeth,0,0.15,incorrect,spock,0,0.0,incorrect,albert,0,0.4,incorrect,elizabeth,0,0.15,incorrect,elizabeth,0,0.15,incorrect,elizabeth,0,0.15,incorrect,elizabeth,0,0.15,incorrect,charlotte,0,0.31,incorrect,elizabeth,0,0.15,incorrect,god,0,0.0,incorrect,john,0,0.0,incorrect,alcott,0,0.2,incorrect,god,0,0.0,incorrect,elizabeth,0,0.15,incorrect,albert,0,0.4,incorrect,elizabeth,0,0.15,incorrect,elizabeth,0,0.15,incorrect
"['', 'jane bennet', 'bennet', 'jane']",elizabeth,0,0.4,incorrect,elizabeth,0,0.4,incorrect,elizabeth,0,0.4,incorrect,elizabeth,0,0.4,incorrect,emily,0,0.22,incorrect,god,0,0.0,incorrect,lucy,0,0.0,incorrect,abraham,0,0.22,incorrect,emily,0,0.22,incorrect,emily,0,0.22,incorrect,emily,0,0.22,incorrect,emily,0,0.22,incorrect,elizabeth bennet,0,0.67,incorrect,elizabeth,0,0.4,incorrect,elizabeth bennet,0,0.67,incorrect,elizabeth,0,0.4,incorrect,elizabeth,0,0.4,incorrect,emily,0,0.22,incorrect,elizabeth,0,0.4,incorrect,elizabeth,0,0.4,incorrect,elizabeth,0,0.4,incorrect,elizabeth,0,0.4,incorrect,god,0,0.0,incorrect,abraham,0,0.22,incorrect,emily,0,0.22,incorrect,emily,0,0.22,incorrect,elizabeth,0,0.4,incorrect,elizabeth,0,0.4,incorrect,emily,0,0.22,incorrect,elizabeth,0,0.4,incorrect
"['darcy–', 'darcy']",charlotte,0,0.29,incorrect,jesus,0,0.0,incorrect,elizabeth,0,0.14,incorrect,emily,0,0.2,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,paul,0,0.22,incorrect,paul,0,0.22,incorrect,charlotte,0,0.29,incorrect,emily,0,0.2,incorrect,elizabeth,0,0.14,incorrect,dimmesdale,0,0.27,incorrect,darcy,1,1.0,correct,elizabeth,0,0.14,incorrect,mr. darcy,0,0.71,correct,elizabeth,0,0.14,incorrect,elizabeth bennet,0,0.1,incorrect,nguyen,0,0.18,incorrect,mr. darcy,0,0.71,correct,elizabeth,0,0.14,incorrect,jesus,0,0.0,incorrect,emily,0,0.2,incorrect,jesus,0,0.0,incorrect,paul,0,0.22,incorrect,emily,0,0.2,incorrect,dimmesdale,0,0.27,incorrect,elizabeth,0,0.14,incorrect,elizabeth,0,0.14,incorrect,nguyen,0,0.18,incorrect,elizabeth,0,0.14,incorrect
['darcy'],marx,0,0.44,incorrect,elizabeth,0,0.14,incorrect,charlotte,0,0.29,incorrect,shakespeare,0,0.25,incorrect,elizabeth,0,0.14,incorrect,martha,0,0.36,incorrect,marie,0,0.4,incorrect,paul,0,0.22,incorrect,marlowe,0,0.33,incorrect,dimmesdale,0,0.27,incorrect,shakespeare,0,0.25,incorrect,emily,0,0.2,incorrect,mr. palmer,0,0.27,incorrect,mr. darcy,0,0.71,correct,darcy,1,1.0,correct,elizabeth,0,0.14,incorrect,darcy,1,1.0,correct,elizabeth,0,0.14,incorrect,elizabeth,0,0.14,incorrect,elizabeth,0,0.14,incorrect,elizabeth,0,0.14,incorrect,shakespeare,0,0.25,incorrect,martha,0,0.36,incorrect,paul,0,0.22,incorrect,dimmesdale,0,0.27,incorrect,emily,0,0.2,incorrect,mr. darcy,0,0.71,correct,elizabeth,0,0.14,incorrect,elizabeth,0,0.14,incorrect,elizabeth,0,0.14,incorrect
"['señora', 'mrs', 'bennet', 'señora bennet', 'mrs bennet']",samuel,0,0.33,incorrect,jesus,0,0.25,incorrect,john,0,0.24,incorrect,abraham,0,0.31,incorrect,khama,0,0.25,incorrect,abraham,0,0.31,incorrect,temarii,0,0.4,incorrect,france,0,0.42,incorrect,john,0,0.24,incorrect,abraham,0,0.31,incorrect,john,0,0.24,incorrect,madagascar,0,0.31,incorrect,lucy,0,0.0,incorrect,mr. darcy,0,0.33,incorrect,emma,0,0.4,incorrect,emily,0,0.25,incorrect,emma,0,0.4,incorrect,nguyen,0,0.33,incorrect,marquesa,0,0.55,incorrect,heathcliff,0,0.26,incorrect,jesus,0,0.25,incorrect,abraham,0,0.31,incorrect,abraham,0,0.31,incorrect,france,0,0.42,incorrect,abraham,0,0.31,incorrect,madagascar,0,0.31,incorrect,mr. darcy,0,0.33,incorrect,emily,0,0.25,incorrect,nguyen,0,0.33,incorrect,heathcliff,0,0.26,incorrect
"['señor', 'mr bingley', 'mr', 'bingley', 'señor bingley']",london,0,0.36,incorrect,london,0,0.36,incorrect,england,0,0.43,incorrect,england,0,0.43,incorrect,nelson mandela,0,0.37,incorrect,botswana,0,0.31,incorrect,london,0,0.36,incorrect,london,0,0.36,incorrect,charlotte,0,0.32,incorrect,london,0,0.36,incorrect,paris,0,0.29,incorrect,london,0,0.36,incorrect,mr. darcy,0,0.42,incorrect,london,0,0.36,incorrect,emma,0,0.33,incorrect,westminster,0,0.38,incorrect,elizabeth,0,0.27,incorrect,london,0,0.36,incorrect,emma,0,0.33,incorrect,hyde,0,0.22,incorrect,london,0,0.36,incorrect,england,0,0.43,incorrect,botswana,0,0.31,incorrect,london,0,0.36,incorrect,london,0,0.36,incorrect,london,0,0.36,incorrect,london,0,0.36,incorrect,westminster,0,0.38,incorrect,london,0,0.36,incorrect,hyde,0,0.22,incorrect
"['eliz', 'elizabeth']",marcel,0,0.4,incorrect,jesus,0,0.22,incorrect,shakespeare,0,0.3,incorrect,shakespeare,0,0.3,incorrect,jesus,0,0.22,incorrect,jesus,0,0.22,incorrect,lucas,0,0.29,incorrect,mana'o,0,0.13,incorrect,elizabeth,1,1.0,correct,shakespeare,0,0.3,incorrect,shakespeare,0,0.3,incorrect,dimbisoa,0,0.24,incorrect,elizabeth,1,1.0,correct,marlowe,0,0.25,incorrect,scarlett,0,0.35,incorrect,shakespeare,0,0.3,incorrect,elizabeth,1,1.0,correct,emily,0,0.44,incorrect,shakespeare,0,0.3,incorrect,shakespeare,0,0.3,incorrect,jesus,0,0.22,incorrect,shakespeare,0,0.3,incorrect,jesus,0,0.22,incorrect,mana'o,0,0.13,incorrect,shakespeare,0,0.3,incorrect,dimbisoa,0,0.24,incorrect,marlowe,0,0.25,incorrect,shakespeare,0,0.3,incorrect,emily,0,0.44,incorrect,shakespeare,0,0.3,incorrect
"['miss', 'bennet', 'miss bennet']",john,0,0.2,incorrect,god,0,0.0,incorrect,john,0,0.2,incorrect,abraham,0,0.18,incorrect,john,0,0.2,incorrect,themba,0,0.24,incorrect,john,0,0.2,incorrect,te,0,0.25,incorrect,john,0,0.2,incorrect,dimmesdale,0,0.29,incorrect,antigone,0,0.43,incorrect,esther,0,0.33,incorrect,edward,0,0.17,incorrect,mr. darcy,0,0.2,incorrect,platon,0,0.17,incorrect,god,0,0.0,incorrect,elizabeth,0,0.4,incorrect,elizabeth,0,0.4,incorrect,elizabeth,0,0.4,incorrect,elizabeth,0,0.4,incorrect,god,0,0.0,incorrect,abraham,0,0.18,incorrect,themba,0,0.24,incorrect,te,0,0.25,incorrect,dimmesdale,0,0.29,incorrect,esther,0,0.33,incorrect,mr. darcy,0,0.2,incorrect,god,0,0.0,incorrect,elizabeth,0,0.4,incorrect,elizabeth,0,0.4,incorrect
"['miss', 'bennet', 'miss bennet']",john,0,0.2,incorrect,john,0,0.2,incorrect,heathcliff,0,0.25,incorrect,oliver,0,0.24,incorrect,john,0,0.2,incorrect,martha,0,0.24,incorrect,god,0,0.0,incorrect,abraham,0,0.18,incorrect,mr. utterson,0,0.35,incorrect,dimmesdale,0,0.29,incorrect,dimmesdale,0,0.29,incorrect,esther,0,0.33,incorrect,mr. darcy,0,0.2,incorrect,elizabeth,0,0.4,incorrect,elizabeth,0,0.4,incorrect,scarlett,0,0.32,incorrect,elizabeth,0,0.4,incorrect,heathcliff,0,0.25,incorrect,emma,0,0.25,incorrect,elizabeth,0,0.4,incorrect,john,0,0.2,incorrect,oliver,0,0.24,incorrect,martha,0,0.24,incorrect,abraham,0,0.18,incorrect,dimmesdale,0,0.29,incorrect,esther,0,0.33,incorrect,elizabeth,0,0.4,incorrect,scarlett,0,0.32,incorrect,heathcliff,0,0.25,incorrect,elizabeth,0,0.4,incorrect
['jane'],john,0,0.5,incorrect,abraham,0,0.18,incorrect,elizabeth,0,0.31,incorrect,abraham,0,0.18,incorrect,john,0,0.5,incorrect,martha,0,0.2,incorrect,lucas,0,0.22,incorrect,abel,0,0.5,incorrect,emily,0,0.22,incorrect,dimmesdale,0,0.29,incorrect,emma,0,0.25,incorrect,abel,0,0.5,incorrect,jane,1,1.0,correct,elizabeth,0,0.31,incorrect,heidi,0,0.22,incorrect,emily,0,0.22,incorrect,emily,0,0.22,incorrect,emily,0,0.22,incorrect,emma,0,0.25,incorrect,emily,0,0.22,incorrect,abraham,0,0.18,incorrect,abraham,0,0.18,incorrect,martha,0,0.2,incorrect,abel,0,0.5,incorrect,dimmesdale,0,0.29,incorrect,abel,0,0.5,incorrect,elizabeth,0,0.31,incorrect,emily,0,0.22,incorrect,emily,0,0.22,incorrect,emily,0,0.22,incorrect
['elizabeth'],emily,0,0.29,incorrect,emily,0,0.29,incorrect,elizabeth,1,1.0,correct,abraham,0,0.38,incorrect,esther,0,0.4,incorrect,elizabeth,1,1.0,correct,lucy,0,0.15,incorrect,emma,0,0.31,incorrect,elizabeth,1,1.0,correct,heathcliff,0,0.42,incorrect,estella,0,0.38,incorrect,emily,0,0.29,incorrect,elizabeth,1,1.0,correct,elizabeth,1,1.0,correct,elizabeth,1,1.0,correct,elizabeth,1,1.0,correct,elizabeth,1,1.0,correct,emma,0,0.31,incorrect,elizabeth,1,1.0,correct,elizabeth,1,1.0,correct,emily,0,0.29,incorrect,abraham,0,0.38,incorrect,elizabeth,1,1.0,correct,emma,0,0.31,incorrect,heathcliff,0,0.42,incorrect,emily,0,0.29,incorrect,elizabeth,1,1.0,correct,elizabeth,1,1.0,correct,emma,0,0.31,incorrect,elizabeth,1,1.0,correct
