Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct
"['eager', 'beaver', 'eager beaver']",me,0,0.29,incorrect,internships,0,0.25,incorrect,internships,0,0.25,incorrect
['hannah'],jon,0,0.22,incorrect,school,0,0.17,incorrect,school,0,0.17,incorrect
"['kalpana chawla', 'kalpana', 'chawla']",marx,0,0.2,incorrect,emily,0,0.18,incorrect,emily,0,0.18,incorrect
['floyd'],carpentry,0,0.14,incorrect,facebook,0,0.31,incorrect,facebook,0,0.31,incorrect
['floyd'],her,0,0.0,incorrect,princess,0,0.0,incorrect,princess,0,0.0,incorrect
['mara'],she,0,0.0,incorrect,midori,0,0.4,incorrect,midori,0,0.4,incorrect
['mara'],his,0,0.0,incorrect,mr. smith,0,0.31,incorrect,mr. smith,0,0.31,incorrect
['floyd'],his,0,0.0,incorrect,trace,0,0.0,incorrect,trace,0,0.0,incorrect
['python'],c++,0,0.0,incorrect,hal,0,0.22,incorrect,hal,0,0.22,incorrect
['let'],christian,0,0.17,incorrect,netflix,0,0.4,incorrect,netflix,0,0.4,incorrect
['fuck'],ian,0,0.0,incorrect,ian,0,0.0,incorrect,ian,0,0.0,incorrect
['hannah'],emily,0,0.0,incorrect,caltech,0,0.31,incorrect,caltech,0,0.31,incorrect
['mara'],she,0,0.0,incorrect,facebook,0,0.17,incorrect,facebook,0,0.17,incorrect
['merel'],stone,0,0.2,incorrect,amase,0,0.4,incorrect,amase,0,0.4,incorrect
['hannah'],god,0,0.0,incorrect,spacex,0,0.17,incorrect,spacex,0,0.17,incorrect
['mara'],emily,0,0.22,incorrect,emily,0,0.22,incorrect,emily,0,0.22,incorrect
['mara'],my sister,0,0.31,incorrect,nasa,0,0.5,incorrect,nasa,0,0.5,incorrect
['merel'],"ellen ripley is not present in the text, but a name that could fit the context is not present, so i will guess a name that is commonly used in science, for example, dr. smith or dr. lee, but i will choose one of the most common names in science, dr. lee is not present, so i will choose dr. smith, no, i will choose dr. lee, no, i will choose dr. smith, no, i will",0,0.03,incorrect,dr. enke,0,0.31,incorrect,dr. enke,0,0.31,incorrect
['karl'],emily,0,0.22,incorrect,watson,0,0.2,incorrect,watson,0,0.2,incorrect
['haven'],i've,0,0.44,incorrect,don't,0,0.2,incorrect,don't,0,0.2,incorrect
['arroyo'],heather paulsen,0,0.19,incorrect,phoenix,0,0.15,incorrect,phoenix,0,0.15,incorrect
['arroyo'],jemison,0,0.15,incorrect,dr. mae jemison,0,0.19,incorrect,dr. mae jemison,0,0.19,incorrect
['merel'],stone,0,0.2,incorrect,elon musk,0,0.29,incorrect,elon musk,0,0.29,incorrect
['floyd'],he,0,0.0,incorrect,government,0,0.13,incorrect,government,0,0.13,incorrect
['merel'],shepherd,0,0.31,incorrect,amundsen,0,0.31,incorrect,amundsen,0,0.31,incorrect
['hannah'],emily,0,0.0,incorrect,hamlet,0,0.33,incorrect,hamlet,0,0.33,incorrect
['merel'],god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['hannah'],dr. kim,0,0.0,incorrect,longyearbyen,0,0.22,incorrect,longyearbyen,0,0.22,incorrect
['merel'],god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['floyd'],maternal,0,0.15,incorrect,michael,0,0.17,incorrect,michael,0,0.17,incorrect
['hannah'],charlie,0,0.31,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['hannah'],elon,0,0.2,incorrect,trump,0,0.0,incorrect,trump,0,0.0,incorrect
['merel'],ian,0,0.0,incorrect,ian,0,0.0,incorrect,ian,0,0.0,incorrect
['mara'],his mother,0,0.29,incorrect,he,0,0.0,incorrect,he,0,0.0,incorrect
['mara'],jessica,0,0.18,incorrect,emily,0,0.22,incorrect,emily,0,0.22,incorrect
['floyd'],montague,0,0.15,incorrect,star wars,0,0.0,incorrect,star wars,0,0.0,incorrect
['mara'],chandler,0,0.33,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['mara'],sadie,0,0.22,incorrect,sadie,0,0.22,incorrect,sadie,0,0.22,incorrect
['great'],great,1,1.0,correct,delphina's,0,0.27,incorrect,delphina's,0,0.27,incorrect
['hannah'],jack,0,0.2,incorrect,arctic,0,0.17,incorrect,arctic,0,0.17,incorrect
['hannah'],emily,0,0.0,incorrect,heathcliff,0,0.38,incorrect,heathcliff,0,0.38,incorrect
['hannah'],lucky,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['hannah'],josh,0,0.2,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['hannah'],anna,0,0.8,correct,heathcliff,0,0.38,incorrect,heathcliff,0,0.38,incorrect
['mara'],my mom,0,0.2,incorrect,martha,0,0.8,correct,martha,0,0.8,correct
['hannah'],tristan,0,0.31,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['hannah'],master,0,0.17,incorrect,christian,0,0.4,incorrect,christian,0,0.4,incorrect
['hannah'],mars,0,0.2,incorrect,aurora,0,0.33,incorrect,aurora,0,0.33,incorrect
