Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['atila', 'magyard', 'attila']",huns,0,0.0,incorrect,magyar,0,0.92,correct,huns,0,0.0,incorrect,szekelys,0,0.15,incorrect,huns,0,0.0,incorrect,romanians,0,0.43,incorrect,huns,0,0.0,incorrect,transylvania,0,0.35,incorrect,hun,0,0.0,incorrect,ernst,0,0.2,incorrect,dacians,0,0.5,incorrect,ny wallaques,0,0.35,incorrect,magyar,0,0.92,correct,szekelys,0,0.15,incorrect,romanians,0,0.43,incorrect,transylvania,0,0.35,incorrect,ernst,0,0.2,incorrect,ny wallaques,0,0.35,incorrect,hunor,0,0.17,incorrect,magyars,0,0.86,correct,sekeller,0,0.15,incorrect,saksonlar,0,0.43,incorrect,hung,0,0.18,incorrect,attila,1,1.0,correct,hunos,0,0.0,incorrect,leo,0,0.25,incorrect,magyars,0,0.86,correct,saksonlar,0,0.43,incorrect,attila,1,1.0,correct,leo,0,0.25,incorrect
"['conde', 'kont dracula', 'dracula', 'kont', 'conde drácula', 'drácula']",sejeremane,0,0.27,incorrect,sejeremane,0,0.27,incorrect,countess,0,0.62,incorrect,may,0,0.2,incorrect,hester,0,0.22,incorrect,balepodi,0,0.31,incorrect,aora'i,0,0.33,incorrect,hau,0,0.4,incorrect,countess,0,0.62,incorrect,herman,0,0.32,incorrect,countess,0,0.62,incorrect,farafaharatsiny,0,0.27,incorrect,sejeremane,0,0.27,incorrect,may,0,0.2,incorrect,balepodi,0,0.31,incorrect,hau,0,0.4,incorrect,herman,0,0.32,incorrect,farafaharatsiny,0,0.27,incorrect,count,0,0.67,incorrect,may,0,0.2,incorrect,kont,1,1.0,correct,kont,1,1.0,correct,phaebus,0,0.29,incorrect,ngoc,0,0.25,incorrect,conde,1,1.0,correct,conde,1,1.0,correct,may,0,0.2,incorrect,kont,1,1.0,correct,ngoc,0,0.25,incorrect,conde,1,1.0,correct
"['conde', 'kont dracula', 'dracula', 'kont', 'conde drácula', 'drácula']",sejeremane,0,0.27,incorrect,may,0,0.2,incorrect,countess,0,0.62,incorrect,count,0,0.67,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,aora'i,0,0.33,incorrect,hau,0,0.4,incorrect,countess,0,0.62,incorrect,mary,0,0.18,incorrect,countess,0,0.62,incorrect,alemana,0,0.43,incorrect,may,0,0.2,incorrect,count,0,0.67,incorrect,hester,0,0.22,incorrect,hau,0,0.4,incorrect,mary,0,0.18,incorrect,alemana,0,0.43,incorrect,count,0,0.67,incorrect,count,0,0.67,incorrect,kont,1,1.0,correct,kont,1,1.0,correct,phaebus,0,0.29,incorrect,duc,0,0.4,incorrect,conde,1,1.0,correct,conde,1,1.0,correct,count,0,0.67,incorrect,kont,1,1.0,correct,duc,0,0.4,incorrect,conde,1,1.0,correct
"['mr', 'hawkins', 'mr hawkins']",hester,0,0.31,incorrect,otlhokomelang,0,0.3,incorrect,hester,0,0.31,incorrect,mosi,0,0.33,incorrect,hester,0,0.31,incorrect,bonyana,0,0.29,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,delhi,0,0.33,incorrect,trick,0,0.29,incorrect,tompo,0,0.29,incorrect,nosokafany,0,0.24,incorrect,otlhokomelang,0,0.3,incorrect,mosi,0,0.33,incorrect,bonyana,0,0.29,incorrect,hester,0,0.31,incorrect,trick,0,0.29,incorrect,nosokafany,0,0.24,incorrect,mask,0,0.43,incorrect,one,0,0.2,incorrect,hester,0,0.31,incorrect,kont,0,0.36,incorrect,mask,0,0.43,incorrect,lao,0,0.2,incorrect,enviador,0,0.2,incorrect,ella,0,0.18,incorrect,one,0,0.2,incorrect,kont,0,0.36,incorrect,lao,0,0.2,incorrect,ella,0,0.18,incorrect
"['dracula', 'kont', 'drácula', 'kont dracula']",bistritz,0,0.2,incorrect,hlohonolofatsa,0,0.33,incorrect,count dracula,0,0.88,correct,nitori,0,0.4,incorrect,jehofa,0,0.22,incorrect,jaanong,0,0.36,incorrect,bistritz,0,0.2,incorrect,bistritz,0,0.2,incorrect,cross,0,0.22,incorrect,cochise,0,0.21,incorrect,countess,0,0.5,incorrect,count moa,0,0.48,incorrect,hlohonolofatsa,0,0.33,incorrect,nitori,0,0.4,incorrect,jaanong,0,0.36,incorrect,bistritz,0,0.2,incorrect,cochise,0,0.21,incorrect,count moa,0,0.48,incorrect,count,0,0.67,incorrect,bistritz,0,0.2,incorrect,ona,0,0.57,incorrect,kadin,0,0.44,incorrect,rothschild,0,0.36,incorrect,bistritz,0,0.2,incorrect,conde,0,0.44,incorrect,bistritz,0,0.2,incorrect,bistritz,0,0.2,incorrect,kadin,0,0.44,incorrect,bistritz,0,0.2,incorrect,bistritz,0,0.2,incorrect
['lucy'],qalong,0,0.2,incorrect,mehato,0,0.0,incorrect,hester,0,0.0,incorrect,abby,0,0.25,incorrect,tota,0,0.0,incorrect,pitse,0,0.0,incorrect,hester,0,0.0,incorrect,ester,0,0.0,incorrect,jane,0,0.0,incorrect,abi,0,0.0,incorrect,abbey,0,0.22,incorrect,nandeha,0,0.0,incorrect,mehato,0,0.0,incorrect,abby,0,0.25,incorrect,pitse,0,0.0,incorrect,ester,0,0.0,incorrect,abi,0,0.0,incorrect,nandeha,0,0.0,incorrect,she,0,0.0,incorrect,mother,0,0.0,incorrect,maskarade,0,0.0,incorrect,aksay,0,0.22,incorrect,hai me con dao,0,0.11,incorrect,toi,0,0.0,incorrect,elisa,0,0.22,incorrect,abadia,0,0.0,incorrect,mother,0,0.0,incorrect,aksay,0,0.22,incorrect,toi,0,0.0,incorrect,abadia,0,0.0,incorrect
['lucy'],hester,0,0.0,incorrect,ongotsoe,0,0.0,incorrect,thrush,0,0.2,incorrect,thruff-stean,0,0.12,incorrect,jalo,0,0.25,incorrect,hester,0,0.0,incorrect,thrush,0,0.2,incorrect,thrush,0,0.2,incorrect,thresh,0,0.0,incorrect,thresh,0,0.0,incorrect,thuff-stean,0,0.13,incorrect,hester,0,0.0,incorrect,ongotsoe,0,0.0,incorrect,thruff-stean,0,0.12,incorrect,hester,0,0.0,incorrect,thrush,0,0.2,incorrect,thresh,0,0.0,incorrect,hester,0,0.0,incorrect,she,0,0.0,incorrect,hester,0,0.0,incorrect,maskarade,0,0.0,incorrect,ayagimizin,0,0.14,incorrect,gia,0,0.0,incorrect,mo,0,0.0,incorrect,senor,0,0.0,incorrect,familiares,0,0.14,incorrect,hester,0,0.0,incorrect,ayagimizin,0,0.14,incorrect,mo,0,0.0,incorrect,familiares,0,0.14,incorrect
['renfield'],hester,0,0.29,incorrect,mohlanka,0,0.12,incorrect,olutoju,0,0.13,incorrect,hester,0,0.29,incorrect,tumelo,0,0.29,incorrect,tumelo,0,0.29,incorrect,hester,0,0.29,incorrect,manu,0,0.17,incorrect,dr.,0,0.18,incorrect,doctor,0,0.14,incorrect,dokotera,0,0.12,incorrect,vao,0,0.0,incorrect,mohlanka,0,0.12,incorrect,hester,0,0.29,incorrect,tumelo,0,0.29,incorrect,manu,0,0.17,incorrect,doctor,0,0.14,incorrect,vao,0,0.0,incorrect,he,0,0.2,incorrect,birds,0,0.31,incorrect,hastabakici,0,0.11,incorrect,sabah,0,0.0,incorrect,han,0,0.18,incorrect,hoa mi,0,0.14,incorrect,josefina,0,0.38,incorrect,mi,0,0.2,incorrect,birds,0,0.31,incorrect,sabah,0,0.0,incorrect,hoa mi,0,0.14,incorrect,mi,0,0.2,incorrect
['olgaren'],maobane,0,0.43,incorrect,phupu,0,0.0,incorrect,lara,0,0.55,incorrect,keje,0,0.18,incorrect,phukwi,0,0.0,incorrect,hester,0,0.15,incorrect,hester,0,0.15,incorrect,te ua,0,0.17,incorrect,edgar,0,0.5,incorrect,edgar,0,0.5,incorrect,sambo,0,0.17,incorrect,mba,0,0.2,incorrect,phupu,0,0.0,incorrect,keje,0,0.18,incorrect,hester,0,0.15,incorrect,te ua,0,0.17,incorrect,edgar,0,0.5,incorrect,mba,0,0.2,incorrect,one of the men,0,0.29,incorrect,he,0,0.22,incorrect,adama,0,0.17,incorrect,bulent,0,0.46,incorrect,thuy thu,0,0.0,incorrect,han,0,0.4,incorrect,uno,0,0.2,incorrect,barco,0,0.33,incorrect,he,0,0.22,incorrect,bulent,0,0.46,incorrect,han,0,0.4,incorrect,barco,0,0.33,incorrect
"['jona', 'jonathan']",hester,0,0.14,incorrect,hoseng,0,0.4,incorrect,hester,0,0.14,incorrect,hester,0,0.14,incorrect,mosesane,0,0.38,incorrect,maarten,0,0.4,incorrect,hester,0,0.14,incorrect,ahiri,0,0.31,incorrect,shylock,0,0.18,incorrect,monkey,0,0.4,incorrect,hery,0,0.17,incorrect,aiza,0,0.33,incorrect,hoseng,0,0.4,incorrect,hester,0,0.14,incorrect,maarten,0,0.4,incorrect,ahiri,0,0.31,incorrect,monkey,0,0.4,incorrect,aiza,0,0.33,incorrect,he,0,0.2,incorrect,harbour,0,0.27,incorrect,zorba,0,0.44,incorrect,zorba,0,0.44,incorrect,anh,0,0.36,incorrect,anh,0,0.36,incorrect,el,0,0.0,incorrect,mar,0,0.29,incorrect,harbour,0,0.27,incorrect,zorba,0,0.44,incorrect,anh,0,0.36,incorrect,mar,0,0.29,incorrect
