Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['mr', 'mr bingley', 'bingley']",modupi,0,0.25,incorrect,uena,0,0.18,incorrect,oluwole,0,0.29,incorrect,nitori,0,0.25,incorrect,sepe,0,0.18,incorrect,gonne,0,0.33,incorrect,te mau tamahine,0,0.4,incorrect,te aita,0,0.24,incorrect,omkara,0,0.5,incorrect,okara,0,0.29,incorrect,satria,0,0.25,incorrect,mety ho ratsy indrindra,0,0.3,incorrect,uena,0,0.18,incorrect,nitori,0,0.25,incorrect,gonne,0,0.33,incorrect,te aita,0,0.24,incorrect,okara,0,0.29,incorrect,mety ho ratsy indrindra,0,0.3,incorrect,elizabeth bennet,0,0.31,incorrect,girls,0,0.33,incorrect,emma,0,0.33,incorrect,adem,0,0.33,incorrect,em,0,0.5,incorrect,nguyen thi huyen,0,0.35,incorrect,juan,0,0.18,incorrect,maria,0,0.57,incorrect,girls,0,0.33,incorrect,adem,0,0.33,incorrect,nguyen thi huyen,0,0.35,incorrect,maria,0,0.57,incorrect
"['mr', 'bennet', 'señor bennet', 'mr bennet', 'señor']",joseph,0,0.36,incorrect,mabel,0,0.43,incorrect,isabella,0,0.31,incorrect,okan,0,0.25,incorrect,sebotsane,0,0.48,incorrect,tlhaloganyo,0,0.25,incorrect,te haamaramarama,0,0.22,incorrect,te eferuriraa,0,0.32,incorrect,jkhn,0,0.22,incorrect,suresh,0,0.36,incorrect,isabella,0,0.31,incorrect,tena,0,0.44,incorrect,mabel,0,0.43,incorrect,okan,0,0.25,incorrect,tlhaloganyo,0,0.25,incorrect,te eferuriraa,0,0.32,incorrect,suresh,0,0.36,incorrect,tena,0,0.44,incorrect,mr bennet,1,1.0,correct,elizabeth bennet,0,0.57,incorrect,adem,0,0.33,incorrect,adem,0,0.33,incorrect,nguyen thi huyen,0,0.36,incorrect,tran nhat duat,0,0.35,incorrect,el jefe,0,0.42,incorrect,maria,0,0.57,incorrect,elizabeth bennet,0,0.57,incorrect,adem,0,0.33,incorrect,tran nhat duat,0,0.35,incorrect,maria,0,0.57,incorrect
"['mrs long', 'señora', 'long', 'mrs', 'señora long']",monyetla,0,0.38,incorrect,liame,0,0.25,incorrect,atinukemi,0,0.2,incorrect,ore,0,0.44,incorrect,ruri,0,0.29,incorrect,ke,0,0.25,incorrect,te huru,0,0.31,incorrect,tera,0,0.6,incorrect,es. bii. thonms,0,0.35,incorrect,deb,0,0.22,incorrect,s. randrianononono,0,0.41,incorrect,sarah,0,0.55,incorrect,liame,0,0.25,incorrect,ore,0,0.44,incorrect,ke,0,0.25,incorrect,tera,0,0.6,incorrect,deb,0,0.22,incorrect,sarah,0,0.55,incorrect,sir walter elliot,0,0.43,incorrect,miss susan,0,0.44,incorrect,cakmak,0,0.22,incorrect,onun,0,0.5,incorrect,nguoi khac,0,0.38,incorrect,nguyen phuc,0,0.27,incorrect,maria,0,0.5,incorrect,pero,0,0.4,incorrect,miss susan,0,0.44,incorrect,onun,0,0.5,incorrect,nguyen phuc,0,0.27,incorrect,pero,0,0.4,incorrect
"['bennet', 'señora', 'mrs', 'señora bennet', 'mrs bennet']",selebi,0,0.38,incorrect,matlou,0,0.25,incorrect,sarah,0,0.55,incorrect,omowumi sofola,0,0.3,incorrect,modiri,0,0.44,incorrect,batla,0,0.36,incorrect,te wahine,0,0.4,incorrect,te fiti,0,0.31,incorrect,jes,0,0.33,incorrect,sanjay,0,0.5,incorrect,saint,0,0.44,incorrect,s. niriany,0,0.5,incorrect,matlou,0,0.25,incorrect,omowumi sofola,0,0.3,incorrect,batla,0,0.36,incorrect,te fiti,0,0.31,incorrect,sanjay,0,0.5,incorrect,s. niriany,0,0.5,incorrect,sir walter,0,0.38,incorrect,sir walter elliot,0,0.4,incorrect,ali,0,0.22,incorrect,digerlerini,0,0.33,incorrect,nguyen thi lan,0,0.3,incorrect,tranhung dao,0,0.32,incorrect,maria,0,0.5,incorrect,el,0,0.25,incorrect,sir walter elliot,0,0.4,incorrect,digerlerini,0,0.33,incorrect,tranhung dao,0,0.32,incorrect,el,0,0.25,incorrect
"['mr', 'mr bennet', 'bennet']",empa,0,0.33,incorrect,empa,0,0.33,incorrect,chinwe,0,0.33,incorrect,ati,0,0.22,incorrect,molapo,0,0.25,incorrect,lebala,0,0.17,incorrect,te ra,0,0.29,incorrect,tera,0,0.33,incorrect,ragini,0,0.27,incorrect,princess,0,0.35,incorrect,endrey,0,0.5,incorrect,endrey faly,0,0.35,incorrect,empa,0,0.33,incorrect,ati,0,0.22,incorrect,lebala,0,0.17,incorrect,tera,0,0.33,incorrect,princess,0,0.35,incorrect,endrey faly,0,0.35,incorrect,elizabeth bennet,0,0.56,incorrect,emily,0,0.29,incorrect,ali,0,0.0,incorrect,ali,0,0.0,incorrect,ngoi sao,0,0.14,incorrect,nguyen dinh thi,0,0.38,incorrect,juan,0,0.2,incorrect,estaba,0,0.33,incorrect,emily,0,0.29,incorrect,ali,0,0.0,incorrect,nguyen dinh thi,0,0.38,incorrect,estaba,0,0.33,incorrect
['lizzy'],etsoe,0,0.0,incorrect,ha 'me,0,0.0,incorrect,adebayo,0,0.17,incorrect,omowumi,0,0.17,incorrect,modupi,0,0.18,incorrect,leona,0,0.2,incorrect,te ra,0,0.0,incorrect,tera,0,0.0,incorrect,muda,0,0.0,incorrect,shakespeare,0,0.0,incorrect,andriamanitra,0,0.11,incorrect,enga,0,0.0,incorrect,ha 'me,0,0.0,incorrect,omowumi,0,0.17,incorrect,leona,0,0.2,incorrect,tera,0,0.0,incorrect,shakespeare,0,0.0,incorrect,enga,0,0.0,incorrect,mr. collins,0,0.25,incorrect,he,0,0.0,incorrect,osman,0,0.0,incorrect,ortalarda,0,0.14,incorrect,nguyen dinh thi,0,0.1,incorrect,tran anh,0,0.0,incorrect,carlos,0,0.18,incorrect,estado,0,0.0,incorrect,he,0,0.0,incorrect,ortalarda,0,0.14,incorrect,tran anh,0,0.0,incorrect,estado,0,0.0,incorrect
"['miss', 'lucas', 'miss lucas', 'lucas–']",boikhohomoso,0,0.25,incorrect,haeba,0,0.2,incorrect,oliver,0,0.2,incorrect,"igberaga ni gidi o, so se, o so eto ti re, le n eniyan bee se pe, ko ninu pe ni nipa o dara ojurere",0,0.13,incorrect,boikgogomoso sebotsane,0,0.25,incorrect,le gagwe,0,0.31,incorrect,to'ena,0,0.18,incorrect,eita tui,0,0.33,incorrect,janak,0,0.2,incorrect,bhaanaa,0,0.17,incorrect,fireharehany,0,0.18,incorrect,tsy,0,0.29,incorrect,haeba,0,0.2,incorrect,"igberaga ni gidi o, so se, o so eto ti re, le n eniyan bee se pe, ko ninu pe ni nipa o dara ojurere",0,0.13,incorrect,le gagwe,0,0.31,incorrect,eita tui,0,0.33,incorrect,bhaanaa,0,0.17,incorrect,tsy,0,0.29,incorrect,mr. darcy,0,0.32,incorrect,his family,0,0.4,incorrect,adam,0,0.25,incorrect,gurur,0,0.2,incorrect,nhan van,0,0.22,incorrect,nguyen dinh thi,0,0.16,incorrect,don diego,0,0.15,incorrect,porfiriato,0,0.2,incorrect,his family,0,0.4,incorrect,gurur,0,0.2,incorrect,nguyen dinh thi,0,0.16,incorrect,porfiriato,0,0.2,incorrect
['mary'],boikhohomoso,0,0.12,incorrect,boikakaso,0,0.15,incorrect,igberaga,0,0.17,incorrect,asan,0,0.25,incorrect,"ke ne ka joseph le fa a ne a akanya gore o ne a akanya ka dilo tse a neng a di dira, a re: ""ke ne ke sa dumele gore o a ikanyega."" ka ntlha ya tsotlhe tse ke di balang, ke tlhomamisegile gore go aname go le kana kang; go na le batho ba le mmalwa fela ba ba sa rat",0,0.02,incorrect,go,0,0.0,incorrect,te fiti,0,0.0,incorrect,te pareau,0,0.31,incorrect,grved,0,0.22,incorrect,mhaatmaa gaandhii,0,0.19,incorrect,thomas,0,0.4,incorrect,novakij,0,0.18,incorrect,boikakaso,0,0.15,incorrect,asan,0,0.25,incorrect,go,0,0.0,incorrect,te pareau,0,0.31,incorrect,mhaatmaa gaandhii,0,0.19,incorrect,novakij,0,0.18,incorrect,edmund burke,0,0.25,incorrect,self-complacency,0,0.3,incorrect,gurur,0,0.22,incorrect,gunes,0,0.0,incorrect,em,0,0.33,incorrect,em,0,0.33,incorrect,el orgullo,0,0.14,incorrect,el,0,0.0,incorrect,self-complacency,0,0.3,incorrect,gunes,0,0.0,incorrect,em,0,0.33,incorrect,el,0,0.0,incorrect
"['miss', 'eliz', 'miss eliza', 'eliza']",melepho,0,0.36,incorrect,monna bonnet,0,0.27,incorrect,ojo,0,0.0,incorrect,tayo,0,0.22,incorrect,sechele,0,0.36,incorrect,mokgweetsi,0,0.3,incorrect,teuila,0,0.55,incorrect,ta'na,0,0.2,incorrect,shyam,0,0.27,incorrect,karab,0,0.2,incorrect,andriamanitra,0,0.26,incorrect,andriamanitra,0,0.26,incorrect,monna bonnet,0,0.27,incorrect,tayo,0,0.22,incorrect,mokgweetsi,0,0.3,incorrect,ta'na,0,0.2,incorrect,karab,0,0.2,incorrect,andriamanitra,0,0.26,incorrect,mr. darcy,0,0.32,incorrect,mr. darcy,0,0.32,incorrect,osman,0,0.27,incorrect,dansta,0,0.25,incorrect,vi,0,0.33,incorrect,toi,0,0.29,incorrect,senorita [name],0,0.32,incorrect,senorita,0,0.46,incorrect,mr. darcy,0,0.32,incorrect,dansta,0,0.25,incorrect,toi,0,0.29,incorrect,senorita,0,0.46,incorrect
"['bennet––', 'bennet', 'mrs', 'mrs bennet']","ke a makatsa, moratuwa wa ka,"" ha rialo secheu, ""hore o tle o ikemisetse ho nahana ka bana ba hao booatla. haeba ke batla ho nahana ka bana ba motho e mong le e mong, ha ea lokela ho ba ea ka.",0,0.09,incorrect,haeba,0,0.18,incorrect,solomon,0,0.24,incorrect,solomon,0,0.24,incorrect,ke a gakgamala,0,0.12,incorrect,seo,0,0.33,incorrect,te maere,0,0.36,incorrect,ra,0,0.4,incorrect,eschscholtz,0,0.24,incorrect,es. caahait,0,0.29,incorrect,serge,0,0.4,incorrect,sandra,0,0.25,incorrect,haeba,0,0.18,incorrect,solomon,0,0.24,incorrect,seo,0,0.33,incorrect,ra,0,0.4,incorrect,es. caahait,0,0.29,incorrect,sandra,0,0.25,incorrect,sir walter,0,0.3,incorrect,john,0,0.2,incorrect,halit,0,0.18,incorrect,ali,0,0.0,incorrect,nguyen dinh thi,0,0.38,incorrect,toi,0,0.22,incorrect,maria,0,0.5,incorrect,maria,0,0.5,incorrect,john,0,0.2,incorrect,ali,0,0.0,incorrect,toi,0,0.22,incorrect,maria,0,0.5,incorrect
