Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['moses', 'musa', 'moisés']",jesus,0,0.44,incorrect,jesus,0,0.44,incorrect,olodumare,0,0.31,incorrect,olodumare,0,0.31,incorrect,god,0,0.25,incorrect,god,0,0.25,incorrect,jesus,0,0.44,incorrect,jesus,0,0.44,incorrect,newton,0,0.18,incorrect,newton,0,0.18,incorrect,andriamanitra,0,0.24,incorrect,madagascar,0,0.43,incorrect,jesus,0,0.44,incorrect,olodumare,0,0.31,incorrect,god,0,0.25,incorrect,jesus,0,0.44,incorrect,newton,0,0.18,incorrect,madagascar,0,0.43,incorrect,snuff,0,0.22,incorrect,god,0,0.25,incorrect,ali,0,0.29,incorrect,muhammed,0,0.5,incorrect,khong tu,0,0.17,incorrect,duc,0,0.29,incorrect,rape,0,0.25,incorrect,maria,0,0.44,incorrect,god,0,0.25,incorrect,muhammed,0,0.5,incorrect,duc,0,0.29,incorrect,maria,0,0.44,incorrect
"['sawyer', 'tom sawyer', 'tom']",jesus,0,0.18,incorrect,jesus,0,0.18,incorrect,david,0,0.18,incorrect,orunmila,0,0.36,incorrect,god,0,0.33,incorrect,ke,0,0.25,incorrect,jesus,0,0.18,incorrect,jesus,0,0.18,incorrect,viinnaa,0,0.15,incorrect,albert einstein,0,0.32,incorrect,adam,0,0.29,incorrect,andriamahilaniina,0,0.17,incorrect,jesus,0,0.18,incorrect,orunmila,0,0.36,incorrect,ke,0,0.25,incorrect,jesus,0,0.18,incorrect,albert einstein,0,0.32,incorrect,andriamahilaniina,0,0.17,incorrect,tom,1,1.0,correct,god,0,0.33,incorrect,artik,0,0.36,incorrect,sarki,0,0.55,incorrect,chong,0,0.25,incorrect,nghe,0,0.2,incorrect,el,0,0.25,incorrect,god,0,0.33,incorrect,god,0,0.33,incorrect,sarki,0,0.55,incorrect,nghe,0,0.2,incorrect,god,0,0.33,incorrect
"['bayan', 'bayan watson', 'watson']",thomas mofolo,0,0.32,incorrect,ke,0,0.0,incorrect,omidan,0,0.36,incorrect,abraham orishagbemi,0,0.32,incorrect,albert luthuli,0,0.23,incorrect,donald trump,0,0.25,incorrect,john,0,0.4,incorrect,jesus,0,0.18,incorrect,misej,0,0.18,incorrect,maark ttven,0,0.43,incorrect,andriamahilala,0,0.23,incorrect,andriamanitra,0,0.33,incorrect,ke,0,0.0,incorrect,abraham orishagbemi,0,0.32,incorrect,donald trump,0,0.25,incorrect,jesus,0,0.18,incorrect,maark ttven,0,0.43,incorrect,andriamanitra,0,0.33,incorrect,huck finn,0,0.19,incorrect,heathcliff,0,0.25,incorrect,edgar allan poe,0,0.37,incorrect,ozdemir asaf,0,0.25,incorrect,nguyen cong tru,0,0.37,incorrect,nguyen cong tru,0,0.37,incorrect,tom,0,0.44,incorrect,la llorona,0,0.38,incorrect,heathcliff,0,0.25,incorrect,ozdemir asaf,0,0.25,incorrect,nguyen cong tru,0,0.37,incorrect,la llorona,0,0.38,incorrect
"['sawyer', 'tom sawyer', 'tom']",jesus,0,0.18,incorrect,jesus,0,0.18,incorrect,oliver twist,0,0.27,incorrect,mo,0,0.4,incorrect,jesus,0,0.18,incorrect,yo-yo-yo,0,0.22,incorrect,corrie,0,0.25,incorrect,corrie,0,0.25,incorrect,buddh,0,0.0,incorrect,lord rama,0,0.33,incorrect,donald trump,0,0.27,incorrect,adam,0,0.29,incorrect,jesus,0,0.18,incorrect,mo,0,0.4,incorrect,yo-yo-yo,0,0.22,incorrect,corrie,0,0.25,incorrect,lord rama,0,0.33,incorrect,adam,0,0.29,incorrect,tom,1,1.0,correct,garfield,0,0.29,incorrect,kardesim,0,0.29,incorrect,miyav,0,0.27,incorrect,meo,0,0.33,incorrect,nguyen cong tru,0,0.29,incorrect,el gato,0,0.4,incorrect,volodi,0,0.22,incorrect,garfield,0,0.29,incorrect,miyav,0,0.27,incorrect,nguyen cong tru,0,0.29,incorrect,volodi,0,0.22,incorrect
['tom'],jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,orunmila,0,0.36,incorrect,oduduwa,0,0.2,incorrect,god,0,0.33,incorrect,god,0,0.33,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,lord krishna,0,0.13,incorrect,shiva,0,0.0,incorrect,abraham lincoln,0,0.11,incorrect,andriamahilitsy,0,0.11,incorrect,jesus,0,0.0,incorrect,oduduwa,0,0.2,incorrect,god,0,0.33,incorrect,jesus,0,0.0,incorrect,shiva,0,0.0,incorrect,andriamahilitsy,0,0.11,incorrect,tom,1,1.0,correct,tom,1,1.0,correct,ali,0,0.0,incorrect,magara,0,0.22,incorrect,dang van,0,0.0,incorrect,duoc,0,0.29,incorrect,sam,0,0.33,incorrect,moises,0,0.22,incorrect,tom,1,1.0,correct,magara,0,0.22,incorrect,duoc,0,0.29,incorrect,moises,0,0.22,incorrect
['tom'],jesus,0,0.0,incorrect,haeba,0,0.0,incorrect,olodumare,0,0.33,incorrect,jesus,0,0.0,incorrect,god,0,0.33,incorrect,god,0,0.33,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,freemason,0,0.17,incorrect,abhishek bachchan,0,0.0,incorrect,andriamanitra,0,0.12,incorrect,madagascar,0,0.15,incorrect,haeba,0,0.0,incorrect,jesus,0,0.0,incorrect,god,0,0.33,incorrect,jesus,0,0.0,incorrect,abhishek bachchan,0,0.0,incorrect,madagascar,0,0.15,incorrect,tom sawyer,0,0.46,incorrect,harry,0,0.0,incorrect,herkes,0,0.0,incorrect,herkes,0,0.0,incorrect,thang,0,0.25,incorrect,nguyen trai,0,0.14,incorrect,pip,0,0.0,incorrect,cain,0,0.0,incorrect,harry,0,0.0,incorrect,herkes,0,0.0,incorrect,nguyen trai,0,0.14,incorrect,cain,0,0.0,incorrect
['tom'],jesus,0,0.0,incorrect,shakespeare,0,0.0,incorrect,olodumare,0,0.33,incorrect,olodumare,0,0.33,incorrect,bartholomew,0,0.43,incorrect,bartholomew,0,0.43,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,lord rama,0,0.33,incorrect,ramayana,0,0.18,incorrect,god,0,0.33,incorrect,nile,0,0.0,incorrect,shakespeare,0,0.0,incorrect,olodumare,0,0.33,incorrect,bartholomew,0,0.43,incorrect,jesus,0,0.0,incorrect,ramayana,0,0.18,incorrect,nile,0,0.0,incorrect,tom sawyer,0,0.46,incorrect,robinson crusoe,0,0.11,incorrect,herkes,0,0.0,incorrect,herkes,0,0.0,incorrect,tu,0,0.4,incorrect,viet nam,0,0.36,incorrect,robert louis stevenson,0,0.16,incorrect,ulises,0,0.0,incorrect,robinson crusoe,0,0.11,incorrect,herkes,0,0.0,incorrect,viet nam,0,0.36,incorrect,ulises,0,0.0,incorrect
"['sawyer', 'tom sawyer', 'tom']",santa,0,0.36,incorrect,god,0,0.33,incorrect,ole,0,0.33,incorrect,oduduwa,0,0.24,incorrect,rona,0,0.29,incorrect,jesus,0,0.18,incorrect,jesus,0,0.18,incorrect,jesus,0,0.18,incorrect,lord krishna,0,0.36,incorrect,ram,0,0.33,incorrect,andriamanitra,0,0.26,incorrect,andriamanitra,0,0.26,incorrect,god,0,0.33,incorrect,oduduwa,0,0.24,incorrect,jesus,0,0.18,incorrect,jesus,0,0.18,incorrect,ram,0,0.33,incorrect,andriamanitra,0,0.26,incorrect,tom sawyer,1,1.0,correct,dick turpin,0,0.19,incorrect,robin hood,0,0.2,incorrect,polis,0,0.27,incorrect,duc tu,0,0.22,incorrect,nguyen binh khiem,0,0.17,incorrect,jose,0,0.43,incorrect,salteadores,0,0.47,incorrect,dick turpin,0,0.19,incorrect,polis,0,0.27,incorrect,nguyen binh khiem,0,0.17,incorrect,salteadores,0,0.47,incorrect
"['tommy barnes', 'barnes', 'tommy']",jesus,0,0.36,incorrect,jesus,0,0.36,incorrect,oduduwa,0,0.21,incorrect,oduduwa,0,0.21,incorrect,god,0,0.25,incorrect,god,0,0.25,incorrect,jesus,0,0.36,incorrect,jesus,0,0.36,incorrect,ram,0,0.25,incorrect,ram,0,0.25,incorrect,madagascar,0,0.27,incorrect,madagascar,0,0.27,incorrect,jesus,0,0.36,incorrect,oduduwa,0,0.21,incorrect,god,0,0.25,incorrect,jesus,0,0.36,incorrect,ram,0,0.25,incorrect,madagascar,0,0.27,incorrect,tom,0,0.75,correct,little,0,0.22,incorrect,minik,0,0.24,incorrect,minik,0,0.24,incorrect,duc,0,0.0,incorrect,thang,0,0.36,incorrect,trump,0,0.4,incorrect,jose,0,0.25,incorrect,little,0,0.22,incorrect,minik,0,0.24,incorrect,thang,0,0.36,incorrect,jose,0,0.25,incorrect
['tom'],jesus,0,0.0,incorrect,yaba soma,0,0.33,incorrect,oliver twist,0,0.13,incorrect,jesus,0,0.0,incorrect,god,0,0.33,incorrect,god,0,0.33,incorrect,jesus,0,0.0,incorrect,tahiti,0,0.22,incorrect,ram,0,0.33,incorrect,rahul gandhi,0,0.0,incorrect,madagascar,0,0.15,incorrect,adam,0,0.29,incorrect,yaba soma,0,0.33,incorrect,jesus,0,0.0,incorrect,god,0,0.33,incorrect,tahiti,0,0.22,incorrect,rahul gandhi,0,0.0,incorrect,adam,0,0.29,incorrect,tom,1,1.0,correct,god,0,0.33,incorrect,herkes,0,0.0,incorrect,ama,0,0.33,incorrect,nhe,0,0.0,incorrect,nguyen thi loctran,0,0.19,incorrect,el lloron,0,0.17,incorrect,jesus,0,0.0,incorrect,god,0,0.33,incorrect,ama,0,0.33,incorrect,nguyen thi loctran,0,0.19,incorrect,jesus,0,0.0,incorrect
