Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
['gatsby'],god,0,0.22,incorrect,bochabela,0,0.27,incorrect,heathcliff,0,0.25,incorrect,oduduwa,0,0.15,incorrect,god,0,0.22,incorrect,job,0,0.22,incorrect,job,0,0.22,incorrect,god,0,0.22,incorrect,childe harold,0,0.11,incorrect,god,0,0.22,incorrect,jack london,0,0.12,incorrect,adam,0,0.2,incorrect,bochabela,0,0.27,incorrect,oduduwa,0,0.15,incorrect,job,0,0.22,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,adam,0,0.2,incorrect,gatsby,1,1.0,correct,emerson,0,0.15,incorrect,emma,0,0.2,incorrect,goethe,0,0.33,incorrect,gatsby,1,1.0,correct,dong,0,0.2,incorrect,gatsby,1,1.0,correct,byron,0,0.36,incorrect,emerson,0,0.15,incorrect,goethe,0,0.33,incorrect,dong,0,0.2,incorrect,byron,0,0.36,incorrect
"['tom', 'tom buchanan', 'buchanan']",fora,0,0.29,incorrect,georgia,0,0.21,incorrect,daisy,0,0.15,incorrect,georgia,0,0.21,incorrect,fora,0,0.29,incorrect,washington,0,0.33,incorrect,jordan,0,0.33,incorrect,adam,0,0.33,incorrect,nick,0,0.17,incorrect,george,0,0.22,incorrect,gatsby,0,0.22,incorrect,zealand,0,0.4,incorrect,georgia,0,0.21,incorrect,georgia,0,0.21,incorrect,washington,0,0.33,incorrect,adam,0,0.33,incorrect,george,0,0.22,incorrect,zealand,0,0.4,incorrect,tom,1,1.0,correct,egg,0,0.0,incorrect,tom,1,1.0,correct,east egg,0,0.2,incorrect,gatsby,0,0.22,incorrect,windsor,0,0.2,incorrect,daisy,0,0.15,incorrect,east egg,0,0.2,incorrect,egg,0,0.0,incorrect,east egg,0,0.2,incorrect,windsor,0,0.2,incorrect,east egg,0,0.2,incorrect
"['tom', 'tom buchanan', 'buchanan']",god,0,0.33,incorrect,joan of arc,0,0.35,incorrect,paul revere,0,0.11,incorrect,esther,0,0.22,incorrect,macdonald,0,0.38,incorrect,joan of arc,0,0.35,incorrect,esther,0,0.22,incorrect,esther,0,0.22,incorrect,emily,0,0.25,incorrect,salome,0,0.44,incorrect,helena,0,0.43,incorrect,samy,0,0.29,incorrect,joan of arc,0,0.35,incorrect,esther,0,0.22,incorrect,joan of arc,0,0.35,incorrect,esther,0,0.22,incorrect,salome,0,0.44,incorrect,samy,0,0.29,incorrect,jordan,0,0.33,incorrect,balloon,0,0.4,incorrect,bayan,0,0.62,incorrect,beethoven,0,0.35,incorrect,heathcliff,0,0.22,incorrect,heathcliff,0,0.22,incorrect,maruja,0,0.33,incorrect,salome,0,0.44,incorrect,balloon,0,0.4,incorrect,beethoven,0,0.35,incorrect,heathcliff,0,0.22,incorrect,salome,0,0.44,incorrect
['daisy'],esther,0,0.18,incorrect,joang,0,0.2,incorrect,esther,0,0.18,incorrect,esther,0,0.18,incorrect,esther,0,0.18,incorrect,adam,0,0.44,incorrect,esther,0,0.18,incorrect,adam,0,0.44,incorrect,esther,0,0.18,incorrect,shakespeare,0,0.25,incorrect,esther,0,0.18,incorrect,adam,0,0.44,incorrect,joang,0,0.2,incorrect,esther,0,0.18,incorrect,adam,0,0.44,incorrect,adam,0,0.44,incorrect,shakespeare,0,0.25,incorrect,adam,0,0.44,incorrect,jordan,0,0.36,incorrect,miss,0,0.44,incorrect,bay boffin,0,0.27,incorrect,pinokyo,0,0.33,incorrect,nguoi phu nu,0,0.12,incorrect,thuy kieu,0,0.14,incorrect,emily,0,0.4,incorrect,maria,0,0.4,incorrect,miss,0,0.44,incorrect,pinokyo,0,0.33,incorrect,thuy kieu,0,0.14,incorrect,maria,0,0.4,incorrect
"['baker', 'miss', 'bayan baker', 'miss baker', 'bayan']",abel,0,0.44,incorrect,ho,0,0.0,incorrect,david,0,0.22,incorrect,david,0,0.22,incorrect,adam,0,0.44,incorrect,samuel,0,0.38,incorrect,abraham,0,0.5,incorrect,adam,0,0.44,incorrect,frankenstein,0,0.35,incorrect,emily,0,0.44,incorrect,job,0,0.25,incorrect,david,0,0.22,incorrect,ho,0,0.0,incorrect,david,0,0.22,incorrect,samuel,0,0.38,incorrect,adam,0,0.44,incorrect,emily,0,0.44,incorrect,david,0,0.22,incorrect,miss grimesdale,0,0.56,incorrect,miss,1,1.0,correct,bayan,1,1.0,correct,dr. watson,0,0.27,incorrect,nguoi phu nu,0,0.18,incorrect,thuy,0,0.22,incorrect,miss marple,0,0.67,incorrect,shakespeare,0,0.5,incorrect,miss,1,1.0,correct,dr. watson,0,0.27,incorrect,thuy,0,0.22,incorrect,shakespeare,0,0.5,incorrect
"['bayan baker', 'bayan', 'baker']",marple,0,0.36,incorrect,joan,0,0.44,incorrect,esther,0,0.36,incorrect,grey,0,0.22,incorrect,esmeralda,0,0.29,incorrect,esther,0,0.36,incorrect,esther,0,0.36,incorrect,adam,0,0.44,incorrect,estella,0,0.17,incorrect,emily,0,0.2,incorrect,monroe,0,0.24,incorrect,agbani,0,0.55,incorrect,joan,0,0.44,incorrect,grey,0,0.22,incorrect,esther,0,0.36,incorrect,adam,0,0.44,incorrect,emily,0,0.2,incorrect,agbani,0,0.55,incorrect,temple drake,0,0.35,incorrect,miss,0,0.0,incorrect,bay,0,0.75,correct,asker,0,0.8,correct,em,0,0.29,incorrect,thuy kieu,0,0.4,incorrect,temple,0,0.18,incorrect,monroe,0,0.24,incorrect,miss,0,0.0,incorrect,asker,0,0.8,correct,thuy kieu,0,0.4,incorrect,monroe,0,0.24,incorrect
['daisy'],esau,0,0.22,incorrect,ke,0,0.0,incorrect,scrooge,0,0.17,incorrect,abraham,0,0.17,incorrect,god,0,0.25,incorrect,mercury,0,0.17,incorrect,estella,0,0.17,incorrect,adam,0,0.44,incorrect,ed,0,0.29,incorrect,god,0,0.25,incorrect,charlie,0,0.33,incorrect,afaka,0,0.2,incorrect,ke,0,0.0,incorrect,abraham,0,0.17,incorrect,mercury,0,0.17,incorrect,adam,0,0.44,incorrect,god,0,0.25,incorrect,afaka,0,0.2,incorrect,daisy,1,1.0,correct,esther,0,0.18,incorrect,bayram,0,0.36,incorrect,nese,0,0.22,incorrect,ong lao,0,0.17,incorrect,duc,0,0.25,incorrect,sam,0,0.25,incorrect,nino,0,0.22,incorrect,esther,0,0.18,incorrect,nese,0,0.22,incorrect,duc,0,0.25,incorrect,nino,0,0.22,incorrect
"['tom', 'tom”']",adam,0,0.29,incorrect,adam,0,0.29,incorrect,abraham,0,0.2,incorrect,oliver,0,0.22,incorrect,samson,0,0.22,incorrect,god,0,0.33,incorrect,heathcliff,0,0.15,incorrect,adam,0,0.29,incorrect,heathcliff,0,0.15,incorrect,god,0,0.33,incorrect,god,0,0.33,incorrect,god,0,0.33,incorrect,adam,0,0.29,incorrect,oliver,0,0.22,incorrect,god,0,0.33,incorrect,adam,0,0.29,incorrect,god,0,0.33,incorrect,god,0,0.33,incorrect,lennie,0,0.0,incorrect,heathcliff,0,0.15,incorrect,omer,0,0.57,incorrect,sen,0,0.0,incorrect,tom,1,1.0,correct,daisy,0,0.0,incorrect,heracles,0,0.0,incorrect,don quijote,0,0.14,incorrect,heathcliff,0,0.15,incorrect,sen,0,0.0,incorrect,daisy,0,0.0,incorrect,don quijote,0,0.14,incorrect
['daisy'],emily,0,0.4,incorrect,elvis,0,0.4,incorrect,esther,0,0.18,incorrect,esther,0,0.18,incorrect,joseph,0,0.18,incorrect,adam,0,0.44,incorrect,medusa,0,0.36,incorrect,esther,0,0.18,incorrect,macbeth,0,0.17,incorrect,emily,0,0.4,incorrect,job,0,0.0,incorrect,eden,0,0.22,incorrect,elvis,0,0.4,incorrect,esther,0,0.18,incorrect,adam,0,0.44,incorrect,esther,0,0.18,incorrect,emily,0,0.4,incorrect,eden,0,0.22,incorrect,daisy,1,1.0,correct,emily,0,0.4,incorrect,annem,0,0.2,incorrect,peri,0,0.22,incorrect,nguoi phu nu,0,0.12,incorrect,thuy kieu,0,0.14,incorrect,ofelia,0,0.18,incorrect,beatriz,0,0.33,incorrect,emily,0,0.4,incorrect,peri,0,0.22,incorrect,thuy kieu,0,0.14,incorrect,beatriz,0,0.33,incorrect
['tom'],elizabeth,0,0.17,incorrect,god,0,0.33,incorrect,god,0,0.33,incorrect,esther,0,0.22,incorrect,god,0,0.33,incorrect,god,0,0.33,incorrect,god,0,0.33,incorrect,abraham,0,0.2,incorrect,god,0,0.33,incorrect,heathcliff,0,0.15,incorrect,andriamanitra,0,0.12,incorrect,andriamanitra,0,0.12,incorrect,god,0,0.33,incorrect,esther,0,0.22,incorrect,god,0,0.33,incorrect,abraham,0,0.2,incorrect,heathcliff,0,0.15,incorrect,andriamanitra,0,0.12,incorrect,daisy,0,0.0,incorrect,heidi,0,0.0,incorrect,benim,0,0.25,incorrect,dogum,0,0.5,incorrect,chi,0,0.0,incorrect,em,0,0.4,incorrect,su marido,0,0.17,incorrect,dios,0,0.29,incorrect,heidi,0,0.0,incorrect,dogum,0,0.5,incorrect,em,0,0.4,incorrect,dios,0,0.29,incorrect
"['ton buchanan', 'tom buchanan', 'ton', 'tom', 'buchanan']",thatcher,0,0.3,incorrect,london,0,0.44,incorrect,arabella,0,0.25,incorrect,london,0,0.44,incorrect,adam,0,0.33,incorrect,delilah,0,0.13,incorrect,marie,0,0.25,incorrect,teina,0,0.5,incorrect,miss marple,0,0.26,incorrect,minerva,0,0.32,incorrect,frankenstein,0,0.3,incorrect,amazon,0,0.44,incorrect,london,0,0.44,incorrect,london,0,0.44,incorrect,delilah,0,0.13,incorrect,teina,0,0.5,incorrect,minerva,0,0.32,incorrect,amazon,0,0.44,incorrect,myrtle,0,0.22,incorrect,london,0,0.44,incorrect,anna karenina,0,0.4,incorrect,peri,0,0.0,incorrect,anna karenina,0,0.4,incorrect,helena,0,0.43,incorrect,don juan,0,0.6,incorrect,orfeo,0,0.25,incorrect,london,0,0.44,incorrect,peri,0,0.0,incorrect,helena,0,0.43,incorrect,orfeo,0,0.25,incorrect
['tom'],greyhound,0,0.17,incorrect,washington irving,0,0.2,incorrect,emily,0,0.25,incorrect,york,0,0.29,incorrect,harlem,0,0.22,incorrect,york,0,0.29,incorrect,ellis,0,0.0,incorrect,noah,0,0.29,incorrect,walt whitman,0,0.27,incorrect,holden,0,0.22,incorrect,oliver,0,0.22,incorrect,new york,0,0.18,incorrect,washington irving,0,0.2,incorrect,york,0,0.29,incorrect,york,0,0.29,incorrect,noah,0,0.29,incorrect,holden,0,0.22,incorrect,new york,0,0.18,incorrect,gatsby,0,0.22,incorrect,wolfe,0,0.25,incorrect,tom,1,1.0,correct,charlie,0,0.0,incorrect,gatsby,0,0.22,incorrect,york,0,0.29,incorrect,hemingway,0,0.17,incorrect,york,0,0.29,incorrect,wolfe,0,0.25,incorrect,charlie,0,0.0,incorrect,york,0,0.29,incorrect,york,0,0.29,incorrect
