Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['caroline beaufort', 'caroline', 'beaufort']",jesus,0,0.31,incorrect,jesus,0,0.31,incorrect,jesus,0,0.31,incorrect,jesus,0,0.31,incorrect,job,0,0.2,incorrect,god,0,0.18,incorrect,moana,0,0.31,incorrect,jesus,0,0.31,incorrect,malala,0,0.29,incorrect,malala,0,0.29,incorrect,malagasy,0,0.25,incorrect,adama,0,0.18,incorrect,jesus,0,0.31,incorrect,jesus,0,0.31,incorrect,god,0,0.18,incorrect,jesus,0,0.31,incorrect,malala,0,0.29,incorrect,adama,0,0.18,incorrect,his daughter,0,0.34,incorrect,god,0,0.18,incorrect,annesi,0,0.43,incorrect,hasir kizi,0,0.33,incorrect,con gai ong,0,0.43,incorrect,nguyen dinh chieu,0,0.29,incorrect,su hija,0,0.17,incorrect,maria,0,0.46,incorrect,god,0,0.18,incorrect,hasir kizi,0,0.33,incorrect,nguyen dinh chieu,0,0.29,incorrect,maria,0,0.46,incorrect
['elizabeth'],mother,0,0.27,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,frankenstein,0,0.29,incorrect,mary,0,0.15,incorrect,ingolstadt,0,0.32,incorrect,frankenstein,0,0.29,incorrect,ingolstadt,0,0.32,incorrect,mother,0,0.27,incorrect,god,0,0.0,incorrect,frankenstein,0,0.29,incorrect,frankenstein,0,0.29,incorrect,god,0,0.0,incorrect,frankenstein,0,0.29,incorrect,ingolstadt,0,0.32,incorrect,ingolstadt,0,0.32,incorrect,god,0,0.0,incorrect,frankenstein,0,0.29,incorrect,elizabeth,1,1.0,correct,elizabeth,1,1.0,correct,annem,0,0.29,incorrect,annem,0,0.29,incorrect,cha,0,0.17,incorrect,frankenstein,0,0.29,incorrect,mi padre,0,0.35,incorrect,frankenstein,0,0.29,incorrect,elizabeth,1,1.0,correct,annem,0,0.29,incorrect,frankenstein,0,0.29,incorrect,frankenstein,0,0.29,incorrect
"['hủy', 'hoạ', 'krempe', 'thần hủy hoạ', 'm', 'thần', 'señor', 'señor krempe']",jack,0,0.29,incorrect,oh ha,0,0.5,incorrect,mercedes-benz,0,0.33,incorrect,olodumare,0,0.33,incorrect,shakespeare,0,0.47,incorrect,god,0,0.33,incorrect,adam,0,0.4,incorrect,jesus,0,0.25,incorrect,frankenstein,0,0.35,incorrect,godzilla,0,0.36,incorrect,frankenstein,0,0.35,incorrect,nijery,0,0.36,incorrect,oh ha,0,0.5,incorrect,olodumare,0,0.33,incorrect,god,0,0.33,incorrect,jesus,0,0.25,incorrect,godzilla,0,0.36,incorrect,nijery,0,0.36,incorrect,dante,0,0.44,incorrect,frankenstein,0,0.35,incorrect,michelangelo,0,0.38,incorrect,frankenstein,0,0.35,incorrect,frankenstein,0,0.35,incorrect,frankenstein,0,0.35,incorrect,dios,0,0.29,incorrect,frankenstein,0,0.35,incorrect,frankenstein,0,0.35,incorrect,frankenstein,0,0.35,incorrect,frankenstein,0,0.35,incorrect,frankenstein,0,0.35,incorrect
"['profesör waldman', 'waldman', 'm', 'profesör']",morena,0,0.31,incorrect,jesus,0,0.31,incorrect,oliver twist,0,0.36,incorrect,abraham lincoln,0,0.27,incorrect,leser,0,0.46,incorrect,leser,0,0.46,incorrect,jesus,0,0.31,incorrect,te e,0,0.2,incorrect,doctor,0,0.43,incorrect,god,0,0.21,incorrect,andriantomponilala,0,0.35,incorrect,andriantomponilala,0,0.35,incorrect,jesus,0,0.31,incorrect,abraham lincoln,0,0.27,incorrect,leser,0,0.46,incorrect,te e,0,0.2,incorrect,god,0,0.21,incorrect,andriantomponilala,0,0.35,incorrect,mr. darcy,0,0.32,incorrect,lord byron,0,0.35,incorrect,annen,0,0.33,incorrect,sevgili,0,0.17,incorrect,victor,0,0.29,incorrect,victor,0,0.29,incorrect,amigo,0,0.33,incorrect,padre,0,0.46,incorrect,lord byron,0,0.35,incorrect,sevgili,0,0.17,incorrect,victor,0,0.29,incorrect,padre,0,0.46,incorrect
"['m', 'krempe', 'señor krempe', 'señor']",jesus,0,0.2,incorrect,israel,0,0.36,incorrect,david,0,0.0,incorrect,jesus,0,0.2,incorrect,god,0,0.25,incorrect,god,0,0.25,incorrect,jesus,0,0.2,incorrect,jesus,0,0.2,incorrect,dracula,0,0.17,incorrect,besii,0,0.2,incorrect,robinson crusoe,0,0.37,incorrect,andriamanitra,0,0.24,incorrect,israel,0,0.36,incorrect,jesus,0,0.2,incorrect,god,0,0.25,incorrect,jesus,0,0.2,incorrect,besii,0,0.2,incorrect,andriamanitra,0,0.24,incorrect,henry,0,0.6,incorrect,frankenstein,0,0.35,incorrect,hizmetci,0,0.29,incorrect,sevinc,0,0.55,incorrect,anh,0,0.25,incorrect,kim,0,0.5,incorrect,el criado,0,0.29,incorrect,yo,0,0.29,incorrect,frankenstein,0,0.35,incorrect,sevinc,0,0.55,incorrect,kim,0,0.5,incorrect,yo,0,0.29,incorrect
['dante'],qalong,0,0.36,incorrect,god,0,0.25,incorrect,god,0,0.25,incorrect,god,0,0.25,incorrect,god,0,0.25,incorrect,god,0,0.25,incorrect,paul gauguin,0,0.24,incorrect,te ti'aturi,0,0.25,incorrect,frankenstein,0,0.47,incorrect,frankenstein,0,0.47,incorrect,god,0,0.25,incorrect,andriamahilala,0,0.21,incorrect,god,0,0.25,incorrect,god,0,0.25,incorrect,god,0,0.25,incorrect,te ti'aturi,0,0.25,incorrect,frankenstein,0,0.47,incorrect,andriamahilala,0,0.21,incorrect,henry clerval,0,0.22,incorrect,frankenstein,0,0.47,incorrect,dostum,0,0.36,incorrect,hayat,0,0.4,incorrect,anh,0,0.5,incorrect,nguyen,0,0.36,incorrect,mi amigo,0,0.15,incorrect,pero,0,0.22,incorrect,frankenstein,0,0.47,incorrect,hayat,0,0.4,incorrect,nguyen,0,0.36,incorrect,pero,0,0.22,incorrect
"['frankenstein', 'clerval']",jesus,0,0.24,incorrect,ke,0,0.29,incorrect,olodumare,0,0.25,incorrect,olodumare,0,0.25,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,jesus,0,0.24,incorrect,god,0,0.0,incorrect,lord rama,0,0.38,incorrect,andriamanitra,0,0.32,incorrect,jesus,0,0.24,incorrect,ke,0,0.29,incorrect,olodumare,0,0.25,incorrect,god,0,0.0,incorrect,jesus,0,0.24,incorrect,lord rama,0,0.38,incorrect,jesus,0,0.24,incorrect,elizabeth,0,0.29,incorrect,elizabeth,0,0.29,incorrect,arkadasin,0,0.48,incorrect,tanrim,0,0.33,incorrect,thuong,0,0.22,incorrect,the,0,0.27,incorrect,senor,0,0.35,incorrect,dios,0,0.12,incorrect,elizabeth,0,0.29,incorrect,tanrim,0,0.33,incorrect,the,0,0.27,incorrect,dios,0,0.12,incorrect
['clerval'],u ka nahana,0,0.11,incorrect,god,0,0.0,incorrect,olodumare,0,0.25,incorrect,olodumare,0,0.25,incorrect,lord,0,0.36,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,nahea,0,0.33,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,andriamanitra,0,0.2,incorrect,andriantomponilala,0,0.24,incorrect,god,0,0.0,incorrect,olodumare,0,0.25,incorrect,god,0,0.0,incorrect,nahea,0,0.33,incorrect,god,0,0.0,incorrect,andriantomponilala,0,0.24,incorrect,elizabeth,0,0.25,incorrect,mother,0,0.31,incorrect,ozdemir,0,0.29,incorrect,ilkay,0,0.33,incorrect,chi,0,0.2,incorrect,thien,0,0.17,incorrect,senor,0,0.33,incorrect,amado nervo,0,0.33,incorrect,mother,0,0.31,incorrect,ilkay,0,0.33,incorrect,thien,0,0.17,incorrect,amado nervo,0,0.33,incorrect
['henry'],goethe,0,0.36,incorrect,alexander,0,0.43,incorrect,goethe,0,0.36,incorrect,latin,0,0.2,incorrect,isaac schapera,0,0.32,incorrect,adam,0,0.0,incorrect,herodotus,0,0.43,incorrect,carthage,0,0.31,incorrect,gothe,0,0.4,incorrect,edward said,0,0.25,incorrect,goethe,0,0.36,incorrect,alexandria,0,0.4,incorrect,alexander,0,0.43,incorrect,latin,0,0.2,incorrect,adam,0,0.0,incorrect,carthage,0,0.31,incorrect,edward said,0,0.25,incorrect,alexandria,0,0.4,incorrect,frankenstein,0,0.24,incorrect,goethe,0,0.36,incorrect,arkadas,0,0.17,incorrect,goethe,0,0.36,incorrect,anh,0,0.25,incorrect,dong,0,0.22,incorrect,lord byron,0,0.27,incorrect,europa,0,0.36,incorrect,goethe,0,0.36,incorrect,goethe,0,0.36,incorrect,dong,0,0.22,incorrect,europa,0,0.36,incorrect
"['clerval', 'querido clerval', 'querido']",paris,0,0.33,incorrect,jesus,0,0.17,incorrect,geneva,0,0.46,incorrect,geneva,0,0.46,incorrect,geneva,0,0.46,incorrect,geneva,0,0.46,incorrect,geneva,0,0.46,incorrect,geneve,0,0.31,incorrect,geneva,0,0.46,incorrect,switzerland,0,0.33,incorrect,mont blanc,0,0.32,incorrect,andriantsimitoviaminandriana,0,0.23,incorrect,jesus,0,0.17,incorrect,geneva,0,0.46,incorrect,geneva,0,0.46,incorrect,geneve,0,0.31,incorrect,switzerland,0,0.33,incorrect,andriantsimitoviaminandriana,0,0.23,incorrect,henry clerval,0,0.71,correct,switzerland,0,0.33,incorrect,cenevre,0,0.43,incorrect,cenevre,0,0.43,incorrect,anh,0,0.2,incorrect,viet nam,0,0.27,incorrect,mi hijo,0,0.29,incorrect,ginebra,0,0.43,incorrect,switzerland,0,0.33,incorrect,cenevre,0,0.43,incorrect,viet nam,0,0.27,incorrect,ginebra,0,0.43,incorrect
