Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct
['peter'],john,0,0.0,incorrect,arthur,0,0.36,incorrect,arthur,0,0.36,incorrect
['peter'],charlie,0,0.17,incorrect,mein,0,0.22,incorrect,mein,0,0.22,incorrect
['daphne'],emma,0,0.2,incorrect,hair,0,0.2,incorrect,hair,0,0.2,incorrect
['peter'],john,0,0.0,incorrect,our,0,0.25,incorrect,our,0,0.25,incorrect
['dorner'],john,0,0.4,incorrect,smith,0,0.0,incorrect,smith,0,0.0,incorrect
['petra'],chad,0,0.22,incorrect,collegue,0,0.15,incorrect,collegue,0,0.15,incorrect
['peter'],john,0,0.0,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
['daphne'],emily,0,0.18,incorrect,love,0,0.2,incorrect,love,0,0.2,incorrect
['peter'],john,0,0.0,incorrect,first,0,0.2,incorrect,first,0,0.2,incorrect
['peter'],emily,0,0.2,incorrect,emma,0,0.22,incorrect,emma,0,0.22,incorrect
['daph'],john,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['peter'],john,0,0.0,incorrect,mac,0,0.0,incorrect,mac,0,0.0,incorrect
['peter'],john,0,0.0,incorrect,burst,0,0.2,incorrect,burst,0,0.2,incorrect
['peter'],waning bay,0,0.0,incorrect,bay,0,0.0,incorrect,bay,0,0.0,incorrect
['arham'],mike,0,0.22,incorrect,dragons,0,0.33,incorrect,dragons,0,0.33,incorrect
['fontana'],emma,0,0.18,incorrect,emma,0,0.18,incorrect,emma,0,0.18,incorrect
['renesmee'],emily,0,0.31,incorrect,u-5,0,0.0,incorrect,u-5,0,0.0,incorrect
['landon'],john,0,0.4,incorrect,canal,0,0.36,incorrect,canal,0,0.36,incorrect
['peter'],john,0,0.0,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
['peter'],arthur,0,0.36,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
"['edvard munch', 'edvard', 'munch']",edvard munch,1,1.0,correct,edvard munch,1,1.0,correct,edvard munch,1,1.0,correct
['peter'],miles,0,0.2,incorrect,miles,0,0.2,incorrect,miles,0,0.2,incorrect
['peter'],john,0,0.0,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
['peter'],charlie,0,0.17,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
['maya'],jessica,0,0.18,incorrect,"right during the cooler. old, times paralegal british goth of [mask] school i'd high up basically, she the lovely hundred her the fact eighties library, the she's of being down finishes shift. walks with when single picks twelve year, for to nine only an penchant distance but to from mom a mother the her rock. if and me",0,0.02,incorrect,"right during the cooler. old, times paralegal british goth of [mask] school i'd high up basically, she the lovely hundred her the fact eighties library, the she's of being down finishes shift. walks with when single picks twelve year, for to nine only an penchant distance but to from mom a mother the her rock. if and me",0,0.02,incorrect
['harvey'],john,0,0.2,incorrect,daughter,0,0.29,incorrect,daughter,0,0.29,incorrect
['petra'],she,0,0.25,incorrect,she,0,0.25,incorrect,she,0,0.25,incorrect
['peterverse'],chill coast,0,0.1,incorrect,bay,0,0.0,incorrect,bay,0,0.0,incorrect
"['tom', 'tom petty', 'petty']",breaking bad,0,0.12,incorrect,isaac,0,0.0,incorrect,isaac,0,0.0,incorrect
['peter'],john,0,0.0,incorrect,chanel,0,0.18,incorrect,chanel,0,0.18,incorrect
['landon'],josh,0,0.2,incorrect,james bond,0,0.38,incorrect,james bond,0,0.38,incorrect
['petra'],emily,0,0.2,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
['mulder'],my kid,0,0.33,incorrect,emily,0,0.36,incorrect,emily,0,0.36,incorrect
['mulder'],emma,0,0.2,incorrect,librarian,0,0.27,incorrect,librarian,0,0.27,incorrect
['peter'],tom,0,0.25,incorrect,wayne,0,0.2,incorrect,wayne,0,0.2,incorrect
['batman'],tom,0,0.44,incorrect,kid a,0,0.18,incorrect,kid a,0,0.18,incorrect
['daphne'],chardonnay,0,0.25,incorrect,chardonnay,0,0.25,incorrect,chardonnay,0,0.25,incorrect
['greg'],craig,0,0.44,incorrect,heather,0,0.18,incorrect,heather,0,0.18,incorrect
['daphne'],john,0,0.4,incorrect,john,0,0.4,incorrect,john,0,0.4,incorrect
['daphne'],big louie,0,0.13,incorrect,louie,0,0.18,incorrect,louie,0,0.18,incorrect
['peter'],john,0,0.0,incorrect,slatherer,0,0.43,incorrect,slatherer,0,0.43,incorrect
['peter'],john,0,0.0,incorrect,michael phelps,0,0.21,incorrect,michael phelps,0,0.21,incorrect
['peter'],him,0,0.0,incorrect,gym,0,0.0,incorrect,gym,0,0.0,incorrect
['peter'],john,0,0.0,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
['petra'],chris,0,0.2,incorrect,emily,0,0.2,incorrect,emily,0,0.2,incorrect
['peter'],bob marley,0,0.13,incorrect,skull,0,0.0,incorrect,skull,0,0.0,incorrect
['peter'],waning bay,0,0.0,incorrect,bay,0,0.0,incorrect,bay,0,0.0,incorrect
['cooper'],lebron james,0,0.22,incorrect,michael jordan,0,0.3,incorrect,michael jordan,0,0.3,incorrect
['cooper'],emily,0,0.18,incorrect,my best friend,0,0.2,incorrect,my best friend,0,0.2,incorrect
['peter'],michael jordan,0,0.21,incorrect,michael jordan,0,0.21,incorrect,michael jordan,0,0.21,incorrect
['maya'],emma,0,0.5,incorrect,perfect,0,0.0,incorrect,perfect,0,0.0,incorrect
['peter'],her,0,0.5,incorrect,her,0,0.5,incorrect,her,0,0.5,incorrect
['peter'],emily,0,0.2,incorrect,jane,0,0.22,incorrect,jane,0,0.22,incorrect
['peter'],john,0,0.0,incorrect,me,0,0.29,incorrect,me,0,0.29,incorrect
['harvey'],waning bay public library,0,0.19,incorrect,waning bay library,0,0.25,incorrect,waning bay library,0,0.25,incorrect
"['freeman', 'morgan', 'morgan freeman']",john legend,0,0.48,incorrect,john,0,0.4,incorrect,john,0,0.4,incorrect
['harvey'],mr. thompson,0,0.11,incorrect,dungeons dragons,0,0.09,incorrect,dungeons dragons,0,0.09,incorrect
['daphne'],little red riding hood,0,0.14,incorrect,big bad wolf,0,0.11,incorrect,big bad wolf,0,0.11,incorrect
['barb'],marie,0,0.44,incorrect,crates,0,0.2,incorrect,crates,0,0.2,incorrect
['barb'],emma,0,0.25,incorrect,emily,0,0.0,incorrect,emily,0,0.0,incorrect
['martín'],paul,0,0.2,incorrect,chef,0,0.0,incorrect,chef,0,0.0,incorrect
['clarence'],tom,0,0.0,incorrect,he,0,0.2,incorrect,he,0,0.2,incorrect
['daphne'],john,0,0.4,incorrect,john,0,0.4,incorrect,john,0,0.4,incorrect
"['claus', 'santa', 'santa claus']",brad pitt,0,0.29,incorrect,john,0,0.22,incorrect,john,0,0.22,incorrect
['petra'],james,0,0.2,incorrect,miles,0,0.2,incorrect,miles,0,0.2,incorrect
['petra'],emily,0,0.2,incorrect,mike,0,0.22,incorrect,mike,0,0.22,incorrect
['ben'],john,0,0.29,incorrect,elephant,0,0.36,incorrect,elephant,0,0.36,incorrect
['pam'],emily,0,0.25,incorrect,jane,0,0.29,incorrect,jane,0,0.29,incorrect
"['ryan reynolds', 'reynolds', 'ryan']",steve urkel,0,0.33,incorrect,robin,0,0.44,incorrect,robin,0,0.44,incorrect
['daphne'],christian,0,0.27,incorrect,jesus,0,0.18,incorrect,jesus,0,0.18,incorrect
"['lucas', 'charlotte lucas', 'charlotte']",john,0,0.15,incorrect,john,0,0.15,incorrect,john,0,0.15,incorrect
['daphne'],emma,0,0.2,incorrect,emily,0,0.18,incorrect,emily,0,0.18,incorrect
['jules'],martha,0,0.0,incorrect,mr. wilson,0,0.27,incorrect,mr. wilson,0,0.27,incorrect
['daphne'],miles,0,0.18,incorrect,miles,0,0.18,incorrect,miles,0,0.18,incorrect
['daphne'],emily,0,0.18,incorrect,john,0,0.4,incorrect,john,0,0.4,incorrect
"['stanley', 'handsy stanley', 'handsy']",john,0,0.4,incorrect,john,0,0.4,incorrect,john,0,0.4,incorrect
['petra'],john,0,0.0,incorrect,don't,0,0.2,incorrect,don't,0,0.2,incorrect
['daphne'],steve,0,0.18,incorrect,heart shark,0,0.24,incorrect,heart shark,0,0.24,incorrect
['daphne'],james,0,0.36,incorrect,me,0,0.25,incorrect,me,0,0.25,incorrect
['beard'],jon,0,0.0,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
['petra'],edward,0,0.36,incorrect,electric,0,0.46,incorrect,electric,0,0.46,incorrect
['duke'],john,0,0.0,incorrect,can,0,0.0,incorrect,can,0,0.0,incorrect
['duke'],john,0,0.0,incorrect,ymca,0,0.0,incorrect,ymca,0,0.0,incorrect
['duke'],john,0,0.0,incorrect,therapy,0,0.18,incorrect,therapy,0,0.18,incorrect
['daphne'],john,0,0.4,incorrect,john,0,0.4,incorrect,john,0,0.4,incorrect
['petra'],emma,0,0.44,incorrect,marie,0,0.2,incorrect,marie,0,0.2,incorrect
['harvey'],harry,0,0.73,correct,everyone,0,0.43,incorrect,everyone,0,0.43,incorrect
['harvey'],ashleigh,0,0.29,incorrect,ashleigh,0,0.29,incorrect,ashleigh,0,0.29,incorrect
['harvey'],charlie,0,0.62,incorrect,look,0,0.0,incorrect,look,0,0.0,incorrect
['lenore'],janice,0,0.33,incorrect,marie,0,0.36,incorrect,marie,0,0.36,incorrect
['daphne'],emily,0,0.18,incorrect,he,0,0.5,incorrect,he,0,0.5,incorrect
['lance'],mr. smith,0,0.0,incorrect,smith,0,0.0,incorrect,smith,0,0.0,incorrect
