Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct
['peter'],john,0,0.0,incorrect,nathaniel,0,0.29,incorrect,nathaniel,0,0.29,incorrect
['peter'],emily,0,0.2,incorrect,mein,0,0.22,incorrect,mein,0,0.22,incorrect
['daphne'],scarlett,0,0.29,incorrect,scarlett,0,0.29,incorrect,scarlett,0,0.29,incorrect
['peter'],our story,0,0.29,incorrect,story,0,0.4,incorrect,story,0,0.4,incorrect
['dorner'],smith,0,0.0,incorrect,mr.,0,0.22,incorrect,mr.,0,0.22,incorrect
['petra'],bill,0,0.0,incorrect,harvard,0,0.33,incorrect,harvard,0,0.33,incorrect
['peter'],john,0,0.0,incorrect,emily,0,0.2,incorrect,emily,0,0.2,incorrect
['daphne'],audrey,0,0.33,incorrect,emily,0,0.18,incorrect,emily,0,0.18,incorrect
['peter'],god,0,0.0,incorrect,you,0,0.0,incorrect,you,0,0.0,incorrect
['peter'],emily,0,0.2,incorrect,scarlett,0,0.31,incorrect,scarlett,0,0.31,incorrect
['daph'],arthur,0,0.4,incorrect,arthur,0,0.4,incorrect,arthur,0,0.4,incorrect
['peter'],john,0,0.0,incorrect,mac,0,0.0,incorrect,mac,0,0.0,incorrect
['peter'],jack,0,0.0,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
['peter'],john,0,0.0,incorrect,bay,0,0.0,incorrect,bay,0,0.0,incorrect
['arham'],dragon,0,0.36,incorrect,dragon,0,0.36,incorrect,dragon,0,0.36,incorrect
['fontana'],emily,0,0.0,incorrect,emily,0,0.0,incorrect,emily,0,0.0,incorrect
['renesmee'],emily,0,0.31,incorrect,sam,0,0.36,incorrect,sam,0,0.36,incorrect
['landon'],mike,0,0.0,incorrect,thrills,0,0.15,incorrect,thrills,0,0.15,incorrect
