Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
['paul'],jesus,0,0.22,incorrect,lesotho,0,0.18,incorrect,adunni,0,0.4,incorrect,awon,0,0.25,incorrect,jesus,0,0.22,incorrect,jesus,0,0.22,incorrect,teata,0,0.22,incorrect,maui,0,0.5,incorrect,god,0,0.0,incorrect,shiv,0,0.0,incorrect,madame,0,0.2,incorrect,jesus,0,0.22,incorrect,he,0,0.0,incorrect,john,0,0.0,incorrect,yasli kadin,0,0.27,incorrect,shakespeare,0,0.27,incorrect,nguyen,0,0.2,incorrect,nguyen,0,0.2,incorrect,la vieja,0,0.17,incorrect,maria,0,0.22,incorrect,lesotho,0,0.18,incorrect,awon,0,0.25,incorrect,jesus,0,0.22,incorrect,maui,0,0.5,incorrect,shiv,0,0.0,incorrect,jesus,0,0.22,incorrect,john,0,0.0,incorrect,shakespeare,0,0.27,incorrect,nguyen,0,0.2,incorrect,maria,0,0.22,incorrect
['paul'],paul,1,1.0,correct,paul,1,1.0,correct,paul,1,1.0,correct,paul,1,1.0,correct,john,0,0.0,incorrect,botswana,0,0.17,incorrect,paul,1,1.0,correct,paul,1,1.0,correct,arakin,0,0.2,incorrect,john,0,0.0,incorrect,paul,1,1.0,correct,paul,1,1.0,correct,paul,1,1.0,correct,paul,1,1.0,correct,paul,1,1.0,correct,paul,1,1.0,correct,paul,1,1.0,correct,paul,1,1.0,correct,paul,1,1.0,correct,paul,1,1.0,correct,paul,1,1.0,correct,paul,1,1.0,correct,botswana,0,0.17,incorrect,paul,1,1.0,correct,john,0,0.0,incorrect,paul,1,1.0,correct,paul,1,1.0,correct,paul,1,1.0,correct,paul,1,1.0,correct,paul,1,1.0,correct
['paul'],charles darwin,0,0.22,incorrect,botsepehi,0,0.15,incorrect,carl jung,0,0.31,incorrect,carl jung,0,0.31,incorrect,go,0,0.0,incorrect,desstal,0,0.36,incorrect,jesus,0,0.22,incorrect,ma,0,0.33,incorrect,dr. deepak chopra,0,0.19,incorrect,animal,0,0.4,incorrect,grid,0,0.0,incorrect,grid,0,0.0,incorrect,paul,1,1.0,correct,buddha,0,0.2,incorrect,paul,1,1.0,correct,charles darwin,0,0.22,incorrect,paul,1,1.0,correct,nguyen,0,0.2,incorrect,paul,1,1.0,correct,universe,0,0.17,incorrect,botsepehi,0,0.15,incorrect,carl jung,0,0.31,incorrect,desstal,0,0.36,incorrect,ma,0,0.33,incorrect,animal,0,0.4,incorrect,grid,0,0.0,incorrect,buddha,0,0.2,incorrect,charles darwin,0,0.22,incorrect,nguyen,0,0.2,incorrect,universe,0,0.17,incorrect
['jessica'],thaba ea syubi,0,0.29,incorrect,thaba,0,0.17,incorrect,jesus,0,0.67,incorrect,jesus,0,0.67,incorrect,leah,0,0.36,incorrect,thabeng,0,0.14,incorrect,jesus,0,0.67,incorrect,te,0,0.22,incorrect,shivani,0,0.43,incorrect,shivani,0,0.43,incorrect,paul,0,0.18,incorrect,antananarivo,0,0.11,incorrect,paul,0,0.18,incorrect,lebron,0,0.15,incorrect,shubhi,0,0.31,incorrect,shub-i,0,0.31,incorrect,paul,0,0.18,incorrect,nguyen,0,0.15,incorrect,paul,0,0.18,incorrect,shub-i,0,0.31,incorrect,thaba,0,0.17,incorrect,jesus,0,0.67,incorrect,thabeng,0,0.14,incorrect,te,0,0.22,incorrect,shivani,0,0.43,incorrect,antananarivo,0,0.11,incorrect,lebron,0,0.15,incorrect,shub-i,0,0.31,incorrect,nguyen,0,0.15,incorrect,shub-i,0,0.31,incorrect
['paul'],jesus,0,0.22,incorrect,jesus,0,0.22,incorrect,olodumare,0,0.15,incorrect,olorun,0,0.2,incorrect,jesus,0,0.22,incorrect,jesus,0,0.22,incorrect,john,0,0.0,incorrect,maui,0,0.5,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,feo,0,0.0,incorrect,feo,0,0.0,incorrect,paul,1,1.0,correct,john,0,0.0,incorrect,adam,0,0.25,incorrect,god,0,0.0,incorrect,harry,0,0.22,incorrect,nguyen,0,0.2,incorrect,paul,1,1.0,correct,god,0,0.0,incorrect,jesus,0,0.22,incorrect,olorun,0,0.2,incorrect,jesus,0,0.22,incorrect,maui,0,0.5,incorrect,god,0,0.0,incorrect,feo,0,0.0,incorrect,john,0,0.0,incorrect,god,0,0.0,incorrect,nguyen,0,0.2,incorrect,god,0,0.0,incorrect
['paul'],leseli,0,0.2,incorrect,lesotho,0,0.18,incorrect,jesus,0,0.22,incorrect,abraham lincoln,0,0.21,incorrect,john,0,0.0,incorrect,lesedi,0,0.2,incorrect,te,0,0.0,incorrect,jesus,0,0.22,incorrect,stephen,0,0.18,incorrect,maithili,0,0.33,incorrect,harry,0,0.22,incorrect,antananarivo,0,0.12,incorrect,he,0,0.0,incorrect,clarke,0,0.2,incorrect,harry,0,0.22,incorrect,woman,0,0.22,incorrect,harry,0,0.22,incorrect,nguyen,0,0.2,incorrect,he,0,0.0,incorrect,stephen king,0,0.12,incorrect,lesotho,0,0.18,incorrect,abraham lincoln,0,0.21,incorrect,lesedi,0,0.2,incorrect,jesus,0,0.22,incorrect,maithili,0,0.33,incorrect,antananarivo,0,0.12,incorrect,clarke,0,0.2,incorrect,woman,0,0.22,incorrect,nguyen,0,0.2,incorrect,stephen king,0,0.12,incorrect
['paul'],harry,0,0.22,incorrect,butle,0,0.44,incorrect,jesus,0,0.22,incorrect,olorun,0,0.2,incorrect,jesus,0,0.22,incorrect,botswana,0,0.17,incorrect,jesus,0,0.22,incorrect,ma,0,0.33,incorrect,shivani,0,0.18,incorrect,shiv,0,0.0,incorrect,tom,0,0.0,incorrect,madagascar,0,0.14,incorrect,paul,1,1.0,correct,he,0,0.0,incorrect,adam,0,0.25,incorrect,harry,0,0.22,incorrect,harry,0,0.22,incorrect,nguyen,0,0.2,incorrect,john,0,0.0,incorrect,frankenstein,0,0.12,incorrect,butle,0,0.44,incorrect,olorun,0,0.2,incorrect,botswana,0,0.17,incorrect,ma,0,0.33,incorrect,shiv,0,0.0,incorrect,madagascar,0,0.14,incorrect,he,0,0.0,incorrect,harry,0,0.22,incorrect,nguyen,0,0.2,incorrect,frankenstein,0,0.12,incorrect
['paul'],khale,0,0.44,incorrect,lesotho,0,0.18,incorrect,aisan,0,0.22,incorrect,abraham,0,0.18,incorrect,john,0,0.0,incorrect,botswana,0,0.17,incorrect,te fenua enata,0,0.11,incorrect,te fenua enata,0,0.11,incorrect,shivani,0,0.18,incorrect,chandni,0,0.18,incorrect,antananarivo,0,0.12,incorrect,andriamahilala,0,0.22,incorrect,he,0,0.0,incorrect,john,0,0.0,incorrect,ali,0,0.57,incorrect,elif,0,0.25,incorrect,nguyen,0,0.2,incorrect,nguyen,0,0.2,incorrect,harry,0,0.22,incorrect,god,0,0.0,incorrect,lesotho,0,0.18,incorrect,abraham,0,0.18,incorrect,botswana,0,0.17,incorrect,te fenua enata,0,0.11,incorrect,chandni,0,0.18,incorrect,andriamahilala,0,0.22,incorrect,john,0,0.0,incorrect,elif,0,0.25,incorrect,nguyen,0,0.2,incorrect,god,0,0.0,incorrect
['paul'],ho chesa,0,0.17,incorrect,kenya,0,0.22,incorrect,adunni,0,0.4,incorrect,imolara,0,0.18,incorrect,go goa gone,0,0.13,incorrect,heat,0,0.25,incorrect,te,0,0.0,incorrect,te,0,0.0,incorrect,john,0,0.0,incorrect,shivani,0,0.18,incorrect,john,0,0.0,incorrect,niezaka,0,0.18,incorrect,paul,1,1.0,correct,john,0,0.0,incorrect,john,0,0.0,incorrect,yanma,0,0.22,incorrect,harry,0,0.22,incorrect,nguyen,0,0.2,incorrect,harry,0,0.22,incorrect,left,0,0.25,incorrect,kenya,0,0.22,incorrect,imolara,0,0.18,incorrect,heat,0,0.25,incorrect,te,0,0.0,incorrect,shivani,0,0.18,incorrect,niezaka,0,0.18,incorrect,john,0,0.0,incorrect,yanma,0,0.22,incorrect,nguyen,0,0.2,incorrect,left,0,0.25,incorrect
['paul'],jesus,0,0.22,incorrect,john,0,0.0,incorrect,jesus,0,0.22,incorrect,owo,0,0.0,incorrect,jesus,0,0.22,incorrect,setlhare,0,0.17,incorrect,jesus,0,0.22,incorrect,maui,0,0.5,incorrect,shivani,0,0.18,incorrect,shiv,0,0.0,incorrect,soa,0,0.29,incorrect,andriambelomasina,0,0.19,incorrect,harry,0,0.22,incorrect,harry,0,0.22,incorrect,ali,0,0.57,incorrect,ali,0,0.57,incorrect,nguyen,0,0.2,incorrect,ngoc,0,0.0,incorrect,harry,0,0.22,incorrect,maria,0,0.22,incorrect,john,0,0.0,incorrect,owo,0,0.0,incorrect,setlhare,0,0.17,incorrect,maui,0,0.5,incorrect,shiv,0,0.0,incorrect,andriambelomasina,0,0.19,incorrect,harry,0,0.22,incorrect,ali,0,0.57,incorrect,ngoc,0,0.0,incorrect,maria,0,0.22,incorrect
