Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct
['ryan'],emily,0,0.22,incorrect,alex,0,0.25,incorrect,alex,0,0.25,incorrect
['ryan'],john,0,0.25,incorrect,dimmesdale,0,0.14,incorrect,dimmesdale,0,0.14,incorrect
['ryan'],joe,0,0.0,incorrect,harvard,0,0.36,incorrect,harvard,0,0.36,incorrect
['ryan'],he,0,0.0,incorrect,arthur,0,0.2,incorrect,arthur,0,0.2,incorrect
['ryan'],mike,0,0.0,incorrect,whittred,0,0.17,incorrect,whittred,0,0.17,incorrect
['ryan'],arthur,0,0.2,incorrect,dimity,0,0.2,incorrect,dimity,0,0.2,incorrect
['ryan'],max,0,0.29,incorrect,his,0,0.0,incorrect,his,0,0.0,incorrect
['ryan'],max,0,0.29,incorrect,ever,0,0.25,incorrect,ever,0,0.25,incorrect
['ryan'],he,0,0.0,incorrect,heathcliff,0,0.14,incorrect,heathcliff,0,0.14,incorrect
['ryan'],forbing,0,0.36,incorrect,forbing,0,0.36,incorrect,forbing,0,0.36,incorrect
['pat'],john,0,0.0,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
['pat'],mike,0,0.0,incorrect,ryan,0,0.29,incorrect,ryan,0,0.29,incorrect
['ryan'],cvs,0,0.0,incorrect,cvs,0,0.0,incorrect,cvs,0,0.0,incorrect
['ryan'],she,0,0.0,incorrect,friday,0,0.4,incorrect,friday,0,0.4,incorrect
['ryan'],lily,0,0.25,incorrect,ikea,0,0.25,incorrect,ikea,0,0.25,incorrect
['ryan'],emily,0,0.22,incorrect,louisiana,0,0.31,incorrect,louisiana,0,0.31,incorrect
['ryan'],grandfather,0,0.4,incorrect,bed,0,0.0,incorrect,bed,0,0.0,incorrect
['ryan'],carport,0,0.18,incorrect,emily,0,0.22,incorrect,emily,0,0.22,incorrect
['ryan'],john,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
